page_id,numeroUnico,status,old_len,new_len,error
32872195-5c64-8004-becf-cde6433488e5,0600215-79.2024.6.14.0100,ok,209,209,
32872195-5c64-8005-adde-c1c0cda0f3b3,0600241-19.2024.6.14.0087,ok,120,82,
32872195-5c64-8006-89e4-ccc0ebc353ad,0600106-13.2024.6.26.0365,ok,72,56,
32872195-5c64-800c-8513-d88d6b1b5893,0600184-49.2024.6.19.0026,ok,111,111,
32872195-5c64-800c-8ff8-fc532b3261d0,0600313-30.2024.6.06.0054,ok,169,169,
32872195-5c64-800d-b966-e335b0241837,0600007-66.2025.6.06.0041,ok,464,464,
32872195-5c64-8017-a20d-e996d4bf33cd,0600362-32.2024.6.12.0013,ok,335,335,
32872195-5c64-8018-9d65-e44339ddfc08,0600823-79.2025.6.13.0000,ok,85,85,
32872195-5c64-8019-aa64-c37984645f3d,0600578-80.2024.6.13.0169,ok,478,478,
32872195-5c64-801a-9c5f-e0d4f0aab397,0600107-15.2024.6.17.0020,ok,165,110,
32872195-5c64-801e-8d60-e5accb3e49f9,0600219-95.2024.6.13.0310,ok,102,58,
32872195-5c64-8022-82f2-cf26962865db,0600452-83.2022.6.00.0000,ok,240,199,
32872195-5c64-8022-933b-c44ecdd467e1,0600240-77.2022.6.21.0000,ok,406,406,
32872195-5c64-8027-a8ec-f379a97b37de,0600141-68.2023.6.14.0000,ok,55,55,
32872195-5c64-8029-beb2-ebe39d70dd65,0600296-92.2024.6.25.0012,ok,131,93,
32872195-5c64-802b-9562-cc92f905bb4f,0606148-77.2022.6.26.0000,ok,59,59,
32872195-5c64-802c-9a9e-f43ab6884bb6,0600132-49.2024.6.10.0076,ok,179,179,
32872195-5c64-802f-9fca-dec45c80d841,0600656-60.2020.6.17.0086,ok,44,27,
32872195-5c64-8036-835b-e3b4eff7b3dc,0600228-40.2024.6.17.0021,ok,329,329,
32872195-5c64-803b-9e56-e230c212ac97,0600005-40.2025.6.25.0018,ok,129,129,
32872195-5c64-803b-bcee-d2611a445a86,0600659-39.2024.6.11.0022,ok,230,192,
32872195-5c64-803c-a403-f25fc1cadb15,0600039-07.2024.6.07.0000,ok,179,135,
32872195-5c64-803e-a598-fa2fc94e2876,0600576-55.2024.6.05.0130,ok,5,0,
32872195-5c64-803e-af58-d2fa0fab2629,0600530-66.2024.6.06.0121,ok,148,148,
32872195-5c64-8044-9d24-cf542497c400,0600633-71.2024.6.15.0073,ok,282,282,
32872195-5c64-804f-a7c6-d2aa563d9f66,0600333-48.2024.6.11.0000,ok,487,487,
32872195-5c64-8051-9b73-f2744a32ead6,0600506-21.2024.6.09.0132,ok,225,225,
32872195-5c64-8052-851e-f6bf02ce731a,0600241-66.2024.6.19.0091,ok,345,345,
32872195-5c64-805e-9f6c-efccfd62d7ad,0600524-02.2024.6.13.0077,ok,105,105,
32872195-5c64-8062-a0bf-e02f30a44f13,0600406-23.2024.6.20.0015,ok,185,185,
32872195-5c64-8062-b291-fb361470c7e4,0600168-44.2024.6.21.0122,ok,140,140,
32872195-5c64-806a-a155-f7fd3ff29db5,0600339-51.2024.6.19.0091,ok,309,273,
32872195-5c64-806b-98d5-d533a69890a1,0600237-11.2024.6.14.0045,ok,113,113,
32872195-5c64-806b-b4bc-cd0748c5a0cd,0600239-44.2024.6.05.0008,ok,233,233,
32872195-5c64-806b-ba31-c02e3bf1b8d5,0600228-40.2024.6.17.0021,ok,329,329,
32872195-5c64-806c-91a6-f72a304491d3,0601568-74.2022.6.27.0000,ok,106,106,
32872195-5c64-8071-ae47-cf83b0330bf3,0600625-54.2024.6.13.0169,ok,621,621,
32872195-5c64-8071-b630-c59174f29f8e,0600923-18.2022.6.03.0000,ok,0,132,
32872195-5c64-8073-94db-dcb36da84cae,0600272-90.2024.6.06.0045,ok,153,153,
32872195-5c64-8075-b0a6-ff1607b3b3ae,0600316-08.2024.6.19.0091,ok,157,157,
32872195-5c64-8076-aafe-cb6cb0db995c,0600196-42.2025.6.25.0000,ok,0,699,
32872195-5c64-807d-b820-f2edc92f5c9a,0600402-58.2024.6.06.0020,ok,110,77,
32872195-5c64-8082-b4b6-e52f7f3ffe98,0604243-16.2022.6.16.0000,ok,97,80,
32872195-5c64-8083-bf1b-cadafbfdd8b6,0600118-57.2022.6.14.0033,ok,83,83,
32872195-5c64-8089-a9e1-cf5143f57563,0600212-13.2024.6.10.0076,ok,294,294,
32872195-5c64-808c-b17e-ebdc2925fba1,0600313-30.2024.6.06.0054,ok,169,169,
32872195-5c64-808d-92f8-f70b4a4c1928,0600922-06.2024.6.27.0029,ok,248,248,
32872195-5c64-808e-a6f5-deb1b8616354,0600461-20.2024.6.23.0005,ok,333,333,
32872195-5c64-808f-85a3-d87fcc49c60f,0600898-78.2024.6.27.0028,ok,170,170,
32872195-5c64-8091-9f30-f82c042a48d0,0600483-96.2024.6.08.0037,ok,406,406,
32872195-5c64-8091-a478-f9fa950e38f9,0607199-26.2022.6.26.0000,ok,126,126,
32872195-5c64-8094-a72d-f9e1f3c4c9d8,0600487-59.2024.6.06.0015,ok,206,206,
32872195-5c64-8094-aad7-d5e9d9156d29,0600102-46.2025.6.16.0000,ok,56,56,
32872195-5c64-8096-9cfb-da817858f108,0600810-12.2024.6.12.0043,ok,238,238,
32872195-5c64-80a2-b4d7-d1cf39d1cec3,0601000-55.2024.6.13.0169,ok,657,657,
32872195-5c64-80aa-a364-d6e76c80d56d,0602587-89.2022.6.10.0000,ok,83,83,
32872195-5c64-80ad-84bb-ee23c522b763,0600426-44.2024.6.15.0050,ok,0,369,
32872195-5c64-80ae-9474-ccb5f263c35b,0600236-30.2019.6.00.0000,ok,205,192,
32872195-5c64-80ae-a18d-f07dcc7f706b,0600423-82.2024.6.15.0020,ok,305,305,
32872195-5c64-80b3-abb9-db09df54ea3a,0600355-42.2024.6.10.0095,ok,83,83,
32872195-5c64-80b5-8fd9-db777080bc78,0601092-81.2025.6.00.0000,ok,416,416,
32872195-5c64-80b6-aaa8-f7f11bb50990,0600335-14.2024.6.19.0091,ok,157,157,
32872195-5c64-80ba-80ec-f594c5577e68,0600249-71.2024.6.17.0132,ok,596,596,
32872195-5c64-80ba-b12a-e05bb0e71c69,0601116-58.2024.6.18.0028,ok,40,18,
32872195-5c64-80c2-be13-c2398698e755,0600643-71.2024.6.25.0030,ok,223,223,
32872195-5c64-80c5-84b1-c02ef0abdd66,0600567-02.2025.6.00.0000,ok,65,49,
32872195-5c64-80c5-99f2-c296b79d5cf0,0600942-21.2020.6.13.0160,ok,221,221,
32872195-5c64-80ce-811d-cd0b5423e2ae,0600604-51.2024.6.05.0153,ok,0,278,
32872195-5c64-80d0-b0d8-d5c9cd953ec2,0600355-37.2024.6.06.0068,ok,121,82,
32872195-5c64-80d2-85e6-d7ec6ac59b5b,0600349-07.2024.6.18.0000,ok,248,248,
32872195-5c64-80d2-ac59-d90a1714d2a2,0600008-11.2026.6.00.0000,ok,343,343,
32872195-5c64-80d7-991d-c63de7144367,0600209-87.2024.6.14.0095,ok,284,284,
32872195-5c64-80dd-8ec3-ca4c2cb78f4d,0600424-81.2023.6.00.0000,ok,135,91,
32872195-5c64-80de-b988-eceb89fbcecd,0600815-77.2024.6.26.0129,ok,210,210,
32872195-5c64-80e1-9531-c7fa98abeb5a,0600501-41.2023.6.09.0000,ok,48,26,
32872195-5c64-80e4-b45f-cbd884730f78,0600827-18.2024.6.19.0184,ok,113,113,
32872195-5c64-80e5-8692-f5d11f53dc0e,0600357-98.2024.6.02.0009,ok,207,207,
32872195-5c64-80e5-9e68-dd4c9e2eeedd,0600335-71.2024.6.17.0090,ok,169,169,
32872195-5c64-80e6-947b-df0eb83670d6,0600197-51.2024.6.11.0000,ok,56,34,
32872195-5c64-80ef-b745-fa9196087fa5,0600339-34.2024.6.16.0059,ok,121,99,
32872195-5c64-80f1-bc39-ead41a95d1de,0600902-12.2024.6.13.0059,ok,105,105,
32872195-5c64-80f9-8bc4-f8979a6e7372,0600536-34.2024.6.06.0037,ok,233,233,
32872195-5c64-80fd-aa69-f82a033cf194,0600086-96.2024.6.26.0114,ok,239,195,
32872195-5c64-80ff-880d-ecddeb12d2c5,0600317-91.2024.6.21.0105,ok,90,90,
32872195-5c64-8100-8222-c173239459eb,0600604-51.2024.6.05.0153,ok,0,278,
32872195-5c64-8100-8bd0-c9224fa344ee,0600560-82.2024.6.25.0021,ok,0,144,
32872195-5c64-8100-a964-c61a5fd9e633,0600001-94.2021.6.07.0001,ok,65,24,
32872195-5c64-8100-bb97-c511b5147277,0601646-10.2022.6.04.0000,ok,0,552,
32872195-5c64-8101-978d-e6da29ccbef4,0600218-62.2024.6.14.0026,ok,0,93,
32872195-5c64-8101-9e9f-e048ad4cf3e4,0600164-43.2020.6.06.0064,ok,0,136,
32872195-5c64-8101-a34d-caaa083760ab,0600486-58.2024.6.26.0002,ok,0,143,
32872195-5c64-8101-b767-db543533e2d2,0600248-93.2024.6.12.0013,ok,0,240,
32872195-5c64-8102-823d-f2bc8bc0c50c,0600699-87.2024.6.05.0054,ok,38,28,
32872195-5c64-8102-8342-e37a73484fd1,0600340-35.2024.6.06.0079,ok,0,480,
32872195-5c64-8102-877d-fd2182112eef,0600002-57.2025.6.08.0051,ok,0,273,
32872195-5c64-8102-af43-c3b858962ac3,0600441-65.2024.6.19.0029,ok,181,143,
32872195-5c64-8103-8894-f7018c9bcb1b,0600234-52.2024.6.12.0032,ok,0,138,
32872195-5c64-8103-a20f-fc4e75eacbfa,0600752-80.2024.6.06.0041,ok,0,169,
32872195-5c64-8103-a7a4-e53a23046c2a,0600284-48.2025.6.19.0000,ok,0,99,
32872195-5c64-8103-a983-febdd79e553b,0600242-37.2019.6.00.0000,ok,0,288,
32872195-5c64-8103-b295-ce024361626b,0600670-82.2020.6.00.0000,ok,0,65,
32872195-5c64-8103-ba6b-e9c906ba1633,0600151-86.2024.6.05.0143,ok,0,114,
32872195-5c64-8104-80a0-fa8d7ff14d12,0600159-06.2024.6.23.0000,ok,45,136,
32872195-5c64-8104-ad35-f42bdc4035f5,0607124-84.2022.6.26.0000,ok,0,223,
32872195-5c64-8105-8d3f-fe4fed3b7fef,0600255-47.2024.6.10.0076,ok,0,73,
32872195-5c64-8106-91de-e1b1a6f286dd,0601219-63.2018.6.00.0000,ok,0,25,
32872195-5c64-8107-ac1c-db36ce01805b,0602278-79.2022.6.06.0000,ok,0,233,
32872195-5c64-8107-ba24-d58f81d66758,0600748-75.2024.6.26.0012,ok,0,281,
32872195-5c64-8108-99a9-f1d2c2f839d3,0600304-24.2024.6.18.0090,ok,0,260,
32872195-5c64-8109-87ac-d8d2df7ce468,0600437-51.2024.6.06.0009,ok,0,182,
32872195-5c64-8109-a18a-c58e59b10198,0600192-02.2024.6.12.0000,ok,0,145,
32872195-5c64-8109-a4e2-cd28bec45928,0600220-34.2024.6.06.0065,ok,0,174,
32872195-5c64-8109-bc9d-fe8d56f77b23,0601262-53.2025.6.00.0000,ok,0,56,
32872195-5c64-810a-8adb-ce9e5699a371,0600235-88.2024.6.20.0040,ok,0,195,
32872195-5c64-810a-9fe3-e3dedf2d0a72,0600001-65.2019.6.12.0053,ok,15,24,
32872195-5c64-810a-9ff5-c0a93fc81aff,0604335-15.2022.6.26.0000,ok,0,211,
32872195-5c64-810a-a6ce-dad7fa41ca40,0600935-11.2025.6.00.0000,ok,0,54,
32872195-5c64-810a-b968-eb360116e61f,0600181-37.2021.6.17.0000,ok,0,53,
32872195-5c64-810b-a829-d99ff8259364,0607329-16.2022.6.26.0000,ok,0,169,
32872195-5c64-810b-b12e-fcee6bef610c,0601464-63.2024.6.14.0036,ok,44,28,
32872195-5c64-810b-b27c-cf588b835295,0600508-68.2024.6.13.0329,ok,149,149,
32872195-5c64-810b-bac1-efc97f1b34cf,0600655-20.2024.6.16.0068,ok,0,133,
32872195-5c64-810c-bebd-c44652a844e1,0600379-10.2024.6.05.0063,ok,0,360,
32872195-5c64-810d-8e9b-c1b5b15d5d76,0600179-89.2024.6.26.0201,ok,0,118,
32872195-5c64-810d-b9cf-df15a3d5dd0f,0601245-17.2025.6.00.0000,ok,0,110,
32872195-5c64-810e-959c-e756bbc4d654,0600605-63.2024.6.13.0169,ok,0,120,
32872195-5c64-810e-a916-c089021782fd,0600624-94.2024.6.09.0035,ok,0,223,
