page_id,numeroUnico,status,old,new,error
32872195-5c64-8110-8ec8-d1a28eabf5bb,0600642-67.2024.6.25.0004,ok,Lei n° 13.105/15; Lei n° 4.737/65,Lei n° 13.105/15 | Lei n° 4.737/65,
32872195-5c64-811e-b23b-dd78a0cf0cf9,0600032-21.2024.6.26.0409,ok,Lei n° 9.504/97; Res. TSE n° 23.610/19,Lei n° 9.504/97 | Res. TSE n° 23.610/19,
32872195-5c64-8126-8020-cb35c2b99638,0600281-67.2024.6.13.0268,ok,Decreto-Lei n° 3.689/41; Lei n° 9.504/97; Res. TSE n° 23.609/19; LC n° 64/90,Decreto-Lei n° 3.689/41 | Lei n° 9.504/97 | Res. TSE n° 23.609/19 | LC n° 64/90,
32872195-5c64-8131-8a91-d5021ef282a0,0600790-22.2020.6.21.0007,ok,Lei n° 9.504/97; CF/88; Lei n° 4.737/65,Lei n° 9.504/97 | CF/88 | Lei n° 4.737/65,
32872195-5c64-8131-a930-e07737bcef20,0600747-82.2024.6.04.0051,ok,Lei n° 13.105/15; Lei n° 9.504/97,Lei n° 13.105/15 | Lei n° 9.504/97,
32872195-5c64-8132-8d62-fd75a74117e0,0600625-71.2020.6.15.0029,ok,Lei n° 9.504/97; LC n° 64/90,Lei n° 9.504/97 | LC n° 64/90,
32872195-5c64-8139-9173-d0be77434e8e,0600061-71.2024.6.13.0332,ok,Res. TSE n° 23.610/19; Lei n° 4.737/65; Lei n° 13.105/15; Lei n° 9.504/97,Res. TSE n° 23.610/19 | Lei n° 4.737/65 | Lei n° 13.105/15 | Lei n° 9.504/97,
32872195-5c64-8151-8c37-e0c6b62ef7c0,0601639-45.2022.6.03.0000,ok,LC n° 64/90; Lei n° 9.504/97,LC n° 64/90 | Lei n° 9.504/97,
32872195-5c64-815e-8745-c84a7513dd63,0600016-43.2022.6.13.0201,ok,Decreto-Lei n° 3.689/41; Lei n° 13.105/15,Decreto-Lei n° 3.689/41 | Lei n° 13.105/15,
32872195-5c64-8165-9879-e0539c42e876,0600596-04.2024.6.13.0169,ok,Lei n° 9.504/97; Res. TSE n° 23.610/19,Lei n° 9.504/97 | Res. TSE n° 23.610/19,
32872195-5c64-8168-8f1e-f20900fcf008,0600125-87.2023.6.15.0000,ok,Lei n° 9.504/97; Lei n° 4.737/65,Lei n° 9.504/97 | Lei n° 4.737/65,
32872195-5c64-818e-ade7-f4681a3fc91a,0601123-18.2020.6.27.0003,ok,CF/88; Lei n° 9.504/97,CF/88 | Lei n° 9.504/97,
32872195-5c64-8194-b266-d7b80b947d9f,0600480-26.2024.6.01.0009,ok,Lei n° 9.504/97; Res. TSE n° 23.610/19; Lei n° 13.105/15,Lei n° 9.504/97 | Res. TSE n° 23.610/19 | Lei n° 13.105/15,
32872195-5c64-8197-9c5a-e49a1e390db2,0600994-04.2022.6.00.0000,ok,EC n° 133/24; Res. TSE n° 23.607/19; CF/88,EC n° 133/24 | Res. TSE n° 23.607/19 | CF/88,
32872195-5c64-81ad-8f35-fba8ad14da3c,0600154-93.2024.6.01.0000,ok,Lei n° 13.105/15; Lei n° 9.504/97,Lei n° 13.105/15 | Lei n° 9.504/97,
32872195-5c64-81b9-b773-c97077fc0167,0600225-88.2025.6.00.0000,ok,Lei n° 13.105/15; Lei n° 12.016/09,Lei n° 13.105/15 | Lei n° 12.016/09,
32872195-5c64-81d3-9b58-cbafd79c546a,0602823-46.2022.6.17.0000,ok,Lei n° 13.105/15; Res. TSE n° 23.607/19,Lei n° 13.105/15 | Res. TSE n° 23.607/19,
32872195-5c64-81d9-a031-c06ceafc70cc,0600358-20.2024.6.26.0396,ok,Lei n° 9.504/97; Res. TSE n° 23.610/19,Lei n° 9.504/97 | Res. TSE n° 23.610/19,
