page_id,numeroUnico,old_resultado,new_resultado,status
32872195-5c64-8037-9303-cedc63de9a35,0600251-37.2024.6.14.0031,unânime,monocrática,updated
32872195-5c64-803c-a403-f25fc1cadb15,0600039-07.2024.6.07.0000,monocrática,unânime,updated
32872195-5c64-804b-9443-ee779f1f8157,0600507-51.2024.6.18.0036,unânime,monocrática,updated
32872195-5c64-804d-bf8f-cbf712e2c100,0600305-64.2024.6.19.0095,monocrática,unânime,updated
32872195-5c64-8053-a3a8-c92c9455a0a4,0600705-56.2024.6.16.0194,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-805c-8462-f3d2a99b42ab,0600528-12.2024.6.26.0163,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-805d-9737-dfc54b8c8892,0600448-91.2024.6.06.0070,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-805f-8630-dcc64bbd6960,0600601-90.2024.6.05.0058,unânime,monocrática,updated
32872195-5c64-805f-bc3f-c74914fe3ae3,0600072-14.2025.6.25.0015,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8064-9045-defaf52046be,0600386-08.2024.6.26.0163,unânime,monocrática,updated
32872195-5c64-8065-a011-ebf4ba7a76be,0600316-19.2024.6.22.0028,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-806a-9e7d-d60f25ebda78,0600263-75.2023.6.25.0000,unânime,monocrática,updated
32872195-5c64-806b-ba31-c02e3bf1b8d5,0600228-40.2024.6.17.0021,unânime,monocrática,updated
32872195-5c64-806c-91a6-f72a304491d3,0601568-74.2022.6.27.0000,por maioria,monocrática,updated
32872195-5c64-8075-ac86-d8dba92367a9,0600392-35.2024.6.14.0038,unânime,monocrática,updated
32872195-5c64-8077-85e0-ea16d2b82fd2,0605357-11.2022.6.26.0000,unânime,monocrática,updated
32872195-5c64-8079-a13b-f9338510db7d,0600147-30.2024.6.17.0009,unânime,monocrática,updated
32872195-5c64-807c-97b1-c24732c19e22,0600171-08.2024.6.26.0365,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-807c-9fac-cc12a2652072,0600467-74.2024.6.14.0038,unânime,monocrática,updated
32872195-5c64-807c-ae34-d99a8f36d9ae,0600913-25.2024.6.16.0005,unânime,monocrática,updated
32872195-5c64-807f-be4a-de5bee648a2f,0600348-47.2022.6.16.0000,unânime,monocrática,updated
32872195-5c64-8088-829d-e3bdcdb0f418,0600562-85.2024.6.16.0091,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8089-a9e1-cf5143f57563,0600212-13.2024.6.10.0076,"por maioria,não conhecido","monocrática,não conhecido",updated
32872195-5c64-808b-a37b-f7aa785db56e,0600383-12.2026.6.00.0000,por maioria,monocrática,updated
