"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","445","445","","norma","Lei n. 9.096, de 19 de setembro de 1995","","","","","","","Dispõe sobre partidos políticos, regulamenta os arts. 17 e 14, § 3º, inciso V, da Constituição Federal. O VICE-PRESIDENTE DA REPÚBLICA, no exercício do cargo de presidente da República, Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Lei n. 9.096, de 19 de setembro de 1995
Tipo: norma
Páginas: 445-445
Dispõe sobre partidos políticos, regulamenta os arts. 17 e 14, § 3º, inciso V, da Constituição Federal. O VICE-PRESIDENTE DA REPÚBLICA, no exercício do cargo de presidente da República, Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:","Dispõe sobre partidos políticos, regulamenta os arts. 17 e 14, § 3º, inciso V, da Constituição Federal. O VICE-PRESIDENTE DA REPÚBLICA, no exercício do cargo de presidente da República, Faço saber que o Congresso Nacional decreta e eu...","setembro; presidente; republica; dispoe; sobre; partidos; politicos; regulamenta; arts; inciso","True","580","145"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","445","445","TÍTULO I - DISPOSIÇÕES PRELIMINARES","estrutura","TÍTULO I - DISPOSIÇÕES PRELIMINARES","","","","","","","TÍTULO I - DISPOSIÇÕES PRELIMINARES","Res.-TSE n. 23571/2018: “Disciplina a criação, organização, fusão, incorporação e extinção de partidos políticos”.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Res.-TSE n. 23571/2018: “Disciplina a criação, organização, fusão, incorporação e extinção de partidos políticos”."", ""pagina_inicial"": 445, ""pagina_final"": 445}]","1","Res.-TSE n. 23571/2018","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Tipo: estrutura
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Páginas: 445-445
TÍTULO I - DISPOSIÇÕES PRELIMINARES
Notas vinculadas:
Res.-TSE n. 23571/2018: “Disciplina a criação, organização, fusão, incorporação e extinção de partidos políticos”.","TÍTULO I - DISPOSIÇÕES PRELIMINARES","titulo; disposicoes; preliminares; setembro; disciplina; criacao; organizacao; fusao; incorporacao; extincao","True","537","134"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","445","445","TÍTULO I - DISPOSIÇÕES PRELIMINARES","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º O partido político, pessoa jurídica de direito privado, destina-se a assegurar, no interesse do regime democrático, a autenticidade do sistema representativo e a defender os direitos fundamentais definidos na Constituição Federal.","CC/2002: Art. 44. São pessoas jurídicas de direito privado: [...] V - os partidos políticos. [...] § 3º Os partidos políticos serão organizados e funcionarão conforme o disposto em lei específica.
IN-RFB n. 2119/2022, Anexo I: “Observações: [...] h) A inscrição dos partidos políticos no CNPJ ocorre por meio de seus órgãos de direção nacional, regional e local, cadastrados exclusivamente na condição de estabelecimento matriz. i) Não são inscritas no CNPJ as coligações de partidos políticos”.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""CC/2002: Art. 44. São pessoas jurídicas de direito privado: [...] V - os partidos políticos. [...] § 3º Os partidos políticos serão organizados e funcionarão conforme o disposto em lei específica."", ""pagina_inicial"": 445, ""pagina_final"": 445}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""IN-RFB n. 2119/2022, Anexo I: “Observações: [...] h) A inscrição dos partidos políticos no CNPJ ocorre por meio de seus órgãos de direção nacional, regional e local, cadastrados exclusivamente na condição de estabelecimento matriz. i) Não são inscritas no CNPJ as coligações de partidos políticos”."", ""pagina_inicial"": 445, ""pagina_final"": 445}]","2","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Art. 1º
Tipo: artigo
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Páginas: 445-445
Art. 1º O partido político, pessoa jurídica de direito privado, destina-se a assegurar, no interesse do regime democrático, a autenticidade do sistema representativo e a defender os direitos fundamentais definidos na Constituição Federal.
Notas vinculadas:
CC/2002: Art. 44. São pessoas jurídicas de direito privado: [...] V - os partidos políticos. [...] § 3º Os partidos políticos serão organizados e funcionarão conforme o disposto em lei específica.
IN-RFB n. 2119/2022, Anexo I: “Observações: [...] h) A inscrição dos partidos políticos no CNPJ ocorre por meio de seus órgãos de direção nacional, regional e local, cadastrados exclusivamente na condição de estabelecimento matriz. i) Não são inscritas no CNPJ as coligações de partidos políticos”.","Art. 1º O partido político, pessoa jurídica de direito privado, destina-se a assegurar, no interesse do regime democrático, a autenticidade do sistema representativo e a defender os direitos fundamentais definidos na Constituição Federal.","partidos; politicos; direito; privado; cnpj; setembro; titulo; disposicoes; preliminares; partido","True","1090","272"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","445","445","TÍTULO I - DISPOSIÇÕES PRELIMINARES","paragrafo","Art. 1º, Parágrafo único","Art. 1º","Art. 1º","Parágrafo único","","","","Parágrafo único. O partido político não se equipara às entidades paraestatais.","Parágrafo único acrescido pelo art. 2º da Lei n. 13.488/2017.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Parágrafo único acrescido pelo art. 2º da Lei n. 13.488/2017."", ""pagina_inicial"": 445, ""pagina_final"": 445}]","1","Lei n. 13.488/2017","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Art. 1º, Parágrafo único
Tipo: paragrafo
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Dispositivo pai: Art. 1º
Páginas: 445-445
Parágrafo único. O partido político não se equipara às entidades paraestatais.
Notas vinculadas:
Parágrafo único acrescido pelo art. 2º da Lei n. 13.488/2017.","Parágrafo único. O partido político não se equipara às entidades paraestatais.","paragrafo; unico; setembro; titulo; disposicoes; preliminares; partido; politico; equipara; entidades","True","541","135"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","445","445","TÍTULO I - DISPOSIÇÕES PRELIMINARES","artigo","Art. 2º","","Art. 2º","","","","","Art. 2º É livre a criação, fusão, incorporação e extinção de partidos políticos cujos programas respeitem a soberania nacional, o regime democrático, o pluripartidarismo e os direitos fundamentais da pessoa humana.","CF/1988, art. 17.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""CF/1988, art. 17."", ""pagina_inicial"": 445, ""pagina_final"": 445}]","1","CF/1988, art. 17","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Art. 2º
Tipo: artigo
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Páginas: 445-445
Art. 2º É livre a criação, fusão, incorporação e extinção de partidos políticos cujos programas respeitem a soberania nacional, o regime democrático, o pluripartidarismo e os direitos fundamentais da pessoa humana.
Notas vinculadas:
CF/1988, art. 17.","Art. 2º É livre a criação, fusão, incorporação e extinção de partidos políticos cujos programas respeitem a soberania nacional, o regime democrático, o pluripartidarismo e os direitos fundamentais da pessoa humana.","setembro; titulo; disposicoes; preliminares; livre; criacao; fusao; incorporacao; extincao; partidos","True","588","147"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","445","445","TÍTULO I - DISPOSIÇÕES PRELIMINARES","artigo","Art. 3º","","Art. 3º","","","","","Art. 3º É assegurada, ao partido político, autonomia para definir sua estrutura interna, organização e funcionamento.","Ac.-TSE, de 20/2/2018, no RPP n. 141796: caráter não absoluto da autonomia dos partidos para estabelecer a duração dos seus órgãos provisórios (art. 17, § 1º, da CF/1988), devendo resguardar o regime democrático previsto no caputdaquele artigo.
Ac.-TSE, de 10/4/2023, no AgR-Rcl n. 060066674; de 4/10/2016, no REspe n. 11228 e, de 29/9/2016, no MS n. 060145316: competência da JE para apreciar as controvérsias internas de partido político, sempre que delas advierem reflexos no processo eleitoral.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Ac.-TSE, de 20/2/2018, no RPP n. 141796: caráter não absoluto da autonomia dos partidos para estabelecer a duração dos seus órgãos provisórios (art. 17, § 1º, da CF/1988), devendo resguardar o regime democrático previsto no caputdaquele artigo."", ""pagina_inicial"": 445, ""pagina_final"": 445}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""Ac.-TSE, de 10/4/2023, no AgR-Rcl n. 060066674; de 4/10/2016, no REspe n. 11228 e, de 29/9/2016, no MS n. 060145316: competência da JE para apreciar as controvérsias internas de partido político, sempre que delas advierem reflexos no processo eleitoral."", ""pagina_inicial"": 445, ""pagina_final"": 445}]","2","CF/1988","Ac.-TSE, de 20/2/2018, no RPP n; Ac.-TSE, de 10/4/2023, no AgR-Rcl n; REspe n. 11228; MS n. 060145316","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Art. 3º
Tipo: artigo
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Páginas: 445-445
Art. 3º É assegurada, ao partido político, autonomia para definir sua estrutura interna, organização e funcionamento.
Notas vinculadas:
Ac.-TSE, de 20/2/2018, no RPP n. 141796: caráter não absoluto da autonomia dos partidos para estabelecer a duração dos seus órgãos provisórios (art. 17, § 1º, da CF/1988), devendo resguardar o regime democrático previsto no caputdaquele artigo.
Ac.-TSE, de 10/4/2023, no AgR-Rcl n. 060066674; de 4/10/2016, no REspe n. 11228 e, de 29/9/2016, no MS n. 060145316: competência da JE para apreciar as controvérsias internas de partido político, sempre que delas advierem reflexos no processo eleitoral.","Art. 3º É assegurada, ao partido político, autonomia para definir sua estrutura interna, organização e funcionamento.","partido; politico; autonomia; setembro; titulo; disposicoes; preliminares; assegurada; definir; estrutura","True","972","243"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","445","446","TÍTULO I - DISPOSIÇÕES PRELIMINARES","paragrafo","Art. 3º, §1º","Art. 3º","Art. 3º","§1º","","","","§ 1º É assegurada aos candidatos, partidos políticos e coligações autonomia para definir o cronograma das atividades eleitorais de campanha e executá-lo em qualquer dia e horário, observados os limites estabelecidos em lei.","Parágrafo único numerado como § 1º pelo art. 1º da Lei n. 13.831/2019.
V. CF/1988, art. 17, § 1º: assegura a autonomia aos partidos políticos.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Parágrafo único numerado como § 1º pelo art. 1º da Lei n. 13.831/2019."", ""pagina_inicial"": 445, ""pagina_final"": 445}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""V. CF/1988, art. 17, § 1º: assegura a autonomia aos partidos políticos."", ""pagina_inicial"": 446, ""pagina_final"": 446}]","2","CF/1988, art. 17, § 1º: assegura a autonomia aos partidos políticos; Lei n. 13.831/2019","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Art. 3º, §1º
Tipo: paragrafo
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Dispositivo pai: Art. 3º
Páginas: 445-446
§ 1º É assegurada aos candidatos, partidos políticos e coligações autonomia para definir o cronograma das atividades eleitorais de campanha e executá-lo em qualquer dia e horário, observados os limites estabelecidos em lei.
Notas vinculadas:
Parágrafo único numerado como § 1º pelo art. 1º da Lei n. 13.831/2019.
V. CF/1988, art. 17, § 1º: assegura a autonomia aos partidos políticos.","§ 1º É assegurada aos candidatos, partidos políticos e coligações autonomia para definir o cronograma das atividades eleitorais de campanha e executá-lo em qualquer dia e horário, observados os limites estabelecidos em lei.","partidos; politicos; autonomia; setembro; titulo; disposicoes; preliminares; assegurada; candidatos; coligacoes","True","755","188"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","446","446","TÍTULO I - DISPOSIÇÕES PRELIMINARES","paragrafo","Art. 3º, §2º","Art. 3º","Art. 3º","§2º","","","","§ 2º É assegurada aos partidos políticos autonomia para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios.","Ac.-STF, de 8/8/2022, na ADI n. 6230: interpretação conforme a CF/1988 dada a este parágrafo para assentar que os partidos políticos têm autonomia para estabelecer a duração dos mandatos de seus dirigentes, mas devem assegurar a alternância de poder por meio de eleições periódicas.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Ac.-STF, de 8/8/2022, na ADI n. 6230: interpretação conforme a CF/1988 dada a este parágrafo para assentar que os partidos políticos têm autonomia para estabelecer a duração dos mandatos de seus dirigentes, mas devem assegurar a alternância de poder por meio de eleições periódicas."", ""pagina_inicial"": 446, ""pagina_final"": 446}]","1","CF/1988","Ac.-STF, de 8/8/2022, na ADI n; ADI n. 6230","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Art. 3º, §2º
Tipo: paragrafo
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Dispositivo pai: Art. 3º
Páginas: 446-446
§ 2º É assegurada aos partidos políticos autonomia para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios.
Notas vinculadas:
Ac.-STF, de 8/8/2022, na ADI n. 6230: interpretação conforme a CF/1988 dada a este parágrafo para assentar que os partidos políticos têm autonomia para estabelecer a duração dos mandatos de seus dirigentes, mas devem assegurar a alternância de poder por meio de eleições periódicas.","§ 2º É assegurada aos partidos políticos autonomia para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios.","partidos; politicos; autonomia; duracao; mandatos; seus; setembro; titulo; disposicoes; preliminares","True","835","208"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","446","446","TÍTULO I - DISPOSIÇÕES PRELIMINARES","paragrafo","Art. 3º, §3º","Art. 3º","Art. 3º","§3º","","","","§ 3º O prazo de vigência dos órgãos provisórios dos partidos políticos poderá ser de até 8 (oito) anos.","Ac.-STF, de 8/8/2022, na ADI n. 6230: declara a inconstitucionalidade deste parágrafo, com efeitos a partir de janeiro de 2023.
Ac.-STF, de 28/5/2025, na ADI n. 5875: interpretação conforme a CF/1988 à expressão duração de seus órgãos [...] provisórios constante do § 1º do art. 17 da CF para: (i) definir que os órgãos partidários provisórios possuem prazo máximo de vigência de até 4 (quatro) anos, vedado qualquer tipo de prorrogação ou substituição subsequente por outro órgão provisório, ainda que com composição diversa; (ii) estabelecer que as comissões provisórias devem ser substituídas por órgãos permanentes, com eleições periódicas, dentro do prazo máximo de vigência, sob pena de, não o fazendo, ficar suspenso o direito de recebimento pelo partido político dos Fundos Partidário e Eleitoral, quando for o caso, até a regularização, sem a possibilidade de pleitear valores retroativos.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Ac.-STF, de 8/8/2022, na ADI n. 6230: declara a inconstitucionalidade deste parágrafo, com efeitos a partir de janeiro de 2023."", ""pagina_inicial"": 446, ""pagina_final"": 446}, {""ordem"": 2, ""marcador"": ""ticado"", ""texto"": ""Ac.-STF, de 28/5/2025, na ADI n. 5875: interpretação conforme a CF/1988 à expressão duração de seus órgãos [...] provisórios constante do § 1º do art. 17 da CF para: (i) definir que os órgãos partidários provisórios possuem prazo máximo de vigência de até 4 (quatro) anos, vedado qualquer tipo de prorrogação ou substituição subsequente por outro órgão provisório, ainda que com composição diversa; (ii) estabelecer que as comissões provisórias devem ser substituídas por órgãos permanentes, com eleições periódicas, dentro do prazo máximo de vigência, sob pena de, não o fazendo, ficar suspenso o direito de recebimento pelo partido político dos Fundos Partidário e Eleitoral, quando for o caso, até a regularização, sem a possibilidade de pleitear valores retroativos."", ""pagina_inicial"": 446, ""pagina_final"": 446}]","2","CF/1988","Ac.-STF, de 8/8/2022, na ADI n; Ac.-STF, de 28/5/2025, na ADI n; ADI n. 6230; ADI n. 5875","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Art. 3º, §3º
Tipo: paragrafo
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Dispositivo pai: Art. 3º
Páginas: 446-446
§ 3º O prazo de vigência dos órgãos provisórios dos partidos políticos poderá ser de até 8 (oito) anos.
Notas vinculadas:
Ac.-STF, de 8/8/2022, na ADI n. 6230: declara a inconstitucionalidade deste parágrafo, com efeitos a partir de janeiro de 2023.
Ac.-STF, de 28/5/2025, na ADI n. 5875: interpretação conforme a CF/1988 à expressão duração de seus órgãos [...] provisórios constante do § 1º do art. 17 da CF para: (i) definir que os órgãos partidários provisórios possuem prazo máximo de vigência de até 4 (quatro) anos, vedado qualquer tipo de prorrogação ou substituição subsequente por outro órgão provisório, ainda que com composição diversa; (ii) estabelecer que as comissões provisórias devem ser substituídas por órgãos permanentes, com eleições periódicas, dentro do prazo máximo de vigência, sob pena de, não o fazendo, ficar suspenso o direito de recebimento pelo partido político dos Fundos Partidário e Eleitoral, quando for o caso, até a regularização, sem a possibilidade de pleitear valores retroativos.","§ 3º O prazo de vigência dos órgãos provisórios dos partidos políticos poderá ser de até 8 (oito) anos.","orgaos; prazo; vigencia; provisorios; anos; maximo; setembro; titulo; disposicoes; preliminares","True","1391","347"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","lei_9096_1995","Lei n. 9.096, de 19 de setembro de 1995","Lei dos Partidos Políticos","Lei dos Partidos Políticos","Lei dos Partidos Políticos","446","446","TÍTULO I - DISPOSIÇÕES PRELIMINARES","paragrafo","Art. 3º, §4º","Art. 3º","Art. 3º","§4º","","","","§ 4º Exaurido o prazo de vigência de um órgão partidário, ficam vedados a extinção automática do órgão e o cancelamento de sua inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ).","Parágrafos 2º a 4º acrescidos pelo art. 1º da Lei n. 13.831/2019.
Lei n. 13.831/2019: Art. 3º As disposições desta lei terão eficácia imediata nos processos de prestação de contas e de criação dos órgãos partidários em andamento, a partir de sua publicação, ainda que julgados, mas não transitados em julgado.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Parágrafos 2º a 4º acrescidos pelo art. 1º da Lei n. 13.831/2019."", ""pagina_inicial"": 446, ""pagina_final"": 446}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""Lei n. 13.831/2019: Art. 3º As disposições desta lei terão eficácia imediata nos processos de prestação de contas e de criação dos órgãos partidários em andamento, a partir de sua publicação, ainda que julgados, mas não transitados em julgado."", ""pagina_inicial"": 446, ""pagina_final"": 446}]","2","Lei n. 13.831/2019","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 9.096, de 19 de setembro de 1995
Nome popular: Lei dos Partidos Políticos
Macrogrupo: Lei dos Partidos Políticos
Grupo do sumário: Lei dos Partidos Políticos
Dispositivo: Art. 3º, §4º
Tipo: paragrafo
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES
Dispositivo pai: Art. 3º
Páginas: 446-446
§ 4º Exaurido o prazo de vigência de um órgão partidário, ficam vedados a extinção automática do órgão e o cancelamento de sua inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ).
Notas vinculadas:
Parágrafos 2º a 4º acrescidos pelo art. 1º da Lei n. 13.831/2019.
Lei n. 13.831/2019: Art. 3º As disposições desta lei terão eficácia imediata nos processos de prestação de contas e de criação dos órgãos partidários em andamento, a partir de sua publicação, ainda que julgados, mas não transitados em julgado.","§ 4º Exaurido o prazo de vigência de um órgão partidário, ficam vedados a extinção automática do órgão e o cancelamento de sua inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ).","disposicoes; orgao; setembro; titulo; preliminares; exaurido; prazo; vigencia; partidario; ficam","True","883","220"
