id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,,norma,"Lei n. 9.504, de 30 de setembro de 1997",,,,,,,"Estabelece normas para as eleições. O VICE-PRESIDENTE DA REPÚBLICA, no exercício do cargo de presidente da República, Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Lei n. 9.504, de 30 de setembro de 1997 Tipo: norma Páginas: 489-489 Resumo: Norma Lei das Eleições: Estabelece normas para as eleições. Estabelece normas para as eleições. O VICE-PRESIDENTE DA REPÚBLICA, no exercício do cargo de presidente da República, Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:",Norma Lei das Eleições: Estabelece normas para as eleições.,setembro; presidente; republica; estabelece; normas; eleicoes; vice; exercicio; cargo; faco,True,538,134,009_lei_9504_1997_lei_das_eleicoes:1,009_lei_9504_1997_lei_das_eleicoes.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,estrutura,DISPOSIÇÕES GERAIS,"Lei n. 9.504, de 30 de setembro de 1997",,,,,,DISPOSIÇÕES GERAIS,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: DISPOSIÇÕES GERAIS Tipo: estrutura Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: Lei n. 9.504, de 30 de setembro de 1997 ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:1 Páginas: 489-489 Resumo: DISPOSIÇÕES GERAIS, subordinado a Lei n. 9.504, de 30 de setembro de 1997 DISPOSIÇÕES GERAIS","DISPOSIÇÕES GERAIS, subordinado a Lei n. 9.504, de 30 de setembro de 1997",disposicoes; gerais; setembro,True,510,128,009_lei_9504_1997_lei_das_eleicoes:2,009_lei_9504_1997_lei_das_eleicoes.csv,1,009_lei_9504_1997_lei_das_eleicoes:1
3,3,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,artigo,Art. 1º,DISPOSIÇÕES GERAIS,Art. 1º,,,,,"Art. 1º As eleições para presidente e vice-presidente da República, governador e vice-governador de estado e do Distrito Federal, prefeito e vice-prefeito, senador, deputado federal, deputado estadual, deputado distrital e vereador dar-se-ão, em todo o país, no primeiro domingo de outubro do ano respectivo.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Art. 1º Tipo: artigo Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: DISPOSIÇÕES GERAIS ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:2 Páginas: 489-489 Resumo: Art. 1º, subordinado a DISPOSIÇÕES GERAIS: As eleições para presidente e vice-presidente da República, governador e vice-governador de estado e do Distrito Federal, prefeito e vice-prefeito, senador, deputado federal, deputado estadual, deputado distrital e vereador dar-se-ão, em todo o país, no primeiro domingo de outubro do ano respectivo. Art. 1º As eleições para presidente e vice-presidente da República, governador e vice-governador de estado e do Distrito Federal, prefeito e vice-prefeito, senador, deputado federal, deputado estadual, deputado distrital e vereador dar-se-ão, em todo o país, no primeiro domingo de outubro do ano respectivo.","Art. 1º, subordinado a DISPOSIÇÕES GERAIS: As eleições para presidente e vice-presidente da República, governador e vice-governador de estado e do Distrito Federal, prefeito e vice-prefeito, senador, deputado federal, deputado estadual, deputado distrital e vereador dar-se-ão, em todo o país, no primeiro domingo de outubro do ano respectivo.",vice; deputado; presidente; governador; federal; prefeito; setembro; disposicoes; gerais; eleicoes,True,1035,259,009_lei_9504_1997_lei_das_eleicoes:3,009_lei_9504_1997_lei_das_eleicoes.csv,2,009_lei_9504_1997_lei_das_eleicoes:2
4,4,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,paragrafo,"Art. 1º, Parágrafo único",Art. 1º,Art. 1º,Parágrafo único,,,,Parágrafo único. Serão realizadas simultaneamente as eleições:,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Art. 1º, Parágrafo único Tipo: paragrafo Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: Art. 1º ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:3 Páginas: 489-489 Resumo: Art. 1º, Parágrafo único, subordinado a Art. 1º: Serão realizadas simultaneamente as eleições: Parágrafo único. Serão realizadas simultaneamente as eleições:","Art. 1º, Parágrafo único, subordinado a Art. 1º: Serão realizadas simultaneamente as eleições:",paragrafo; unico; setembro; disposicoes; gerais; serao; realizadas; simultaneamente; eleicoes,True,549,137,009_lei_9504_1997_lei_das_eleicoes:4,009_lei_9504_1997_lei_das_eleicoes.csv,3,009_lei_9504_1997_lei_das_eleicoes:3
5,5,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,inciso,"Art. 1º, Parágrafo único, I","Art. 1º, Parágrafo único",Art. 1º,Parágrafo único,I,,,"I - para presidente e vice-presidente da República, governador e vice-governador de estado e do Distrito Federal, senador, deputado federal, deputado estadual e deputado distrital;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Art. 1º, Parágrafo único, I Tipo: inciso Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: Art. 1º, Parágrafo único ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:4 Páginas: 489-489 Resumo: Art. 1º, Parágrafo único, I, subordinado a Art. 1º, Parágrafo único: para presidente e vice-presidente da República, governador e vice-governador de estado e do Distrito Federal, senador, deputado federal, deputado estadual e deputado distrital; I - para presidente e vice-presidente da República, governador e vice-governador de estado e do Distrito Federal, senador, deputado federal, deputado estadual e deputado distrital;","Art. 1º, Parágrafo único, I, subordinado a Art. 1º, Parágrafo único: para presidente e vice-presidente da República, governador e vice-governador de estado e do Distrito Federal, senador, deputado federal, deputado estadual e deputado distrital;",deputado; presidente; vice; governador; federal; setembro; disposicoes; gerais; paragrafo; unico,True,835,209,009_lei_9504_1997_lei_das_eleicoes:5,009_lei_9504_1997_lei_das_eleicoes.csv,4,009_lei_9504_1997_lei_das_eleicoes:4
6,6,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,inciso,"Art. 1º, Parágrafo único, II","Art. 1º, Parágrafo único",Art. 1º,Parágrafo único,II,,,"II - para prefeito, vice-prefeito e vereador.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Art. 1º, Parágrafo único, II Tipo: inciso Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: Art. 1º, Parágrafo único ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:4 Páginas: 489-489 Resumo: Art. 1º, Parágrafo único, II, subordinado a Art. 1º, Parágrafo único: para prefeito, vice-prefeito e vereador. II - para prefeito, vice-prefeito e vereador.","Art. 1º, Parágrafo único, II, subordinado a Art. 1º, Parágrafo único: para prefeito, vice-prefeito e vereador.",prefeito; setembro; disposicoes; gerais; paragrafo; unico; vice; vereador,True,566,142,009_lei_9504_1997_lei_das_eleicoes:6,009_lei_9504_1997_lei_das_eleicoes.csv,4,009_lei_9504_1997_lei_das_eleicoes:4
7,7,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,artigo,Art. 2º,DISPOSIÇÕES GERAIS,Art. 2º,,,,,"Art. 2º Será considerado eleito o candidato a presidente ou a governador que obtiver a maioria absoluta de votos, não computados os em branco e os nulos.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Art. 2º Tipo: artigo Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: DISPOSIÇÕES GERAIS ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:2 Páginas: 489-489 Resumo: Art. 2º, subordinado a DISPOSIÇÕES GERAIS: Será considerado eleito o candidato a presidente ou a governador que obtiver a maioria absoluta de votos, não computados os em branco e os nulos. Art. 2º Será considerado eleito o candidato a presidente ou a governador que obtiver a maioria absoluta de votos, não computados os em branco e os nulos.","Art. 2º, subordinado a DISPOSIÇÕES GERAIS: Será considerado eleito o candidato a presidente ou a governador que obtiver a maioria absoluta de votos, não computados os em branco e os nulos.",setembro; disposicoes; gerais; sera; considerado; eleito; candidato; presidente; governador; obtiver,True,725,181,009_lei_9504_1997_lei_das_eleicoes:7,009_lei_9504_1997_lei_das_eleicoes.csv,2,009_lei_9504_1997_lei_das_eleicoes:2
8,8,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,paragrafo,"Art. 2º, §1º",Art. 2º,Art. 2º,§1º,,,,"§ 1º Se nenhum candidato alcançar maioria absoluta na primeira votação, far-se-á nova eleição no último domingo de outubro, concorrendo os dois candidatos mais votados, e considerando-se eleito o que obtiver a maioria dos votos válidos.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Art. 2º, §1º Tipo: paragrafo Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: Art. 2º ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:7 Páginas: 489-489 Resumo: Art. 2º, §1º, subordinado a Art. 2º: § 1º Se nenhum candidato alcançar maioria absoluta na primeira votação, far-se-á nova eleição no último domingo de outubro, concorrendo os dois candidatos mais votados, e considerando-se eleito o que obtiver a maioria dos votos válidos. § 1º Se nenhum candidato alcançar maioria absoluta na primeira votação, far-se-á nova eleição no último domingo de outubro, concorrendo os dois candidatos mais votados, e considerando-se eleito o que obtiver a maioria dos votos válidos.","Art. 2º, §1º, subordinado a Art. 2º: § 1º Se nenhum candidato alcançar maioria absoluta na primeira votação, far-se-á nova eleição no último domingo de outubro, concorrendo os dois candidatos mais votados, e considerando-se eleito o que obtiver a maioria dos votos válidos.",maioria; setembro; disposicoes; gerais; nenhum; candidato; alcancar; absoluta; primeira; votacao,True,890,222,009_lei_9504_1997_lei_das_eleicoes:8,009_lei_9504_1997_lei_das_eleicoes.csv,7,009_lei_9504_1997_lei_das_eleicoes:7
9,9,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,paragrafo,"Art. 2º, §2º",Art. 2º,Art. 2º,§2º,,,,"§ 2º Se, antes de realizado o segundo turno, ocorrer morte, desistência ou impedimento legal de candidato, convocar-se-á, dentre os remanescentes, o de maior votação.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Art. 2º, §2º Tipo: paragrafo Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: Art. 2º ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:7 Páginas: 489-489 Resumo: Art. 2º, §2º, subordinado a Art. 2º: § 2º Se, antes de realizado o segundo turno, ocorrer morte, desistência ou impedimento legal de candidato, convocar-se-á, dentre os remanescentes, o de maior votação. § 2º Se, antes de realizado o segundo turno, ocorrer morte, desistência ou impedimento legal de candidato, convocar-se-á, dentre os remanescentes, o de maior votação.","Art. 2º, §2º, subordinado a Art. 2º: § 2º Se, antes de realizado o segundo turno, ocorrer morte, desistência ou impedimento legal de candidato, convocar-se-á, dentre os remanescentes, o de maior votação.",setembro; disposicoes; gerais; antes; realizado; segundo; turno; ocorrer; morte; desistencia,True,750,188,009_lei_9504_1997_lei_das_eleicoes:9,009_lei_9504_1997_lei_das_eleicoes.csv,7,009_lei_9504_1997_lei_das_eleicoes:7
10,10,Codigo_Eleitoral_2026_anotado.pdf,lei_9504_1997,"Lei n. 9.504, de 30 de setembro de 1997",Lei das Eleições,Lei das Eleições,Lei das Eleições,489,489,DISPOSIÇÕES GERAIS,paragrafo,"Art. 2º, §3º",Art. 2º,Art. 2º,§3º,,,,"§ 3º Se, na hipótese dos parágrafos anteriores, remanescer em segundo lugar mais de um candidato com a mesma votação, qualificar-se-á o mais idoso.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 9.504, de 30 de setembro de 1997 Nome popular/citação curta: Lei das Eleições Macrogrupo: Lei das Eleições Grupo do sumário: Lei das Eleições Dispositivo: Art. 2º, §3º Tipo: paragrafo Hierarquia: DISPOSIÇÕES GERAIS Dispositivo pai: Art. 2º ID do dispositivo pai: 009_lei_9504_1997_lei_das_eleicoes:7 Páginas: 489-489 Resumo: Art. 2º, §3º, subordinado a Art. 2º: § 3º Se, na hipótese dos parágrafos anteriores, remanescer em segundo lugar mais de um candidato com a mesma votação, qualificar-se-á o mais idoso. § 3º Se, na hipótese dos parágrafos anteriores, remanescer em segundo lugar mais de um candidato com a mesma votação, qualificar-se-á o mais idoso.","Art. 2º, §3º, subordinado a Art. 2º: § 3º Se, na hipótese dos parágrafos anteriores, remanescer em segundo lugar mais de um candidato com a mesma votação, qualificar-se-á o mais idoso.",mais; setembro; disposicoes; gerais; hipotese; paragrafos; anteriores; remanescer; segundo; lugar,True,712,178,009_lei_9504_1997_lei_das_eleicoes:10,009_lei_9504_1997_lei_das_eleicoes.csv,7,009_lei_9504_1997_lei_das_eleicoes:7
