"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","norma","Lei n. 13.877, de 27 de setembro de 2019","","","","","","","Altera as Leis n. 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei n. 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei n. 13.488, de 6 de outubro de 2017 e dá outras providências. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:","","[]","0","Lei n. 5.452; Lei n. 13.488; Decreto-Lei n. 5.452","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Lei n. 13.877, de 27 de setembro de 2019
Tipo: norma
Páginas: 615-615
Altera as Leis n. 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei n. 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei n. 13.488, de 6 de outubro de 2017 e dá outras providências. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:","Altera as Leis n. 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei n. 5.452...","setembro; leis; maio; altera; julho; codigo; eleitoral; consolidacao; trabalho; aprovada","True","795","198"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º A Lei n. 9.096, de 19 de setembro de 1995, passa a vigorar com as seguintes alterações:","Alterações incorporadas ao texto da Lei n. 9.096/1995.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto da Lei n. 9.096/1995."", ""pagina_inicial"": 615, ""pagina_final"": 615}]","1","Lei n. 9.096; Lei n. 9.096/1995","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 1º
Tipo: artigo
Páginas: 615-615
Art. 1º A Lei n. 9.096, de 19 de setembro de 1995, passa a vigorar com as seguintes alterações:
Notas vinculadas:
Alterações incorporadas ao texto da Lei n. 9.096/1995.","Art. 1º A Lei n. 9.096, de 19 de setembro de 1995, passa a vigorar com as seguintes alterações:","setembro; alteracoes; passa; vigorar; seguintes; incorporadas; texto","True","435","108"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","artigo","Art. 2º","","Art. 2º","","","","","Art. 2º A Lei n. 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações:","Alterações incorporadas ao texto da Lei n. 9.504/1997.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto da Lei n. 9.504/1997."", ""pagina_inicial"": 615, ""pagina_final"": 615}]","1","Lei n. 9.504; Lei n. 9.504/1997","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 2º
Tipo: artigo
Páginas: 615-615
Art. 2º A Lei n. 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações:
Notas vinculadas:
Alterações incorporadas ao texto da Lei n. 9.504/1997.","Art. 2º A Lei n. 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações:","setembro; alteracoes; passa; vigorar; seguintes; incorporadas; texto","True","435","108"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","artigo","Art. 3º","","Art. 3º","","","","","Art. 3º O caput do art. 7º da Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei n. 5.452, de 1º de maio de 1943, passa a vigorar com a seguinte alteração: “Art. 7º .............................................................................. .............................................................................................","","[]","0","Lei n. 5.452; Decreto-Lei n. 5.452","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 3º
Tipo: artigo
Páginas: 615-615
Art. 3º O caput do art. 7º da Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei n. 5.452, de 1º de maio de 1943, passa a vigorar com a seguinte alteração: “Art. 7º .............................................................................. .............................................................................................","Art. 3º O caput do art. 7º da Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei n. 5.452, de 1º de maio de 1943, passa a vigorar com a seguinte alteração: “Art. 7º...","setembro; caput; consolidacao; leis; trabalho; aprovada; decreto; maio; passa; vigorar","True","614","153"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","alinea","Art. 3º, f)","Art. 3º","Art. 3º","","","f)","","f) às atividades de direção e assessoramento nos órgãos, institutos e fundações dos partidos, assim definidas em normas internas de organização partidária.”","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 3º, f)
Tipo: alinea
Dispositivo pai: Art. 3º
Páginas: 615-615
f) às atividades de direção e assessoramento nos órgãos, institutos e fundações dos partidos, assim definidas em normas internas de organização partidária.”","f) às atividades de direção e assessoramento nos órgãos, institutos e fundações dos partidos, assim definidas em normas internas de organização partidária.”","setembro; atividades; direcao; assessoramento; orgaos; institutos; fundacoes; partidos; assim; definidas","True","452","113"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","artigo","Art. 4º","","Art. 4º","","","","","Art. 4º O art. 262 da Lei n. 4.737, de 15 de julho de 1965 (Código Eleitoral), passa a vigorar acrescido dos seguintes §§ 1º, 2º e 3º:","Alteração incorporada ao texto da Lei n. 4.737/1965.
Art. 4º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alteração incorporada ao texto da Lei n. 4.737/1965."", ""pagina_inicial"": 615, ""pagina_final"": 615}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""Art. 4º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019."", ""pagina_inicial"": 615, ""pagina_final"": 615}]","2","Lei n. 4.737; Lei n. 4.737/1965","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 4º
Tipo: artigo
Páginas: 615-615
Art. 4º O art. 262 da Lei n. 4.737, de 15 de julho de 1965 (Código Eleitoral), passa a vigorar acrescido dos seguintes §§ 1º, 2º e 3º:
Notas vinculadas:
Alteração incorporada ao texto da Lei n. 4.737/1965.
Art. 4º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019.","Art. 4º O art. 262 da Lei n. 4.737, de 15 de julho de 1965 (Código Eleitoral), passa a vigorar acrescido dos seguintes §§ 1º, 2º e 3º:","setembro; julho; codigo; eleitoral; passa; vigorar; acrescido; seguintes; alteracao; incorporada","True","591","147"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","artigo","Art. 5º","","Art. 5º","","","","","Art. 5º O art. 3º da Lei n. 13.831, de 17 de maio de 2019, passa a vigorar acrescido do seguinte","","[]","0","Lei n. 13.831","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 5º
Tipo: artigo
Páginas: 615-615
Art. 5º O art. 3º da Lei n. 13.831, de 17 de maio de 2019, passa a vigorar acrescido do seguinte","Art. 5º O art. 3º da Lei n. 13.831, de 17 de maio de 2019, passa a vigorar acrescido do seguinte","setembro; maio; passa; vigorar; acrescido; seguinte","True","363","90"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","paragrafo","Art. 5º, Parágrafo único","Art. 5º","Art. 5º","Parágrafo único","","","","parágrafo único:","Alteração incorporada ao texto da Lei n. 13.831/2019.
Art. 5º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alteração incorporada ao texto da Lei n. 13.831/2019."", ""pagina_inicial"": 615, ""pagina_final"": 615}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""Art. 5º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019."", ""pagina_inicial"": 615, ""pagina_final"": 615}]","2","Lei n. 13.831/2019","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 5º, Parágrafo único
Tipo: paragrafo
Dispositivo pai: Art. 5º
Páginas: 615-615
parágrafo único:
Notas vinculadas:
Alteração incorporada ao texto da Lei n. 13.831/2019.
Art. 5º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019.","parágrafo único:","paragrafo; unico; setembro; alteracao; incorporada; texto; vetado; presidencia; republica; veto","True","519","129"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","artigo","Art. 6º","","Art. 6º","","","","","Art. 6º As alterações promovidas nesta lei aplicam-se a todos os processos de prestação de contas dos partidos que não tenham transitado em julgado em todas as instâncias.","Art. 6º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Art. 6º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019."", ""pagina_inicial"": 615, ""pagina_final"": 615}]","1","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 6º
Tipo: artigo
Páginas: 615-615
Art. 6º As alterações promovidas nesta lei aplicam-se a todos os processos de prestação de contas dos partidos que não tenham transitado em julgado em todas as instâncias.
Notas vinculadas:
Art. 6º vetado pela Presidência da República; veto rejeitado pelo Congresso Nacional e publicado no DOU de 13/12/2019.","Art. 6º As alterações promovidas nesta lei aplicam-se a todos os processos de prestação de contas dos partidos que não tenham transitado em julgado em todas as instâncias.","setembro; alteracoes; promovidas; nesta; aplicam; todos; processos; prestacao; contas; partidos","True","575","143"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","artigo","Art. 7º","","Art. 7º","","","","","Art. 7º Fica revogado o art. 4º da Lei n. 13.488, de 6 de outubro de 2017.","","[]","0","Lei n. 13.488","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 7º
Tipo: artigo
Páginas: 615-615
Art. 7º Fica revogado o art. 4º da Lei n. 13.488, de 6 de outubro de 2017.","Art. 7º Fica revogado o art. 4º da Lei n. 13.488, de 6 de outubro de 2017.","setembro; fica; revogado; outubro","True","341","85"
"11","11","Codigo_Eleitoral_2026_anotado.pdf","lei_13877_2019","Lei n. 13.877, de 27 de setembro de 2019","Lei n. 13.877/2019","Lei n. 13.877/2019","Lei n. 13.877/2019","615","615","","artigo","Art. 8º","","Art. 8º","","","","","Art. 8º Esta lei entra em vigor na data de sua publicação.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 13.877, de 27 de setembro de 2019
Nome popular: Lei n. 13.877/2019
Macrogrupo: Lei n. 13.877/2019
Grupo do sumário: Lei n. 13.877/2019
Dispositivo: Art. 8º
Tipo: artigo
Páginas: 615-615
Art. 8º Esta lei entra em vigor na data de sua publicação.","Art. 8º Esta lei entra em vigor na data de sua publicação.","setembro; esta; entra; vigor; data; publicacao","True","325","81"
