"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","","norma","Lei Complementar n. 75, de 20 de maio de 1993","","","","","","","Dispõe sobre a organização, as atribuições e o estatuto do Ministério Público da União. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei complementar: O Congresso Nacional decreta: [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Lei Complementar n. 75, de 20 de maio de 1993
Tipo: norma
Páginas: 623-623
Dispõe sobre a organização, as atribuições e o estatuto do Ministério Público da União. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei complementar: O Congresso Nacional decreta: [...]","Dispõe sobre a organização, as atribuições e o estatuto do Ministério Público da União. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei complementar: O Congresso Nacional decreta: [...]","complementar; maio; congresso; nacional; decreta; dispoe; sobre; organizacao; atribuicoes; estatuto","True","516","129"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS","estrutura","CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS","","","","","","","CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS
Tipo: estrutura
Hierarquia: CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS
Páginas: 623-623
CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS [...]","CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS [...]","capitulo; garantias; prerrogativas; complementar; maio","True","396","99"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS","artigo","Art. 18","","Art. 18","","","","","Art. 18. São prerrogativas dos membros do Ministério Público da União: [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 18
Tipo: artigo
Hierarquia: CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS
Páginas: 623-623
Art. 18. São prerrogativas dos membros do Ministério Público da União: [...]","Art. 18. São prerrogativas dos membros do Ministério Público da União: [...]","prerrogativas; complementar; maio; capitulo; garantias; membros; ministerio; publico; uniao","True","378","94"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS","inciso","Art. 18, II","Art. 18","Art. 18","","II","","","II - processuais: [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 18, II
Tipo: inciso
Hierarquia: CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS
Dispositivo pai: Art. 18
Páginas: 623-623
II - processuais: [...]","II - processuais: [...]","complementar; maio; capitulo; garantias; prerrogativas; processuais","True","354","88"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS","alinea","Art. 18, II, c)","Art. 18, II","Art. 18","","II","c)","","c) do membro do Ministério Público da União que oficie perante juízos de primeira instância, ser processado e julgado, nos crimes comuns e de responsabilidade, pelos Tribunais Regionais Federais, ressalvada a competência da Justiça Eleitoral; [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 18, II, c)
Tipo: alinea
Hierarquia: CAPÍTULO V - DAS GARANTIAS E DAS PRERROGATIVAS
Dispositivo pai: Art. 18, II
Páginas: 623-623
c) do membro do Ministério Público da União que oficie perante juízos de primeira instância, ser processado e julgado, nos crimes comuns e de responsabilidade, pelos Tribunais Regionais Federais, ressalvada a competência da Justiça Eleitoral; [...]","c) do membro do Ministério Público da União que oficie perante juízos de primeira instância, ser processado e julgado, nos crimes comuns e de responsabilidade, pelos Tribunais Regionais Federais, ressalvada a competência da Justiça...","complementar; maio; capitulo; garantias; prerrogativas; membro; ministerio; publico; uniao; oficie","True","587","146"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA","estrutura","TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA","","Art. 18","","II","c)","","TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA
Tipo: estrutura
Hierarquia: TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA
Páginas: 623-623
TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA","TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA","titulo; ramos; ministerio; publico; complementar; maio","True","390","97"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA > UNIÃO","estrutura","UNIÃO","","Art. 18","","II","c)","","UNIÃO","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: UNIÃO
Tipo: estrutura
Hierarquia: TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA > UNIÃO
Páginas: 623-623
UNIÃO","UNIÃO","uniao; complementar; maio; titulo; ramos; ministerio; publico","True","316","79"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA > CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL","estrutura","CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL","","Art. 18","","II","c)","","CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL Seção I Da competência, dos órgãos e da carreira","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL
Tipo: estrutura
Hierarquia: TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA > CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL
Páginas: 623-623
CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL Seção I Da competência, dos órgãos e da carreira","CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL Seção I Da competência, dos órgãos e da carreira","ministerio; publico; capitulo; federal; complementar; maio; titulo; ramos; secao; competencia","True","476","119"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA > CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL","artigo","Art. 37","","Art. 37","","","","","Art. 37. O Ministério Público Federal exercerá as suas funções:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 37
Tipo: artigo
Hierarquia: TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA > CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL
Páginas: 623-623
Art. 37. O Ministério Público Federal exercerá as suas funções:","Art. 37. O Ministério Público Federal exercerá as suas funções:","ministerio; publico; federal; complementar; maio; titulo; ramos; capitulo; exercera; funcoes","True","410","102"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","lei_complementar_75_1993","Lei Complementar n. 75, de 20 de maio de 1993","","Legislação correlata","Legislação correlata","623","623","TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA > CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL","inciso","Art. 37, I","Art. 37","Art. 37","","I","","","I - nas causas de competência do Supremo Tribunal Federal, do Superior Tribunal de Justiça, dos Tribunais Regionais Federais e dos juízes federais, e dos Tribunais e juízes eleitorais; [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei Complementar n. 75, de 20 de maio de 1993
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 37, I
Tipo: inciso
Hierarquia: TÍTULO II - DOS RAMOS DO MINISTÉRIO PÚBLICO DA > CAPÍTULO I - DO MINISTÉRIO PÚBLICO FEDERAL
Dispositivo pai: Art. 37
Páginas: 623-623
I - nas causas de competência do Supremo Tribunal Federal, do Superior Tribunal de Justiça, dos Tribunais Regionais Federais e dos juízes federais, e dos Tribunais e juízes eleitorais; [...]","I - nas causas de competência do Supremo Tribunal Federal, do Superior Tribunal de Justiça, dos Tribunais Regionais Federais e dos juízes federais, e dos Tribunais e juízes eleitorais; [...]","ministerio; publico; federal; tribunal; tribunais; federais; juizes; complementar; maio; titulo","True","565","141"
