"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","","norma","Lei n. 8.112, de 11 de dezembro de 1990","","","","","","","Dispõe sobre o regime jurídico dos servidores públicos civis da União, das autarquias e das fundações públicas federais. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei: [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Lei n. 8.112, de 11 de dezembro de 1990
Tipo: norma
Páginas: 659-659
Dispõe sobre o regime jurídico dos servidores públicos civis da União, das autarquias e das fundações públicas federais. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei: [...]","Dispõe sobre o regime jurídico dos servidores públicos civis da União, das autarquias e das fundações públicas federais. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei: [...]","dezembro; dispoe; sobre; regime; juridico; servidores; publicos; civis; uniao; autarquias","True","494","123"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO,","estrutura","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO,","","","","","","","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO,","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO,
Tipo: estrutura
Hierarquia: TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO,
Páginas: 659-659
TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO,","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO,","titulo; provimento; vacancia; remocao; dezembro","True","381","95"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > REDISTRIBUIÇÃO E SUBSTITUIÇÃO","estrutura","REDISTRIBUIÇÃO E SUBSTITUIÇÃO","","","","","","","REDISTRIBUIÇÃO E SUBSTITUIÇÃO","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: REDISTRIBUIÇÃO E SUBSTITUIÇÃO
Tipo: estrutura
Hierarquia: TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > REDISTRIBUIÇÃO E SUBSTITUIÇÃO
Páginas: 659-659
REDISTRIBUIÇÃO E SUBSTITUIÇÃO","REDISTRIBUIÇÃO E SUBSTITUIÇÃO","redistribuicao; substituicao; dezembro; titulo; provimento; vacancia; remocao","True","381","95"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > CAPÍTULO I - DO PROVIMENTO","estrutura","CAPÍTULO I - DO PROVIMENTO","","","","","","","CAPÍTULO I - DO PROVIMENTO Seção I Disposições gerais","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: CAPÍTULO I - DO PROVIMENTO
Tipo: estrutura
Hierarquia: TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > CAPÍTULO I - DO PROVIMENTO
Páginas: 659-659
CAPÍTULO I - DO PROVIMENTO Seção I Disposições gerais","CAPÍTULO I - DO PROVIMENTO Seção I Disposições gerais","provimento; capitulo; dezembro; titulo; vacancia; remocao; secao; disposicoes; gerais","True","399","99"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > CAPÍTULO I - DO PROVIMENTO","artigo","Art. 5º","","Art. 5º","","","","","Art. 5º São requisitos básicos para investidura em cargo público: [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 5º
Tipo: artigo
Hierarquia: TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > CAPÍTULO I - DO PROVIMENTO
Páginas: 659-659
Art. 5º São requisitos básicos para investidura em cargo público: [...]","Art. 5º São requisitos básicos para investidura em cargo público: [...]","provimento; dezembro; titulo; vacancia; remocao; capitulo; requisitos; basicos; investidura; cargo","True","395","98"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > CAPÍTULO I - DO PROVIMENTO","inciso","Art. 5º, II","Art. 5º","Art. 5º","","II","","","II - o gozo dos direitos políticos;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 5º, II
Tipo: inciso
Hierarquia: TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > CAPÍTULO I - DO PROVIMENTO
Dispositivo pai: Art. 5º
Páginas: 659-659
II - o gozo dos direitos políticos;","II - o gozo dos direitos políticos;","provimento; dezembro; titulo; vacancia; remocao; capitulo; gozo; direitos; politicos","True","388","97"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > CAPÍTULO I - DO PROVIMENTO","inciso","Art. 5º, III","Art. 5º","Art. 5º","","III","","","III - a quitação com as obrigações militares e eleitorais; [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 5º, III
Tipo: inciso
Hierarquia: TÍTULO II - DO PROVIMENTO, VACÂNCIA, REMOÇÃO, > CAPÍTULO I - DO PROVIMENTO
Dispositivo pai: Art. 5º
Páginas: 659-659
III - a quitação com as obrigações militares e eleitorais; [...]","III - a quitação com as obrigações militares e eleitorais; [...]","provimento; dezembro; titulo; vacancia; remocao; capitulo; quitacao; obrigacoes; militares; eleitorais","True","418","104"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO III - DOS DIREITOS E VANTAGENS","estrutura","TÍTULO III - DOS DIREITOS E VANTAGENS","","Art. 5º","","III","","","TÍTULO III - DOS DIREITOS E VANTAGENS [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: TÍTULO III - DOS DIREITOS E VANTAGENS
Tipo: estrutura
Hierarquia: TÍTULO III - DOS DIREITOS E VANTAGENS
Páginas: 659-659
TÍTULO III - DOS DIREITOS E VANTAGENS [...]","TÍTULO III - DOS DIREITOS E VANTAGENS [...]","titulo; direitos; vantagens; dezembro","True","363","90"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO III - DOS DIREITOS E VANTAGENS > CAPÍTULO IV - DAS LICENÇAS","estrutura","CAPÍTULO IV - DAS LICENÇAS","","Art. 5º","","III","","","CAPÍTULO IV - DAS LICENÇAS Seção I Disposições gerais","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: CAPÍTULO IV - DAS LICENÇAS
Tipo: estrutura
Hierarquia: TÍTULO III - DOS DIREITOS E VANTAGENS > CAPÍTULO IV - DAS LICENÇAS
Páginas: 659-659
CAPÍTULO IV - DAS LICENÇAS Seção I Disposições gerais","CAPÍTULO IV - DAS LICENÇAS Seção I Disposições gerais","capitulo; licencas; dezembro; titulo; direitos; vantagens; secao; disposicoes; gerais","True","391","97"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","lei_8112_1990","Lei n. 8.112, de 11 de dezembro de 1990","","Legislação correlata","Legislação correlata","659","659","TÍTULO III - DOS DIREITOS E VANTAGENS > CAPÍTULO IV - DAS LICENÇAS","artigo","Art. 81","","Art. 81","","","","","Art. 81. Conceder-se-á ao servidor licença: [...]","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Lei n. 8.112, de 11 de dezembro de 1990
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 81
Tipo: artigo
Hierarquia: TÍTULO III - DOS DIREITOS E VANTAGENS > CAPÍTULO IV - DAS LICENÇAS
Páginas: 659-659
Art. 81. Conceder-se-á ao servidor licença: [...]","Art. 81. Conceder-se-á ao servidor licença: [...]","dezembro; titulo; direitos; vantagens; capitulo; licencas; conceder; servidor; licenca","True","365","91"
