id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,norma,"Lei n. 13.165, de 29 de setembro de 2015",,,,,,,"Altera as Leis n. 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 – Código Eleitoral, para reduzir os custos das campanhas eleitorais, simplificar a administração dos partidos políticos e incentivar a participação feminina. A PRESIDENTA DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Lei n. 13.165, de 29 de setembro de 2015 Tipo: norma Páginas: 717-717 Resumo: Norma Lei n. 13.165/2015: Altera as Leis n. 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 – Código Eleitoral, para reduzir os custos das campanhas eleitorais, simplificar a administração dos partidos políticos e incentivar a participação feminina. Altera as Leis n. 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 – Código Eleitoral, para reduzir os custos das campanhas eleitorais, simplificar a administração dos partidos políticos e incentivar a participação feminina. A PRESIDENTA DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:","Norma Lei n. 13.165/2015: Altera as Leis n. 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 – Código Eleitoral, para reduzir os custos das campanhas eleitorais, simplificar a administração dos partidos políticos e incentivar a participação feminina.",setembro; altera; leis; julho; codigo; eleitoral; reduzir; custos; campanhas; eleitorais,True,976,244,032_lei_13165_2015:1,032_lei_13165_2015.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 1º,,Art. 1º,,,,,"Art. 1º Esta lei modifica as Leis n. 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 – Código Eleitoral, alterando a legislação infraconstitucional e complementando a reforma das instituições político-eleitorais do país.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º Tipo: artigo Páginas: 717-717 Resumo: Art. 1º: Esta lei modifica as Leis n. 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 – Código Eleitoral, alterando a legislação infraconstitucional e complementando a reforma das instituições político-eleitorais do país. Art. 1º Esta lei modifica as Leis n. 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 – Código Eleitoral, alterando a legislação infraconstitucional e complementando a reforma das instituições político-eleitorais do país.","Art. 1º: Esta lei modifica as Leis n. 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 – Código Eleitoral, alterando a legislação infraconstitucional e complementando a reforma das instituições político-eleitorais do país.",setembro; esta; modifica; leis; julho; codigo; eleitoral; alterando; legislacao; infraconstitucional,True,813,203,032_lei_13165_2015:2,032_lei_13165_2015.csv,,
3,3,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 2º,,Art. 2º,,,,,"Art. 2º A Lei n. 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações:",Alterações incorporadas ao texto da Lei n. 9.504/1997.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto da Lei n. 9.504/1997."", ""pagina_inicial"": 717, ""pagina_final"": 717}]",1,Lei n. 9.504; Lei n. 9.504/1997,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 2º Tipo: artigo Páginas: 717-717 Resumo: Art. 2º: A Lei n. 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações: | 1 nota(s) vinculada(s) Art. 2º A Lei n. 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações: Notas vinculadas: Alterações incorporadas ao texto da Lei n. 9.504/1997.","Art. 2º: A Lei n. 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações: | 1 nota(s) vinculada(s)",setembro; alteracoes; passa; vigorar; seguintes; incorporadas; texto,True,557,139,032_lei_13165_2015:3,032_lei_13165_2015.csv,,
4,4,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 3º,,Art. 3º,,,,,"Art. 3º A Lei n. 9.096, de 19 de setembro de 1995, passa a vigorar com as seguintes alterações:",Alterações incorporadas ao texto da Lei n. 9.096/1995.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto da Lei n. 9.096/1995."", ""pagina_inicial"": 717, ""pagina_final"": 717}]",1,Lei n. 9.096; Lei n. 9.096/1995,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 3º Tipo: artigo Páginas: 717-717 Resumo: Art. 3º: A Lei n. 9.096, de 19 de setembro de 1995, passa a vigorar com as seguintes alterações: | 1 nota(s) vinculada(s) Art. 3º A Lei n. 9.096, de 19 de setembro de 1995, passa a vigorar com as seguintes alterações: Notas vinculadas: Alterações incorporadas ao texto da Lei n. 9.096/1995.","Art. 3º: A Lei n. 9.096, de 19 de setembro de 1995, passa a vigorar com as seguintes alterações: | 1 nota(s) vinculada(s)",setembro; alteracoes; passa; vigorar; seguintes; incorporadas; texto,True,557,139,032_lei_13165_2015:4,032_lei_13165_2015.csv,,
5,5,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 4º,,Art. 4º,,,,,"Art. 4º A Lei n. 4.737, de 15 de julho de 1965 – Código Eleitoral, passa a vigorar com as seguintes alterações:",Alterações incorporadas ao texto da Lei n. 4.737/1965.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto da Lei n. 4.737/1965."", ""pagina_inicial"": 717, ""pagina_final"": 717}]",1,Lei n. 4.737; Lei n. 4.737/1965,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 4º Tipo: artigo Páginas: 717-717 Resumo: Art. 4º: A Lei n. 4.737, de 15 de julho de 1965 – Código Eleitoral, passa a vigorar com as seguintes alterações: | 1 nota(s) vinculada(s) Art. 4º A Lei n. 4.737, de 15 de julho de 1965 – Código Eleitoral, passa a vigorar com as seguintes alterações: Notas vinculadas: Alterações incorporadas ao texto da Lei n. 4.737/1965.","Art. 4º: A Lei n. 4.737, de 15 de julho de 1965 – Código Eleitoral, passa a vigorar com as seguintes alterações: | 1 nota(s) vinculada(s)",alteracoes; setembro; julho; codigo; eleitoral; passa; vigorar; seguintes; incorporadas; texto,True,589,147,032_lei_13165_2015:5,032_lei_13165_2015.csv,,
6,6,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 5º,,Art. 5º,,,,,Art. 5º (Revogado pelo art. 11 da Lei n. 13.488/2017).,,[],0,Lei n. 13.488/2017,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 5º Tipo: artigo Páginas: 717-717 Resumo: Art. 5º: (Revogado pelo art. 11 da Lei n. 13.488/2017). | há marcação de revogação/cancelamento/veto Art. 5º (Revogado pelo art. 11 da Lei n. 13.488/2017).",Art. 5º: (Revogado pelo art. 11 da Lei n. 13.488/2017). | há marcação de revogação/cancelamento/veto,setembro; revogado,True,422,106,032_lei_13165_2015:6,032_lei_13165_2015.csv,,
7,7,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 6º,,Art. 6º,,,,,Art. 6º (Revogado pelo art. 11 da Lei n. 13.488/2017).,,[],0,Lei n. 13.488/2017,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 6º Tipo: artigo Páginas: 717-717 Resumo: Art. 6º: (Revogado pelo art. 11 da Lei n. 13.488/2017). | há marcação de revogação/cancelamento/veto Art. 6º (Revogado pelo art. 11 da Lei n. 13.488/2017).",Art. 6º: (Revogado pelo art. 11 da Lei n. 13.488/2017). | há marcação de revogação/cancelamento/veto,setembro; revogado,True,422,106,032_lei_13165_2015:7,032_lei_13165_2015.csv,,
8,8,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 7º,,Art. 7º,,,,,Art. 7º (Revogado pelo art. 11 da Lei n. 13.488/2017).,,[],0,Lei n. 13.488/2017,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 7º Tipo: artigo Páginas: 717-717 Resumo: Art. 7º: (Revogado pelo art. 11 da Lei n. 13.488/2017). | há marcação de revogação/cancelamento/veto Art. 7º (Revogado pelo art. 11 da Lei n. 13.488/2017).",Art. 7º: (Revogado pelo art. 11 da Lei n. 13.488/2017). | há marcação de revogação/cancelamento/veto,setembro; revogado,True,422,106,032_lei_13165_2015:8,032_lei_13165_2015.csv,,
9,9,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 8º,,Art. 8º,,,,,Art. 8º (Revogado pelo art. 11 da Lei n. 13.488/2017).,,[],0,Lei n. 13.488/2017,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 8º Tipo: artigo Páginas: 717-717 Resumo: Art. 8º: (Revogado pelo art. 11 da Lei n. 13.488/2017). | há marcação de revogação/cancelamento/veto Art. 8º (Revogado pelo art. 11 da Lei n. 13.488/2017).",Art. 8º: (Revogado pelo art. 11 da Lei n. 13.488/2017). | há marcação de revogação/cancelamento/veto,setembro; revogado,True,422,106,032_lei_13165_2015:9,032_lei_13165_2015.csv,,
10,10,Codigo_Eleitoral_2026_anotado.pdf,lei_13165_2015,"Lei n. 13.165, de 29 de setembro de 2015",Lei n. 13.165/2015,Legislação correlata,Legislação correlata,717,717,,artigo,Art. 9º,,Art. 9º,,,,,"Art. 9º Nas três eleições que se seguirem à publicação desta lei, os partidos reservarão, em contas bancárias específicas para este fim, no mínimo 5% (cinco por cento) e no máximo 15% (quinze por cento) do montante do Fundo Partidário destinado ao financiamento das campanhas eleitorais para aplicação nas campanhas de suas candidatas, incluídos nesse valor os recursos a que se refere o inciso V do art. 44 da Lei n. 9.096, de 19 de setembro de 1995.","V. arts. 55-A a 55-C da Lei n. 9.096/1995.
Ac.-TSE, de 22/5/2018, na Cta n. 060025218: a distribuição dos recursos do FEFC deve observar os percentuais mínimos de candidatura por gênero, nos termos do art. 10, § 3º, da Lei n. 9.504/97, na linha da orientação firmada na Suprema Corte ao exame da ADI n. 5617. No caso de percentual superior de candidaturas, impõe-se o acréscimo de recursos do FEFC e do tempo de propaganda na mesma proporção.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""V. arts. 55-A a 55-C da Lei n. 9.096/1995."", ""pagina_inicial"": 717, ""pagina_final"": 717}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""Ac.-TSE, de 22/5/2018, na Cta n. 060025218: a distribuição dos recursos do FEFC deve observar os percentuais mínimos de candidatura por gênero, nos termos do art. 10, § 3º, da Lei n. 9.504/97, na linha da orientação firmada na Suprema Corte ao exame da ADI n. 5617. No caso de percentual superior de candidaturas, impõe-se o acréscimo de recursos do FEFC e do tempo de propaganda na mesma proporção."", ""pagina_inicial"": 717, ""pagina_final"": 717}]",2,Lei n. 9.096; Lei n. 9.096/1995; Lei n. 9.504/97,"Ac.-TSE, de 22/5/2018, na Cta n. 060025218; ADI n. 5617",,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.165, de 29 de setembro de 2015 Nome popular/citação curta: Lei n. 13.165/2015 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 9º Tipo: artigo Páginas: 717-717 Resumo: Art. 9º: Nas três eleições que se seguirem à publicação desta lei, os partidos reservarão, em contas bancárias específicas para este fim, no mínimo 5% (cinco por cento) e no máximo 15% (quinze por cento) do montante do Fundo Partidário destinado ao financiamento das campanhas eleitorais para aplicação nas campanhas de suas candidatas, incluídos nesse valor os recursos a que se refere o inciso V do art. 44 da Lei n.... Referências jurisprudenciais: Ac.-TSE, de 22/5/2018, na Cta n. 060025218; ADI n. 5617 Art. 9º Nas três eleições que se seguirem à publicação desta lei, os partidos reservarão, em contas bancárias específicas para este fim, no mínimo 5% (cinco por cento) e no máximo 15% (quinze por cento) do montante do Fundo Partidário destinado ao financiamento das campanhas eleitorais para aplicação nas campanhas de suas candidatas, incluídos nesse valor os recursos a que se refere o inciso V do art. 44 da Lei n. 9.096, de 19 de setembro de 1995. Notas vinculadas: V. arts. 55-A a 55-C da Lei n. 9.096/1995. Ac.-TSE, de 22/5/2018, na Cta n. 060025218: a distribuição dos recursos do FEFC deve observar os percentuais mínimos de candidatura por gênero, nos termos do art. 10, § 3º, da Lei n. 9.504/97, na linha da orientação firmada na Suprema Corte ao exame da ADI n. 5617. No caso de percentual superior de candidaturas, impõe-se o acréscimo de recursos do FEFC e do tempo de propaganda na mesma proporção.","Art. 9º: Nas três eleições que se seguirem à publicação desta lei, os partidos reservarão, em contas bancárias específicas para este fim, no mínimo 5% (cinco por cento) e no máximo 15% (quinze por cento) do montante do Fundo Partidário destinado ao financiamento das campanhas eleitorais para aplicação nas campanhas de suas candidatas, incluídos nesse valor os recursos a que se refere o inciso V do art. 44 da Lei n....",recursos; setembro; cento; campanhas; fefc; tres; eleicoes; seguirem; publicacao; desta,True,1687,422,032_lei_13165_2015:10,032_lei_13165_2015.csv,,
