"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","norma","Decreto n. 4.199, de 16 de abril de 2002","","","","","","","Dispõe sobre a prestação de informações institucionais relativas à administração pública federal a partidos políticos, coligações e candidatos à Presidência da República até a data da divulgação oficial do resultado final das eleições. O PRESIDENTE DA REPÚBLICA, no uso da atribuição que lhe confere o art. 84, inciso VI, alínea a, da Constituição, DECRETA:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Decreto n. 4.199, de 16 de abril de 2002
Tipo: norma
Páginas: 723-723
Dispõe sobre a prestação de informações institucionais relativas à administração pública federal a partidos políticos, coligações e candidatos à Presidência da República até a data da divulgação oficial do resultado final das eleições. O PRESIDENTE DA REPÚBLICA, no uso da atribuição que lhe confere o art. 84, inciso VI, alínea a, da Constituição, DECRETA:","Dispõe sobre a prestação de informações institucionais relativas à administração pública federal a partidos políticos, coligações e candidatos à Presidência da República até a data da divulgação oficial do resultado final das eleições. O...","decreto; abril; republica; dispoe; sobre; prestacao; informacoes; institucionais; relativas; administracao","True","627","156"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º Este decreto regulamenta a prestação de informações institucionais relativas à administração pública federal a partidos políticos, coligações e candidatos à Presidência da República até a data de divulgação oficial do resultado final das eleições.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 1º
Tipo: artigo
Páginas: 723-723
Art. 1º Este decreto regulamenta a prestação de informações institucionais relativas à administração pública federal a partidos políticos, coligações e candidatos à Presidência da República até a data de divulgação oficial do resultado final das eleições.","Art. 1º Este decreto regulamenta a prestação de informações institucionais relativas à administração pública federal a partidos políticos, coligações e candidatos à Presidência da República até a data de divulgação oficial do resultado...","decreto; abril; este; regulamenta; prestacao; informacoes; institucionais; relativas; administracao; publica","True","493","123"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","artigo","Art. 2º","","Art. 2º","","","","","Art. 2º Qualquer solicitação de informações institucionais relativas à administração pública federal poderá ser feita por partido político ou coligação.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º
Tipo: artigo
Páginas: 723-723
Art. 2º Qualquer solicitação de informações institucionais relativas à administração pública federal poderá ser feita por partido político ou coligação.","Art. 2º Qualquer solicitação de informações institucionais relativas à administração pública federal poderá ser feita por partido político ou coligação.","decreto; abril; qualquer; solicitacao; informacoes; institucionais; relativas; administracao; publica; federal","True","390","97"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","paragrafo","Art. 2º, §1º","Art. 2º","Art. 2º","§1º","","","","§ 1º Após a escolha de candidato a que se refere o art. 8º da Lei n. 9.504, de 30 de setembro de 1997, as informações relativas à administração pública federal do interesse de partido político ou coligação com candidato à Presidência da República deverão ser formalizadas pelo candidato registrado do partido ou coligação.","","[]","0","Lei n. 9.504","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, §1º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 723-723
§ 1º Após a escolha de candidato a que se refere o art. 8º da Lei n. 9.504, de 30 de setembro de 1997, as informações relativas à administração pública federal do interesse de partido político ou coligação com candidato à Presidência da República deverão ser formalizadas pelo candidato registrado do partido ou coligação.","§ 1º Após a escolha de candidato a que se refere o art. 8º da Lei n. 9.504, de 30 de setembro de 1997, as informações relativas à administração pública federal do interesse de partido político ou coligação com candidato à Presidência da...","candidato; partido; coligacao; decreto; abril; apos; escolha; refere; setembro; informacoes","True","593","148"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","paragrafo","Art. 2º, §2º","Art. 2º","Art. 2º","§2º","","","","§ 2º Na hipótese do § 1º, qualquer que seja a natureza da informação pleiteada, as solicitações deverão ser requeridas por escrito ao secretário-executivo da Casa Civil da Presidência da República.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, §2º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 723-723
§ 2º Na hipótese do § 1º, qualquer que seja a natureza da informação pleiteada, as solicitações deverão ser requeridas por escrito ao secretário-executivo da Casa Civil da Presidência da República.","§ 2º Na hipótese do § 1º, qualquer que seja a natureza da informação pleiteada, as solicitações deverão ser requeridas por escrito ao secretário-executivo da Casa Civil da Presidência da República.","decreto; abril; hipotese; qualquer; seja; natureza; informacao; pleiteada; solicitacoes; deverao","True","468","117"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","paragrafo","Art. 2º, §3º","Art. 2º","Art. 2º","§3º","","","","§ 3º O secretário-executivo da Casa Civil da Presidência da República poderá requisitar a órgão, entidade ou servidor os dados necessários à satisfação da solicitação.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, §3º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 723-723
§ 3º O secretário-executivo da Casa Civil da Presidência da República poderá requisitar a órgão, entidade ou servidor os dados necessários à satisfação da solicitação.","§ 3º O secretário-executivo da Casa Civil da Presidência da República poderá requisitar a órgão, entidade ou servidor os dados necessários à satisfação da solicitação.","decreto; abril; secretario; executivo; casa; civil; presidencia; republica; podera; requisitar","True","438","109"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","paragrafo","Art. 2º, §4º","Art. 2º","Art. 2º","§4º","","","","§ 4º O órgão, a entidade ou o servidor instado a se manifestar deverá fazê-lo no prazo de dez dias, salvo determinação diversa do secretário-executivo da Casa Civil da Presidência da República.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, §4º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 723-723
§ 4º O órgão, a entidade ou o servidor instado a se manifestar deverá fazê-lo no prazo de dez dias, salvo determinação diversa do secretário-executivo da Casa Civil da Presidência da República.","§ 4º O órgão, a entidade ou o servidor instado a se manifestar deverá fazê-lo no prazo de dez dias, salvo determinação diversa do secretário-executivo da Casa Civil da Presidência da República.","decreto; abril; orgao; entidade; servidor; instado; manifestar; devera; faze; prazo","True","464","116"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","artigo","Art. 3º","","Art. 3º","","","","","Art. 3º As informações serão prestadas por escrito no prazo máximo de quinze dias, contados da data de protocolo da solicitação.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 3º
Tipo: artigo
Páginas: 723-723
Art. 3º As informações serão prestadas por escrito no prazo máximo de quinze dias, contados da data de protocolo da solicitação.","Art. 3º As informações serão prestadas por escrito no prazo máximo de quinze dias, contados da data de protocolo da solicitação.","decreto; abril; informacoes; serao; prestadas; escrito; prazo; maximo; quinze; dias","True","366","91"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","artigo","Art. 4º","","Art. 4º","","","","","Art. 4º As informações serão prestadas a teor de critérios estabelecidos pelo chefe da Casa Civil da Presidência da República.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 4º
Tipo: artigo
Páginas: 723-723
Art. 4º As informações serão prestadas a teor de critérios estabelecidos pelo chefe da Casa Civil da Presidência da República.","Art. 4º As informações serão prestadas a teor de critérios estabelecidos pelo chefe da Casa Civil da Presidência da República.","decreto; abril; informacoes; serao; prestadas; teor; criterios; estabelecidos; chefe; casa","True","364","91"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","decreto_4199_2002","Decreto n. 4.199, de 16 de abril de 2002","","Legislação correlata","Legislação correlata","723","723","","paragrafo","Art. 4º, §1º","Art. 4º","Art. 4º","§1º","","","","§ 1º Informações e dados estatísticos de domínio público constantes de estudos já finalizados poderão ser prestados a qualquer tempo.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 4.199, de 16 de abril de 2002
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 4º, §1º
Tipo: paragrafo
Dispositivo pai: Art. 4º
Páginas: 723-723
§ 1º Informações e dados estatísticos de domínio público constantes de estudos já finalizados poderão ser prestados a qualquer tempo.","§ 1º Informações e dados estatísticos de domínio público constantes de estudos já finalizados poderão ser prestados a qualquer tempo.","decreto; abril; informacoes; dados; estatisticos; dominio; publico; constantes; estudos; finalizados","True","404","101"
