id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,norma,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",,,,,,,"Dispõe sobre a responsabilidade dos prefeitos e vereadores e dá outras providências. O PRESIDENTE DA REPÚBLICA, usando da atribuição que lhe confere o parágrafo 2º, do artigo 9º, do Ato Institucional n. 4, de 7 de dezembro de 1966, DECRETA:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Tipo: norma Páginas: 727-727 Resumo: Norma Decreto-Lei n. 201/1967: Dispõe sobre a responsabilidade dos prefeitos e vereadores e dá outras providências. Dispõe sobre a responsabilidade dos prefeitos e vereadores e dá outras providências. O PRESIDENTE DA REPÚBLICA, usando da atribuição que lhe confere o parágrafo 2º, do artigo 9º, do Ato Institucional n. 4, de 7 de dezembro de 1966, DECRETA:",Norma Decreto-Lei n. 201/1967: Dispõe sobre a responsabilidade dos prefeitos e vereadores e dá outras providências.,decreto; fevereiro; dispoe; sobre; responsabilidade; prefeitos; vereadores; outras; providencias; presidente,True,672,168,037_decreto_lei_201_1967:1,037_decreto_lei_201_1967.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,artigo,Art. 1º,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Art. 1º,,,,,"Art. 1º São crimes de responsabilidade dos prefeitos municipais, sujeitos ao julgamento do Poder Judiciário, independentemente do pronunciamento da Câmara dos Vereadores:","Ac.-STF, de 13/9/2019, no RE n. 976566: possibilidade de responsabilização penal e político-administrativa com fundamento no DL n. 201/1967 simultânea à responsabilização por ato de improbidade administrativa, devidamente tipificado na Lei n. 8.429/1992, em virtude da autonomia de instâncias, inexistindo bis in idem.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Ac.-STF, de 13/9/2019, no RE n. 976566: possibilidade de responsabilização penal e político-administrativa com fundamento no DL n. 201/1967 simultânea à responsabilização por ato de improbidade administrativa, devidamente tipificado na Lei n. 8.429/1992, em virtude da autonomia de instâncias, inexistindo bis in idem."", ""pagina_inicial"": 727, ""pagina_final"": 727}]",1,Lei n. 8.429/1992,"Ac.-STF, de 13/9/2019, no RE n. 976566",,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º Tipo: artigo Dispositivo pai: Decreto-Lei n. 201, de 27 de fevereiro de 1967 ID do dispositivo pai: 037_decreto_lei_201_1967:1 Páginas: 727-727 Resumo: Art. 1º, subordinado a Decreto-Lei n. 201, de 27 de fevereiro de 1967: São crimes de responsabilidade dos prefeitos municipais, sujeitos ao julgamento do Poder Judiciário, independentemente do pronunciamento da Câmara dos Vereadores: | 1 nota(s) vinculada(s); jurisprudência extraída das notas Referências jurisprudenciais: Ac.-STF, de 13/9/2019, no RE n. 976566 Art. 1º São crimes de responsabilidade dos prefeitos municipais, sujeitos ao julgamento do Poder Judiciário, independentemente do pronunciamento da Câmara dos Vereadores: Notas vinculadas: Ac.-STF, de 13/9/2019, no RE n. 976566: possibilidade de responsabilização penal e político-administrativa com fundamento no DL n. 201/1967 simultânea à responsabilização por ato de improbidade administrativa, devidamente tipificado na Lei n. 8.429/1992, em virtude da autonomia de instâncias, inexistindo bis in idem.","Art. 1º, subordinado a Decreto-Lei n. 201, de 27 de fevereiro de 1967: São crimes de responsabilidade dos prefeitos municipais, sujeitos ao julgamento do Poder Judiciário, independentemente do pronunciamento da Câmara dos Vereadores: | 1 nota(s) vinculada(s); jurisprudência extraída das notas",responsabilizacao; administrativa; decreto; fevereiro; crimes; responsabilidade; prefeitos; municipais; sujeitos; julgamento,True,1262,316,037_decreto_lei_201_1967:2,037_decreto_lei_201_1967.csv,1,037_decreto_lei_201_1967:1
3,3,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,inciso,"Art. 1º, I",Art. 1º,Art. 1º,,I,,,"I - apropriar-se de bens ou rendas públicas, ou desviá-los em proveito próprio ou alheio;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º, I Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 037_decreto_lei_201_1967:2 Páginas: 727-727 Resumo: Art. 1º, I, subordinado a Art. 1º: apropriar-se de bens ou rendas públicas, ou desviá-los em proveito próprio ou alheio; I - apropriar-se de bens ou rendas públicas, ou desviá-los em proveito próprio ou alheio;","Art. 1º, I, subordinado a Art. 1º: apropriar-se de bens ou rendas públicas, ou desviá-los em proveito próprio ou alheio;",decreto; fevereiro; apropriar; bens; rendas; publicas; desvia; proveito; proprio; alheio,True,566,142,037_decreto_lei_201_1967:3,037_decreto_lei_201_1967.csv,2,037_decreto_lei_201_1967:2
4,4,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,inciso,"Art. 1º, II",Art. 1º,Art. 1º,,II,,,"II - utilizar-se, indevidamente, em proveito próprio ou alheio, de bens, rendas ou serviços públicos;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º, II Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 037_decreto_lei_201_1967:2 Páginas: 727-727 Resumo: Art. 1º, II, subordinado a Art. 1º: utilizar-se, indevidamente, em proveito próprio ou alheio, de bens, rendas ou serviços públicos; II - utilizar-se, indevidamente, em proveito próprio ou alheio, de bens, rendas ou serviços públicos;","Art. 1º, II, subordinado a Art. 1º: utilizar-se, indevidamente, em proveito próprio ou alheio, de bens, rendas ou serviços públicos;",decreto; fevereiro; utilizar; indevidamente; proveito; proprio; alheio; bens; rendas; servicos,True,591,148,037_decreto_lei_201_1967:4,037_decreto_lei_201_1967.csv,2,037_decreto_lei_201_1967:2
5,5,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,inciso,"Art. 1º, III",Art. 1º,Art. 1º,,III,,,"III - desviar, ou aplicar indevidamente, rendas ou verbas públicas;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º, III Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 037_decreto_lei_201_1967:2 Páginas: 727-727 Resumo: Art. 1º, III, subordinado a Art. 1º: desviar, ou aplicar indevidamente, rendas ou verbas públicas; III - desviar, ou aplicar indevidamente, rendas ou verbas públicas;","Art. 1º, III, subordinado a Art. 1º: desviar, ou aplicar indevidamente, rendas ou verbas públicas;",decreto; fevereiro; desviar; aplicar; indevidamente; rendas; verbas; publicas,True,524,131,037_decreto_lei_201_1967:5,037_decreto_lei_201_1967.csv,2,037_decreto_lei_201_1967:2
6,6,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,inciso,"Art. 1º, IV",Art. 1º,Art. 1º,,IV,,,"IV - empregar subvenções, auxílios, empréstimos ou recursos de qualquer natureza, em desacordo com os planos ou programas a que se destinam;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º, IV Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 037_decreto_lei_201_1967:2 Páginas: 727-727 Resumo: Art. 1º, IV, subordinado a Art. 1º: empregar subvenções, auxílios, empréstimos ou recursos de qualquer natureza, em desacordo com os planos ou programas a que se destinam; IV - empregar subvenções, auxílios, empréstimos ou recursos de qualquer natureza, em desacordo com os planos ou programas a que se destinam;","Art. 1º, IV, subordinado a Art. 1º: empregar subvenções, auxílios, empréstimos ou recursos de qualquer natureza, em desacordo com os planos ou programas a que se destinam;",decreto; fevereiro; empregar; subvencoes; auxilios; emprestimos; recursos; qualquer; natureza; desacordo,True,669,167,037_decreto_lei_201_1967:6,037_decreto_lei_201_1967.csv,2,037_decreto_lei_201_1967:2
7,7,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,inciso,"Art. 1º, V",Art. 1º,Art. 1º,,V,,,"V - ordenar ou efetuar despesas não autorizadas por lei, ou realizá-las em desacordo com as normas financeiras pertinentes;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º, V Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 037_decreto_lei_201_1967:2 Páginas: 727-727 Resumo: Art. 1º, V, subordinado a Art. 1º: ordenar ou efetuar despesas não autorizadas por lei, ou realizá-las em desacordo com as normas financeiras pertinentes; V - ordenar ou efetuar despesas não autorizadas por lei, ou realizá-las em desacordo com as normas financeiras pertinentes;","Art. 1º, V, subordinado a Art. 1º: ordenar ou efetuar despesas não autorizadas por lei, ou realizá-las em desacordo com as normas financeiras pertinentes;",decreto; fevereiro; ordenar; efetuar; despesas; autorizadas; realiza; desacordo; normas; financeiras,True,634,158,037_decreto_lei_201_1967:7,037_decreto_lei_201_1967.csv,2,037_decreto_lei_201_1967:2
8,8,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,inciso,"Art. 1º, VI",Art. 1º,Art. 1º,,VI,,,"VI - deixar de prestar contas anuais da administração financeira do município a Câmara de Vereadores, ou ao órgão que a Constituição do estado indicar, nos prazos e condições estabelecidos;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º, VI Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 037_decreto_lei_201_1967:2 Páginas: 727-727 Resumo: Art. 1º, VI, subordinado a Art. 1º: deixar de prestar contas anuais da administração financeira do município a Câmara de Vereadores, ou ao órgão que a Constituição do estado indicar, nos prazos e condições estabelecidos; VI - deixar de prestar contas anuais da administração financeira do município a Câmara de Vereadores, ou ao órgão que a Constituição do estado indicar, nos prazos e condições estabelecidos;","Art. 1º, VI, subordinado a Art. 1º: deixar de prestar contas anuais da administração financeira do município a Câmara de Vereadores, ou ao órgão que a Constituição do estado indicar, nos prazos e condições estabelecidos;",decreto; fevereiro; deixar; prestar; contas; anuais; administracao; financeira; municipio; camara,True,767,192,037_decreto_lei_201_1967:8,037_decreto_lei_201_1967.csv,2,037_decreto_lei_201_1967:2
9,9,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,inciso,"Art. 1º, VII",Art. 1º,Art. 1º,,VII,,,"VII - deixar de prestar contas, no devido tempo, ao órgão competente, da aplicação de recursos, empréstimos subvenções ou auxílios internos ou externos, recebidos a qualquer título;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º, VII Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 037_decreto_lei_201_1967:2 Páginas: 727-727 Resumo: Art. 1º, VII, subordinado a Art. 1º: deixar de prestar contas, no devido tempo, ao órgão competente, da aplicação de recursos, empréstimos subvenções ou auxílios internos ou externos, recebidos a qualquer título; VII - deixar de prestar contas, no devido tempo, ao órgão competente, da aplicação de recursos, empréstimos subvenções ou auxílios internos ou externos, recebidos a qualquer título;","Art. 1º, VII, subordinado a Art. 1º: deixar de prestar contas, no devido tempo, ao órgão competente, da aplicação de recursos, empréstimos subvenções ou auxílios internos ou externos, recebidos a qualquer título;",decreto; fevereiro; deixar; prestar; contas; devido; tempo; orgao; competente; aplicacao,True,752,188,037_decreto_lei_201_1967:9,037_decreto_lei_201_1967.csv,2,037_decreto_lei_201_1967:2
10,10,Codigo_Eleitoral_2026_anotado.pdf,decreto_lei_201_1967,"Decreto-Lei n. 201, de 27 de fevereiro de 1967",Decreto-Lei n. 201/1967,Legislação correlata,Legislação correlata,727,727,,inciso,"Art. 1º, VIII",Art. 1º,Art. 1º,,VIII,,,"VIII - contrair empréstimo, emitir apólices, ou obrigar o município por títulos de crédito, sem autorização da Câmara, ou em desacordo com a lei;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Decreto-Lei n. 201, de 27 de fevereiro de 1967 Nome popular/citação curta: Decreto-Lei n. 201/1967 Macrogrupo: Legislação correlata Grupo do sumário: Legislação correlata Dispositivo: Art. 1º, VIII Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 037_decreto_lei_201_1967:2 Páginas: 727-727 Resumo: Art. 1º, VIII, subordinado a Art. 1º: contrair empréstimo, emitir apólices, ou obrigar o município por títulos de crédito, sem autorização da Câmara, ou em desacordo com a lei; VIII - contrair empréstimo, emitir apólices, ou obrigar o município por títulos de crédito, sem autorização da Câmara, ou em desacordo com a lei;","Art. 1º, VIII, subordinado a Art. 1º: contrair empréstimo, emitir apólices, ou obrigar o município por títulos de crédito, sem autorização da Câmara, ou em desacordo com a lei;",viii; decreto; fevereiro; contrair; emprestimo; emitir; apolices; obrigar; municipio; titulos,True,681,170,037_decreto_lei_201_1967:10,037_decreto_lei_201_1967.csv,2,037_decreto_lei_201_1967:2
