"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","","norma","Resolução n. 4.510, de 29 de setembro de 1952","","","","","","","Regimento Interno do Tribunal Superior Eleitoral. O TRIBUNAL SUPERIOR ELEITORAL, usando da atribuição que lhe conferem os arts. 97, II, da Constituição Federal, e 12, a, do Código Eleitoral, resolve adotar o seguinte regimento interno:","Refere-se à CF/1946. CF/1988, art. 96, I, a.
Refere-se ao CE/1950. CE/1965, art. 23, I.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Refere-se à CF/1946. CF/1988, art. 96, I, a."", ""pagina_inicial"": 735, ""pagina_final"": 735}, {""ordem"": 2, ""marcador"": ""ticado"", ""texto"": ""Refere-se ao CE/1950. CE/1965, art. 23, I."", ""pagina_inicial"": 735, ""pagina_final"": 735}]","2","CF/1988, art. 96, I, a; CE/1965, art. 23, I","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: Resolução n. 4.510, de 29 de setembro de 1952
Tipo: norma
Páginas: 735-735
Regimento Interno do Tribunal Superior Eleitoral. O TRIBUNAL SUPERIOR ELEITORAL, usando da atribuição que lhe conferem os arts. 97, II, da Constituição Federal, e 12, a, do Código Eleitoral, resolve adotar o seguinte regimento interno:
Notas vinculadas:
Refere-se à CF/1946. CF/1988, art. 96, I, a.
Refere-se ao CE/1950. CE/1965, art. 23, I.","Regimento Interno do Tribunal Superior Eleitoral. O TRIBUNAL SUPERIOR ELEITORAL, usando da atribuição que lhe conferem os arts. 97, II, da Constituição Federal, e 12, a, do Código Eleitoral, resolve adotar o seguinte regimento interno:","eleitoral; resolucao; setembro; regimento; interno; tribunal; superior; refere; usando; atribuicao","True","668","167"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","TÍTULO I - DO TRIBUNAL","estrutura","TÍTULO I - DO TRIBUNAL","","","","","","","TÍTULO I - DO TRIBUNAL","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: TÍTULO I - DO TRIBUNAL
Tipo: estrutura
Hierarquia: TÍTULO I - DO TRIBUNAL
Páginas: 735-735
TÍTULO I - DO TRIBUNAL","TÍTULO I - DO TRIBUNAL","titulo; tribunal; resolucao; setembro","True","365","91"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","estrutura","CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","","","","","","","CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Tipo: estrutura
Hierarquia: TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Páginas: 735-735
CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","tribunal; capitulo; organizacao; resolucao; setembro; titulo","True","441","110"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º O Tribunal Superior Eleitoral, com sede na capital da República e jurisdição em todo o país, compõe-se:","CF/1988, art. 92, § 2º, e CE/1965, art. 12, I.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""CF/1988, art. 92, § 2º, e CE/1965, art. 12, I."", ""pagina_inicial"": 735, ""pagina_final"": 735}]","1","CF/1988, art. 92, § 2º, e CE/1965, art; CE/1965, art. 12, I","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: Art. 1º
Tipo: artigo
Hierarquia: TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Páginas: 735-735
Art. 1º O Tribunal Superior Eleitoral, com sede na capital da República e jurisdição em todo o país, compõe-se:
Notas vinculadas:
CF/1988, art. 92, § 2º, e CE/1965, art. 12, I.","Art. 1º O Tribunal Superior Eleitoral, com sede na capital da República e jurisdição em todo o país, compõe-se:","tribunal; resolucao; setembro; titulo; capitulo; organizacao; superior; eleitoral; sede; capital","True","543","135"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","inciso","Art. 1º, I","Art. 1º","Art. 1º","","I","","","I - mediante eleição em escrutínio secreto:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: Art. 1º, I
Tipo: inciso
Hierarquia: TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Dispositivo pai: Art. 1º
Páginas: 735-735
I - mediante eleição em escrutínio secreto:","I - mediante eleição em escrutínio secreto:","tribunal; resolucao; setembro; titulo; capitulo; organizacao; mediante; eleicao; escrutinio; secreto","True","438","109"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","alinea","Art. 1º, I, a)","Art. 1º, I","Art. 1º","","I","a)","","a) de dois juízes escolhidos pelo Supremo Tribunal Federal dentre os seus ministros;","CF/1988, art. 119, I, a, e CE/1965, art. 16, I, a: nomeação de três ministros do STF.
RISTF, art. 7º, II: competência do Plenário do STF; art. 143, parágrafo único: quorum para esta eleição.
Súm.-STF n. 72/1963: “No julgamento de questão constitucional, vinculada a decisão do Tribunal Superior Eleitoral, não estão impedidos os ministros do Supremo Tribunal Federal que ali tenham funcionado no mesmo processo, ou no processo originário”.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 119, I, a, e CE/1965, art. 16, I, a: nomeação de três ministros do STF."", ""pagina_inicial"": 735, ""pagina_final"": 735}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""RISTF, art. 7º, II: competência do Plenário do STF; art. 143, parágrafo único: quorum para esta eleição."", ""pagina_inicial"": 735, ""pagina_final"": 735}, {""ordem"": 3, ""marcador"": ""quadrado"", ""texto"": ""Súm.-STF n. 72/1963: “No julgamento de questão constitucional, vinculada a decisão do Tribunal Superior Eleitoral, não estão impedidos os ministros do Supremo Tribunal Federal que ali tenham funcionado no mesmo processo, ou no processo originário”."", ""pagina_inicial"": 735, ""pagina_final"": 735}]","3","CF/1988, art. 119, I, a, e CE/1965, art; CE/1965, art. 16, I, a: nomeação de três ministros do STF","","Súm.-STF n. 72/1963","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: Art. 1º, I, a)
Tipo: alinea
Hierarquia: TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Dispositivo pai: Art. 1º, I
Páginas: 735-735
a) de dois juízes escolhidos pelo Supremo Tribunal Federal dentre os seus ministros;
Notas vinculadas:
CF/1988, art. 119, I, a, e CE/1965, art. 16, I, a: nomeação de três ministros do STF.
RISTF, art. 7º, II: competência do Plenário do STF; art. 143, parágrafo único: quorum para esta eleição.
Súm.-STF n. 72/1963: “No julgamento de questão constitucional, vinculada a decisão do Tribunal Superior Eleitoral, não estão impedidos os ministros do Supremo Tribunal Federal que ali tenham funcionado no mesmo processo, ou no processo originário”.","a) de dois juízes escolhidos pelo Supremo Tribunal Federal dentre os seus ministros;","tribunal; ministros; supremo; federal; processo; resolucao; setembro; titulo; capitulo; organizacao","True","944","236"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","alinea","Art. 1º, I, b)","Art. 1º, I","Art. 1º","","I","b)","","b) de dois juízes escolhidos pelo Tribunal Federal de Recursos dentre os seus ministros;","CF/1988, art. 119, I, b: eleição dentre os ministros do STJ.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 119, I, b: eleição dentre os ministros do STJ."", ""pagina_inicial"": 735, ""pagina_final"": 735}]","1","CF/1988, art. 119, I, b: eleição dentre os ministros do STJ","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: Art. 1º, I, b)
Tipo: alinea
Hierarquia: TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Dispositivo pai: Art. 1º, I
Páginas: 735-735
b) de dois juízes escolhidos pelo Tribunal Federal de Recursos dentre os seus ministros;
Notas vinculadas:
CF/1988, art. 119, I, b: eleição dentre os ministros do STJ.","b) de dois juízes escolhidos pelo Tribunal Federal de Recursos dentre os seus ministros;","tribunal; dentre; ministros; resolucao; setembro; titulo; capitulo; organizacao; dois; juizes","True","569","142"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","alinea","Art. 1º, I, c)","Art. 1º, I","Art. 1º","","I","c)","","c) de um juiz escolhido pelo Tribunal de Justiça do Distrito Federal dentre os seus desembargadores;","Dispositivo sem correspondente na legislação vigente.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Dispositivo sem correspondente na legislação vigente."", ""pagina_inicial"": 735, ""pagina_final"": 735}]","1","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: Art. 1º, I, c)
Tipo: alinea
Hierarquia: TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Dispositivo pai: Art. 1º, I
Páginas: 735-735
c) de um juiz escolhido pelo Tribunal de Justiça do Distrito Federal dentre os seus desembargadores;
Notas vinculadas:
Dispositivo sem correspondente na legislação vigente.","c) de um juiz escolhido pelo Tribunal de Justiça do Distrito Federal dentre os seus desembargadores;","tribunal; resolucao; setembro; titulo; capitulo; organizacao; juiz; escolhido; justica; distrito","True","574","143"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","735","TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","inciso","Art. 1º, II","Art. 1º","Art. 1º","","II","","","II - por nomeação do presidente da República, de dois dentre seis cidadãos de notável saber jurídico e reputação ilibada, que não sejam incompatíveis por lei, indicados pelo Supremo Tribunal Federal.","CF/1988, art. 119, II: nomeação de dois juízes dentre seis advogados.
RISTF, art. 7º, II: competência do Plenário do STF para organizar as listas.
Ac.-STF, de 17/5/2006, na ADI n. 1127: exclui apenas os juízes eleitorais e seus suplentes da proibição de exercício da advocacia contida no art. 28, II, do EOAB.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 119, II: nomeação de dois juízes dentre seis advogados."", ""pagina_inicial"": 735, ""pagina_final"": 735}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""RISTF, art. 7º, II: competência do Plenário do STF para organizar as listas."", ""pagina_inicial"": 735, ""pagina_final"": 735}, {""ordem"": 3, ""marcador"": ""quadrado"", ""texto"": ""Ac.-STF, de 17/5/2006, na ADI n. 1127: exclui apenas os juízes eleitorais e seus suplentes da proibição de exercício da advocacia contida no art. 28, II, do EOAB."", ""pagina_inicial"": 735, ""pagina_final"": 735}]","3","CF/1988, art. 119, II: nomeação de dois juízes dentre seis advogados","Ac.-STF, de 17/5/2006, na ADI n; ADI n. 1127","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: Art. 1º, II
Tipo: inciso
Hierarquia: TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Dispositivo pai: Art. 1º
Páginas: 735-735
II - por nomeação do presidente da República, de dois dentre seis cidadãos de notável saber jurídico e reputação ilibada, que não sejam incompatíveis por lei, indicados pelo Supremo Tribunal Federal.
Notas vinculadas:
CF/1988, art. 119, II: nomeação de dois juízes dentre seis advogados.
RISTF, art. 7º, II: competência do Plenário do STF para organizar as listas.
Ac.-STF, de 17/5/2006, na ADI n. 1127: exclui apenas os juízes eleitorais e seus suplentes da proibição de exercício da advocacia contida no art. 28, II, do EOAB.","II - por nomeação do presidente da República, de dois dentre seis cidadãos de notável saber jurídico e reputação ilibada, que não sejam incompatíveis por lei, indicados pelo Supremo Tribunal Federal.","tribunal; nomeacao; dois; dentre; seis; juizes; resolucao; setembro; titulo; capitulo","True","923","230"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","resolucao_4510_1952","Resolução n. 4.510, de 29 de setembro de 1952","Regimento Interno do TSE","Regimento Interno do TSE","Regimento Interno do TSE","735","736","TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL","paragrafo","Art. 1º, Parágrafo único","Art. 1º","Art. 1º","Parágrafo único","","","","Parágrafo único. Haverá sete substitutos dos membros efetivos, escolhidos na mesma ocasião e pelo mesmo processo, em número igual para cada categoria.","CF/1988, art. 121, § 2º, in fine, e CE/1965, art. 15.
Res.-TSE n. 20958/2001: “Instruções que regulam a investidura e o exercício dos membros dos Tribunais Eleitorais e o término dos respectivos mandatos”.","[{""ordem"": 1, ""marcador"": ""continuação"", ""texto"": ""CF/1988, art. 121, § 2º, in fine, e CE/1965, art. 15."", ""pagina_inicial"": 735, ""pagina_final"": 735}, {""ordem"": 3, ""marcador"": ""quadrado"", ""texto"": ""Res.-TSE n. 20958/2001: “Instruções que regulam a investidura e o exercício dos membros dos Tribunais Eleitorais e o término dos respectivos mandatos”."", ""pagina_inicial"": 735, ""pagina_final"": 736}]","2","CF/1988, art. 121, § 2º, in fine, e CE/1965, art; CE/1965, art. 15; Res.-TSE n. 20958/2001","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 4.510, de 29 de setembro de 1952
Nome popular: Regimento Interno do TSE
Macrogrupo: Regimento Interno do TSE
Grupo do sumário: Regimento Interno do TSE
Dispositivo: Art. 1º, Parágrafo único
Tipo: paragrafo
Hierarquia: TÍTULO I - DO TRIBUNAL > CAPÍTULO I - DA ORGANIZAÇÃO DO TRIBUNAL
Dispositivo pai: Art. 1º
Páginas: 735-736
Parágrafo único. Haverá sete substitutos dos membros efetivos, escolhidos na mesma ocasião e pelo mesmo processo, em número igual para cada categoria.
Notas vinculadas:
CF/1988, art. 121, § 2º, in fine, e CE/1965, art. 15.
Res.-TSE n. 20958/2001: “Instruções que regulam a investidura e o exercício dos membros dos Tribunais Eleitorais e o término dos respectivos mandatos”.","Parágrafo único. Haverá sete substitutos dos membros efetivos, escolhidos na mesma ocasião e pelo mesmo processo, em número igual para cada categoria.","tribunal; paragrafo; unico; membros; resolucao; setembro; titulo; capitulo; organizacao; havera","True","786","196"
