"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","","norma","Resolução n. 23.659, de 26 de outubro de 2021","","","","","","","Dispõe sobre a gestão do Cadastro Eleitoral e sobre os serviços eleitorais que lhe são correlatos. O TRIBUNAL SUPERIOR ELEITORAL, no uso de suas atribuições, tendo em conta a competência para regulamentar a legislação eleitoral, e Considerando a necessidade de atualização e consolidação das normas relativas ao Cadastro Eleitoral, tendo em vista o atual estágio de desenvolvimento das tecnologias envolvidas na coleta e no gerenciamento de dados de eleitores e eleitoras e a vigência da Lei Geral de Proteção de Dados (LGPD); Considerando a relevância de assegurar que os avanços tecnológicos incorporados aos serviços eleitorais sejam sopesados com medidas que assegurem o exercício da cidadania a pessoas ainda não alcançadas pela inclusão digital; Considerando o compromisso do Tribunal Superior Eleitoral de ampliar o exercício da cidadania por parte de grupos socialmente vulneráveis e minorizados; RESOLVE:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Resolução n. 23.659, de 26 de outubro de 2021
Tipo: norma
Páginas: 1017-1017
Dispõe sobre a gestão do Cadastro Eleitoral e sobre os serviços eleitorais que lhe são correlatos. O TRIBUNAL SUPERIOR ELEITORAL, no uso de suas atribuições, tendo em conta a competência para regulamentar a legislação eleitoral, e Considerando a necessidade de atualização e consolidação das normas relativas ao Cadastro Eleitoral, tendo em vista o atual estágio de desenvolvimento das tecnologias envolvidas na coleta e no gerenciamento de dados de eleitores e eleitoras e a vigência da Lei Geral de Proteção de Dados (LGPD); Considerando a relevância de assegurar que os avanços tecnológicos incorporados aos serviços eleitorais sejam sopesados com medidas que assegurem o exercício da cidadania a pessoas ainda não alcançadas pela inclusão digital; Considerando o compromisso do Tribunal Superior Eleitoral de ampliar o exercício da cidadania por parte de grupos socialmente vulneráveis e minorizados; RESOLVE:","Dispõe sobre a gestão do Cadastro Eleitoral e sobre os serviços eleitorais que lhe são correlatos. O TRIBUNAL SUPERIOR ELEITORAL, no uso de suas atribuições, tendo em conta a competência para regulamentar a legislação eleitoral, e...","eleitoral; considerando; resolucao; outubro; sobre; cadastro; servicos; eleitorais; tribunal; superior","True","1189","297"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E","estrutura","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E","","","","","","","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E
Tipo: estrutura
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E
Páginas: 1017-1017
CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E","capitulo; gestao; cadastro; eleitoral; resolucao; outubro","True","386","96"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > DA PRESTAÇÃO DE SERVIÇOS ELEITORAIS","estrutura","DA PRESTAÇÃO DE SERVIÇOS ELEITORAIS","","","","","","","DA PRESTAÇÃO DE SERVIÇOS ELEITORAIS","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: DA PRESTAÇÃO DE SERVIÇOS ELEITORAIS
Tipo: estrutura
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > DA PRESTAÇÃO DE SERVIÇOS ELEITORAIS
Páginas: 1017-1017
DA PRESTAÇÃO DE SERVIÇOS ELEITORAIS","DA PRESTAÇÃO DE SERVIÇOS ELEITORAIS","prestacao; servicos; eleitorais; resolucao; outubro; capitulo; gestao; cadastro; eleitoral","True","402","100"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS","estrutura","CORRELATOS","","","","","","","CORRELATOS Seção I Das diretrizes da gestão do Cadastro Eleitoral","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: CORRELATOS
Tipo: estrutura
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS
Páginas: 1017-1017
CORRELATOS Seção I Das diretrizes da gestão do Cadastro Eleitoral","CORRELATOS Seção I Das diretrizes da gestão do Cadastro Eleitoral","correlatos; gestao; cadastro; eleitoral; resolucao; outubro; capitulo; secao; diretrizes","True","382","95"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º A gestão do Cadastro Eleitoral e a prestação de serviços eleitorais que lhe são correlatos serão efetuadas, em todo o território nacional, em conformidade com as disposições legais, com esta resolução e com as normas do Tribunal Superior que lhes sejam complementares, as quais serão editadas com observância das seguintes diretrizes:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 1º
Tipo: artigo
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS
Páginas: 1017-1017
Art. 1º A gestão do Cadastro Eleitoral e a prestação de serviços eleitorais que lhe são correlatos serão efetuadas, em todo o território nacional, em conformidade com as disposições legais, com esta resolução e com as normas do Tribunal Superior que lhes sejam complementares, as quais serão editadas com observância das seguintes diretrizes:","Art. 1º A gestão do Cadastro Eleitoral e a prestação de serviços eleitorais que lhe são correlatos serão efetuadas, em todo o território nacional, em conformidade com as disposições legais, com esta resolução e com as normas do Tribunal...","resolucao; gestao; cadastro; eleitoral; correlatos; serao; outubro; capitulo; prestacao; servicos","True","653","163"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS","inciso","Art. 1º, I","Art. 1º","Art. 1º","","I","","","I - modernização e desburocratização da gestão do Cadastro Eleitoral e dos serviços que lhe forem correlatos;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 1º, I
Tipo: inciso
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS
Dispositivo pai: Art. 1º
Páginas: 1017-1017
I - modernização e desburocratização da gestão do Cadastro Eleitoral e dos serviços que lhe forem correlatos;","I - modernização e desburocratização da gestão do Cadastro Eleitoral e dos serviços que lhe forem correlatos;","gestao; cadastro; eleitoral; correlatos; resolucao; outubro; capitulo; modernizacao; desburocratizacao; servicos","True","448","112"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS","inciso","Art. 1º, II","Art. 1º","Art. 1º","","II","","","II - conformidade do tratamento dos dados aos princípios e regras previstos na Lei Geral de Proteção dos Dados (LGPD) (Lei n. 13.709/2018);","","[]","0","Lei n. 13.709/2018","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 1º, II
Tipo: inciso
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS
Dispositivo pai: Art. 1º
Páginas: 1017-1017
II - conformidade do tratamento dos dados aos princípios e regras previstos na Lei Geral de Proteção dos Dados (LGPD) (Lei n. 13.709/2018);","II - conformidade do tratamento dos dados aos princípios e regras previstos na Lei Geral de Proteção dos Dados (LGPD) (Lei n. 13.709/2018);","dados; resolucao; outubro; capitulo; gestao; cadastro; eleitoral; correlatos; conformidade; tratamento","True","479","119"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS","inciso","Art. 1º, III","Art. 1º","Art. 1º","","III","","","III - preservação e facilitação do exercício da cidadania por pessoas ainda não alcançadas pela inclusão digital; e","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 1º, III
Tipo: inciso
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS
Dispositivo pai: Art. 1º
Páginas: 1017-1017
III - preservação e facilitação do exercício da cidadania por pessoas ainda não alcançadas pela inclusão digital; e","III - preservação e facilitação do exercício da cidadania por pessoas ainda não alcançadas pela inclusão digital; e","resolucao; outubro; capitulo; gestao; cadastro; eleitoral; correlatos; preservacao; facilitacao; exercicio","True","456","114"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS","inciso","Art. 1º, IV","Art. 1º","Art. 1º","","IV","","","IV - expansão e especialização dos serviços eleitorais com vistas ao adequado atendimento a pessoas com deficiência e grupos socialmente vulneráveis e minorizados.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 1º, IV
Tipo: inciso
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS
Dispositivo pai: Art. 1º
Páginas: 1017-1017
IV - expansão e especialização dos serviços eleitorais com vistas ao adequado atendimento a pessoas com deficiência e grupos socialmente vulneráveis e minorizados.","IV - expansão e especialização dos serviços eleitorais com vistas ao adequado atendimento a pessoas com deficiência e grupos socialmente vulneráveis e minorizados.","resolucao; outubro; capitulo; gestao; cadastro; eleitoral; correlatos; expansao; especializacao; servicos","True","503","125"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23659_2021","Resolução n. 23.659, de 26 de outubro de 2021","","Normas editadas pelo TSE","Resoluções","1017","1017","CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS","paragrafo","Art. 1º, Parágrafo único","Art. 1º","Art. 1º","Parágrafo único","","","","Parágrafo único. Os Tribunais Regionais Eleitorais utilizarão o sistema de gestão do Cadastro Eleitoral, desenvolvido pelo Tribunal Superior Eleitoral, e orientarão suas políticas de execução dos serviços eleitorais pelas diretrizes previstas no caput deste artigo. Seção II Do registro das informações no cadastro e da expedição de certidões","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.659, de 26 de outubro de 2021
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 1º, Parágrafo único
Tipo: paragrafo
Hierarquia: CAPÍTULO I - DA GESTÃO DO CADASTRO ELEITORAL E > CORRELATOS
Dispositivo pai: Art. 1º
Páginas: 1017-1017
Parágrafo único. Os Tribunais Regionais Eleitorais utilizarão o sistema de gestão do Cadastro Eleitoral, desenvolvido pelo Tribunal Superior Eleitoral, e orientarão suas políticas de execução dos serviços eleitorais pelas diretrizes previstas no caput deste artigo. Seção II Do registro das informações no cadastro e da expedição de certidões","Parágrafo único. Os Tribunais Regionais Eleitorais utilizarão o sistema de gestão do Cadastro Eleitoral, desenvolvido pelo Tribunal Superior Eleitoral, e orientarão suas políticas de execução dos serviços eleitorais pelas diretrizes...","cadastro; eleitoral; gestao; paragrafo; unico; eleitorais; resolucao; outubro; capitulo; correlatos","True","698","174"
