id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,norma,Portaria n. 322 de 30 de junho de 2011,,,,,,,"Estabelece critérios para o atendimento a advogados, partes e interessados nos feitos eleitorais com processamento a cargo da Secretaria Judiciária. A DIRETORA-GERAL DA SECRETARIA DO TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe são conferidas pelo",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Portaria n. 322 de 30 de junho de 2011 Tipo: norma Páginas: 1175-1175 Resumo: Norma Portaria n. 322/2011: Estabelece critérios para o atendimento a advogados, partes e interessados nos feitos eleitorais com processamento a cargo da Secretaria Judiciária. Estabelece critérios para o atendimento a advogados, partes e interessados nos feitos eleitorais com processamento a cargo da Secretaria Judiciária. A DIRETORA-GERAL DA SECRETARIA DO TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe são conferidas pelo","Norma Portaria n. 322/2011: Estabelece critérios para o atendimento a advogados, partes e interessados nos feitos eleitorais com processamento a cargo da Secretaria Judiciária.",portaria; junho; secretaria; estabelece; criterios; atendimento; advogados; partes; interessados; feitos,True,731,183,097_portaria_322_2011:1,097_portaria_322_2011.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,artigo,Art. 116,,Art. 116,,,,,"art. 116, inciso VIII, e pelo art. 142 do Regulamento Interno da Secretaria, resolve:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 116 Tipo: artigo Páginas: 1175-1175 Resumo: Art. 116: , inciso VIII, e pelo art. 142 do Regulamento Interno da Secretaria, resolve: art. 116, inciso VIII, e pelo art. 142 do Regulamento Interno da Secretaria, resolve:","Art. 116: , inciso VIII, e pelo art. 142 do Regulamento Interno da Secretaria, resolve:",portaria; junho; inciso; viii; regulamento; interno; secretaria; resolve,True,436,109,097_portaria_322_2011:2,097_portaria_322_2011.csv,,
3,3,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,artigo,Art. 1º,,Art. 1º,,,,,"Art. 1º Estabelecer critérios para o atendimento a advogados, partes e interessados nos feitos eleitorais com processamento a cargo da Secretaria Judiciária.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 1º Tipo: artigo Páginas: 1175-1175 Resumo: Art. 1º: Estabelecer critérios para o atendimento a advogados, partes e interessados nos feitos eleitorais com processamento a cargo da Secretaria Judiciária. Art. 1º Estabelecer critérios para o atendimento a advogados, partes e interessados nos feitos eleitorais com processamento a cargo da Secretaria Judiciária.","Art. 1º: Estabelecer critérios para o atendimento a advogados, partes e interessados nos feitos eleitorais com processamento a cargo da Secretaria Judiciária.",portaria; junho; estabelecer; criterios; atendimento; advogados; partes; interessados; feitos; eleitorais,True,578,144,097_portaria_322_2011:3,097_portaria_322_2011.csv,,
4,4,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,artigo,Art. 2º,,Art. 2º,,,,,"Art. 2º O atendimento presencial a advogados, partes e interessados na Secretaria Judiciária é realizado pela Coordenadoria de Processamento (CPRO).",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 2º Tipo: artigo Páginas: 1175-1175 Resumo: Art. 2º: O atendimento presencial a advogados, partes e interessados na Secretaria Judiciária é realizado pela Coordenadoria de Processamento (CPRO). Art. 2º O atendimento presencial a advogados, partes e interessados na Secretaria Judiciária é realizado pela Coordenadoria de Processamento (CPRO).","Art. 2º: O atendimento presencial a advogados, partes e interessados na Secretaria Judiciária é realizado pela Coordenadoria de Processamento (CPRO).",portaria; junho; atendimento; presencial; advogados; partes; interessados; secretaria; judiciaria; realizado,True,560,140,097_portaria_322_2011:4,097_portaria_322_2011.csv,,
5,5,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,paragrafo,"Art. 2º, Parágrafo único",Art. 2º,Art. 2º,Parágrafo único,,,,"Parágrafo único. Compete à Coordenadoria de Registros Partidários, Autuação e Distribuição (Cpadi) o atendimento referente à protocolização de peças e documentos processuais, ao registro, propaganda e prestação de contas de candidatos à Presidência da República e aos seguintes feitos, quando relativos aos órgãos de direção nacionais dos partidos políticos:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 2º, Parágrafo único Tipo: paragrafo Dispositivo pai: Art. 2º ID do dispositivo pai: 097_portaria_322_2011:4 Páginas: 1175-1175 Resumo: Art. 2º, Parágrafo único: Compete à Coordenadoria de Registros Partidários, Autuação e Distribuição (Cpadi) o atendimento referente à protocolização de peças e documentos processuais, ao registro, propaganda e prestação de contas de candidatos à Presidência da República e aos seguintes feitos, quando relativos aos órgãos de direção nacionais dos partidos políticos: Parágrafo único. Compete à Coordenadoria de Registros Partidários, Autuação e Distribuição (Cpadi) o atendimento referente à protocolização de peças e documentos processuais, ao registro, propaganda e prestação de contas de candidatos à Presidência da República e aos seguintes feitos, quando relativos aos órgãos de direção nacionais dos partidos políticos:","Art. 2º, Parágrafo único: Compete à Coordenadoria de Registros Partidários, Autuação e Distribuição (Cpadi) o atendimento referente à protocolização de peças e documentos processuais, ao registro, propaganda e prestação de contas de candidatos à Presidência da República e aos seguintes feitos, quando relativos aos órgãos de direção nacionais dos partidos políticos:",paragrafo; unico; portaria; junho; compete; coordenadoria; registros; partidarios; autuacao; distribuicao,True,1080,270,097_portaria_322_2011:5,097_portaria_322_2011.csv,4,097_portaria_322_2011:4
6,6,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,inciso,"Art. 2º, Parágrafo único, I","Art. 2º, Parágrafo único",Art. 2º,Parágrafo único,I,,,I - registro e anotação de órgãos partidários;,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 2º, Parágrafo único, I Tipo: inciso Dispositivo pai: Art. 2º, Parágrafo único ID do dispositivo pai: 097_portaria_322_2011:5 Páginas: 1175-1175 Resumo: Art. 2º, Parágrafo único, I, subordinado a Art. 2º, Parágrafo único: registro e anotação de órgãos partidários; I - registro e anotação de órgãos partidários;","Art. 2º, Parágrafo único, I, subordinado a Art. 2º, Parágrafo único: registro e anotação de órgãos partidários;",portaria; junho; paragrafo; unico; registro; anotacao; orgaos; partidarios,True,529,132,097_portaria_322_2011:6,097_portaria_322_2011.csv,5,097_portaria_322_2011:5
7,7,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,inciso,"Art. 2º, Parágrafo único, II","Art. 2º, Parágrafo único",Art. 2º,Parágrafo único,II,,,II - registro e alteração de estatutos;,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 2º, Parágrafo único, II Tipo: inciso Dispositivo pai: Art. 2º, Parágrafo único ID do dispositivo pai: 097_portaria_322_2011:5 Páginas: 1175-1175 Resumo: Art. 2º, Parágrafo único, II, subordinado a Art. 2º, Parágrafo único: registro e alteração de estatutos; II - registro e alteração de estatutos;","Art. 2º, Parágrafo único, II, subordinado a Art. 2º, Parágrafo único: registro e alteração de estatutos;",portaria; junho; paragrafo; unico; registro; alteracao; estatutos,True,516,129,097_portaria_322_2011:7,097_portaria_322_2011.csv,5,097_portaria_322_2011:5
8,8,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,inciso,"Art. 2º, Parágrafo único, III","Art. 2º, Parágrafo único",Art. 2º,Parágrafo único,III,,,III - prestações de contas; e,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 2º, Parágrafo único, III Tipo: inciso Dispositivo pai: Art. 2º, Parágrafo único ID do dispositivo pai: 097_portaria_322_2011:5 Páginas: 1175-1175 Resumo: Art. 2º, Parágrafo único, III, subordinado a Art. 2º, Parágrafo único: prestações de contas; e III - prestações de contas; e","Art. 2º, Parágrafo único, III, subordinado a Art. 2º, Parágrafo único: prestações de contas; e",portaria; junho; paragrafo; unico; prestacoes; contas,True,497,124,097_portaria_322_2011:8,097_portaria_322_2011.csv,5,097_portaria_322_2011:5
9,9,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,inciso,"Art. 2º, Parágrafo único, IV","Art. 2º, Parágrafo único",Art. 2º,Parágrafo único,IV,,,IV - propagandas partidárias.,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 2º, Parágrafo único, IV Tipo: inciso Dispositivo pai: Art. 2º, Parágrafo único ID do dispositivo pai: 097_portaria_322_2011:5 Páginas: 1175-1175 Resumo: Art. 2º, Parágrafo único, IV, subordinado a Art. 2º, Parágrafo único: propagandas partidárias. IV - propagandas partidárias.","Art. 2º, Parágrafo único, IV, subordinado a Art. 2º, Parágrafo único: propagandas partidárias.",portaria; junho; paragrafo; unico; propagandas; partidarias,True,496,124,097_portaria_322_2011:9,097_portaria_322_2011.csv,5,097_portaria_322_2011:5
10,10,Codigo_Eleitoral_2026_anotado.pdf,portaria_322_2011,Portaria n. 322 de 30 de junho de 2011,Portaria n. 322/2011,Normas editadas pelo TSE,Portarias,1175,1175,,artigo,Art. 3º,,Art. 3º,,,,,"Art. 3º O atendimento a advogados, partes e interessados é realizado nos horários de funcionamento do protocolo judiciário e se caracteriza pelo conjunto das seguintes atividades:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria n. 322 de 30 de junho de 2011 Nome popular/citação curta: Portaria n. 322/2011 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 3º Tipo: artigo Páginas: 1175-1175 Resumo: Art. 3º: O atendimento a advogados, partes e interessados é realizado nos horários de funcionamento do protocolo judiciário e se caracteriza pelo conjunto das seguintes atividades: Art. 3º O atendimento a advogados, partes e interessados é realizado nos horários de funcionamento do protocolo judiciário e se caracteriza pelo conjunto das seguintes atividades:","Art. 3º: O atendimento a advogados, partes e interessados é realizado nos horários de funcionamento do protocolo judiciário e se caracteriza pelo conjunto das seguintes atividades:",portaria; junho; atendimento; advogados; partes; interessados; realizado; horarios; funcionamento; protocolo,True,622,156,097_portaria_322_2011:10,097_portaria_322_2011.csv,,
