id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,norma,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,,,,,,,"Dispõe sobre o intercâmbio de informações entre o Tribunal Superior Eleitoral e a Secretaria da Receita Federal e dá outras providências. O MINISTRO PRESIDENTE DO TRIBUNAL SUPERIOR ELEITORAL E O SECRETÁRIO DA RECEITA FEDERAL, no uso de suas atribuições, resolvem:","Lei n. 11.457/2007, art. 1º: altera a denominação da Secretaria da Receita Federal (SRF) para Secretaria da Receita Federal do Brasil (RFB).
V. Port. Conjunta-TSE/RFB n. 1/2016:“Dispõe sobre o apoio institucional da Secretaria da Receita Federal do Brasil ao Tribunal Superior Eleitoral nas atividades de verificação de contas de candidatos e partidos políticos”.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Lei n. 11.457/2007, art. 1º: altera a denominação da Secretaria da Receita Federal (SRF) para Secretaria da Receita Federal do Brasil (RFB)."", ""pagina_inicial"": 1191, ""pagina_final"": 1191}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""V. Port. Conjunta-TSE/RFB n. 1/2016:“Dispõe sobre o apoio institucional da Secretaria da Receita Federal do Brasil ao Tribunal Superior Eleitoral nas atividades de verificação de contas de candidatos e partidos políticos”."", ""pagina_inicial"": 1191, ""pagina_final"": 1191}]",2,Lei n. 11.457/2007,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Tipo: norma Páginas: 1191-1191 Resumo: Norma Portaria Conjunta-TSE/SRF n. 74/2006: Dispõe sobre o intercâmbio de informações entre o Tribunal Superior Eleitoral e a Secretaria da Receita Federal e dá outras providências. | 2 nota(s) vinculada(s) Dispõe sobre o intercâmbio de informações entre o Tribunal Superior Eleitoral e a Secretaria da Receita Federal e dá outras providências. O MINISTRO PRESIDENTE DO TRIBUNAL SUPERIOR ELEITORAL E O SECRETÁRIO DA RECEITA FEDERAL, no uso de suas atribuições, resolvem: Notas vinculadas: Lei n. 11.457/2007, art. 1º: altera a denominação da Secretaria da Receita Federal (SRF) para Secretaria da Receita Federal do Brasil (RFB). V. Port. Conjunta-TSE/RFB n. 1/2016:“Dispõe sobre o apoio institucional da Secretaria da Receita Federal do Brasil ao Tribunal Superior Eleitoral nas atividades de verificação de contas de candidatos e partidos políticos”.",Norma Portaria Conjunta-TSE/SRF n. 74/2006: Dispõe sobre o intercâmbio de informações entre o Tribunal Superior Eleitoral e a Secretaria da Receita Federal e dá outras providências. | 2 nota(s) vinculada(s),receita; federal; secretaria; conjunta; tribunal; superior; eleitoral; portaria; janeiro; dispoe,True,1196,299,103_portaria_conjunta_74_2006:1,103_portaria_conjunta_74_2006.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,artigo,Art. 1º,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Art. 1º,,,,,"Art. 1º O Tribunal Superior Eleitoral (TSE) encaminhará à Secretaria da Receita Federal (SRF), em conformidade com prazos e procedimentos por ele fixados para cada pleito eleitoral, informações relativas a prestação de contas dos candidatos a cargos eletivos e dos comitês financeiros de partidos políticos, especificando:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 1º Tipo: artigo Dispositivo pai: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 ID do dispositivo pai: 103_portaria_conjunta_74_2006:1 Páginas: 1191-1191 Resumo: Art. 1º, subordinado a Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006: O Tribunal Superior Eleitoral (TSE) encaminhará à Secretaria da Receita Federal (SRF), em conformidade com prazos e procedimentos por ele fixados para cada pleito eleitoral, informações relativas a prestação de contas dos candidatos a cargos eletivos e dos comitês financeiros de partidos políticos, especificando: Art. 1º O Tribunal Superior Eleitoral (TSE) encaminhará à Secretaria da Receita Federal (SRF), em conformidade com prazos e procedimentos por ele fixados para cada pleito eleitoral, informações relativas a prestação de contas dos candidatos a cargos eletivos e dos comitês financeiros de partidos políticos, especificando:","Art. 1º, subordinado a Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006: O Tribunal Superior Eleitoral (TSE) encaminhará à Secretaria da Receita Federal (SRF), em conformidade com prazos e procedimentos por ele fixados para cada pleito eleitoral, informações relativas a prestação de contas dos candidatos a cargos eletivos e dos comitês financeiros de partidos políticos, especificando:",eleitoral; portaria; conjunta; janeiro; tribunal; superior; encaminhara; secretaria; receita; federal,True,1143,286,103_portaria_conjunta_74_2006:2,103_portaria_conjunta_74_2006.csv,1,103_portaria_conjunta_74_2006:1
3,3,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,inciso,"Art. 1º, I",Art. 1º,Art. 1º,,I,,,"I - as fontes de arrecadação, com a indicação do número de inscrição no Cadastro de Pessoas Físicas (CPF) ou no Cadastro Nacional da Pessoa Jurídica (CNPJ) dos respectivos doadores;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 1º, I Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 103_portaria_conjunta_74_2006:2 Páginas: 1191-1191 Resumo: Art. 1º, I, subordinado a Art. 1º: as fontes de arrecadação, com a indicação do número de inscrição no Cadastro de Pessoas Físicas (CPF) ou no Cadastro Nacional da Pessoa Jurídica (CNPJ) dos respectivos doadores; I - as fontes de arrecadação, com a indicação do número de inscrição no Cadastro de Pessoas Físicas (CPF) ou no Cadastro Nacional da Pessoa Jurídica (CNPJ) dos respectivos doadores;","Art. 1º, I, subordinado a Art. 1º: as fontes de arrecadação, com a indicação do número de inscrição no Cadastro de Pessoas Físicas (CPF) ou no Cadastro Nacional da Pessoa Jurídica (CNPJ) dos respectivos doadores;",cadastro; portaria; conjunta; janeiro; fontes; arrecadacao; indicacao; numero; inscricao; pessoas,True,773,193,103_portaria_conjunta_74_2006:3,103_portaria_conjunta_74_2006.csv,2,103_portaria_conjunta_74_2006:2
4,4,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,inciso,"Art. 1º, II",Art. 1º,Art. 1º,,II,,,"II - os recursos recebidos, financeiros ou não, e utilizados na campanha eleitoral, com a indicação de datas e valores;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 1º, II Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 103_portaria_conjunta_74_2006:2 Páginas: 1191-1191 Resumo: Art. 1º, II, subordinado a Art. 1º: os recursos recebidos, financeiros ou não, e utilizados na campanha eleitoral, com a indicação de datas e valores; II - os recursos recebidos, financeiros ou não, e utilizados na campanha eleitoral, com a indicação de datas e valores;","Art. 1º, II, subordinado a Art. 1º: os recursos recebidos, financeiros ou não, e utilizados na campanha eleitoral, com a indicação de datas e valores;",portaria; conjunta; janeiro; recursos; recebidos; financeiros; utilizados; campanha; eleitoral; indicacao,True,650,162,103_portaria_conjunta_74_2006:4,103_portaria_conjunta_74_2006.csv,2,103_portaria_conjunta_74_2006:2
5,5,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,inciso,"Art. 1º, III",Art. 1º,Art. 1º,,III,,,"III - o nome do candidato ou comitê financeiro beneficiário da doação, com indicação do número de inscrição no CNPJ e da conta bancária utilizada;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 1º, III Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 103_portaria_conjunta_74_2006:2 Páginas: 1191-1191 Resumo: Art. 1º, III, subordinado a Art. 1º: o nome do candidato ou comitê financeiro beneficiário da doação, com indicação do número de inscrição no CNPJ e da conta bancária utilizada; III - o nome do candidato ou comitê financeiro beneficiário da doação, com indicação do número de inscrição no CNPJ e da conta bancária utilizada;","Art. 1º, III, subordinado a Art. 1º: o nome do candidato ou comitê financeiro beneficiário da doação, com indicação do número de inscrição no CNPJ e da conta bancária utilizada;",portaria; conjunta; janeiro; nome; candidato; comite; financeiro; beneficiario; doacao; indicacao,True,705,176,103_portaria_conjunta_74_2006:5,103_portaria_conjunta_74_2006.csv,2,103_portaria_conjunta_74_2006:2
6,6,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,inciso,"Art. 1º, IV",Art. 1º,Art. 1º,,IV,,,"IV - o nome da pessoa física ou razão social da pessoa jurídica e respectivo número de inscrição no CPF ou no CNPJ, os valores recebidos, a data e, quando for o caso, o número do documento fiscal, relativos à prestação de serviços e fornecimento de mercadorias na campanha eleitoral.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 1º, IV Tipo: inciso Dispositivo pai: Art. 1º ID do dispositivo pai: 103_portaria_conjunta_74_2006:2 Páginas: 1191-1191 Resumo: Art. 1º, IV, subordinado a Art. 1º: o nome da pessoa física ou razão social da pessoa jurídica e respectivo número de inscrição no CPF ou no CNPJ, os valores recebidos, a data e, quando for o caso, o número do documento fiscal, relativos à prestação de serviços e fornecimento de mercadorias na campanha eleitoral. IV - o nome da pessoa física ou razão social da pessoa jurídica e respectivo número de inscrição no CPF ou no CNPJ, os valores recebidos, a data e, quando for o caso, o número do documento fiscal, relativos à prestação de serviços e fornecimento de mercadorias na campanha eleitoral.","Art. 1º, IV, subordinado a Art. 1º: o nome da pessoa física ou razão social da pessoa jurídica e respectivo número de inscrição no CPF ou no CNPJ, os valores recebidos, a data e, quando for o caso, o número do documento fiscal, relativos à prestação de serviços e fornecimento de mercadorias na campanha eleitoral.",pessoa; numero; portaria; conjunta; janeiro; nome; fisica; razao; social; juridica,True,978,244,103_portaria_conjunta_74_2006:6,103_portaria_conjunta_74_2006.csv,2,103_portaria_conjunta_74_2006:2
7,7,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,paragrafo,"Art. 1º, §1º",Art. 1º,Art. 1º,§1º,,,,§ 1º O disposto neste artigo também se aplica à prestação anual de contas dos partidos políticos.,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 1º, §1º Tipo: paragrafo Dispositivo pai: Art. 1º ID do dispositivo pai: 103_portaria_conjunta_74_2006:2 Páginas: 1191-1191 Resumo: Art. 1º, §1º, subordinado a Art. 1º: § 1º O disposto neste artigo também se aplica à prestação anual de contas dos partidos políticos. § 1º O disposto neste artigo também se aplica à prestação anual de contas dos partidos políticos.","Art. 1º, §1º, subordinado a Art. 1º: § 1º O disposto neste artigo também se aplica à prestação anual de contas dos partidos políticos.",portaria; conjunta; janeiro; disposto; neste; artigo; tambem; aplica; prestacao; anual,True,616,154,103_portaria_conjunta_74_2006:7,103_portaria_conjunta_74_2006.csv,2,103_portaria_conjunta_74_2006:2
8,8,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,paragrafo,"Art. 1º, §2º",Art. 1º,Art. 1º,§2º,,,,"§ 2º As informações de que trata este artigo deverão ser encaminhadas em meio eletrônico, observado modelo aprovado em ato conjunto da Secretaria de Informática do TSE e da Coordenação-Geral de Tecnologia e Segurança da Informação da SRF.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 1º, §2º Tipo: paragrafo Dispositivo pai: Art. 1º ID do dispositivo pai: 103_portaria_conjunta_74_2006:2 Páginas: 1191-1191 Resumo: Art. 1º, §2º, subordinado a Art. 1º: § 2º As informações de que trata este artigo deverão ser encaminhadas em meio eletrônico, observado modelo aprovado em ato conjunto da Secretaria de Informática do TSE e da Coordenação-Geral de Tecnologia e Segurança da Informação da SRF. § 2º As informações de que trata este artigo deverão ser encaminhadas em meio eletrônico, observado modelo aprovado em ato conjunto da Secretaria de Informática do TSE e da Coordenação-Geral de Tecnologia e Segurança da Informação da SRF.","Art. 1º, §2º, subordinado a Art. 1º: § 2º As informações de que trata este artigo deverão ser encaminhadas em meio eletrônico, observado modelo aprovado em ato conjunto da Secretaria de Informática do TSE e da Coordenação-Geral de Tecnologia e Segurança da Informação da SRF.",portaria; conjunta; janeiro; informacoes; trata; este; artigo; deverao; encaminhadas; meio,True,898,224,103_portaria_conjunta_74_2006:8,103_portaria_conjunta_74_2006.csv,2,103_portaria_conjunta_74_2006:2
9,9,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,artigo,Art. 2º,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Art. 2º,,,,,"Art. 2º Qualquer cidadão poderá apresentar denúncia à SRF sobre uso indevido de recursos, financeiros ou não, em campanha eleitoral ou nas atividades dos partidos políticos.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 2º Tipo: artigo Dispositivo pai: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 ID do dispositivo pai: 103_portaria_conjunta_74_2006:1 Páginas: 1191-1191 Resumo: Art. 2º, subordinado a Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006: Qualquer cidadão poderá apresentar denúncia à SRF sobre uso indevido de recursos, financeiros ou não, em campanha eleitoral ou nas atividades dos partidos políticos. Art. 2º Qualquer cidadão poderá apresentar denúncia à SRF sobre uso indevido de recursos, financeiros ou não, em campanha eleitoral ou nas atividades dos partidos políticos.","Art. 2º, subordinado a Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006: Qualquer cidadão poderá apresentar denúncia à SRF sobre uso indevido de recursos, financeiros ou não, em campanha eleitoral ou nas atividades dos partidos políticos.",portaria; conjunta; janeiro; qualquer; cidadao; podera; apresentar; denuncia; sobre; indevido,True,845,211,103_portaria_conjunta_74_2006:9,103_portaria_conjunta_74_2006.csv,1,103_portaria_conjunta_74_2006:1
10,10,Codigo_Eleitoral_2026_anotado.pdf,portaria_conjunta_74_2006,Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006,Portaria Conjunta-TSE/SRF n. 74/2006,Normas editadas pelo TSE,Portarias,1191,1191,,paragrafo,"Art. 2º, §1º",Art. 2º,Art. 2º,§1º,,,,"§ 1º A denúncia deverá ser formalizada por escrito, contendo:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Portaria Conjunta-TSE/SRF n. 74 de 10 de janeiro de 2006 Nome popular/citação curta: Portaria Conjunta-TSE/SRF n. 74/2006 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Portarias Dispositivo: Art. 2º, §1º Tipo: paragrafo Dispositivo pai: Art. 2º ID do dispositivo pai: 103_portaria_conjunta_74_2006:9 Páginas: 1191-1191 Resumo: Art. 2º, §1º, subordinado a Art. 2º: § 1º A denúncia deverá ser formalizada por escrito, contendo: § 1º A denúncia deverá ser formalizada por escrito, contendo:","Art. 2º, §1º, subordinado a Art. 2º: § 1º A denúncia deverá ser formalizada por escrito, contendo:",portaria; conjunta; janeiro; denuncia; devera; formalizada; escrito; contendo,True,544,136,103_portaria_conjunta_74_2006:10,103_portaria_conjunta_74_2006.csv,9,103_portaria_conjunta_74_2006:9
