"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","norma","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","","","","","","Define procedimentos básicos obrigatórios para a utilização do Sistema de Gerenciamento de Informações Partidárias (SGIP) no âmbito da Secretaria do Tribunal Superior Eleitoral. O DIRETOR-GERAL DA SECRETARIA DO TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe são conferidas pelo artigo 116, inciso VIII, do Regulamento Interno da Secretaria, e nos termos do procedimento protocolizado sob o número 2.824/2008, Considerando a Portaria n. 101 de 21 de fevereiro de 2008 que institui o uso obrigatório no Tribunal Superior Eleitoral, e facultativo nos Tribunais Regionais Eleitorais, do Sistema de Gerenciamento de Informações Partidárias (SGIP) no Tribunal Superior Eleitoral; e Considerando a necessidade de definir procedimentos básicos obrigatórios para a utilização do sistema no âmbito da Secretaria do Tribunal Superior Eleitoral; RESOLVE:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Tipo: norma
Páginas: 1199-1199
Define procedimentos básicos obrigatórios para a utilização do Sistema de Gerenciamento de Informações Partidárias (SGIP) no âmbito da Secretaria do Tribunal Superior Eleitoral. O DIRETOR-GERAL DA SECRETARIA DO TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe são conferidas pelo artigo 116, inciso VIII, do Regulamento Interno da Secretaria, e nos termos do procedimento protocolizado sob o número 2.824/2008, Considerando a Portaria n. 101 de 21 de fevereiro de 2008 que institui o uso obrigatório no Tribunal Superior Eleitoral, e facultativo nos Tribunais Regionais Eleitorais, do Sistema de Gerenciamento de Informações Partidárias (SGIP) no Tribunal Superior Eleitoral; e Considerando a necessidade de definir procedimentos básicos obrigatórios para a utilização do sistema no âmbito da Secretaria do Tribunal Superior Eleitoral; RESOLVE:","Define procedimentos básicos obrigatórios para a utilização do Sistema de Gerenciamento de Informações Partidárias (SGIP) no âmbito da Secretaria do Tribunal Superior Eleitoral. O DIRETOR-GERAL DA SECRETARIA DO TRIBUNAL SUPERIOR ELEITORAL...","tribunal; superior; eleitoral; secretaria; fevereiro; sistema; instrucao; normativa; procedimentos; basicos","True","1154","288"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º Determinar que os documentos concernentes ao registro, alteração e extinção das agremiações partidárias em âmbito nacional, em especial as alterações estatutárias, nomes de representantes nacionais e composições de órgãos de direção nacional, deverão ser encaminhados à unidade gestora do Sistema de Gerenciamento de Informações Partidárias (SGIP), para o devido processamento.","Res.-TSE n. 23697/2022: “Dispõe sobre o Sistema de Gerenciamento de Informações Partidárias (SGIP)”.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Res.-TSE n. 23697/2022: “Dispõe sobre o Sistema de Gerenciamento de Informações Partidárias (SGIP)”."", ""pagina_inicial"": 1199, ""pagina_final"": 1199}]","1","Res.-TSE n. 23697/2022","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 1º
Tipo: artigo
Páginas: 1199-1199
Art. 1º Determinar que os documentos concernentes ao registro, alteração e extinção das agremiações partidárias em âmbito nacional, em especial as alterações estatutárias, nomes de representantes nacionais e composições de órgãos de direção nacional, deverão ser encaminhados à unidade gestora do Sistema de Gerenciamento de Informações Partidárias (SGIP), para o devido processamento.
Notas vinculadas:
Res.-TSE n. 23697/2022: “Dispõe sobre o Sistema de Gerenciamento de Informações Partidárias (SGIP)”.","Art. 1º Determinar que os documentos concernentes ao registro, alteração e extinção das agremiações partidárias em âmbito nacional, em especial as alterações estatutárias, nomes de representantes nacionais e composições de órgãos de...","partidarias; nacional; sistema; gerenciamento; informacoes; sgip; instrucao; normativa; fevereiro; determinar","True","760","190"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","artigo","Art. 2º","","Art. 2º","","","","","Art. 2º O Sistema de Gerenciamento de Dados Partidários compõe-se de três módulos, sendo:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 2º
Tipo: artigo
Páginas: 1199-1199
Art. 2º O Sistema de Gerenciamento de Dados Partidários compõe-se de três módulos, sendo:","Art. 2º O Sistema de Gerenciamento de Dados Partidários compõe-se de três módulos, sendo:","instrucao; normativa; fevereiro; sistema; gerenciamento; dados; partidarios; compoe; tres; modulos","True","345","86"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","inciso","Art. 2º, I","Art. 2º","Art. 2º","","I","","","I - um Módulo Externo, cuja finalidade é propiciar aos partidos políticos a inserção remota, via internet, de informações partidárias, as quais, após deferimento pela autoridade, serão registradas no módulo interno do sistema;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 2º, I
Tipo: inciso
Dispositivo pai: Art. 2º
Páginas: 1199-1199
I - um Módulo Externo, cuja finalidade é propiciar aos partidos políticos a inserção remota, via internet, de informações partidárias, as quais, após deferimento pela autoridade, serão registradas no módulo interno do sistema;","I - um Módulo Externo, cuja finalidade é propiciar aos partidos políticos a inserção remota, via internet, de informações partidárias, as quais, após deferimento pela autoridade, serão registradas no módulo interno do sistema;","modulo; instrucao; normativa; fevereiro; externo; cuja; finalidade; propiciar; partidos; politicos","True","510","127"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","inciso","Art. 2º, II","Art. 2º","Art. 2º","","II","","","II - um Módulo Interno, que cuida do armazenamento das informações partidárias registradas e anotadas no sistema; e","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 2º, II
Tipo: inciso
Dispositivo pai: Art. 2º
Páginas: 1199-1199
II - um Módulo Interno, que cuida do armazenamento das informações partidárias registradas e anotadas no sistema; e","II - um Módulo Interno, que cuida do armazenamento das informações partidárias registradas e anotadas no sistema; e","instrucao; normativa; fevereiro; modulo; interno; cuida; armazenamento; informacoes; partidarias; registradas","True","400","100"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","inciso","Art. 2º, III","Art. 2º","Art. 2º","","III","","","III - um Módulo Consulta WEB cuja finalidade se subsume a dar conhecimento ao público em geral das informações partidárias armazenadas no sistema e a permitir aos interessados emissão de certidões, mediante acesso à página http://www.tse.gov.br, mantida por este Tribunal na rede mundial de computadores (internet).","Novo endereço eletrônico: http://www.tse.jus.br.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Novo endereço eletrônico: http://www.tse.jus.br."", ""pagina_inicial"": 1199, ""pagina_final"": 1199}]","1","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 2º, III
Tipo: inciso
Dispositivo pai: Art. 2º
Páginas: 1199-1199
III - um Módulo Consulta WEB cuja finalidade se subsume a dar conhecimento ao público em geral das informações partidárias armazenadas no sistema e a permitir aos interessados emissão de certidões, mediante acesso à página http://www.tse.gov.br, mantida por este Tribunal na rede mundial de computadores (internet).
Notas vinculadas:
Novo endereço eletrônico: http://www.tse.jus.br.","III - um Módulo Consulta WEB cuja finalidade se subsume a dar conhecimento ao público em geral das informações partidárias armazenadas no sistema e a permitir aos interessados emissão de certidões, mediante acesso à página...","http; instrucao; normativa; fevereiro; modulo; consulta; cuja; finalidade; subsume; conhecimento","True","668","167"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","artigo","Art. 3º","","Art. 3º","","","","","Art. 3º A utilização pelos partidos políticos do módulo externo do SGIP é facultativa.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 3º
Tipo: artigo
Páginas: 1199-1199
Art. 3º A utilização pelos partidos políticos do módulo externo do SGIP é facultativa.","Art. 3º A utilização pelos partidos políticos do módulo externo do SGIP é facultativa.","instrucao; normativa; fevereiro; utilizacao; partidos; politicos; modulo; externo; sgip; facultativa","True","342","85"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","artigo","Art. 4º","","Art. 4º","","","","","Art. 4º Fica autorizada a expedição de certidão, prevista no inciso III desta instrução normativa.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 4º
Tipo: artigo
Páginas: 1199-1199
Art. 4º Fica autorizada a expedição de certidão, prevista no inciso III desta instrução normativa.","Art. 4º Fica autorizada a expedição de certidão, prevista no inciso III desta instrução normativa.","instrucao; normativa; fevereiro; fica; autorizada; expedicao; certidao; prevista; inciso; desta","True","354","88"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1199","","artigo","Art. 5º","","Art. 5º","","","","","Art. 5º A atualização de versões do sistema será promovida sempre no último dia útil do mês de sua ocorrência, excetuando-se as indispensáveis ao seu funcionamento.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 5º
Tipo: artigo
Páginas: 1199-1199
Art. 5º A atualização de versões do sistema será promovida sempre no último dia útil do mês de sua ocorrência, excetuando-se as indispensáveis ao seu funcionamento.","Art. 5º A atualização de versões do sistema será promovida sempre no último dia útil do mês de sua ocorrência, excetuando-se as indispensáveis ao seu funcionamento.","instrucao; normativa; fevereiro; atualizacao; versoes; sistema; sera; promovida; sempre; ultimo","True","420","105"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","instrucao_normativa_3_2008","Instrução Normativa n. 3 de 21 de fevereiro de 2008","","Normas editadas pelo TSE","Instruções Normativas","1199","1200","","artigo","Art. 6º","","Art. 6º","","","","","Art. 6º Os procedimentos para acesso e utilização do SGIP, Módulos Interno, Externo e WEB, são aqueles descritos nos manuais dos usuários do sistema, disponibilizados no endereço http://ead.tse.gov.br/.","Novo endereço eletrônico: http://www. justicaeleitoral.jus.br/arquivos/manual-deutilizacao-do-sistema-de-informacoes.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Novo endereço eletrônico: http://www. justicaeleitoral.jus.br/arquivos/manual-deutilizacao-do-sistema-de-informacoes."", ""pagina_inicial"": 1200, ""pagina_final"": 1200}]","1","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Instrução Normativa n. 3 de 21 de fevereiro de 2008
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Instruções Normativas
Dispositivo: Art. 6º
Tipo: artigo
Páginas: 1199-1200
Art. 6º Os procedimentos para acesso e utilização do SGIP, Módulos Interno, Externo e WEB, são aqueles descritos nos manuais dos usuários do sistema, disponibilizados no endereço http://ead.tse.gov.br/.
Notas vinculadas:
Novo endereço eletrônico: http://www. justicaeleitoral.jus.br/arquivos/manual-deutilizacao-do-sistema-de-informacoes.","Art. 6º Os procedimentos para acesso e utilização do SGIP, Módulos Interno, Externo e WEB, são aqueles descritos nos manuais dos usuários do sistema, disponibilizados no endereço http://ead.tse.gov.br/.","sistema; endereco; http; instrucao; normativa; fevereiro; procedimentos; acesso; utilizacao; sgip","True","594","148"
