id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,,norma,Instrução Normativa Conjunta-TSE/RFB n. 2.001,,,,,,,"Dispõe sobre a inscrição de candidatos a cargos eletivos, inclusive vices e suplentes, no Cadastro Nacional da Pessoa Jurídica (CNPJ). O SECRETÁRIO ESPECIAL DA RECEITA FEDERAL DO BRASIL E O DIRETOR-GERAL DA SECRETARIA DO TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhes conferem o inciso III do",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Tipo: norma Páginas: 1201-1201 Resumo: Norma Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001: Dispõe sobre a inscrição de candidatos a cargos eletivos, inclusive vices e suplentes, no Cadastro Nacional da Pessoa Jurídica (CNPJ). Dispõe sobre a inscrição de candidatos a cargos eletivos, inclusive vices e suplentes, no Cadastro Nacional da Pessoa Jurídica (CNPJ). O SECRETÁRIO ESPECIAL DA RECEITA FEDERAL DO BRASIL E O DIRETOR-GERAL DA SECRETARIA DO TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhes conferem o inciso III do","Norma Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001: Dispõe sobre a inscrição de candidatos a cargos eletivos, inclusive vices e suplentes, no Cadastro Nacional da Pessoa Jurídica (CNPJ).",instrucao; normativa; conjunta; dispoe; sobre; inscricao; candidatos; cargos; eletivos; inclusive,True,847,212,106_instrucao_normativa_conjunta_2001:1,106_instrucao_normativa_conjunta_2001.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,,artigo,Art. 350,,Art. 350,,,,,"art. 350 do Regimento Interno da Secretaria Especial da Receita Federal do Brasil, aprovado pela Portaria-ME n. 284, de 27 de julho de 2020, e o inciso I do art. 116 do Regulamento Interno da Secretaria do Tribunal Superior Eleitoral, respectivamente, e tendo em vista o disposto na Emenda Constitucional n. 107, de 2 de julho de 2020, nos arts. 1º, 3º e 5º da Lei n. 5.614, de 5 de outubro de 1970, nos arts. 80 a 82 da Lei n. 9.430, de 27 de dezembro de 1996, nos arts. 22 e 22-A da Lei n. 9.504, de 30 de setembro de 1997, e na Portaria-MF n. 187, de 26 de abril de 1993, resolve:",,[],0,Lei n. 5.614; Lei n. 9.430; Lei n. 9.504,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: Art. 350 Tipo: artigo Páginas: 1201-1201 Resumo: Art. 350: do Regimento Interno da Secretaria Especial da Receita Federal do Brasil, aprovado pela Portaria-ME n. 284, de 27 de julho de 2020, e o inciso I do art. 116 do Regulamento Interno da Secretaria do Tribunal Superior Eleitoral, respectivamente, e tendo em vista o disposto na Emenda Constitucional n. 107, de 2 de julho de 2020, nos arts. 1º, 3º e 5º da Lei n. 5.614, de 5 de outubro de 1970, nos arts. 80 a 82... art. 350 do Regimento Interno da Secretaria Especial da Receita Federal do Brasil, aprovado pela Portaria-ME n. 284, de 27 de julho de 2020, e o inciso I do art. 116 do Regulamento Interno da Secretaria do Tribunal Superior Eleitoral, respectivamente, e tendo em vista o disposto na Emenda Constitucional n. 107, de 2 de julho de 2020, nos arts. 1º, 3º e 5º da Lei n. 5.614, de 5 de outubro de 1970, nos arts. 80 a 82 da Lei n. 9.430, de 27 de dezembro de 1996, nos arts. 22 e 22-A da Lei n. 9.504, de 30 de setembro de 1997, e na Portaria-MF n. 187, de 26 de abril de 1993, resolve:","Art. 350: do Regimento Interno da Secretaria Especial da Receita Federal do Brasil, aprovado pela Portaria-ME n. 284, de 27 de julho de 2020, e o inciso I do art. 116 do Regulamento Interno da Secretaria do Tribunal Superior Eleitoral, respectivamente, e tendo em vista o disposto na Emenda Constitucional n. 107, de 2 de julho de 2020, nos arts. 1º, 3º e 5º da Lei n. 5.614, de 5 de outubro de 1970, nos arts. 80 a 82...",arts; interno; secretaria; portaria; julho; instrucao; normativa; conjunta; regimento; especial,True,1317,329,106_instrucao_normativa_conjunta_2001:2,106_instrucao_normativa_conjunta_2001.csv,,
3,3,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,CAPÍTULO I - DISPOSIÇÕES INICIAIS,estrutura,CAPÍTULO I - DISPOSIÇÕES INICIAIS,,Art. 350,,,,,CAPÍTULO I - DISPOSIÇÕES INICIAIS,,[],0,,,,Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: CAPÍTULO I - DISPOSIÇÕES INICIAIS Tipo: estrutura Hierarquia: CAPÍTULO I - DISPOSIÇÕES INICIAIS Páginas: 1201-1201 Resumo: Estrutura da Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 CAPÍTULO I - DISPOSIÇÕES INICIAIS,Estrutura da Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,capitulo; disposicoes; iniciais; instrucao; normativa; conjunta,True,483,121,106_instrucao_normativa_conjunta_2001:3,106_instrucao_normativa_conjunta_2001.csv,,
4,4,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,CAPÍTULO I - DISPOSIÇÕES INICIAIS,artigo,Art. 1º,,Art. 1º,,,,,"Art. 1º Estão obrigados à inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ), na forma estabelecida por esta instrução normativa, os candidatos a cargos eletivos, inclusive vices e suplentes.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: Art. 1º Tipo: artigo Hierarquia: CAPÍTULO I - DISPOSIÇÕES INICIAIS Páginas: 1201-1201 Resumo: Art. 1º: Estão obrigados à inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ), na forma estabelecida por esta instrução normativa, os candidatos a cargos eletivos, inclusive vices e suplentes. Art. 1º Estão obrigados à inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ), na forma estabelecida por esta instrução normativa, os candidatos a cargos eletivos, inclusive vices e suplentes.","Art. 1º: Estão obrigados à inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ), na forma estabelecida por esta instrução normativa, os candidatos a cargos eletivos, inclusive vices e suplentes.",instrucao; normativa; conjunta; capitulo; disposicoes; iniciais; estao; obrigados; inscricao; cadastro,True,753,188,106_instrucao_normativa_conjunta_2001:4,106_instrucao_normativa_conjunta_2001.csv,,
5,5,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,CAPÍTULO I - DISPOSIÇÕES INICIAIS,paragrafo,"Art. 1º, §1º",Art. 1º,Art. 1º,§1º,,,,§ 1º A inscrição a que se refere o caput destina-se à abertura de contas bancárias e ao controle de documentos relativos à captação e movimentação de fundos e gastos de campanha eleitoral.,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: Art. 1º, §1º Tipo: paragrafo Hierarquia: CAPÍTULO I - DISPOSIÇÕES INICIAIS Dispositivo pai: Art. 1º ID do dispositivo pai: 106_instrucao_normativa_conjunta_2001:4 Páginas: 1201-1201 Resumo: Art. 1º, §1º: § 1º A inscrição a que se refere o caput destina-se à abertura de contas bancárias e ao controle de documentos relativos à captação e movimentação de fundos e gastos de campanha eleitoral. § 1º A inscrição a que se refere o caput destina-se à abertura de contas bancárias e ao controle de documentos relativos à captação e movimentação de fundos e gastos de campanha eleitoral.","Art. 1º, §1º: § 1º A inscrição a que se refere o caput destina-se à abertura de contas bancárias e ao controle de documentos relativos à captação e movimentação de fundos e gastos de campanha eleitoral.",instrucao; normativa; conjunta; capitulo; disposicoes; iniciais; inscricao; refere; caput; destina,True,844,211,106_instrucao_normativa_conjunta_2001:5,106_instrucao_normativa_conjunta_2001.csv,4,106_instrucao_normativa_conjunta_2001:4
6,6,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,CAPÍTULO I - DISPOSIÇÕES INICIAIS,paragrafo,"Art. 1º, §2º",Art. 1º,Art. 1º,§2º,,,,§ 2º Para fins do disposto neste artigo:,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: Art. 1º, §2º Tipo: paragrafo Hierarquia: CAPÍTULO I - DISPOSIÇÕES INICIAIS Dispositivo pai: Art. 1º ID do dispositivo pai: 106_instrucao_normativa_conjunta_2001:4 Páginas: 1201-1201 Resumo: Art. 1º, §2º: § 2º Para fins do disposto neste artigo: § 2º Para fins do disposto neste artigo:","Art. 1º, §2º: § 2º Para fins do disposto neste artigo:",instrucao; normativa; conjunta; capitulo; disposicoes; iniciais; fins; disposto; neste; artigo,True,548,137,106_instrucao_normativa_conjunta_2001:6,106_instrucao_normativa_conjunta_2001.csv,4,106_instrucao_normativa_conjunta_2001:4
7,7,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,CAPÍTULO I - DISPOSIÇÕES INICIAIS,inciso,"Art. 1º, §2º, I","Art. 1º, §2º",Art. 1º,§2º,I,,,"I - o código referente à natureza jurídica, informado na inscrição cadastral, será 409-0 – Candidato a Cargo Político Eletivo; e",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: Art. 1º, §2º, I Tipo: inciso Hierarquia: CAPÍTULO I - DISPOSIÇÕES INICIAIS Dispositivo pai: Art. 1º, §2º ID do dispositivo pai: 106_instrucao_normativa_conjunta_2001:6 Páginas: 1201-1201 Resumo: Art. 1º, §2º, I, subordinado a Art. 1º, §2º: o código referente à natureza jurídica, informado na inscrição cadastral, será 409-0 – Candidato a Cargo Político Eletivo; e I - o código referente à natureza jurídica, informado na inscrição cadastral, será 409-0 – Candidato a Cargo Político Eletivo; e","Art. 1º, §2º, I, subordinado a Art. 1º, §2º: o código referente à natureza jurídica, informado na inscrição cadastral, será 409-0 – Candidato a Cargo Político Eletivo; e",instrucao; normativa; conjunta; capitulo; disposicoes; iniciais; codigo; referente; natureza; juridica,True,756,189,106_instrucao_normativa_conjunta_2001:7,106_instrucao_normativa_conjunta_2001.csv,6,106_instrucao_normativa_conjunta_2001:6
8,8,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,CAPÍTULO I - DISPOSIÇÕES INICIAIS,inciso,"Art. 1º, §2º, II","Art. 1º, §2º",Art. 1º,§2º,II,,,II - o código da Classificação Nacional de Atividades Econômicas (CNAE) a ser atribuído na inscrição será 9492-8/00 – Atividades de Organizações Políticas.,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: Art. 1º, §2º, II Tipo: inciso Hierarquia: CAPÍTULO I - DISPOSIÇÕES INICIAIS Dispositivo pai: Art. 1º, §2º ID do dispositivo pai: 106_instrucao_normativa_conjunta_2001:6 Páginas: 1201-1201 Resumo: Art. 1º, §2º, II, subordinado a Art. 1º, §2º: o código da Classificação Nacional de Atividades Econômicas (CNAE) a ser atribuído na inscrição será 9492-8/00 – Atividades de Organizações Políticas. II - o código da Classificação Nacional de Atividades Econômicas (CNAE) a ser atribuído na inscrição será 9492-8/00 – Atividades de Organizações Políticas.","Art. 1º, §2º, II, subordinado a Art. 1º, §2º: o código da Classificação Nacional de Atividades Econômicas (CNAE) a ser atribuído na inscrição será 9492-8/00 – Atividades de Organizações Políticas.",atividades; instrucao; normativa; conjunta; capitulo; disposicoes; iniciais; codigo; classificacao; nacional,True,811,203,106_instrucao_normativa_conjunta_2001:8,106_instrucao_normativa_conjunta_2001.csv,6,106_instrucao_normativa_conjunta_2001:6
9,9,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,CAPÍTULO I - DISPOSIÇÕES INICIAIS,paragrafo,"Art. 1º, §3º",Art. 1º,Art. 1º,§3º,,,,"§ 3º Para a finalidade prevista no § 1º, os diretórios partidários deverão utilizar sua inscrição no CNPJ já existente, nos termos do § 7º do art. 4º da Instrução Normativa-RFB n. 1.863, de 27 de dezembro de 2018.","IN-RFB n. 1.863/2018 revogada pelo art. 58, I, da IN-RFB n. 2.119/2022.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""IN-RFB n. 1.863/2018 revogada pelo art. 58, I, da IN-RFB n. 2.119/2022."", ""pagina_inicial"": 1201, ""pagina_final"": 1201}]",1,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: Art. 1º, §3º Tipo: paragrafo Hierarquia: CAPÍTULO I - DISPOSIÇÕES INICIAIS Dispositivo pai: Art. 1º ID do dispositivo pai: 106_instrucao_normativa_conjunta_2001:4 Páginas: 1201-1201 Resumo: Art. 1º, §3º: § 3º Para a finalidade prevista no § 1º, os diretórios partidários deverão utilizar sua inscrição no CNPJ já existente, nos termos do § 7º do art. 4º da Instrução Normativa-RFB n. 1.863, de 27 de dezembro de 2018. | há marcação de revogação/cancelamento/veto; 1 nota(s) vinculada(s) § 3º Para a finalidade prevista no § 1º, os diretórios partidários deverão utilizar sua inscrição no CNPJ já existente, nos termos do § 7º do art. 4º da Instrução Normativa-RFB n. 1.863, de 27 de dezembro de 2018. Notas vinculadas: IN-RFB n. 1.863/2018 revogada pelo art. 58, I, da IN-RFB n. 2.119/2022.","Art. 1º, §3º: § 3º Para a finalidade prevista no § 1º, os diretórios partidários deverão utilizar sua inscrição no CNPJ já existente, nos termos do § 7º do art. 4º da Instrução Normativa-RFB n. 1.863, de 27 de dezembro de 2018. | há marcação de revogação/cancelamento/veto; 1 nota(s) vinculada(s)",instrucao; normativa; conjunta; capitulo; disposicoes; iniciais; finalidade; prevista; diretorios; partidarios,True,1053,263,106_instrucao_normativa_conjunta_2001:9,106_instrucao_normativa_conjunta_2001.csv,4,106_instrucao_normativa_conjunta_2001:4
10,10,Codigo_Eleitoral_2026_anotado.pdf,instrucao_normativa_conjunta_2001,Instrução Normativa Conjunta-TSE/RFB n. 2.001,Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,Normas editadas pelo TSE,Instruções Normativas,1201,1201,CAPÍTULO II - DOS PROCEDIMENTOS,estrutura,CAPÍTULO II - DOS PROCEDIMENTOS,,Art. 1º,§3º,,,,CAPÍTULO II - DOS PROCEDIMENTOS,,[],0,,,,Documento: Codigo Eleitoral 2026 anotado Norma: Instrução Normativa Conjunta-TSE/RFB n. 2.001 Nome popular/citação curta: Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Instruções Normativas Dispositivo: CAPÍTULO II - DOS PROCEDIMENTOS Tipo: estrutura Hierarquia: CAPÍTULO II - DOS PROCEDIMENTOS Páginas: 1201-1201 Resumo: Estrutura da Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001 CAPÍTULO II - DOS PROCEDIMENTOS,Estrutura da Instrução Normativa Conjunta-TSE/RFB n. 2.001/2001,capitulo; procedimentos; instrucao; normativa; conjunta,True,477,119,106_instrucao_normativa_conjunta_2001:10,106_instrucao_normativa_conjunta_2001.csv,,
