id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,norma,Provimento-CGE n. 2 de 15 de maio de 2024,,,,,,,"Estabelece diretrizes para a movimentação extraordinária de eleitoras e eleitores (DE-PARA 7). O CORREGEDOR-GERAL DA JUSTIÇA ELEITORAL, no uso das atribuições que lhe são conferidas pelos incisos V e XII do art. 2º da Resolução-TSE n. 7.651, de 24 de agosto de 1965 e considerando o disposto no art. 20 da Resolução-TSE n. 23.737/2024, RESOLVE:",Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024.,"[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024."", ""pagina_inicial"": 1301, ""pagina_final"": 1301}]",1,Res.-TSE n. 7651/1965; Res.-TSE n. 23742/2024; Resolução-TSE n. 7.651; Resolução-TSE n. 23.737/2024,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Provimento-CGE n. 2 de 15 de maio de 2024 Tipo: norma Páginas: 1301-1301 Resumo: Norma Provimento-CGE n. 2/2024: Estabelece diretrizes para a movimentação extraordinária de eleitoras e eleitores (DE-PARA 7). | há marcação de revogação/cancelamento/veto; 1 nota(s) vinculada(s) Estabelece diretrizes para a movimentação extraordinária de eleitoras e eleitores (DE-PARA 7). O CORREGEDOR-GERAL DA JUSTIÇA ELEITORAL, no uso das atribuições que lhe são conferidas pelos incisos V e XII do art. 2º da Resolução-TSE n. 7.651, de 24 de agosto de 1965 e considerando o disposto no art. 20 da Resolução-TSE n. 23.737/2024, RESOLVE: Notas vinculadas: Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024.",Norma Provimento-CGE n. 2/2024: Estabelece diretrizes para a movimentação extraordinária de eleitoras e eleitores (DE-PARA 7). | há marcação de revogação/cancelamento/veto; 1 nota(s) vinculada(s),provimento; maio; resolucao; estabelece; diretrizes; movimentacao; extraordinaria; eleitoras; eleitores; corregedor,True,937,234,127_provimento_cge_2_2024:1,127_provimento_cge_2_2024.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,artigo,Art. 1º,,Art. 1º,,,,,Art. 1º A movimentação extraordinária de eleitoras e eleitores entre as seções eleitorais (DE-PARA 7) observará o disposto neste provimento.,,[],0,,,,Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 1º Tipo: artigo Páginas: 1301-1301 Resumo: Art. 1º: A movimentação extraordinária de eleitoras e eleitores entre as seções eleitorais (DE-PARA 7) observará o disposto neste provimento. Art. 1º A movimentação extraordinária de eleitoras e eleitores entre as seções eleitorais (DE-PARA 7) observará o disposto neste provimento.,Art. 1º: A movimentação extraordinária de eleitoras e eleitores entre as seções eleitorais (DE-PARA 7) observará o disposto neste provimento.,provimento; maio; movimentacao; extraordinaria; eleitoras; eleitores; secoes; eleitorais; observara; disposto,True,557,139,127_provimento_cge_2_2024:2,127_provimento_cge_2_2024.csv,,
3,3,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,artigo,Art. 2º,,Art. 2º,,,,,"Art. 2º A movimentação extraordinária de eleitoras e eleitores poderá ser promovida por meio da operação “DE-PARA 7” em situações excepcionais em que se pretenda evitar transtornos recorrentes que lhes causem desconforto acima do razoável, relacionados ao desequilíbrio na distribuição de votantes entre as seções do mesmo local de votação.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 2º Tipo: artigo Páginas: 1301-1301 Resumo: Art. 2º: A movimentação extraordinária de eleitoras e eleitores poderá ser promovida por meio da operação “DE-PARA 7” em situações excepcionais em que se pretenda evitar transtornos recorrentes que lhes causem desconforto acima do razoável, relacionados ao desequilíbrio na distribuição de votantes entre as seções do mesmo local de votação. Art. 2º A movimentação extraordinária de eleitoras e eleitores poderá ser promovida por meio da operação “DE-PARA 7” em situações excepcionais em que se pretenda evitar transtornos recorrentes que lhes causem desconforto acima do razoável, relacionados ao desequilíbrio na distribuição de votantes entre as seções do mesmo local de votação.","Art. 2º: A movimentação extraordinária de eleitoras e eleitores poderá ser promovida por meio da operação “DE-PARA 7” em situações excepcionais em que se pretenda evitar transtornos recorrentes que lhes causem desconforto acima do razoável, relacionados ao desequilíbrio na distribuição de votantes entre as seções do mesmo local de votação.",provimento; maio; movimentacao; extraordinaria; eleitoras; eleitores; podera; promovida; meio; operacao,True,957,239,127_provimento_cge_2_2024:3,127_provimento_cge_2_2024.csv,,
4,4,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,artigo,Art. 3º,,Art. 3º,,,,,"Art. 3º A movimentação extraordinária de eleitoras e eleitores, quando necessária, observará as seguintes diretrizes:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 3º Tipo: artigo Páginas: 1301-1301 Resumo: Art. 3º: A movimentação extraordinária de eleitoras e eleitores, quando necessária, observará as seguintes diretrizes: Art. 3º A movimentação extraordinária de eleitoras e eleitores, quando necessária, observará as seguintes diretrizes:","Art. 3º: A movimentação extraordinária de eleitoras e eleitores, quando necessária, observará as seguintes diretrizes:",provimento; maio; movimentacao; extraordinaria; eleitoras; eleitores; quando; necessaria; observara; seguintes,True,511,128,127_provimento_cge_2_2024:4,127_provimento_cge_2_2024.csv,,
5,5,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,inciso,"Art. 3º, I",Art. 3º,Art. 3º,,I,,,I - a operação tem caráter definitivo e não se confunde com as hipóteses de transferência temporária ou de agregação;,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 3º, I Tipo: inciso Dispositivo pai: Art. 3º ID do dispositivo pai: 127_provimento_cge_2_2024:4 Páginas: 1301-1301 Resumo: Art. 3º, I, subordinado a Art. 3º: a operação tem caráter definitivo e não se confunde com as hipóteses de transferência temporária ou de agregação; I - a operação tem caráter definitivo e não se confunde com as hipóteses de transferência temporária ou de agregação;","Art. 3º, I, subordinado a Art. 3º: a operação tem caráter definitivo e não se confunde com as hipóteses de transferência temporária ou de agregação;",provimento; maio; operacao; carater; definitivo; confunde; hipoteses; transferencia; temporaria; agregacao,True,620,155,127_provimento_cge_2_2024:5,127_provimento_cge_2_2024.csv,4,127_provimento_cge_2_2024:4
6,6,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,inciso,"Art. 3º, II",Art. 3º,Art. 3º,,II,,,II - a movimentação somente se dará entre seções de um mesmo local de votação;,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 3º, II Tipo: inciso Dispositivo pai: Art. 3º ID do dispositivo pai: 127_provimento_cge_2_2024:4 Páginas: 1301-1301 Resumo: Art. 3º, II, subordinado a Art. 3º: a movimentação somente se dará entre seções de um mesmo local de votação; II - a movimentação somente se dará entre seções de um mesmo local de votação;","Art. 3º, II, subordinado a Art. 3º: a movimentação somente se dará entre seções de um mesmo local de votação;",provimento; maio; movimentacao; somente; dara; secoes; mesmo; local; votacao,True,543,136,127_provimento_cge_2_2024:6,127_provimento_cge_2_2024.csv,4,127_provimento_cge_2_2024:4
7,7,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,inciso,"Art. 3º, III",Art. 3º,Art. 3º,,III,,,"III - eleitoras e eleitores com deficiência ou idosos poderão ser movimentados apenas para seções com acessibilidade, mas não serão concentrados em seção específica;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 3º, III Tipo: inciso Dispositivo pai: Art. 3º ID do dispositivo pai: 127_provimento_cge_2_2024:4 Páginas: 1301-1301 Resumo: Art. 3º, III, subordinado a Art. 3º: eleitoras e eleitores com deficiência ou idosos poderão ser movimentados apenas para seções com acessibilidade, mas não serão concentrados em seção específica; III - eleitoras e eleitores com deficiência ou idosos poderão ser movimentados apenas para seções com acessibilidade, mas não serão concentrados em seção específica;","Art. 3º, III, subordinado a Art. 3º: eleitoras e eleitores com deficiência ou idosos poderão ser movimentados apenas para seções com acessibilidade, mas não serão concentrados em seção específica;",provimento; maio; eleitoras; eleitores; deficiencia; idosos; poderao; movimentados; apenas; secoes,True,718,180,127_provimento_cge_2_2024:7,127_provimento_cge_2_2024.csv,4,127_provimento_cge_2_2024:4
8,8,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,inciso,"Art. 3º, IV",Art. 3º,Art. 3º,,IV,,,IV - eleitoras e eleitores movimentados serão comunicados sobre a nova seção em que votarão;,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 3º, IV Tipo: inciso Dispositivo pai: Art. 3º ID do dispositivo pai: 127_provimento_cge_2_2024:4 Páginas: 1301-1301 Resumo: Art. 3º, IV, subordinado a Art. 3º: eleitoras e eleitores movimentados serão comunicados sobre a nova seção em que votarão; IV - eleitoras e eleitores movimentados serão comunicados sobre a nova seção em que votarão;","Art. 3º, IV, subordinado a Art. 3º: eleitoras e eleitores movimentados serão comunicados sobre a nova seção em que votarão;",provimento; maio; eleitoras; eleitores; movimentados; serao; comunicados; sobre; nova; secao,True,571,143,127_provimento_cge_2_2024:8,127_provimento_cge_2_2024.csv,4,127_provimento_cge_2_2024:4
9,9,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,inciso,"Art. 3º, V",Art. 3º,Art. 3º,,V,,,"V - a movimentação extraordinária não será utilizada para simples equalização do número de eleitoras e eleitores das seções do local de votação, destinando-se a situações em que o desequilíbrio nesse número provoque transtornos evidentes e recorrentes ao processo de votação;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 3º, V Tipo: inciso Dispositivo pai: Art. 3º ID do dispositivo pai: 127_provimento_cge_2_2024:4 Páginas: 1301-1301 Resumo: Art. 3º, V, subordinado a Art. 3º: a movimentação extraordinária não será utilizada para simples equalização do número de eleitoras e eleitores das seções do local de votação, destinando-se a situações em que o desequilíbrio nesse número provoque transtornos evidentes e recorrentes ao processo de votação; V - a movimentação extraordinária não será utilizada para simples equalização do número de eleitoras e eleitores das seções do local de votação, destinando-se a situações em que o desequilíbrio nesse número provoque transtornos evidentes e recorrentes ao processo de votação;","Art. 3º, V, subordinado a Art. 3º: a movimentação extraordinária não será utilizada para simples equalização do número de eleitoras e eleitores das seções do local de votação, destinando-se a situações em que o desequilíbrio nesse número provoque transtornos evidentes e recorrentes ao processo de votação;",numero; votacao; provimento; maio; movimentacao; extraordinaria; sera; utilizada; simples; equalizacao,True,936,234,127_provimento_cge_2_2024:9,127_provimento_cge_2_2024.csv,4,127_provimento_cge_2_2024:4
10,10,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2024,Provimento-CGE n. 2 de 15 de maio de 2024,Provimento-CGE n. 2/2024,Normas editadas pelo TSE,Provimentos-CGE,1301,1301,,inciso,"Art. 3º, VI",Art. 3º,Art. 3º,,VI,,,VI - a movimentação poderá ser solicitada a partir de 30 dias anteriores ao fechamento do cadastro;,Inciso VI com redação dada pelo art. 1º do Prov.-CGE n. 1/2026.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Inciso VI com redação dada pelo art. 1º do Prov.-CGE n. 1/2026."", ""pagina_inicial"": 1301, ""pagina_final"": 1301}]",1,Prov.-CGE n. 1/2026,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 15 de maio de 2024 Nome popular/citação curta: Provimento-CGE n. 2/2024 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 3º, VI Tipo: inciso Dispositivo pai: Art. 3º ID do dispositivo pai: 127_provimento_cge_2_2024:4 Páginas: 1301-1301 Resumo: Art. 3º, VI, subordinado a Art. 3º: a movimentação poderá ser solicitada a partir de 30 dias anteriores ao fechamento do cadastro; | 1 nota(s) vinculada(s) VI - a movimentação poderá ser solicitada a partir de 30 dias anteriores ao fechamento do cadastro; Notas vinculadas: Inciso VI com redação dada pelo art. 1º do Prov.-CGE n. 1/2026.","Art. 3º, VI, subordinado a Art. 3º: a movimentação poderá ser solicitada a partir de 30 dias anteriores ao fechamento do cadastro; | 1 nota(s) vinculada(s)",provimento; maio; movimentacao; podera; solicitada; partir; dias; anteriores; fechamento; cadastro,True,692,173,127_provimento_cge_2_2024:10,127_provimento_cge_2_2024.csv,4,127_provimento_cge_2_2024:4
