id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,norma,"Resolução-TCU n. 241, de 26 de janeiro de 2011",,,,,,,"Estabelece procedimentos para envio da relação de responsáveis que tiveram as contas julgadas irregulares à Justiça Eleitoral e ao Ministério Público Eleitoral e dá outras providências. O TRIBUNAL DE CONTAS DA UNIÃO, no uso de suas atribuições legais e regimentais, Considerando o disposto no art. 1º, inciso I, alínea g da Lei Complementar n. 64, de 18 de maio de 1990, no art. 11, § 5º, da Lei n. 9.504, de 30 de setembro de 1997, e no art. 91 da Lei n. 8.443, de 16 de julho de 1992; e Considerando os pareceres constantes do processo TC 021.507/2010-4, acerca do alcance do",,[],0,Lei Complementar n. 64; Lei n. 9.504; Lei n. 8.443,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Resolução-TCU n. 241, de 26 de janeiro de 2011 Tipo: norma Páginas: 1343-1343 Resumo: Norma Resolução-TCU n. 241/2011: Estabelece procedimentos para envio da relação de responsáveis que tiveram as contas julgadas irregulares à Justiça Eleitoral e ao Ministério Público Eleitoral e dá outras providências. Estabelece procedimentos para envio da relação de responsáveis que tiveram as contas julgadas irregulares à Justiça Eleitoral e ao Ministério Público Eleitoral e dá outras providências. O TRIBUNAL DE CONTAS DA UNIÃO, no uso de suas atribuições legais e regimentais, Considerando o disposto no art. 1º, inciso I, alínea g da Lei Complementar n. 64, de 18 de maio de 1990, no art. 11, § 5º, da Lei n. 9.504, de 30 de setembro de 1997, e no art. 91 da Lei n. 8.443, de 16 de julho de 1992; e Considerando os pareceres constantes do processo TC 021.507/2010-4, acerca do alcance do",Norma Resolução-TCU n. 241/2011: Estabelece procedimentos para envio da relação de responsáveis que tiveram as contas julgadas irregulares à Justiça Eleitoral e ao Ministério Público Eleitoral e dá outras providências.,resolucao; janeiro; contas; eleitoral; considerando; estabelece; procedimentos; envio; relacao; responsaveis,True,1108,277,209_resolucao_tcu_241_2011:1,209_resolucao_tcu_241_2011.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,artigo,Art. 1º,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Art. 1º,,,,,"art. 1º, inciso I, alínea g da Lei Complementar n. 64, em vista da edição da Lei Complementar n. 135, de 4 de junho de 2010, RESOLVE:",,[],0,Lei Complementar n. 64; Lei Complementar n. 135,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 1º Tipo: artigo Dispositivo pai: Resolução-TCU n. 241, de 26 de janeiro de 2011 ID do dispositivo pai: 209_resolucao_tcu_241_2011:1 Páginas: 1343-1343 Resumo: Art. 1º, subordinado a Resolução-TCU n. 241, de 26 de janeiro de 2011: , inciso I, alínea g da Lei Complementar n. 64, em vista da edição da Lei Complementar n. 135, de 4 de junho de 2010, RESOLVE: art. 1º, inciso I, alínea g da Lei Complementar n. 64, em vista da edição da Lei Complementar n. 135, de 4 de junho de 2010, RESOLVE:","Art. 1º, subordinado a Resolução-TCU n. 241, de 26 de janeiro de 2011: , inciso I, alínea g da Lei Complementar n. 64, em vista da edição da Lei Complementar n. 135, de 4 de junho de 2010, RESOLVE:",complementar; resolucao; janeiro; inciso; alinea; vista; edicao; junho; resolve,True,721,180,209_resolucao_tcu_241_2011:2,209_resolucao_tcu_241_2011.csv,1,209_resolucao_tcu_241_2011:1
3,3,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,artigo,Art. 1º,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Art. 1º,,,,,"Art. 1º Nos anos em que ocorrerem eleições, o Tribunal encaminhará à Justiça Eleitoral e ao Ministério Público Eleitoral, até o dia cinco do mês de julho, a relação dos responsáveis com contas julgadas irregulares, nos termos do disposto no inciso II do art. 71 da Constituição Federal, com trânsito em julgado nos oito anos imediatamente anteriores à realização de cada eleição.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 1º Tipo: artigo Dispositivo pai: Resolução-TCU n. 241, de 26 de janeiro de 2011 ID do dispositivo pai: 209_resolucao_tcu_241_2011:1 Páginas: 1343-1343 Resumo: Art. 1º, subordinado a Resolução-TCU n. 241, de 26 de janeiro de 2011: Nos anos em que ocorrerem eleições, o Tribunal encaminhará à Justiça Eleitoral e ao Ministério Público Eleitoral, até o dia cinco do mês de julho, a relação dos responsáveis com contas julgadas irregulares, nos termos do disposto no inciso II do art. 71 da Constituição Federal, com trânsito em julgado nos oito anos imediatamente anteriores à... Art. 1º Nos anos em que ocorrerem eleições, o Tribunal encaminhará à Justiça Eleitoral e ao Ministério Público Eleitoral, até o dia cinco do mês de julho, a relação dos responsáveis com contas julgadas irregulares, nos termos do disposto no inciso II do art. 71 da Constituição Federal, com trânsito em julgado nos oito anos imediatamente anteriores à realização de cada eleição.","Art. 1º, subordinado a Resolução-TCU n. 241, de 26 de janeiro de 2011: Nos anos em que ocorrerem eleições, o Tribunal encaminhará à Justiça Eleitoral e ao Ministério Público Eleitoral, até o dia cinco do mês de julho, a relação dos responsáveis com contas julgadas irregulares, nos termos do disposto no inciso II do art. 71 da Constituição Federal, com trânsito em julgado nos oito anos imediatamente anteriores à...",anos; eleitoral; resolucao; janeiro; ocorrerem; eleicoes; tribunal; encaminhara; justica; ministerio,True,1187,297,209_resolucao_tcu_241_2011:3,209_resolucao_tcu_241_2011.csv,1,209_resolucao_tcu_241_2011:1
4,4,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,paragrafo,"Art. 1º, §1º",Art. 1º,Art. 1º,§1º,,,,"§ 1º A relação a que se refere o caput, após a referida data, deverá ser atualizada e publicada, diariamente, para consulta no portal do TCU até a data da posse dos eleitos.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 1º, §1º Tipo: paragrafo Dispositivo pai: Art. 1º ID do dispositivo pai: 209_resolucao_tcu_241_2011:3 Páginas: 1343-1343 Resumo: Art. 1º, §1º, subordinado a Art. 1º: § 1º A relação a que se refere o caput, após a referida data, deverá ser atualizada e publicada, diariamente, para consulta no portal do TCU até a data da posse dos eleitos. § 1º A relação a que se refere o caput, após a referida data, deverá ser atualizada e publicada, diariamente, para consulta no portal do TCU até a data da posse dos eleitos.","Art. 1º, §1º, subordinado a Art. 1º: § 1º A relação a que se refere o caput, após a referida data, deverá ser atualizada e publicada, diariamente, para consulta no portal do TCU até a data da posse dos eleitos.",data; resolucao; janeiro; relacao; refere; caput; apos; referida; devera; atualizada,True,743,186,209_resolucao_tcu_241_2011:4,209_resolucao_tcu_241_2011.csv,3,209_resolucao_tcu_241_2011:3
5,5,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,paragrafo,"Art. 1º, §2º",Art. 1º,Art. 1º,§2º,,,,"§ 2º Para os fins desta resolução, considera-se transitado em julgado o acórdão que não mais se sujeita aos recursos previstos nos arts. 32, incisos I e II, e 48 da Lei n. 8.443, de 1992, considerados os respectivos prazos legais.",,[],0,Lei n. 8.443,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 1º, §2º Tipo: paragrafo Dispositivo pai: Art. 1º ID do dispositivo pai: 209_resolucao_tcu_241_2011:3 Páginas: 1343-1343 Resumo: Art. 1º, §2º, subordinado a Art. 1º: § 2º Para os fins desta resolução, considera-se transitado em julgado o acórdão que não mais se sujeita aos recursos previstos nos arts. 32, incisos I e II, e 48 da Lei n. 8.443, de 1992, considerados os respectivos prazos legais. § 2º Para os fins desta resolução, considera-se transitado em julgado o acórdão que não mais se sujeita aos recursos previstos nos arts. 32, incisos I e II, e 48 da Lei n. 8.443, de 1992, considerados os respectivos prazos legais.","Art. 1º, §2º, subordinado a Art. 1º: § 2º Para os fins desta resolução, considera-se transitado em julgado o acórdão que não mais se sujeita aos recursos previstos nos arts. 32, incisos I e II, e 48 da Lei n. 8.443, de 1992, considerados os respectivos prazos legais.",resolucao; janeiro; fins; desta; considera; transitado; julgado; acordao; mais; sujeita,True,857,214,209_resolucao_tcu_241_2011:5,209_resolucao_tcu_241_2011.csv,3,209_resolucao_tcu_241_2011:3
6,6,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,paragrafo,"Art. 1º, §3º",Art. 1º,Art. 1º,§3º,,,,§ 3º A Secretaria-Geral de Controle Externo (Segecex) deverá organizar e manter permanentemente atualizado cadastro dos responsáveis com contas julgadas irregulares.,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 1º, §3º Tipo: paragrafo Dispositivo pai: Art. 1º ID do dispositivo pai: 209_resolucao_tcu_241_2011:3 Páginas: 1343-1343 Resumo: Art. 1º, §3º, subordinado a Art. 1º: § 3º A Secretaria-Geral de Controle Externo (Segecex) deverá organizar e manter permanentemente atualizado cadastro dos responsáveis com contas julgadas irregulares. § 3º A Secretaria-Geral de Controle Externo (Segecex) deverá organizar e manter permanentemente atualizado cadastro dos responsáveis com contas julgadas irregulares.","Art. 1º, §3º, subordinado a Art. 1º: § 3º A Secretaria-Geral de Controle Externo (Segecex) deverá organizar e manter permanentemente atualizado cadastro dos responsáveis com contas julgadas irregulares.",resolucao; janeiro; secretaria; geral; controle; externo; segecex; devera; organizar; manter,True,727,182,209_resolucao_tcu_241_2011:6,209_resolucao_tcu_241_2011.csv,3,209_resolucao_tcu_241_2011:3
7,7,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,artigo,Art. 2º,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Art. 2º,,,,,"Art. 2º Constarão obrigatoriamente da relação de que trata o art. 1º, caput, os seguintes dados:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 2º Tipo: artigo Dispositivo pai: Resolução-TCU n. 241, de 26 de janeiro de 2011 ID do dispositivo pai: 209_resolucao_tcu_241_2011:1 Páginas: 1343-1343 Resumo: Art. 2º, subordinado a Resolução-TCU n. 241, de 26 de janeiro de 2011: Constarão obrigatoriamente da relação de que trata o art. 1º, caput, os seguintes dados: Art. 2º Constarão obrigatoriamente da relação de que trata o art. 1º, caput, os seguintes dados:","Art. 2º, subordinado a Resolução-TCU n. 241, de 26 de janeiro de 2011: Constarão obrigatoriamente da relação de que trata o art. 1º, caput, os seguintes dados:",resolucao; janeiro; constarao; obrigatoriamente; relacao; trata; caput; seguintes; dados,True,646,162,209_resolucao_tcu_241_2011:7,209_resolucao_tcu_241_2011.csv,1,209_resolucao_tcu_241_2011:1
8,8,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,inciso,"Art. 2º, I",Art. 2º,Art. 2º,,I,,,"I - identificação do responsável, com nome e CPF;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 2º, I Tipo: inciso Dispositivo pai: Art. 2º ID do dispositivo pai: 209_resolucao_tcu_241_2011:7 Páginas: 1343-1343 Resumo: Art. 2º, I, subordinado a Art. 2º: identificação do responsável, com nome e CPF; I - identificação do responsável, com nome e CPF;","Art. 2º, I, subordinado a Art. 2º: identificação do responsável, com nome e CPF;",resolucao; janeiro; identificacao; responsavel; nome,True,484,121,209_resolucao_tcu_241_2011:8,209_resolucao_tcu_241_2011.csv,7,209_resolucao_tcu_241_2011:7
9,9,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,inciso,"Art. 2º, II",Art. 2º,Art. 2º,,II,,,"II - deliberações atinentes à condenação, inclusive em grau de recurso, bem como o número do processo no TCU;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 2º, II Tipo: inciso Dispositivo pai: Art. 2º ID do dispositivo pai: 209_resolucao_tcu_241_2011:7 Páginas: 1343-1343 Resumo: Art. 2º, II, subordinado a Art. 2º: deliberações atinentes à condenação, inclusive em grau de recurso, bem como o número do processo no TCU; II - deliberações atinentes à condenação, inclusive em grau de recurso, bem como o número do processo no TCU;","Art. 2º, II, subordinado a Art. 2º: deliberações atinentes à condenação, inclusive em grau de recurso, bem como o número do processo no TCU;",resolucao; janeiro; deliberacoes; atinentes; condenacao; inclusive; grau; recurso; numero; processo,True,605,151,209_resolucao_tcu_241_2011:9,209_resolucao_tcu_241_2011.csv,7,209_resolucao_tcu_241_2011:7
10,10,Codigo_Eleitoral_2026_anotado.pdf,resolucao_tcu_241_2011,"Resolução-TCU n. 241, de 26 de janeiro de 2011",Resolução-TCU n. 241/2011,Resolução do TCU,Resolução do TCU,1343,1343,,inciso,"Art. 2º, III",Art. 2º,Art. 2º,,III,,,III - data em que a condenação transitou em julgado;,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Resolução-TCU n. 241, de 26 de janeiro de 2011 Nome popular/citação curta: Resolução-TCU n. 241/2011 Macrogrupo: Resolução do TCU Grupo do sumário: Resolução do TCU Dispositivo: Art. 2º, III Tipo: inciso Dispositivo pai: Art. 2º ID do dispositivo pai: 209_resolucao_tcu_241_2011:7 Páginas: 1343-1343 Resumo: Art. 2º, III, subordinado a Art. 2º: data em que a condenação transitou em julgado; III - data em que a condenação transitou em julgado;","Art. 2º, III, subordinado a Art. 2º: data em que a condenação transitou em julgado;",resolucao; janeiro; data; condenacao; transitou; julgado,True,492,123,209_resolucao_tcu_241_2011:10,209_resolucao_tcu_241_2011.csv,7,209_resolucao_tcu_241_2011:7
