partido,categoria,pagina,arquivo_pdf,fonte_texto_usada,trecho
MDB,reserva_cota_mulheres_direcao,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"ósitos e movimentaçôes dos recursos oriuodos do feitos em estsbelecimentos bancários cootrolados pelo poder publico Federal. Delo ou, incxistindo cstes, no banco escolhido pelo órgão diretivo do panido. qualquer rccebido; An. 108. Os recursos oriundos do Fundo I - na manutenção das sedes e serviços titulo, observado neste ultimo caso o limite II - na propaganda doutrinária c política; Partidário serão aplicados: do partido, permitido o mtiximo de 50% ( ' 1s5ú83 I I Itr - no alistameato e carnpanhas clcitorais; IV - ,a criação e lDanuts!Éo dc ilstituto educação polític4 seBdo esta aplicação de, no mtntmo,2yyo ou fundação de pesq (vhte por cento) do total recebido. §lo. Na Festação de contas devem ser discriminadas as despesss reali,a.tâq com recu:os do Fundo Partiúirio, de modo a p€mitir o controle da Justiça Eleitoral sobre o cumprimento"
MDB,reserva_cota_mulheres_direcao,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"Executiva Nacional, será dada I seguinte destiDação: I - 20% (vinte por cçnto) do total a Fundação Lllysses Guimarães Nacional; a) a Fudação Ulysses Cuimarães Naciolal estabelcce.á os critérios pam distribuiçâo às repÍpsenlaçôes Estaduais dos valores rcccbidos do Fundo partidário; ü - l57o (quiaze por cenlo) do total ao Diretório Nacional; - III - 6Oolo (sessenta poÍ cento) do total aos Dfuetórios Estaduais que manterham organizados l/3 (um reço), no mínimo, de Diletódos Municipais, que Íeprese.tem 30% (úta por cento) do eleitorado do Estado, distribuídos da seguintc forma: a) 30% (aida por ccnto) iMmente enkÊ rodos; - b) 30% (tinta poÍ cento) proporcionar ao número de eleitores inscritos no Estado em 31 de dezembro do ano antedor ao de competência orçamentráriq - c) 20-o/o (yirlb poÍ ceDto) lropoÍciooal ao [úmero de replesentantes eleito"
MDB,orgao_movimento_mulheres_ou_violencia_politica,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"c b) emissâo obligatóda d€ recibo eleitoral para cada doação rcalizada o 23 c serão Poder Público Estadual Art. 107. Os depósitos e movimentaçôes dos recursos oriuodos do feitos em estsbelecimentos bancários cootrolados pelo poder publico Federal. Delo ou, incxistindo cstes, no banco escolhido pelo órgão diretivo do panido. qualquer rccebido; An. 108. Os recursos oriundos do Fundo I - na manutenção das sedes e serviços titulo, observado neste ultimo caso o limite II - na propaganda doutrinária c política; Partidário serão aplicados: do partido, permitido o mtiximo de 50% ( ' 1s5ú83 I I Itr - no alistameato e carnpanhas clcitorais; IV - ,a cri"
MDB,fundo_partidario_programas_mulheres_5pct,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"que: a) as sobÍas deve!ão ser apüradas aÉ o fim do exercício fiaanceiro e dçverão ser Tt""qra-lt""""i!: transferidas panr a conta bancária desr,.a.ta à movimentação dos recursos derivados do Fundo PaÍtidÁrio, no mês de jaoeiro do exercÍcio seguhte: b) o valor das sobras transferido úo seá computado pam cfeito do c.álculo previsto neste antigo; c) o valo! das sobras será compulado para efeito dos cálculos de gastos com p€ssoal e programas de inclusão de difusão da panicipação plítiia das mulheres. Art' 109. Aos recusos do Fundo Especial dç Assistênsia Financeiia aos partidos políticos (Fundo PaÍidálio), recebidos pela Comissâo Executiva Nacional, será dada I seguinte destiDação: I - 20% (vinte por cçnto) do total a Fundação Lllysses Guimarães Nacional; a) a Fudação Ulysses Cuimarães Naciolal estabelcce.á os critérios pam distribuiçâo às repÍp"
MDB,fundo_partidario_programas_mulheres_5pct,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"e inclusão de difusão da panicipação plítiia das mulheres. Art' 109. Aos recusos do Fundo Especial dç Assistênsia Financeiia aos partidos políticos (Fundo PaÍidálio), recebidos pela Comissâo Executiva Nacional, será dada I seguinte destiDação: I - 20% (vinte por cçnto) do total a Fundação Lllysses Guimarães Nacional; a) a Fudação Ulysses Cuimarães Naciolal estabelcce.á os critérios pam distribuiçâo às repÍpsenlaçôes Estaduais dos valores rcccbidos do Fundo partidário; ü - l57o (quiaze por cenlo) do total ao Diretório Nacional; - III - 6Oolo (sessenta poÍ cento) do total aos Dfuetórios Estaduais que manterham organizados l/3 (um reço), no mínimo, de Diletódos Municipais, que Íeprese.tem 30% (úta por cento) do eleitorado do Estado, distribuídos da seguintc forma: a) 30% (aida por ccnto) iMmente enkÊ rodos; - b) 30% (tinta poÍ cento) proporc"
MDB,conta_bancaria_especifica_mencionada,17,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,oê: c l6 Re§istío I a) pelos ex-Presidentes Nacionais; b) pelos ex-Presidentes da República; c) pelos Govemadores de Estado; VII - elaborar seu regimento intemoi VIII - receber doações; DA COMISSÃO EXECI]'rIVA NACIONAL 'd d) pelos Presidentes da Câmam dos Deputados e Senado Fedeml; e) pelos ex-Presidentes da Câmara dos Deputados e senado Federal; I pelos ex-Líderes do Partido nestas duas Casas. Art. 74. Compete ao CoNelho Nacional: I - julgar os recursos que lhe sejarn interpostos do atos e decisões da comissão Executiya Nacional ou dos Diretórios Estaduais; II - elebomr o seu Íegimento intemo; III - promover I responsabilidade dos Dirctórios
MDB,conta_bancaria_especifica_mencionada,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"le da Justiça Eleitoral sobre o cumprimento do disposto nos incisos I e Meste artigo. §2o, No exercício financeirc em que a fiDdaçâo úo despelder a totalidade dos recursos oue lhe forcm assinalados, a eventual sobra _deverá ser revertidá para ort ., ,tiria.a"", p""rti*i.iã ;;;H caput do art. 44 daLei n. 9.096, de 1995, observando-se que: a) as sobÍas deve!ão ser apüradas aÉ o fim do exercício fiaanceiro e dçverão ser Tt""qra-lt""""i!: transferidas panr a conta bancária desr,.a.ta à movimentação dos recursos derivados do Fundo PaÍtidÁrio, no mês de jaoeiro do exercÍcio seguhte: b) o valor das sobras transferido úo seá computado pam cfeito do c.álculo previsto neste antigo; c) o valo! das sobras será compulado para efeito dos cálculos de gastos com p€ssoal e programas de inclusão de difusão da panicipação plítiia das mulheres. Art' 109. Aos recu"
MDB,conta_bancaria_especifica_mencionada,29,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"o§ ParágÍafo único. Ocorendo a hiÉtese do capú deste arligo a prefeito e vereadores do municÍpio seú realizada pelas conveações zonais. Aí. l3l. É adotado o Código de Ética aprovado pela Comissão Executiva Nacional, em reunião realizada em I I de mnio de 1995, que passa a integlar o prcsente Estatuto. tut. I 32. A FundaÉo Pedrcso HoÍa passa a denominar_se Fundaçâo Ulysses Gümarães. 2E a An. 133. As alterações Estatr.rtárias dedvadas de das decisões do Poder Judiciário e aquelas deco!Íentes da legislação eleitoral, lefelentes E organização contábil e firanceira do Panido e as relativas à Fundâção flysses Guimaá€s, scrão rcalizadas pela de seus"
PDT,reserva_cota_mulheres_direcao,1,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"matérias interna corporis da agremiação, as quais consistem, basicamente, em aperfeiçoamento da redação do estatuto anterior, com destaque para: (i) a ratificação, como princípios, do estado democrático de direito e da defesa da autonomia partidária (art. 1º, V), bem como das causas das minorias, incluindo o tema da Diversidade (art. 1º, VII); (ii) a determinação do preenchimento de cargos por mulheres no âmbito da agremiação, em percentual mínimo de 30%, com o objetivo de se alcançar a igualdade entre os gêneros (art. 12, caput e § 1º); (iii) o estabelecimento do prazo de mandato de até 6 (seis) meses para as comissões executivas provisórias (art. 19, § 1º); (iv) a adequação do estatuto às novas realidades digitais, como a filiação e a realização de reuniões pela via virtual (arts. 4º e 18); e (v) a regra do art. 61, XI, que passou a con"
PDT,reserva_cota_mulheres_direcao,1,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"nterna corporis da agremiação, as quais consistem, basicamente, em aperfeiçoamento da redação do estatuto anterior, com destaque para: (i) a ratificação, como princípios, do estado democrático de direito e da defesa da autonomia partidária (art. 1º, V), bem como das causas das minorias, incluindo o tema da Diversidade (art. 1º, VII); (ii) a determinação do preenchimento de cargos por mulheres no âmbito da agremiação, em percentual mínimo de 30%, com o objetivo de se alcançar a igualdade entre os gêneros (art. 12, caput e § 1º); (iii) o estabelecimento do prazo de mandato de até 6 (seis) meses para as comissões executivas provisórias (art. 19, § 1º); (iv) a adequação do estatuto às novas realidades digitais, como a filiação e a realização de reuniões pela via virtual (arts. 4º e 18); e (v) a regra do art. 61, XI, que passou a considerar, e"
