partido,categoria,pagina,arquivo_pdf,fonte_texto_usada,trecho
MDB,orgao_movimento_mulheres_ou_violencia_politica,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"ut do art. 44 daLei n. 9.096, de 1995, observando-se que: a) as sobÍas deve!ão ser apüradas aÉ o fim do exercício fiaanceiro e dçverão ser Tt""qra-lt""""i!: transferidas panr a conta bancária desr,.a.ta à movimentação dos recursos derivados do Fundo PaÍtidÁrio, no mês de jaoeiro do exercÍcio seguhte: b) o valor das sobras transferido úo seá computado pam cfeito do c.álculo previsto neste antigo; c) o valo! das sobras será compulado para efeito dos cálculos de gastos com p€ssoal e programas de inclusão de difusão da panicipação plítiia das mulheres. Art' 109. Aos recusos do Fundo Especial dç Assistênsia Financeiia aos partidos políticos (Fundo PaÍidálio), recebidos pela Comissâo Executiva Nacional, será dada I seguinte destiDação: I - 20% (vinte por cçnto) do total a Fundação Lllysses Guimarães Nacional; a) a Fudação Ulysses Cuimarães Naciolal estabelcce.á os critérios pam distribuiçâo às repÍpsenlaçôes Estaduais dos valores rcccbidos do Fundo partidário; ü - l57o (quiaze por cenlo) do total ao Diretório Nacional; - III - 6Oolo (sessenta poÍ cento) do total aos Dfuetórios Estaduais que manterham organizados l/3 (um reço), no mínimo, de Diletódos Municipais, que Íeprese.tem 30% (úta por cento) do eleitorado do Estado, distrib"
MDB,orgao_movimento_mulheres_ou_violencia_politica,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,"eleitores inscritos no Estado em 31 de dezembro do ano antedor ao de competência orçamentráriq - c) 20-o/o (yirlb poÍ ceDto) lropoÍciooal ao [úmero de replesentantes eleitos para a Câmara dos Deputados na ultima eleição realizada anterior ao ano de competêacia; d) 20% (vinte por.celto) proporcioDal ao núLmero de represeltantes cleitos pam a Assembléia Legtslatrva na ultlma eleiçâo realizsdâ SnteÍior ao atro de coEpetência. fV - 57o (cinco por cento) na criação e manutenção de programas de pronoção e difirsão da participação politica das mulheres. -- Panágmfo único. Resolução da condssão Executiva Estadual respectiva 6xará as coÍldiçôes para distribuição aos düetórios municipais de paÍe dos recursos do Fundo particlário. At. 110. A rcceita proveniente da çontribuição dos D€putados Federais e Senadores será distribuíd4 mensalmente, da seguinte fomxa: par I-- 40% (qüaÍenta por cento) do total para o Diretório Nacional; Il - 60% (sessenta por cento) do total aos Diretórios Estad'uais na pÍopo4tu de seus"
PDT,reserva_ou_paridade_genero_direcao,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"posição de seus órgãos dirigentes e nominatas a cargos eletivos, o PDT marcará sua preferência por companheiros e companheiras com razoável tempo de filiação e provindos de classes pobres e dos excluídos, com o necessário preparo pessoal ou representação social, entre trabalhadores, agricultores, assalariados em geral, sindicalistas, profissionais, pequenos empresários, aposentados, jovens, negros, mulheres e de pertencentes à diversidade, devendo, na composição de tais órgãos e nominatas, atingir-se um mínimo de 30% (trinta por cento) de mulheres, objetivando atingir meta igualitária de gênero de 50% (cinquenta por cento) para cada um. § 1º - Nos preenchimentos dos 30% (trinta por cento) de vagas de mulheres nos órgãos de direção, sempre serão ouvidas as Executivas da Ação da Mulher Trabalhista (AMT), devidamente organizada em sua esfera de atuação. § 2º - O mesmo critério será observado no preenchimento de cargos de livre nomeação nos gabinetes parlamentares e nas administrações de responsabilidade do PDT. Art. 13. Inexistindo solidariedade entre os órgãos das diversas esferas federativas dos partidos políticos (art. 15-A da Lei nº 9.096/95 – Lei dos Partidos Políticos), as responsabilidades contratuais,"
PDT,reserva_ou_paridade_genero_direcao,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"o e provindos de classes pobres e dos excluídos, com o necessário preparo pessoal ou representação social, entre trabalhadores, agricultores, assalariados em geral, sindicalistas, profissionais, pequenos empresários, aposentados, jovens, negros, mulheres e de pertencentes à diversidade, devendo, na composição de tais órgãos e nominatas, atingir-se um mínimo de 30% (trinta por cento) de mulheres, objetivando atingir meta igualitária de gênero de 50% (cinquenta por cento) para cada um. § 1º - Nos preenchimentos dos 30% (trinta por cento) de vagas de mulheres nos órgãos de direção, sempre serão ouvidas as Executivas da Ação da Mulher Trabalhista (AMT), devidamente organizada em sua esfera de atuação. § 2º - O mesmo critério será observado no preenchimento de cargos de livre nomeação nos gabinetes parlamentares e nas administrações de responsabilidade do PDT. Art. 13. Inexistindo solidariedade entre os órgãos das diversas esferas federativas dos partidos políticos (art. 15-A da Lei nº 9.096/95 – Lei dos Partidos Políticos), as responsabilidades contratuais, responsabilidades por danos, inclusive aqueles atribuídos a pretensas filiações inválidas, somente podem ser atribuídas às instâncias partidárias com compro"
PDT,reserva_ou_paridade_genero_direcao,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"o órgão congênere nacional. Art. 12. Na composição de seus órgãos dirigentes e nominatas a cargos eletivos, o PDT marcará sua preferência por companheiros e companheiras com razoável tempo de filiação e provindos de classes pobres e dos excluídos, com o necessário preparo pessoal ou representação social, entre trabalhadores, agricultores, assalariados em geral, sindicalistas, profissionais, pequenos empresários, aposentados, jovens, negros, mulheres e de pertencentes à diversidade, devendo, na composição de tais órgãos e nominatas, atingir-se um mínimo de 30% (trinta por cento) de mulheres, objetivando atingir meta igualitária de gênero de 50% (cinquenta por cento) para cada um. § 1º - Nos preenchimentos dos 30% (trinta por cento) de vagas de mulheres nos órgãos de direção, sempre serão ouvidas as Executivas da Ação da Mulher Trabalhista (AMT), devidamente organizada em sua esfera de atuação. § 2º - O mesmo critério será observado no preenchimento de cargos de livre nomeação nos gabinetes parlamentares e nas administrações de responsabilidade do PDT. Art. 13. Inexistindo solidariedade entre os órgãos das diversas esferas federativas dos partidos políticos (art. 15-A da Lei nº 9.096/95 – Lei dos Partidos Pol"
PDT,reserva_ou_paridade_genero_direcao,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"s, o PDT marcará sua preferência por companheiros e companheiras com razoável tempo de filiação e provindos de classes pobres e dos excluídos, com o necessário preparo pessoal ou representação social, entre trabalhadores, agricultores, assalariados em geral, sindicalistas, profissionais, pequenos empresários, aposentados, jovens, negros, mulheres e de pertencentes à diversidade, devendo, na composição de tais órgãos e nominatas, atingir-se um mínimo de 30% (trinta por cento) de mulheres, objetivando atingir meta igualitária de gênero de 50% (cinquenta por cento) para cada um. § 1º - Nos preenchimentos dos 30% (trinta por cento) de vagas de mulheres nos órgãos de direção, sempre serão ouvidas as Executivas da Ação da Mulher Trabalhista (AMT), devidamente organizada em sua esfera de atuação. § 2º - O mesmo critério será observado no preenchimento de cargos de livre nomeação nos gabinetes parlamentares e nas administrações de responsabilidade do PDT. Art. 13. Inexistindo solidariedade entre os órgãos das diversas esferas federativas dos partidos políticos (art. 15-A da Lei nº 9.096/95 – Lei dos Partidos Políticos), as responsabilidades contratuais, responsabilidades por danos, inclusive aqueles atribuídos a pr"
PDT,orgao_movimento_mulheres_ou_violencia_politica,1,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"s demais alterações promovidas no estatuto do requerente, estão em conformidade com a legislação de regência, tratando-se de modificações relacionadas a matérias interna corporis da agremiação, as quais consistem, basicamente, em aperfeiçoamento da redação do estatuto anterior, com destaque para: (i) a ratificação, como princípios, do estado democrático de direito e da defesa da autonomia partidária (art. 1º, V), bem como das causas das minorias, incluindo o tema da Diversidade (art. 1º, VII); (ii) a determinação do preenchimento de cargos por mulheres no âmbito da agremiação, em percentual mínimo de 30%, com o objetivo de se alcançar a igualdade entre os gêneros (art. 12, caput e § 1º); (iii) o estabelecimento do prazo de mandato de até 6 (seis) meses para as comissões executivas provisórias (art. 19, § 1º); (iv) a adequação do estatuto às novas realidades digitais, como a filiação e a realização de reuniões pela via virtual (arts. 4º e 18); e (v) a regra do art. 61, XI, que passou a considerar, em sintonia com o disposto no art. 15, X, da Lei 9.096/1995, como “infração ética disciplinar de gravidade extrema” a prática de “violência contra a mulher ou contra qualquer outro componente das minorias, c"
PDT,orgao_movimento_mulheres_ou_violencia_politica,6,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"núcleos de base, e outros com finalidades específicas que venham a ser criados na forma deste Estatuto. § 1º Por regra geral, os órgãos terão mandatos coincidentes com o órgão que os elegeu pelo período de 4 anos, permitida a reeleição de seus membros; § 2º As bancadas de senadores, de deputados federais, de deputados estaduais/distrital e de vereadores, como órgãos de ação parlamentar, submetem-se e vinculam-se, para todos os fins do presente estatuto, aos respectivos diretórios (nacional, regionais e locais). § 3º Os movimentos partidários (Sindical, de Mulheres, do Negro, da Juventude, o Ecológico, Comunitários, de Educação, de Aposentados, do Índio, da Diversidade, da Cultura, etc), deverão ser organizados nos planos nacional, regional e local, podendo o partido criar outros movimentos para propiciar ações políticas de grupos sociais ou categorias profissionais, 1º Oficio de Registro Civil, Titulos e Documentos e Pessoas Juridicas de Brasilia|Registrado sob o Nº: 167267 no Livro: ,em 03/03/2022 |Selo Digital: TJDFT20220210012616OMFY| MP2.200/01 e art. 11 da Lei 11.419/06 |Para consultar o selo acesse: www.tjdf.jus.br |Assinado Digitalmente por: Gustavo Caixeta de Azevedo - Auxiliar Judiciário II"
PDT,orgao_movimento_mulheres_ou_violencia_politica,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"o órgão congênere nacional. Art. 12. Na composição de seus órgãos dirigentes e nominatas a cargos eletivos, o PDT marcará sua preferência por companheiros e companheiras com razoável tempo de filiação e provindos de classes pobres e dos excluídos, com o necessário preparo pessoal ou representação social, entre trabalhadores, agricultores, assalariados em geral, sindicalistas, profissionais, pequenos empresários, aposentados, jovens, negros, mulheres e de pertencentes à diversidade, devendo, na composição de tais órgãos e nominatas, atingir-se um mínimo de 30% (trinta por cento) de mulheres, objetivando atingir meta igualitária de gênero de 50% (cinquenta por cento) para cada um. § 1º - Nos preenchimentos dos 30% (trinta por cento) de vagas de mulheres nos órgãos de direção, sempre serão ouvidas as Executivas da Ação da Mulher Trabalhista (AMT), devidamente organizada em sua esfera de atuação. § 2º - O mesmo critério será observado no preenchimento de cargos de livre nomeação nos gabinetes parlamentares e nas administrações de responsabilidade do PDT. Art. 13. Inexistindo solidariedade entre os órgãos das diversas esferas federativas dos partidos políticos (art. 15-A da Lei nº 9.096/95 – Lei dos Partidos Pol"
PDT,orgao_movimento_mulheres_ou_violencia_politica,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,", entre trabalhadores, agricultores, assalariados em geral, sindicalistas, profissionais, pequenos empresários, aposentados, jovens, negros, mulheres e de pertencentes à diversidade, devendo, na composição de tais órgãos e nominatas, atingir-se um mínimo de 30% (trinta por cento) de mulheres, objetivando atingir meta igualitária de gênero de 50% (cinquenta por cento) para cada um. § 1º - Nos preenchimentos dos 30% (trinta por cento) de vagas de mulheres nos órgãos de direção, sempre serão ouvidas as Executivas da Ação da Mulher Trabalhista (AMT), devidamente organizada em sua esfera de atuação. § 2º - O mesmo critério será observado no preenchimento de cargos de livre nomeação nos gabinetes parlamentares e nas administrações de responsabilidade do PDT. Art. 13. Inexistindo solidariedade entre os órgãos das diversas esferas federativas dos partidos políticos (art. 15-A da Lei nº 9.096/95 – Lei dos Partidos Políticos), as responsabilidades contratuais, responsabilidades por danos, inclusive aqueles atribuídos a pretensas filiações inválidas, somente podem ser atribuídas às instâncias partidárias com comprovado nexo de pertinência não cabendo transferência a outras instâncias. Parágrafo único. Os contratos e"
