partido,estatuto_atual_pdf,fonte_texto_usada,reserva_ou_paridade_genero_direcao,evidencia_reserva_ou_paridade,orgao_movimento_mulheres_ou_violencia_politica,evidencia_orgao_movimento,fundo_partidario_programas_mulheres_5pct,evidencia_fundo_mulheres_5pct,conta_bancaria_especifica_fundo_partidario,evidencia_conta_fundo
MDB,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/MDB_estatuto_atual.txt,Nao localizado,,Sim,"p. 24: ut do art. 44 daLei n. 9.096, de 1995, observando-se que: a) as sobÍas deve!ão ser apüradas aÉ o fim do exercício fiaanceiro e dçverão ser Tt""qra-lt""""i!: transferidas panr a conta bancária desr,.a.ta à movimentação dos recursos derivados do Fundo PaÍtidÁrio, no mês de jaoeiro do exercÍcio seguhte: b) o valor das sobras transferido úo seá computado pam cfeito do c.álculo previsto neste antigo; c) o valo! das sobras será compulado para efeito dos cálculos de gastos com p€ssoal e programas de inclusão de difusão da panicipação plítiia das mulheres. Art' 109. Aos recusos do Fundo Especial dç Assistênsia Financeiia aos partidos políticos (Fundo PaÍidálio), recebidos pela Comissâo Executiva Nacional, será dada I seguinte destiDação: I - 20% (vinte por cçnto) do total a Fundação Lllysses Guimarães Nacional; a) a Fudação Ulysses Cuimarães Naciolal estabelcce.á os critérios pam distribuiçâo às repÍpsenlaçôes Estaduais dos valores rcccbidos do Fundo partidário; ü - l57o (quiaze por cenlo) do total ao Diretório Nacional; - III - 6Oolo (sessenta poÍ cento) do total aos Dfuetórios Estaduais que manterham organizados l/3 (um reço), no mínimo, de Diletódos Municipais, que Íeprese.tem 30% (úta por cento) do eleitorado do Estado, distrib",Nao localizado,,Nao localizado,
PDT,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,Sim,"p. 7: posição de seus órgãos dirigentes e nominatas a cargos eletivos, o PDT marcará sua preferência por companheiros e companheiras com razoável tempo de filiação e provindos de classes pobres e dos excluídos, com o necessário preparo pessoal ou representação social, entre trabalhadores, agricultores, assalariados em geral, sindicalistas, profissionais, pequenos empresários, aposentados, jovens, negros, mulheres e de pertencentes à diversidade, devendo, na composição de tais órgãos e nominatas, atingir-se um mínimo de 30% (trinta por cento) de mulheres, objetivando atingir meta igualitária de gênero de 50% (cinquenta por cento) para cada um. § 1º - Nos preenchimentos dos 30% (trinta por cento) de vagas de mulheres nos órgãos de direção, sempre serão ouvidas as Executivas da Ação da Mulher Trabalhista (AMT), devidamente organizada em sua esfera de atuação. § 2º - O mesmo critério será observado no preenchimento de cargos de livre nomeação nos gabinetes parlamentares e nas administrações de responsabilidade do PDT. Art. 13. Inexistindo solidariedade entre os órgãos das diversas esferas federativas dos partidos políticos (art. 15-A da Lei nº 9.096/95 – Lei dos Partidos Políticos), as responsabilidades contratuais,",Sim,"p. 1: s demais alterações promovidas no estatuto do requerente, estão em conformidade com a legislação de regência, tratando-se de modificações relacionadas a matérias interna corporis da agremiação, as quais consistem, basicamente, em aperfeiçoamento da redação do estatuto anterior, com destaque para: (i) a ratificação, como princípios, do estado democrático de direito e da defesa da autonomia partidária (art. 1º, V), bem como das causas das minorias, incluindo o tema da Diversidade (art. 1º, VII); (ii) a determinação do preenchimento de cargos por mulheres no âmbito da agremiação, em percentual mínimo de 30%, com o objetivo de se alcançar a igualdade entre os gêneros (art. 12, caput e § 1º); (iii) o estabelecimento do prazo de mandato de até 6 (seis) meses para as comissões executivas provisórias (art. 19, § 1º); (iv) a adequação do estatuto às novas realidades digitais, como a filiação e a realização de reuniões pela via virtual (arts. 4º e 18); e (v) a regra do art. 61, XI, que passou a considerar, em sintonia com o disposto no art. 15, X, da Lei 9.096/1995, como “infração ética disciplinar de gravidade extrema” a prática de “violência contra a mulher ou contra qualquer outro componente das minorias, c",Nao localizado,,Nao localizado,
PT,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,Sim,"p. 8: de mulheres e 50% de homens). W = na composição final das instâncias de direção, 20% [vinte por cento) de seus membros deverão ter menos de 30 (trinta) anos de idade, e deverá, ainda, ser cumprido critério étnico racial a ser definido pelo Diretório Nacional, observada a composição populacional de filiados e filiadas ao Partido e tomando como referência a participação minima de 20% (vinte por cento) nas direções partidárias; VI — será assegurado o registro de chapas incompletas, desde que sejam inscritos, no minimo, 30% [trinta por cento) de nomes no caso da direção nacional e de órgãos e delegações nacionais, e 50% [cinquenta por cento) quando se tratar das chapas em nivel estadual, municipal ou zonal, cujos percentuais serão calculados sobre o número total das vagas em disputa; Vil — as chapas para a direção nacional deverão ter, em sua composição, filiados e filiadas em, no mínimo, nove Estados da Federação; Vill — só serão considerados válidos os votos dados às chapas; IX — as chapas deverão garantir, no preenchimento das vagas que lhes forem atribuídas, o percentual minimo a que se referem os incisos IV e V deste artigo; X-o preenchimento das vagas para as direções, órgãos e delegações observará estritamente a orde",Sim,"p. 1: NTO. 1. O Partido dos Trabalhadores (PT) requer o registro de alterações promovidas em seu estatuto, aprovadas em reunião do Diretório Nacional. 2. Não foram apresentadas impugnações. Parecer da d. Procuradoria- Geral Eleitoral pelo deferimento. 3. As alterações descritas na ata da convenção nacional (inclusão do inciso X e do § 4º no art. 14 e do inciso XVII no art. 227) se destinam a adequar o Estatuto do partido à Lei 14.192/2021, que estabelece normas para prevenir, reprimir e combater a violência política contra a mulher, como determinado nos arts. 7º da Lei 14.192/2021 e 15, X, da Lei 9.096/95. 4. Pedido de anotação de alterações estatutárias deferido.",Sim,"p. 31: he assegurada, ainda, a participação em outro Setorial de sua preferência, nesse caso apenas com direito a voz; $32; Para efeito do disposto neste artigo, o Diretório Nacional deverá regulamentar a adesão setorial, inclusive através de meto eletrônico, definindo formulário nacional próprio que deverá ser preenchido pelo interessado e registrado junto ao Diretório Estadual correspondente. §4% As listagens das adesões setoriais ocorridas no pais deverão ser, a cada ano, atualizadas pela instância de direção nacional; 65%: As direções e delegações setoriais, em todos os níveis, serão eleitas em Encontros a cada quatro anos, de forma intercalada à realização do PED, conforme calendário e Regulamento a ser definido pelo Diretório Nacional. Art. 135. As mulheres filiadas ao PT poderão atuar no Setorial de Mulheres com direito a voz e voto e poderão, ainda, optar pela participação em outro setorial, igualmente com direito a voz e voto. Art. 136. Filiados e filiadas com até 29 anos de Idade, com direito à voz e voto na Juventude do PT, poderão optar pela participação em outro setorial igualmente com direito a voz e voto. Art, 137, Os participantes do Setorial de Combate ao Racismo com direito à voz ¢ voto poderão optar pela part",Sim,"p. 46: evistos neste artigo deverão ser adotados pelas instâncias inferiores, obedecida a hierarquia partidária. Art. 208. Como forma de democratizar as atividades especificadas no orçamento, podem ser estabelecidos rateios de despesas entre instâncias é taxas de inscrição. Art. 209. As instâncias partidárias, em cada nivel, ficam obrigadas a reservar, mensalmente, 5% (cinco por cento) da receita partidária para a constituição do Fundo Eleitoral Interno (FEI). Parágrafo único: Os recursos do FEI deverão ser depositados em conta bancária especifica e servirão para cobrir as despesas com a realização do PED, prévias, encontros setoriais e congressos da JPT, | (i | } a 45 la"
PCdoB,Estatutos/04_PCdoB/001_Estatuto_do_Partido_de_17_10_2021_PDF_aprovado_em_24_02_2022.pdf,Estatutos/_analise_notion/PCdoB_estatuto_atual_ocr.txt,Sim,"p. 30: ção de suas militantes e quadros, definindo políticas de ampliação da sua participação nas diversas instâncias partidárias, e nos seus cursos de formação. Parágrafo 1º — Será realizado um processo efetivo para atingir a participação paritária de mulheres e homens nos Comitês partidários e nos seus respectivos órgãos de direção, como Comissão Política e Comissão Executiva, assim como na lista de delegados(as) às Conferências e aos Congressos, nos termos do Regimento partidário, e será garantida a eleição de no mínimo 30% (trinta por cento) de cada gênero, a ser regulamentada no Regimento do Partido. Parágrafo 2º — O Partido deve investir anualmente um percentual dos recursos recebidos do Fundo Partidário, conforme previsto em lei, para a criação e manutenção de programas de promoção da emancipação e da participação política das mulheres. ARTIGO 54 O Comité Central convocará periodicamente uma Conferência Nacional sobre a Emancipação das Mulheres para elaborar e implementar políticas sob a ótica de gênero, consoante com as demandas da emancipação das mulheres e sua participação na luta transformadora, bem como na vida partidária. ARTIGO 55 A Conferência Nacional do PCdoB sobre a Emancipação das Mulheres constituirá um Fóru",Sim,"p. 6: ribuindo para o seu fortalecimento e desenvolvimento; f) prestar contas ao coletivo da sua atividade partidária, exercer e estimular a prática da crítica e autocrítica; manter constantemente atualizado o seu cadastro partidário, inclusive informando sobre mudança de local de trabalho, residência ou área de militância que implique alteração da Organização de Base em que atua; 9) combater todas as formas de opressão e prestar solidariedade aos que são alvo de quaisquer manifestações de perseguição política ou discriminação social, de gênero, racista ou étnica, de orientação sexual ou identidade de gênero, religião, e as relativas à condição da criança e do adolescente, dos(as) idosos(as) e pessoas com deficiência; hipotecar plena solidariedade à luta dos(as) trabalhadores(as) e dos povos em defesa da soberania nacional e de sua emancipação social, pela paz e contra o imperialismo. CAPÍTULO Ill OS QUADROS DO PARTIDO ARTIGO 7º Os quadros são a coluna vertebral da estrutura partidária. São os principais responsáveis pela unidade do Partido em torno de seus princípios e de sua orientação, bem como pela permanente construção política, ideológica e orgânica do Partido. São os cumpridores exemplares dos deveres dos militantes. Os",Sim,"p. 30: á realizado um processo efetivo para atingir a participação paritária de mulheres e homens nos Comitês partidários e nos seus respectivos órgãos de direção, como Comissão Política e Comissão Executiva, assim como na lista de delegados(as) às Conferências e aos Congressos, nos termos do Regimento partidário, e será garantida a eleição de no mínimo 30% (trinta por cento) de cada gênero, a ser regulamentada no Regimento do Partido. Parágrafo 2º — O Partido deve investir anualmente um percentual dos recursos recebidos do Fundo Partidário, conforme previsto em lei, para a criação e manutenção de programas de promoção da emancipação e da participação política das mulheres. ARTIGO 54 O Comité Central convocará periodicamente uma Conferência Nacional sobre a Emancipação das Mulheres para elaborar e implementar políticas sob a ótica de gênero, consoante com as demandas da emancipação das mulheres e sua participação na luta transformadora, bem como na vida partidária. ARTIGO 55 A Conferência Nacional do PCdoB sobre a Emancipação das Mulheres constituirá um Fórum Nacional permanente, coordenado pela Secretaria das Mulheres do Comitê Central, que terá por responsabilidade propor uma política emancipacionista das mulheres e acompanha",Nao localizado,
PSB,Estatutos/05_PSB/001_Estatuto_do_Partido_de_2_12_2011_PDF.pdf,Estatutos/_analise_notion/PSB_estatuto_atual.txt,Nao localizado,,Nao localizado,,Nao localizado,,Nao localizado,
PSDB,Estatutos/06_PSDB/001_Estatuto_do_Partido_de_5_6_2025_PDF_aprovado_em_7_10_2025.pdf,Estatutos/_analise_notion/PSDB_estatuto_atual_ocr.txt,Sim,"p. 6: VII - pagar pontualmente a contribuição financeira estabelecida, na forma regulada neste Estatuto e em resoluções dos Diretórios Zonal, Municipal, Estadual e Nacional, e participar das campanhas de arrecadação de fundos para o Partido. VIII- cumprir com exação as suas funções nos órgãos partidários para os quais tenha sido eleito; IX - comparecer, quando convocado, para elucidar fatos em procedimentos disciplinares; X -zelar pelo direito de participação política igualitária da mulher, vedada qualquer discriminação ou desigualdade de tratamento em virtude de gênero no acesso às instâncias de representação política, internas e externas, ou ainda no exercício de suas funções públicas. § 1º. Considera-se violência contra a mulher toda ação, conduta ou omissão com a finalidade de impedir, obstaculizar ou restringir os direitos políticos da mulher. § 2º. Constituem igualmente atos de violência política contra a mulher qualquer distinção, exclusão ou restrição no reconhecimento, gozo ou exercício de seus direitos e de suas liberdades políticas fundamentais, em virtude do sexo, ou em razão de sua cor, raça ou etnia. § 3°. Os filiados detentores de mandato eletivo ou investidos",Sim,"p. 2: na legislação federal em vigor. CAPÍTULO II Dos Objetivos e dos Princípios Programáticos do Partido Art. 2º. O PSDB tem como base a democracia interna e a disciplina e, como objetivos programáticos, a consolidação dos direitos individuais e coletivos; o exercício democrático participativo e representativo; a soberania nacional; a construção de uma ordem social justa e garantida pela igualdade de oportunidades; o respeito ao pluralismo de idéias, culturas e etnias; às diferentes orientações sexuais e identidades de gênero e a realização do desenvolvimento de forma harmoniosa, com a prevalência do trabalho sobre o capital, buscando a distribuição equilibrada da riqueza nacional entre todas as regiões e classes sociais. Art. 3º. Constituem diretrizes fundamentais e princípios programáticos para a organização, funcionamento e atuação do PSDB: I - democracia interna e disciplina, de modo a assegurar a necessária unidade de atuação partidária, máxima participação dos filiados na definição da orientação política do Partido e na escolha de seus dirigentes, inclusive mediante eleições periódicas, livres em todos os níveis de sua estrutura; TT - temporariedade do mandato dos dirigentes partidários, permitida a reeleição para os c",Sim,"p. 29: l de Pessoa Jurídica - CNPJ, não respondendo os Diretórios Estaduais e Nacional por dívidas dos Diretórios Municipais, nem o Nacional por dívidas dos Diretórios Estaduais. Art. 111. Os recursos oriundos do Fundo Partidário devem ter a seguinte destinação: T— manutenção das sedes, de equipamentos, dos serviços de qualquer natureza, e no pagamento de pessoal, este último no máximo permitido por lei; TI — aquisição de equipamentos; III — propaganda doutrinária e política; IV — alistamento e campanhas eleitorais: V —nos programas de promoção e difusão da participação política das mulheres, respeitado o mínimo de cinco por cento ou outro percentual que a lei venha a estipular; VI — outros órgãos setoriais do Partido; VII — manutenção do Instituto Teotônio Vilela para fins de divulgação, pesquisa, doutrinação, política e educação, no valor mínimo de vinte por cento do total recebido do Fundo Partidário ou outro percentual que a lei venha a estipular; e VIII — entre os órgãos executivos estaduais, a critério e conforme estratégia politica-eleitoral da Comissão Executiva Nacional e, desde que preencham os seguintes requisitos: a) estejam em dia com sua prestação de contas perante a Justiça Eleitoral e aptos para o recebimento; P",Nao localizado,
AGIR,Estatutos/07_AGIR/001_Estatuto_do_Partido_de_12_7_2021_PDF.pdf,Estatutos/_analise_notion/AGIR_estatuto_atual_ocr.txt,Nao localizado,,Sim,"p. 17: Num. 157074473 - Pág. 16 Assinado eletronicamente por: JUAN VITOR BALDUINO NOGUEIRA - 01/12/2021 18:48:10 https://pje.tse.jus.br/pje/Processo/ConsultaDocumento/listView.seam?x=21120118480945900000155772066 Número do documento: 21120118480945900000155772066 AGIR 165725 Pessoas Jurídicos I- Incentivar a participação política de jovens visando à ampliação dê quadros do partido e a formação de novas lideranças. Art. 32º - AGIR mulher, órgão de apoio subordinado diretamente a Comissão Executiva da sua circunscrição, composta por 1 (um) mulher, designada pelo órgão ao qual é subordinado, tendo como finalidade precípua: I - Incentivar a participação política de mulheres, proporcionando meios para a capacitação de mulheres, visando à formação de lideranças nas áreas públicas e privadas e no exercício do mandato eletivo. CAPÍTULO IX - DO FUNCIONAMENTO PARLAMENTAR Art. 33º - O Partido funcionará no Senado Federal, na Câmara dos Deputados, nas Assembleias Legislativas e nas Câmaras Municipais de Vereadores através de suas banc",Sim,"p. 21: ros partidos políticos, respeitand o que dispõe o Parágrafo Primeiro deste Artigo. 84º - O não cumprimento do disposto no 81º deste Artigo acarretará a nulidade da respectiva convenção e a dissolução do Órgão Diretivo Partidário responsável pela realização da convenção. Art. 42º - Os recursos do Fundo Partidário serão administrados pela Executiva Nacional e aplicados respeitando-se os seguintes critérios: I - 20% (vinte por cento) do total recebido serão destinados à Fundação de pesquisa e educação política. II - 75% (setenta e cinco por cento) para o Diretório e Comissão Executiva Nacional para o custeio da manutenção das Sedes e serviços do Partido e para o custeio de Propaganda Política. III - 5% (cinco por cento) na criação e manutenção de programas de promoção e difusão da participação política das mulheres. IV - A Comissão Executiva Nacional repassará até 5% dos recursos de que trata o inciso II deste artigo, aos Diretórios Regionais. V - A Comissão Executiva Nacional repassará até 3% dos recursos de que se trata o inciso II deste artigo, aos Diretórios Municipais. VI- O AGIR, a critério exclusivo de sua Comissão Executiva Nacional, poderá distribuir diretamente a seus filiados, candidatos a cargos eletivos, recurs",Nao localizado,
MOBILIZA,Estatutos/08_MOBILIZA/001_Estatuto_do_Partido_de_25_7_2021_PDF.pdf,Estatutos/_analise_notion/MOBILIZA_estatuto_atual.txt,Nao localizado,,Sim,"p. 23: . § ÚNICO - As REGRAS PARA O REGULAR FUNCIONAMENTO DO CONSELHO, SERÃO FIXADAS POR RESOLUÇÃO DA Executiva Nacional. SEÇÃO IV - DOS departamentos e secretarias Art. 76 - Fica autorizado, a critério da Executiva Nacional, que lhes fixará a competência, a criação de DEPARTAMENTOS QUE DESENVOLVERÃO ATIVIDADES ESPECÍFICAS E VINCULADAS A DETERMINADO SETOR OU ATIVIDADE, GRUPAMENTO SOCIAL OU ETARIO. § ÚNICO - As REGRAS PARA O REGULAR FUNCIONAMENTO DOS DEPARTAMENTOS, SERÃO FIXADAS POR RESOLUÇÃO DA Executiva Nacional. Art. 76-A-a Secretaria Nacional das Mulheres ê órgão destinado a criação e manutenção de programas DE PROMOÇÃO E DIFUSÃO DA PARTICIPAÇÃO POLÍTICA DAS MULHERES, SENDO QUE. § PRIMEIRO - A Secretaria será designada ad nutum pela Executiva Nacional e será composta de uma Presidente, uma Secretária e uma Tesoureira; § SEGUNDO - Compete ã Presidente e A Tesoureira, assinar em conjunto cheques em conta especifica para ESTE FIM, TÍTULOS OU OUTROS DOCUMENTOS QUE IMPLIQUEM EM RESPONSABILIDADES FINANCEIRAS DA SECRETARIA; § TERCEIRO - Deve elaborar anualmente orçamento de gastos, LIMITADOS À ARRECADAÇÃO PREVISTA E SUJEITO Ã APROVAÇÃO DA EXECUTIVA NACIONAL; § QUARTO - É VEDADA QUALQUER CONTRATAÇÃO PARA EXECUÇÃO DE PROJETOS E PROGR",Sim,"p. 26: TRIBUIÇÃO DOS RECURSOS ORIUNDOS 1 6 5 1 ^ 8 DO FUNDO ESPECIAL DE ASSISTÊNCIA AOS PARTIDOS POLÍTICOS jyf1(116» ART 83 - Os RECURSOS ORIUNDOS DO FUNDO ESPECIAL DE ASSISTÊNCIA AOS PARTIDOS ÍdLITICÒS kÉCEBIDOS PELA DIREÇÃO Nacional, serão distribuídos pela tesouraria geral, da seguinte forma: A) - 45% (QUARENTA É CINCO POR CENTO) SERÃO MANTIDOS NA TESOURARIA NACIONAL PARA UTILIZAÇÃO CONFORME orçamento; B)- 20% (VINTE POR CENTO) SERÃO REPASSADOS AO ÍNSTITUTO OU A FUNDAÇÃO JUSCELINO KUBITSCHEK, CONFORME PREVISÃO estatutária; o- 5% (CINCO POR CENTO) SERÃO REPASSADOS PARA A CONTA ESPECÍFICA DA SECRETARIA NACIONAL DA MULHERES; D)- 20% (VINTE POR CENTO) ÃS DIREÇÕES ESTADUAIS, APTAS NO MOMENTO DA DISTRIBUIÇÃO, PROPORCIONAL AO RESULTADO OBTIDO PARA A CÂMARA FEDERAL E)- 10% (DEZ POR CENTO) ÃS DIREÇÕES MUNICIPAIS, APTAS NO MOMENTO DA DISTRIBUIÇÃO, PROPORCIONAL AO RESULTADO OBTIDO PARA A CÂMARA FEDERAL. S riNlCO - É VEDADO A CONTABILIZAÇÃO DE QUALQUER RECEBIMENTO OU DISPÉNDIO REFERENTE Ã FUNDAÇÃO JUSCELINO KUBITSCHEK, QUE PRESTARÁ SUAS CONTAS AO ÓRGÃO DO MINISTÉRIO PUBLICO RESPONSÁVEL PE FISCALIZAÇÃO DAS FUNDAÇÕES E DOS INSTITUTOS. TÍTULO V DAS DISPOSIÇÕES GERAIS E TRANSITÓRIAS CAPÍTULO I DAS DISPOSIÇÕES GERAIS SEÇÃO I - DAS DISPOSIÇÕ",Nao localizado,
CIDADANIA,Estatutos/09_CIDADANIA/001_Estatuto_do_Partido_de_12_3_2022.pdf,Estatutos/_analise_notion/CIDADANIA_estatuto_atual_ocr.txt,Sim,"p. 6: Ofcie de Basa DF [Nº do Protocolo é Registro 167501 CAPITULO II - DAS DIRETRIZES DAS ELEIÇÕES INTERNAS:ssoas Jurídicas Art. 14 - As eleições internas, em qualquer instância partidária, observarão as seguintes diretrizes: 1 - Assegura-se a possibilidade de candidatura a todos os filiados quites com suas obrigações e no pleno exercício dos seus direitos; Il - Para a composição de todas as instâncias de funcionamento do partido deve ser observada a proporcionalidade por gênero de, no mínimo 30% (trinta por cento) e no máximo 70% (setenta por cento). IIL - A apresentação de chapas para disputa será garantida a um conjunto de, pelo menos, 10% (dez por cento) dos votantes, não sendo permitido a um filiado integrar mais de uma chapa; IV - Não serão permitidos votos cumulativos, nem por procuração ou por correspondência; V - O voto será aberto, salvo por decisão da maioria absoluta em sentido contrário: VI - Na composição dos Diretórios eleitos, em todas as instâncias, será obrigatório o critério de proporcionalidade, beneficiando as chapas que obtiverem acima de 10% (dez por ce",Sim,"p. 2: o regime participativo, representativo e democrático, baseado no pluralismo político, na transparência como mecanismo de controle social e no protagonismo da sociedade civil e seus movimentos, assim como na garantia e na defesa da liberdade e dos demais direitos fundamentais da pessoa humana. Art. 3º - O CIDADANIA defende o Estado laico e se dedica a promover igualdade de oportunidades para todos os que residem no Brasil, independentemente da nacionalidade, a combater as diferentes formas de preconceito e discriminação, afirmando o compromisso com a participação cidadã de todos os segmentos da sociedade, incluindo mulheres, negros, indígenas, LGBTI+, pessoas com deficiência, idosos e jovens. Art. 4º - O CIDADANIA se compromete com o combate à pobreza ¢ às desigualdades sociais, com o acesso universal à educação como principal vetor da cidadania, com a responsabilidade fiscal e com a sustentabilidade, nas suas dimensões econômica, ambiental e social. Art. 5º - No plano internacional, o CIDADANIA reafirma o seu compromisso com a defesa da Declaração Universal dos Direitos Humanos, de resoluções pacíficas para conflitos mundiais, da autodeterminação dos povos e do fortalecimento da ONU e de outros fóruns e instituições inte",Sim,"p. 20: Resoluções específicas adotadas por sua Comissão Executiva. Am. 50 - Os recursos do Fundo Partidário serão distribuídos de acordo com os seguintes critérios: TON de Baia DF Ine do Protocolo Reaintro 1- 60% (sessenta por cento) para o Diretório Nacional; 167501 11- 20% (vinte por cento) para a Fundação Astrojildo Pereira; Pessoas Jurídicas III - 20% (vinte por cento) para os Diretórios Estaduais regularmente constituídos e aptos a receber. § 1° - Do valor total do Fundo Partidário recebido pelo CIDADANIA, o mínimo de 5% (cinco por cento) será aplicado em programas de promoção e difusão da participação politica das mulheres, mantidos pela Secretaria de Mulheres, nos termos da Lei nº 9.096/95. § 2° - As demais Secretarias de Cooperação também terão um orçamento mínimo para estruturar e sustentar suas ações e eventos, a ser definido e aprovado pela Comissão Executiva Nacional. § 3° - Os Diretórios Estaduais poderão destinar sua cota correspondente, no todo ou em parte, para instâncias Municipais que estiverem devidamente habilitadas. § 4º - A assunção de dívidas de campanha a serem pagas com recursos do Fundo Partidário 36 poderá ser feita por decisão da maioria absoluta do Diretório Nacional Am. 51 - Os recursos oriundos da",Sim,"p. 21: MM» DU TE Ofco de Bra DE. ye de Protacolo é Registro i 167501 CAPÍTULO II - DA CONTABILIDADE pessoas Jurídicas ‘Art. 53 - Os Diretórios devem manter escrituração contábil, de forma a permitir o conhecimento da origem de suas receitas e a destinação de suas despesas, de acordo com 0 disposto em lei e com os princípios fundamentais de Contabilidade. Parágrafo único - Os Diretórios Estaduais aptos a receber recursos do Fundo Partidário deverão manter conta bancária específica para este fim. Amt. 54 - O partido, em todos os níveis da Federação, fará a prestação de contas à Justiça Eleitoral, na forma da lei vigente. Parágrafo único - Ao final de cada trimestre deverão ser divulgados no portal do partido todos os dados referentes à situação financeira, contábil e patrimonial. TÍTULO V DAS DISPOSIÇÕES FINAIS ‘Art. 55 - Os filiados ao partido não responderão solidária ou subsidiariamente. pelas obrigações contraídas em nome da organização partidária. Art. 56 - O Diretório Nacional e as instâncias Estaduais e Municipais terão CNPJ próprios, nos termos da lei, vedada a utilização de CNPJ de uma instância por outra. Parágrafo único - Cada instância partidária é"
PV,Estatutos/10_PV/001_Estatuto_do_Partido_de_21_7_2022_PDF.pdf,Estatutos/_analise_notion/PV_estatuto_atual.txt,Sim,"p. 40: 2022 15:33:55 https://pje.tse.jus.br:443/pje/Processo/ConsultaDocumento/listView.seam?x=22083015335530300000156669699 Número do documento: 22083015335530300000156669699 Este documento foi gerado pelo usuário 002.***.***-47 em 12/09/2023 13:40:18 PARTIDO VERDE - 43 CAPITULO XV - DAS FEDERAQOES 7 1 5 0 0 CAPITULO XVI - DO COMBATE A PREVENQAO E REPRESSAO A VIOLENCIA POLITICA CONTRA A MULHER. Art. 117 - A composiQcio da ComissSo Nacional de Combate & Vio!6ncia Politica Contra a Mulher deverS ser observado o minimo de 30% (trinta por cento) e o m^ximo de 70% (setenta por cento) para cada sexo. Art. 118 - A ComissSo Nacional de Combate a Violencia Politica Contra a Mulher sera orgao de cooperapao do Diretbrio Nacional. com objetivo de desenvolver e implementar programa de combate a violencia politica contra a mulher no hmbito intrapartidhrio, parlamentar e nas campanhas eleitorais. Art. 119 - A Comissao Nacional de Combate a Violbncia Politica Contra a Mulher sera responsbvel ainda por: Art. 116 - A Dire$ao Executiva Nacional instituira uma Comissao Nacional de Combate a Violencia Politica Contra a Mulher que sera composta por 5 integrantes efetivos, dentre os membros do Diretdrio Nacional e da Comissao Executiva Nacional",Sim,"p. 12: o do documento: 22083015335530300000156669699 Este documento foi gerado pelo usuário 002.***.***-47 em 12/09/2023 13:40:18 PARTIDO VERDE - 43 00 III-1 Secretario de OrganizagSo; 715 IV-1 Secretario de ComunicaQ3o; V -1 Secreterio de Formacao; VI -1 Secretario de Finangas; VII -1 Secretario de Assuntos Jurldicos; VIII-1 Secretario de Assuntos do Executivo; IX -1 Secretario de Assuntos Parlamentares; X -1 Secretario de RelaQOes Internacionais; XI -1 Secretario de Administragao; XII -1 Secretario de Juventude; XIII-1 Secretaria da Mulher; XIV-1 Secretario de Mobilizagao; XV -1 Secretario de Direitos Humanos e Diversidade Art. 35 - Sao atribuigdes da Comissao Executiva Nacional: I - responder politicamente pelo PV; II - convocar as reunites do DiretPrio Nacional e a Convengao Nacional; III - executar as decisoes do Diretdrio e da Convengao Nacional; IV - administrar o patrimdnio do Partido; V - determinar a intervengao em Estados e Municipios, na forma prevista neste Estatuto; VI - deliberar sobre a instalagao de Comissoes de Etica; VII - deliberar sobre a prorrogagao dos mandates dos Orgaos partiddrios; VIII- decidir sobre questOes politicas e de organizagao interna de cardter urgente; IX - estabelecer limite de gastos para",Sim,"p. 34: § 1° - A Comissao Executiva Nacional, ao receber do Tribunal Superior Eleitoral as cotas do Fundo Partidario destinadas a Direpao Nacional do Partido, dar-lhes-a a seguinte aplicapao e distribuipao: c) 25% (vinte e cinco por cento) serao destinados as instancias partidarias estaduais, que farao a devida prestapao de contas nos termos da lei e das disposipoes deste Estatuto; d) 25% (vinte e cinco por cento) para a Executiva Nacional a serem utilizados na administrapao partidaria na forma dos incisos I, II e III deste artigo. e) 5% (cinco por cento) na criapao e manutenpao de programas de promopao e difusao da participapao politica das mulheres na forma da Lei 12.034/2009; § 2° - Os repasses das cotas do Fundo Partidario deverao ser feitos dentro do prazo maximo de 30 (trinta) dias do seu recebimento. § 3° - As instancias estaduais que nao cumprirem o disposto no artigo 99 terao o repasse das cotas do Fundo Partidario suspenso. § 4° - As instancias estaduais que deixarem de prestar contas a Justipa Eleitoral, bem como aquelas que tiverem contas rejeitadas terao o repasse das cotas do Fundo Partidario suspenso. 1 5 IV - na criapao e manutenpao da Fundapao Verde Herbert Daniel, sendo esta aplicapao de, no minimo, 20%",Nao localizado,
