partido,estatuto,arquivo,paginas_pdf,paginas_com_mulheres_genero,paginas_com_fundo_conta,paginas_com_participacao_politica,hits_mulheres_genero,hits_fundo_conta,hits_participacao_politica,hits_cota_reserva_minimo,hits_direcao_executiva,texto_extraido_chars
MDB,Estatuto do Partido (Formato PDF),Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,31,24,"3,5,11,13,14,17,19,22,23,24,26,29","14,24",2,33,3,14,325,91434
PDT,"Estatuto do Partido de 21.1.2022 (formato PDF),",Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,25,"1,3,6,7,20,22","4,7,9,10,17,20,24",19,14,11,1,14,235,76647
PT,Estatuto do Partido de 20.7.2022 (Formato PDF),Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,59,1,,,1,0,0,0,2,1420
PCdoB,"Estatuto do Partido de 17.10.2021 (formato PDF) , aprovado em 24.02.2022",Estatutos/04_PCdoB/001_Estatuto_do_Partido_de_17_10_2021_PDF_aprovado_em_24_02_2022.pdf,40,,,,0,0,0,0,1,1888
PSB,Estatuto do Partido de 2.12.2011 (formato PDF),Estatutos/05_PSB/001_Estatuto_do_Partido_de_2_12_2011_PDF.pdf,20,,,,0,0,0,0,0,64439
PSDB,"Estatuto do Partido de 5.6.2025 (formato PDF), aprovado em 7.10.2025.",Estatutos/06_PSDB/001_Estatuto_do_Partido_de_5_6_2025_PDF_aprovado_em_7_10_2025.pdf,34,,,,0,0,0,0,0,0
AGIR,Estatuto do Partido de 12.7.2021 (formato PDF),Estatutos/07_AGIR/001_Estatuto_do_Partido_de_12_7_2021_PDF.pdf,25,,,,0,0,0,0,0,7767
MOBILIZA,Estatuto do Partido de 25.7.2021 (Formato PDF),Estatutos/08_MOBILIZA/001_Estatuto_do_Partido_de_25_7_2021_PDF.pdf,27,"23,26","1,4,6,7,11,16,17,22,23,25,26",23,5,28,3,9,214,72200
CIDADANIA,Estatuto do Partido de 12.3.2022,Estatutos/09_CIDADANIA/001_Estatuto_do_Partido_de_12_3_2022.pdf,22,,,,0,0,0,0,0,1865
PV,Estatuto do Partido de 21.7.2022 (formato PDF),Estatutos/10_PV/001_Estatuto_do_Partido_de_21_7_2022_PDF.pdf,45,"12,18,22,28,34,36,40,42","2,8,10,12,16,18,20,26,30,32,34,38,40","28,34",39,29,2,27,240,82103
AVANTE,Estatuto do Partido de 23.7.2022 (formato PDF),Estatutos/11_AVANTE/001_Estatuto_do_Partido_de_23_7_2022_PDF.pdf,40,"3,4,7,8,20","5,10,12,14,16,22,23,27,28,29,32,33,36,37,38,39","3,4",13,40,2,14,389,74517
PP,"Estatuto do Partido de 25.4.2023, aprovado pelo TSE em 28.5.2024",Estatutos/12_PP/001_Estatuto_do_Partido_de_25_4_2023_aprovado_pelo_TSE_em_28_5_2024.pdf,44,,,,0,0,0,0,0,1055
PSTU,Estatuto do Partido de 17.3.2013 (formato PDF),Estatutos/13_PSTU/001_Estatuto_do_Partido_de_17_3_2013_PDF.pdf,12,,"3,5,6,7,10,11",,0,17,0,4,126,33833
PCB,Estatuto do Partido de 3.3.2022 (Formato PDF),Estatutos/14_PCB/001_Estatuto_do_Partido_de_3_3_2022_PDF.pdf,14,,,,0,0,0,0,1,1234
PRTB,Estatuto do Partido de 25.11.2017 (formato PDF,Estatutos/15_PRTB/001_Estatuto_do_Partido_de_25_11_2017_PDF.pdf,35,"6,21","15,22,23,25,26,27,28,29,32,34",,2,23,0,27,373,113978
DC,Estatuto do Partido de 24.3.2022,Estatutos/16_DC/001_Estatuto_do_Partido_de_24_3_2022.pdf,35,,,,0,0,0,0,1,13141
PCO,Estatuto do Partido de 9.12.1995 (formato PDF),Estatutos/17_PCO/001_Estatuto_do_Partido_de_9_12_1995_PDF.pdf,3,,,,0,0,0,10,35,6916
