partido,pagina,arquivo,trecho
MDB,14,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"c d 4- I3 D VI - impedir acordo ou coligação com ouios paÍidos em superiorcs; as decisões VII - preservar as normas estanÍárias, a ética paíidári4 os princípios programáticos, ou a lbha potitico-partidária fixada pelos órgãos superiores e a liúa política fixada pelos órgãos competentes. VIII - regúarizar o contole das filiações pani&tuias. § l'. O pedido de interve4ão sená fundameDtado e corroborado com elementos que comprovem a ocorrêucia ou a iminêmia das inÊações ptevistas rcíe aíigo. § 2'. A deliberação de irtervenção sení prec€dida de audiêacia do órgâo"
MDB,14,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"parecer da Comissão de Ética e Disciplina do dvel do órgão inteweniente. § 6o, A Comissão Interventor4 uma vez designada, estaú investida de todos os poderes para delibemr, aplicando-se, no que coubeÍ a competência de Comissão Proüsóda. § 7o. As comissões intervedolas ent-arão no exercÍcio pleno de suas funçõçs, com a publicação do ato de sua designaçâo e a promoção das aootações na Justiça Eleitoral. 1'Oficio dê No dê ProlocoBrasiliaoF I loe Registro CAPÍTULO Ix DA DISSOLUÇÂO. DOS ORGAOS PARTIDÁRIOS An. 62. O DiÍ€tólio que se româr ÍEsÍ,otrsável pela üotação do Código de Éüca, dos gincípios prograrnáticos, do EstaíÍo, ou po! desrespeito a qualquer direüiz ou deliberação Íegularmente estabelecida pelos órgâos compete es, ücorÍerá Da pena de dissoluçâo, que seú aplicada pelo Diretório de hierarqüa imediatamente sup€ri"
MDB,17,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"etório só poderão ser eleitos para a Comissão Executiva se também figurarem, nomiralrnente, em chapa escolhida pela Convenção. An. 77 . Compete à Comissao Executiva Naciotral: I - dirig4 no âmbito mcional, as aüüdades do partido; II - mantel a escrituaçâo de sua recaita e despesa em livros de contabilidade e plestar contas, ao órgão competente de União, das cotas recebidas do Fundo Partidário, ou equiyalente, se for o caso; III - administrar o patrimônio social, adquiri!, alienar, arrendar ou hipotecar bens; IV - promover o regisho do Estatuto, do Programa e do Código de Ética paíidfuia jullto ao órgão competente; V - remeter às Comissões Executivas Estaduais cópias das deliberações da Convenção e Diretório Nacional; _ VI - promover os atos neçessários à rctificação do Estatuto, do program4 do Código de Etica Part"
MDB,17,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"er eleitos para a Comissão Executiva se também figurarem, nomiralrnente, em chapa escolhida pela Convenção. An. 77 . Compete à Comissao Executiva Naciotral: I - dirig4 no âmbito mcional, as aüüdades do partido; II - mantel a escrituaçâo de sua recaita e despesa em livros de contabilidade e plestar contas, ao órgão competente de União, das cotas recebidas do Fundo Partidário, ou equiyalente, se for o caso; III - administrar o patrimônio social, adquiri!, alienar, arrendar ou hipotecar bens; IV - promover o regisho do Estatuto, do Programa e do Código de Ética paíidfuia jullto ao órgão competente; V - remeter às Comissões Executivas Estaduais cópias das deliberações da Convenção e Diretório Nacional; _ VI - promover os atos neçessários à rctificação do Estatuto, do program4 do Código de Etica Partidária e de oubas deliberações"
MDB,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"exercício financeirc em que a fiDdaçâo úo despelder a totalidade dos recursos oue lhe forcm assinalados, a eventual sobra _deverá ser revertidá para ort ., ,tiria.a"", p""rti*i.iã ;;;H caput do art. 44 daLei n. 9.096, de 1995, observando-se que: a) as sobÍas deve!ão ser apüradas aÉ o fim do exercício fiaanceiro e dçverão ser Tt""qra-lt""""i!: transferidas panr a conta bancária desr,.a.ta à movimentação dos recursos derivados do Fundo PaÍtidÁrio, no mês de jaoeiro do exercÍcio seguhte: b) o valor das sobras transferido úo seá computado pam cfeito do c.álculo previsto neste antigo; c) o valo! das sobras será compulado para efeito dos cálculos de gastos com p€ssoal e programas de inclusão de difusão da panicipação plítiia das mulheres. Art' 109. Aos recusos do Fundo Especial dç Assistênsia Financeiia aos partidos políticos (Fundo"
MDB,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"t""""i!: transferidas panr a conta bancária desr,.a.ta à movimentação dos recursos derivados do Fundo PaÍtidÁrio, no mês de jaoeiro do exercÍcio seguhte: b) o valor das sobras transferido úo seá computado pam cfeito do c.álculo previsto neste antigo; c) o valo! das sobras será compulado para efeito dos cálculos de gastos com p€ssoal e programas de inclusão de difusão da panicipação plítiia das mulheres. Art' 109. Aos recusos do Fundo Especial dç Assistênsia Financeiia aos partidos políticos (Fundo PaÍidálio), recebidos pela Comissâo Executiva Nacional, será dada I seguinte destiDação: I - 20% (vinte por cçnto) do total a Fundação Lllysses Guimarães Nacional; a) a Fudação Ulysses Cuimarães Naciolal estabelcce.á os critérios pam distribuiçâo às repÍpsenlaçôes Estaduais dos valores rcccbidos do Fundo partidário; ü - l57o"
MDB,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"ncária desr,.a.ta à movimentação dos recursos derivados do Fundo PaÍtidÁrio, no mês de jaoeiro do exercÍcio seguhte: b) o valor das sobras transferido úo seá computado pam cfeito do c.álculo previsto neste antigo; c) o valo! das sobras será compulado para efeito dos cálculos de gastos com p€ssoal e programas de inclusão de difusão da panicipação plítiia das mulheres. Art' 109. Aos recusos do Fundo Especial dç Assistênsia Financeiia aos partidos políticos (Fundo PaÍidálio), recebidos pela Comissâo Executiva Nacional, será dada I seguinte destiDação: I - 20% (vinte por cçnto) do total a Fundação Lllysses Guimarães Nacional; a) a Fudação Ulysses Cuimarães Naciolal estabelcce.á os critérios pam distribuiçâo às repÍpsenlaçôes Estaduais dos valores rcccbidos do Fundo partidário; ü - l57o (quiaze por cenlo) do total ao Dire"
MDB,24,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"ial dç Assistênsia Financeiia aos partidos políticos (Fundo PaÍidálio), recebidos pela Comissâo Executiva Nacional, será dada I seguinte destiDação: I - 20% (vinte por cçnto) do total a Fundação Lllysses Guimarães Nacional; a) a Fudação Ulysses Cuimarães Naciolal estabelcce.á os critérios pam distribuiçâo às repÍpsenlaçôes Estaduais dos valores rcccbidos do Fundo partidário; ü - l57o (quiaze por cenlo) do total ao Diretório Nacional; - III - 6Oolo (sessenta poÍ cento) do total aos Dfuetórios Estaduais que manterham organizados l/3 (um reço), no mínimo, de Diletódos Municipais, que Íeprese.tem 30% (úta por cento) do eleitorado do Estado, distribuídos da seguintc forma: a) 30% (aida por ccnto) iMmente enkÊ rodos; - b) 30% (tinta poÍ cento) proporcionar ao número de eleitores inscritos no Estado em 31 de dezembro do ano antedor"
MDB,29,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,"- 25% (vinte e cinco por ccnte para o órgão nacional, . ll - 75o/o (seteota e cinco por cento) para as ÍÊEesentações organizadas, inclusive as refelidas no artigo altedor. - AÍ. 138. Descumprido o prazo de que tlata o artigo 134, seÍão suspstrsas as aansferências de recursos até que a sihrsçâo seja regularizad& Aí. 139. Os recursos dispordveis,em calxa do Fundo partidário serão, imediataEente, traDsfcridos aos bercficiários, aa forma estabelecida no aÍigo 109, após a agovação deste estatuto. AÍr. 140. A comissão Executiva Nacionar para o perÍodo de 1996/199g será composta dc g (oito) vogais. . AÍ. 141. Ficam pronogados para 30 de maio do ano em curso de 1996 todos os prazos preüstos no pies€nte Estatuto, vencidos na data da süa publicação, _ AÍt. I 42. O disposto no art. 8"", § 2"" e art. gg, § 20, fV, úo ügoram para o pro"
PDT,1,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,"quais consistem, basicamente, em aperfeiçoamento da redação do estatuto anterior, com destaque para: (i) a ratificação, como princípios, do estado democrático de direito e da defesa da autonomia partidária (art. 1º, V), bem como das causas das minorias, incluindo o tema da Diversidade (art. 1º, VII); (ii) a determinação do preenchimento de cargos por mulheres no âmbito da agremiação, em percentual mínimo de 30%, com o objetivo de se alcançar a igualdade entre os gêneros (art. 12, caput e § 1º); (iii) o estabelecimento do prazo de mandato de até 6 (seis) meses para as comissões executivas provisórias (art. 19, § 1º); (iv) a adequação do estatuto às novas realidades digitais, como a filiação e a realização de reuniões pela via virtual (arts. 4º e 18); e (v) a regra do art. 61, XI, que passou a considerar"
