partido,indice,texto_link,url_origem,url_pdf_final,arquivo,bytes,sha256
MDB,1,Estatuto do Partido (Formato PDF),https://www.tse.jus.br/partidos/partidos-registrados-no-tse/arquivos/estatuto-do-partido-mdb-aprovado-em-17-2.2022,https://www.tse.jus.br/partidos/partidos-registrados-no-tse/arquivos/estatuto-do-partido-mdb-aprovado-em-17-2.2022/@@display-file/file/folha-de-rosto-e-estatuto-mdb.pdf,Estatutos/01_MDB/001_Estatuto_do_Partido_PDF.pdf,5362880,a4a6e2501689ea28dd0ec49812c0026ecd8bd23d1f5b480d1b29fc08e8a5482b
MDB,2,Estatuto do Partido (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-partido-movimento-democratico-brasileiro,https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-partido-movimento-democratico-brasileiro/@@download/file/TSE-estatuto-mdb.pdf,Estatutos/01_MDB/002_Estatuto_do_Partido_PDF.pdf,25653942,f64f4276ef4e0cbc0f5b29475ac734141e091011342a54694192c915755a47f4
MDB,3,Estatuto do Partido (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-pmdb-aprovado-em-18-12-2017,https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-pmdb-aprovado-em-18-12-2017/@@download/file/tse-estatuto-do-partido-PMDB-aprovado-em-18.12.2017.pdf,Estatutos/01_MDB/003_Estatuto_do_Partido_PDF.pdf,11873505,af85712938be96369a5b3ece66d7b4234ed139ffbaecd494a4a438e249b07ba1
MDB,4,Estatuto do Partido de 8.11.2015 - Resolução nº 1/2015 (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-pmdb-de-2-12-2016-aprovado-em-7-6-2016-1469633917134,https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-pmdb-de-2-12-2016-aprovado-em-7-6-2016-1469633917134/@@download/file/tse-estatuto-do-partido-PMDB-de-2-12-2016-aprovado-em-7-6-2016.pdf,Estatutos/01_MDB/004_Estatuto_do_Partido_de_8_11_2015_Resolucao_no_1_2015_PDF.pdf,2836377,c543b0f5a313f894f94794e7338637d1fe11120a4a189c33e846947722a0b265
MDB,5,Estatuto do Partido de 2.3.2013 (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-pmdb-de-02-03-2013-deferido-em-10-10-2013,https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-pmdb-de-02-03-2013-deferido-em-10-10-2013/@@download/file/Estatuto%20PMDB%202.3.2013_13.8.2013.pdf,Estatutos/01_MDB/005_Estatuto_do_Partido_de_2_3_2013_PDF.pdf,2149104,27fbc99bf7aebaf00c4f5dbd12914706519f6ba51e858f9eca870eb54957b530
MDB,6,Estatuto do Partido de 11.3.2007 (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-de-11-3-2007-resolucao-tse.112,https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-de-11-3-2007-resolucao-tse.112/@@download/file/TSE-estatuto-do-partido-de-11.3.2007-resolucao-tse-no-23112.pdf,Estatutos/01_MDB/006_Estatuto_do_Partido_de_11_3_2007_PDF.pdf,1775181,565c083d403ddc654364d5c273931f081f63c214af7b417735233514a25827ab
MDB,7,Estatuto do Partido de 11.3.2007 (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-de-11-3-2007-resolucao-tse.564,https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-de-11-3-2007-resolucao-tse.564/@@download/file/TSE-estatuto-do-partido-de-11.3.2007-resolucao-tse-no-22564.pdf,Estatutos/01_MDB/007_Estatuto_do_Partido_de_11_3_2007_PDF.pdf,2096944,111ebddadbe1340ad7aef718eafd044ffeb2562697922d15f087b6a108fb0ff1
MDB,8,Estatuto do Partido de 15.4.1996 (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-de-15-4-1996-resolucao-tse.563,https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-de-15-4-1996-resolucao-tse.563/@@download/file/TSE-estatuto-do-partido-de-15.4.1996-resolucao-tse-no-19563.pdf,Estatutos/01_MDB/008_Estatuto_do_Partido_de_15_4_1996_PDF.pdf,384973,00d043a19646d930e90793336991c4a12c6946b672e263bf255118af541493d6
PDT,1,"Estatuto do Partido de 21.1.2022 (formato PDF),",https://www.tse.jus.br/partidos/partidos-registrados-no-tse/arquivos/estatuto-do-partido-de-21-1-2022-aprovado-em-30-6.2022,https://www.tse.jus.br/partidos/partidos-registrados-no-tse/arquivos/estatuto-do-partido-de-21-1-2022-aprovado-em-30-6.2022/@@display-file/file/TSE-estatuto-do-partido-pdt-de-21-1-2022-aprovado-em-30.6.22.pdf,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,730875,55b7c168ea585387c458f26756f17d944a39ceffc1a6f6c2bdc0495b66d84877
PDT,2,Estatuto do Partido de 18.3.2019 (formato PDF),https://www.tse.jus.br/partidos/partidos-politicos/arquivos/tse-estatuto-partido-pdt-de-18-3-2019-aprovado-em-26-9-2019,https://www.tse.jus.br/partidos/partidos-politicos/arquivos/tse-estatuto-partido-pdt-de-18-3-2019-aprovado-em-26-9-2019/@@display-file/file/TSE-estatuto-Partido-PDT-de-18-3-2019-aprovado-em-26-9-2019.pdf,Estatutos/02_PDT/002_Estatuto_do_Partido_de_18_3_2019_PDF.pdf,2051599,79d3c597f6ccc10027dda2a96f6f9d44b78a081a79f601dc206d95a126e5b1f9
PDT,3,Estatuto do Partido de 12.3.2015 (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-pdt-aprovado-em-26-5-2015,https://www.justicaeleitoral.jus.br/arquivos/tse-estatuto-do-partido-pdt-aprovado-em-26-5-2015/@@download/file/tse-estatuto-do-partido-pdt-aprovado-em-26-5-2015.pdf,Estatutos/02_PDT/003_Estatuto_do_Partido_de_12_3_2015_PDF.pdf,14191817,feb9f7b7f0e1c61522d316d935c44dafe2df651d57f0dea9bb3d3c0c53134f51
PDT,4,Estatuto do Partido de 27.8.1999 (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/estatuto-do-partido-de-27-8-1999-resolucao-tse-no.2000,https://www.justicaeleitoral.jus.br/arquivos/estatuto-do-partido-de-27-8-1999-resolucao-tse-no.2000/@@download/file/estatuto-do-partido-de-27.8.1999-resolucao-tse-no-20578.pdf,Estatutos/02_PDT/004_Estatuto_do_Partido_de_27_8_1999_PDF.pdf,148316,11039a37a342d3a1826a5562ad3272ca3b1cec7f29f5d940ec00344a8833234b
PDT,5,Estatuto do Partido de 14.1.1996 (formato PDF),https://www.justicaeleitoral.jus.br/arquivos/estatuto-do-partido-de-14-1-1996-resolucao-tse-no.1997,https://www.justicaeleitoral.jus.br/arquivos/estatuto-do-partido-de-14-1-1996-resolucao-tse-no.1997/@@download/file/estatuto-do-partido-de-14.1.1996-resolucao-tse-no-19844.pdf,Estatutos/02_PDT/005_Estatuto_do_Partido_de_14_1_1996_PDF.pdf,704834,8d64a42269a77dcb049ec83d2af6fa61729815acba0d3518fd1e4197b13d798e
