ID,Data,Ramo,Edição,Tema,Tese,Precedentes,Referências,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Site 11,Site 12,Site 13,Site 14,Site 15,Site 16,Site 17,Site 18,Site 19,Site 20,Site 21,Site 22
1,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,A falta de defesa técnica por advogado no processo administrativo disciplinar não ofende a Constituição (Súmula Vinculante n. 5 do STF). SÚMULA VINCULANTE N. 5 DO STF,"1) AgRg no AREsp 331607/SP, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe 16/09/2013;
2) RMS 031995/RS, Rel. Ministro SÉRGIO KUKINA, PRIMEIRA TURMA, DJe 26/08/2013;
3) RMS 032169/RN, Rel. Ministro HUMBERTO MARTINS, SEGUNDA TURMA, DJe 17/06/2013;
4) AgRg no REsp 1256653/SP, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA TURMA, DJe 05/09/2012;
5) MS 015313/DF, Rel. Ministro MAURO CAMPBELL MARQUES, PRIMEIRA SEÇÃO, DJe 18/11/2011;
6) HC 198169/SP, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 16/11/2011;
7) MS 013791/DF, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, TERCEIRA SEÇÃO, DJe 25/04/2011;
8) MS 019785/DF (decisão monocrática), Rel. Ministra ELIANA CALMON, PRIMEIRA SEÇÃO, publicado em 11/04/2013;
9) MC 015290/DF (decisão monocrática), Rel. Ministro ARI PARGENDLER, publicado em 04/03/2009;",,,,,,,,,,,,,,,,,,,,,,,
2,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,"As instâncias administrativa e penal são independentes entre si, salvo quando reconhecida a inexistência do fato ou a negativa de autoria na esfera criminal.","1) MS 019823/DF, Rel. Ministra ELIANA CALMON, PRIMEIRA SEÇÃO, DJe 23/08/2013;
2) AgRg no RMS 033949/PE, Rel. Ministro CASTRO MEIRA, SEGUNDA TURMA, DJe 16/08/2013;
3) AgRg no RMS 038072/PE, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe 31/05/2013;
4) REsp 1323123/SP, Rel. Ministro HUMBERTO MARTINS, SEGUNDA TURMA, DJe 16/05/2013;
5) AgRg no AREsp 050432/SP, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA TURMA, DJe 11/03/2013;
6) EDcl no REsp 1194009/SP, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA TURMA, DJe 30/05/2012;
7) RMS 030511/PE, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, QUINTA TURMA, DJe 22/11/2010;",,,,,,,,,,,,,,,,,,,,,,,
3,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,"É possível a utilização de prova emprestada no processo administrativo disciplinar, devidamente autorizada na esfera criminal, desde que produzida com observância do contraditório e do devido processo legal.","1) MS 016146/DF, Rel. Ministra ELIANA CALMON, PRIMEIRA SEÇÃO, DJe 29/08/2013;
2) MS 015848/DF, Rel. Ministro CASTRO MEIRA, PRIMEIRA SEÇÃO, DJe 16/08/2013;
3) RMS 033628/PE, Rel. Ministro HUMBERTO MARTINS, SEGUNDA TURMA, DJe 12/04/2013;
4) MS 017472/DF, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 22/06/2012;
5) MS 015787/DF, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA SEÇÃO, DJe 06/08/2012;
6) EDcl no REsp 1163499/MT, Rel. Ministro MAURO CAMPBELL MARQUES, SEGUNDA TURMA, DJe 25/11/2010;
7) REsp 1122177/MT, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe 27/04/2011;
8) MS 014405/DF, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, TERCEIRA SEÇÃO, DJe 02/08/2010;",,,,,,,,,,,,,,,,,,,,,,,
4,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,É possível a instauração de processo administrativo com base em denúncia anônima.,"1) AgRg no REsp 1307503/RR, Rel. Ministro MAURO CAMPBELL MARQUES, SEGUNDA TURMA, DJe 13/08/2013;
2) RMS 038010/RJ, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe 16/05/2013;
3) EDcl no MS 015517/DF, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA SEÇÃO, DJe 31/08/2011;
4) RMS 030510/RJ, Rel. Ministra ELIANA CALMON, SEGUNDA TURMA, DJe 10/02/2010;
5) REsp 867666/DF, Rel. Ministro ARNALDO ESTEVES LIMA, QUINTA TURMA, DJe 25/05/2009;
6) REsp 1271165/PR (decisão monocrática), Rel. Ministro HUMBERTO MARTINS, SEGUNDA TURMA, publicado em 03/05/2013;
7) MS 013122/DF (decisão monocrática), Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, TERCEIRA SEÇÃO, publicado em 29/11/2007;",,,,,,,,,,,,,,,,,,,,,,,
5,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,"Instaurado o competente processo administrativo disciplinar, fica superado o exame de eventuais irregularidades ocorridas durante a sindicância.","1) RMS 037871/SC, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe 20/03/2013;
2) MC 021602/ES (decisão monocrática), Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA TURMA, publicado em 09/09/2013;",,,,,,,,,,,,,,,,,,,,,,,
6,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,"O excesso de prazo para conclusão do processo administrativo disciplinar não conduz à sua nulidade automática, devendo, para tanto, ser demonstrado o prejuízo para a defesa.","1) MS 019823/DF, Rel. Ministra ELIANA CALMON, PRIMEIRA SEÇÃO, DJe 23/08/2013;
2) MS 016031/DF, Rel. Ministro HUMBERTO MARTINS, PRIMEIRA SEÇÃO, DJe 02/08/2013;
3) MS 016192/DF, Rel. Ministro MAURO CAMPBELL MARQUES, PRIMEIRA SEÇÃO, DJe 18/04/2013;
4) MS 015768/DF, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA SEÇÃO, DJe 06/03/2012;
5) MS 015825/DF, Rel. Ministro HERMAN BENJAMIN, PRIMEIRA SEÇÃO, DJe 19/05/2011;
6) RMS 029290/MG, Rel. Ministro ARNALDO ESTEVES LIMA, QUINTA TURMA, DJe 15/03/2010;
7) MS 013340/DF, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, TERCEIRA SEÇÃO, DJe 04/06/2009;",,,,,,,,,,,,,,,,,,,,,,,
7,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,"A autoridade administrativa pode aplicar a pena de demissão quando em processo administrativo disciplinar é apurada a prática de ato de improbidade por servidor público, tendo em vista a independência das instâncias civil, penal e administrativa.","1) EDcl no MS 017873/DF, Rel. Ministro MAURO CAMPBELL MARQUES, PRIMEIRA SEÇÃO, DJe 09/09/2013;
2) MS 015848/DF, Rel. Ministro CASTRO MEIRA, PRIMEIRA SEÇÃO, DJe 16/08/2013;
3) MS 016418/DF, Rel. Ministro HERMAN BENJAMIN, PRIMEIRA SEÇÃO, DJe 24/08/2012;
4) AREsp 147269/DF (decisão monocrática), Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, PRIMEIRA TURMA, DJe 16/05/2013;
5) MS 017151/DF (decisão monocrática), Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 01/02/2012;",,,,,,,,,,,,,,,,,,,,,,,
8,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,"A decretação de nulidade no processo administrativo depende da demonstração do efetivo prejuízo para as partes, à luz do princípio pas de nullité sans grief.","1) AgRg no REsp 1186672/DF, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA TURMA, DJe 13/09/2013;
2) REsp 1225426/SC, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, PRIMEIRA TURMA, DJe 11/09/2013;
3) MS 019823/DF, Rel. Ministra ELIANA CALMON, PRIMEIRA SEÇÃO, DJe 23/08/2013;
4) MS 017518/DF, Rel. Ministro HUMBERTO MARTINS, PRIMEIRA SEÇÃO, DJe 02/08/2013;
5) MS 015859/DF, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 05/06/2013;
6) MS 017333/DF, Rel. Ministro HERMAN BENJAMIN, PRIMEIRA SEÇÃO, DJe 31/05/2013;
7) MS 017485/DF, Rel. Ministro MAURO CAMPBELL MARQUES, PRIMEIRA SEÇÃO, DJe 14/05/2013;
8) AREsp 321531/PE (decisão monocrática), Rel. Ministro SÉRGIO KUKINA, PRIMEIRA TURMA, DJe 06/06/2013;",,,,,,,,,,,,,,,,,,,,,,,
9,13/11/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,"O termo inicial do prazo prescricional em processo administrativo disciplinar começa a correr da data em que o fato se tornou conhecido pela Administração, conforme prevê o art. 142, § 1º, da Lei 8.112/90.","1) EDcl no MS 017873/DF, Rel. Ministro MAURO CAMPBELL MARQUES, PRIMEIRA SEÇÃO, DJe 09/09/2013;
2) MS 015859/DF, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 05/06/2013;
3) MS 019533/DF, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, PRIMEIRA SEÇÃO, DJe 05/06/2013;
4) AgRg no REsp 1306133/DF, Rel. Ministro CASTRO MEIRA, SEGUNDA TURMA, DJe 04/02/2013;
5) MS 016075/DF, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA SEÇÃO, DJe 21/03/2012;
6) MS 015825/DF, Rel. Ministro HERMAN BENJAMIN, PRIMEIRA SEÇÃO, DJe 19/05/2011;
7) REsp 1145173/PR, Rel. Ministra ELIANA CALMON, SEGUNDA TURMA, DJe 25/11/2009;
8) HC 016093/DF, Rel. Ministro FERNANDO GONÇALVES, SEXTA TURMA, DJ 18/06/2001;",,,,,,,,,,,,,,,,,,,,,,,
10,11/12/2013,DIREITO ADMINISTRATIVO,Edição n. 1,PROCESSO ADMINISTRATIVO DISCIPLINAR - I,"O prazo da prescrição no âmbito administrativo disciplinar, havendo sentença penal condenatória, deve ser computado pela pena em concreto aplicada na esfera penal.","1) RMS 032285/RS, Rel. Ministro MAURO CAMPBELL MARQUES, SEGUNDA TURMA, DJe 17/11/2011;
2) MS 014320/DF, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, TERCEIRA SEÇÃO, DJe 14/05/2010;
3) MS 010078/DF, Rel. Ministro ARNALDO ESTEVES LIMA, TERCEIRA SEÇÃO, DJ 26/09/2005;
4) REsp 1243282/SP (decisão monocrática), Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, publicado em 19/05/2011;",,,,,,,,,,,,,,,,,,,,,,,
11,11/12/2013,DIREITO ADMINISTRATIVO,Edição n. 5,PROCESSO ADMINISTRATIVO DISCIPLINAR - II,É possível haver discrepância entre a penalidade sugerida pela comissão disciplinar e a aplicada pela autoridade julgadora desde que a conclusão lançada no relatório final não guarde sintonia com as provas dos autos e a sanção imposta esteja devidamente motivada.,"1) MS 015826/DF, Rel. Ministro HUMBERTO MARTINS, PRIMEIRA SEÇÃO, DJe 31/05/2013;
2) MS 017479/DF, Rel. Ministro HERMAN BENJAMIN, PRIMEIRA SEÇÃO, DJe 05/06/2013;
3) RMS 028169/PE, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, QUINTA TURMA, DJe 29/11/2010;
4) MS 014212/DF, Rel. Ministro ARNALDO ESTEVES LIMA, TERCEIRA SEÇÃO, DJe 07/05/2010;
5) RMS 033599/RJ (decisão monocrática), Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA TURMA, publicado em 03/10/2012;
6) Ag 1393818/SP (decisão monocrática), Rel. Ministro MAURO CAMPBELL MARQUES, SEGUNDA TURMA, publicado em 12/05/2011;",,,,,,,,,,,,,,,,,,,,,,,
12,11/12/2013,DIREITO ADMINISTRATIVO,Edição n. 5,PROCESSO ADMINISTRATIVO DISCIPLINAR - II,"Quando o fato objeto da ação punitiva da administração também constituir crime e enquanto não houver sentença penal condenatória transitada em julgado, a prescrição do poder disciplinar reger-se-á pelo prazo previsto na lei penal para pena cominada em abstrato.","1) EDcl no RMS 021641/SP, Rel. Ministro OG FERNANDES, SEXTA TURMA, DJe 14/05/2013;
2) MS 016075/DF, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA SEÇÃO, DJe 21/03/2012;
3) MS 016567/DF, Rel. Ministro MAURO CAMPBELL MARQUES, PRIMEIRA SEÇÃO, DJe 18/11/2011;
4) AgRg no REsp 1243282/SP, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe 01/09/2011;
5) REsp 1243282/SP (decisão monocrática), Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, publicado em 19/05/2011;",,,,,,,,,,,,,,,,,,,,,,,
13,11/12/2013,DIREITO ADMINISTRATIVO,Edição n. 5,PROCESSO ADMINISTRATIVO DISCIPLINAR - II,"A portaria de instauração do processo disciplinar prescinde de minuciosa descrição dos fatos imputados, sendo certo que a exposição pormenorizada dos acontecimentos se mostra necessária somente quando do indiciamento do servidor.","1) MS 017053/DF, Rel. Ministro MAURO CAMPBELL MARQUES, PRIMEIRA SEÇÃO, DJe 18/09/2013;
2) MS 019823/DF, Rel. Ministra ELIANA CALMON, PRIMEIRA SEÇÃO, DJe 23/08/2013;
3) RMS 034473/MS, Rel. Ministro HUMBERTO MARTINS, SEGUNDA TURMA, DJe 15/04/2013;
4) MS 016582/DF, Rel. Ministro HERMAN BENJAMIN, PRIMEIRA SEÇÃO, DJe 01/02/2013;
5) EDcl no MS 014703/DF, Rel. Ministro OG FERNANDES, TERCEIRA SEÇÃO, DJe 23/11/2012;
6) MS 015832/DF, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 01/08/2012;
7) MS 015787/DF, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA SEÇÃO, DJe 06/08/2012;
8) MS 013518/DF, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, TERCEIRA SEÇÃO, DJe 19/12/2008;",,,,,,,,,,,,,,,,,,,,,,,
14,11/12/2013,DIREITO ADMINISTRATIVO,Edição n. 5,PROCESSO ADMINISTRATIVO DISCIPLINAR - II,"O prazo prescricional interrompido com a abertura do Processo Administrativo Disciplinar - PAD voltará a correr por inteiro após 140 dias, uma vez que esse é o prazo legal para o encerramento do procedimento.","1) MS 015859/DF, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 05/06/2013;
2) AgRg no MS 019488/DF, Rel. Ministro MAURO CAMPBELL MARQUES, PRIMEIRA SEÇÃO, DJe 06/03/2013;
3) MS 016093/DF, Rel. Ministro HUMBERTO MARTINS, PRIMEIRA SEÇÃO, DJe 18/06/2012;
4) MS 014159/DF, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, TERCEIRA SEÇÃO, DJe 10/02/2012;
5) MS 015230/DF, Rel. Ministro HERMAN BENJAMIN, PRIMEIRA SEÇÃO, DJe 15/03/2011;
6) REsp 1191346/CE, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA TURMA, DJe 15/10/2010;",,,,,,,,,,,,,,,,,,,,,,,
15,11/12/2013,DIREITO ADMINISTRATIVO,Edição n. 5,PROCESSO ADMINISTRATIVO DISCIPLINAR - II,"No PAD, a alteração da capitulação legal imputada ao acusado não enseja nulidade, uma vez que o indiciado se defende dos fatos nele descritos e não dos enquadramentos legais.","1) MS 015905/DF, Rel. Ministra ELIANA CALMON, PRIMEIRA SEÇÃO, DJe 08/11/2013;
2) MS 017370/DF, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 10/09/2013;
3) EDcl no MS 015837/DF, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA SEÇÃO, DJe 28/08/2012;
4) MS 012677/DF, Rel. Ministro HUMBERTO MARTINS, PRIMEIRA SEÇÃO, DJe 20/04/2012;
5) MS 014045/DF, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, TERCEIRA SEÇÃO, DJe 29/04/2010;
6) RMS 021409/GO, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJ 19/12/2007;
7) REsp 1335821/SP (decisão monocrática), Rel. Ministro MAURO CAMPBELL MARQUES, SEGUNDA TURMA, publicado em 27/09/2012;",,,,,,,,,,,,,,,,,,,,,,,
16,19/03/2014,DIREITO ADMINISTRATIVO,Edição n. 5,PROCESSO ADMINISTRATIVO DISCIPLINAR - II,"Da revisão do PAD não poderá resultar agravamento da sanção aplicada, em virtude da proibição do bis in idem e da reformatio in pejus.","1) MS 017370/DF, Rel. Ministro ARNALDO ESTEVES LIMA, PRIMEIRA SEÇÃO, DJe 10/09/2013;
2) MS 010950/DF, Rel. Ministro OG FERNANDES, TERCEIRA SEÇÃO, DJe 01/06/2012;
3) AgRg no MS 015463/DF, Rel. Ministro HERMAN BENJAMIN, PRIMEIRA SEÇÃO, DJe 15/03/2011;",,,,,,,,,,,,,,,,,,,,,,,
17,19/03/2014,DIREITO ADMINISTRATIVO,Edição n. 9,CONCURSOS PÚBLICOS - I,"A banca examinadora pode exigir conhecimento sobre legislação superveniente à publicação do edital, desde que vinculada às matérias nele previstas.","1) AgRg no RMS 021654/ES, Rel. Ministro OG FERNANDES, SEXTA TURMA, DJe 14/03/2012;
2) RMS 033191/MA, Rel. Ministro HUMBERTO MARTINS, SEGUNDA TURMA, DJe 26/04/2011;
3) AgRg no RMS 022730/ES, Rel. Ministra MARIA THEREZA DE ASSIS MOURA, SEXTA TURMA, DJe 10/05/2010;
4) RMS 021743/ES, Rel. Ministro ARNALDO ESTEVES LIMA, QUINTA TURMA, DJ 05/11/2007;
5) RMS 45030/MA (decisão monocrática), Rel. Ministro GURGEL DE FARIA, PRIMEIRA TURMA, publicado em 01/02/2021;
6) RMS 25608/ES (decisão monocrática), Rel. Ministra ASSUSETE MAGALHÃES, SEXTA TURMA, publicado em 03/05/2013;",Vide Informativos de Jurisprudência N. 357 e 469,"https://ww2.stj.jus.br/jurisprudencia/externo/informativo/?aplicacao=informativo&acao=pesquisar&livre=@cnot=""008622""","https://ww2.stj.jus.br/jurisprudencia/externo/informativo/?aplicacao=informativo&acao=pesquisar&livre=@cnot=""012448""",,,,,,,,,,,,,,,,,,,,
18,19/03/2014,DIREITO ADMINISTRATIVO,Edição n. 9,CONCURSOS PÚBLICOS - I,"O Poder Judiciário não analisa critérios de formulação e correção de provas em concursos públicos, salvo nos casos de ilegalidade ou inobservância das regras do edital.","1) AgInt no RMS 71502/MG, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe 18/12/2023;
2) AgInt no RMS 71954/SC, Rel. Ministro FRANCISCO FALCÃO, SEGUNDA TURMA, DJe 29/11/2023;
3) AgInt nos EDcl no RMS 69978/BA, Rel. Ministro PAULO SÉRGIO DOMINGUES, PRIMEIRA TURMA, DJe 25/10/2023;
