"ID","Nome (Artigo)","Texto do Artigo"
"1","Art. 1º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO I - DISPOSIÇÕES GERAIS
Dispositivo: Art. 1º

Art. 1º (VETADO)"
"2","Art. 2º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO I - DISPOSIÇÕES GERAIS
Dispositivo: Art. 2º

Art. 2º. Quem, de qualquer forma, concorre para a prática dos crimes previstos nesta Lei, incide nas penas a estes cominadas, na medida da sua culpabilidade, bem como o diretor, o administrador, o membro de conselho e de órgão técnico, o auditor, o gerente, o preposto ou mandatário de pessoa jurídica, que, sabendo da conduta criminosa de outrem, deixar de impedir a sua prática, quando podia agir para evitá-la."
"3","Art. 3º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO I - DISPOSIÇÕES GERAIS
Dispositivo: Art. 3º

Art. 3º. As pessoas jurídicas serão responsabilizadas administrativa, civil e penalmente conforme o disposto nesta Lei, nos casos em que a infração seja cometida por decisão de seu representante legal ou contratual, ou de seu órgão colegiado, no interesse ou benefício da sua entidade."
"4","Art. 3º, Parágrafo único","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO I - DISPOSIÇÕES GERAIS
Dispositivo: Art. 3º, Parágrafo único

Art. 3º. As pessoas jurídicas serão responsabilizadas administrativa, civil e penalmente conforme o disposto nesta Lei, nos casos em que a infração seja cometida por decisão de seu representante legal ou contratual, ou de seu órgão colegiado, no interesse ou benefício da sua entidade.
Parágrafo único. A responsabilidade das pessoas jurídicas não exclui a das pessoas físicas, autoras, co-autoras ou partícipes do mesmo fato."
"5","Art. 4º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO I - DISPOSIÇÕES GERAIS
Dispositivo: Art. 4º

Art. 4º. Poderá ser desconsiderada a pessoa jurídica sempre que sua personalidade for obstáculo ao ressarcimento de prejuízos causados à qualidade do meio ambiente."
"6","Art. 5º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO I - DISPOSIÇÕES GERAIS
Dispositivo: Art. 5º

Art. 5º (VETADO)"
"7","Art. 6º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 6º

Art. 6º. Para imposição e gradação da penalidade, a autoridade competente observará:"
"8","Art. 6º, I","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 6º, I

Art. 6º. Para imposição e gradação da penalidade, a autoridade competente observará:
I - a gravidade do fato, tendo em vista os motivos da infração e suas conseqüências para a saúde pública e para o meio ambiente;"
"9","Art. 6º, II","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 6º, II

Art. 6º. Para imposição e gradação da penalidade, a autoridade competente observará:
II - os antecedentes do infrator quanto ao cumprimento da legislação de interesse ambiental;"
"10","Art. 6º, III","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 6º, III

Art. 6º. Para imposição e gradação da penalidade, a autoridade competente observará:
III - a situação econômica do infrator, no caso de multa."
"11","Art. 7º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 7º

Art. 7º. As penas restritivas de direitos são autônomas e substituem as privativas de liberdade quando:"
"12","Art. 7º, I","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 7º, I

Art. 7º. As penas restritivas de direitos são autônomas e substituem as privativas de liberdade quando:
I - tratar-se de crime culposo ou for aplicada a pena privativa de liberdade inferior a quatro anos;"
"13","Art. 7º, II","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 7º, II

Art. 7º. As penas restritivas de direitos são autônomas e substituem as privativas de liberdade quando:
II - a culpabilidade, os antecedentes, a conduta social e a personalidade do condenado, bem como os motivos e as circunstâncias do crime indicarem que a substituição seja suficiente para efeitos de reprovação e prevenção do crime."
