questao_TEC,tribunal,banca,ano,questao,gabarito,ramo,subramo
#2563566,TJES,FGV,2023,"Antônio ajuizou ação com o escopo de ver declarada a usucapião de determinada unidade autônoma de prédio em condomínio, em relação à qual alega exercer a
posse por lapso temporal superior a vinte anos.
A petição inicial indicou, como integrante do polo passivo da relação processual, a pessoa em cujo nome o imóvel usucapiendo estava registrado na matrícula da serventia
imobiliária.
Apreciando a peça exordial, o juiz da causa determinou a intimação do autor para emendá-la, de modo a incluir no polo passivo os proprietários dos imóveis confinantes.
Tendo Antônio argumentado que a sua inicial não padecia de nenhum defeito, o juiz acabou por indeferi-la, extinguindo o feito sem resolução do mérito. Inconformado, o
demandante interpôs recurso de apelação.
É correto afirmar, nesse cenário, que o recurso interposto pela parte autora:
a)  comporta juízo de retratação, que, não sendo exercido, ensejará a remessa dos autos ao órgão ad quem, o qual deverá dar provimento ao apelo;
b)  não comporta juízo de retratação, o que ensejará a remessa dos autos ao órgão ad quem, o qual deverá dar provimento ao apelo;
c)  comporta juízo de retratação, que, não sendo exercido, ensejará a remessa dos autos ao órgão ad quem, o qual deverá negar provimento ao apelo;
d)  não comporta juízo de retratação, o que ensejará a remessa dos autos ao órgão ad quem, o qual deverá negar provimento ao apelo;
e)  comporta juízo de retratação, que, não sendo exercido, ensejará a remessa dos autos ao órgão ad quem, o qual não deverá conhecer do apelo, por falta de
previsão legal.",A,direito processual civil,Da Petição Inicial (arts. 319 a 331)
#2694882,TJGO,FGV,2023,"João ajuizou ação buscando a revisão do contrato de financiamento firmado com o banco ABC. Na petição inicial, João não especificou as obrigações contratuais
controvertidas, tampouco indicou o valor incontroverso do débito. Ao receber a petição inicial, o juiz determinou a intimação de João para indicar/especificar as questões
acima, o que não foi cumprido no prazo legal, ensejando o indeferimento da petição inicial por inépcia.
Diante dessa situação hipotética, é correto afirmar que:
a)  interposta apelação cível, é facultado ao juiz, no prazo de cinco dias, retratar-se;
b)  a petição inicial não poderia ser indeferida por inépcia, pois o caso concreto não se encaixa nas hipóteses legais de inépcia;
c)  interposta apelação cível, não havendo retratação, o juiz determinará a intimação do banco ABC para responder ao recurso;
d)  interposta apelação cível, se o recurso for provido pelo tribunal, o prazo para contestação será de quinze dias a partir da publicação do acórdão de julgamento;
e)  o juiz não poderia indeferir a petição inicial sem citar o banco ABC para apresentar sua contestação, cabendo a ele arguir a inépcia em preliminar de
contestação.",A,direito processual civil,Da Petição Inicial (arts. 319 a 331)
#2694896,TJGO,FGV,2023,"Cláudia intentou ação em face de Daniel, pleiteando a condenação deste a lhe pagar verbas indenizatórias em razão de ato ilícito que lhe atribuiu,
consubstanciado na condução imprudente de veículo automotor, do que resultou um acidente que provocou lesões graves na autora.
Na petição inicial, Cláudia formulou pedido genérico, alegando que não lhe era possível aferir todas as consequências do ato ilícito narrado, até porque ainda teria que se
submeter a cirurgias por conta das lesões sofridas.
Apreciando a peça exordial, o juiz da causa ordenou a intimação da autora para emendá-la, a fim de formular pedido indenizatório determinado.
Cláudia, porém, alegou que a sua inicial não padecia de nenhum defeito, o que levou o juiz a indeferi-la, extinguindo o feito sem resolução do mérito. Inconformada, a
demandante interpôs recurso de apelação.
É correto afirmar, nesse cenário, que o recurso manejado pela parte autora:
a)  comporta juízo de retratação, que, não sendo exercido, ensejará a remessa dos autos ao órgão ad quem, o qual deverá dar provimento ao apelo;
b)  não comporta juízo de retratação, o que ensejará a remessa dos autos ao órgão ad quem, o qual deverá dar provimento ao apelo;
c)  comporta juízo de retratação, que, não sendo exercido, ensejará a remessa dos autos ao órgão ad quem, o qual deverá negar provimento ao apelo;
d)  não comporta juízo de retratação, o que ensejará a remessa dos autos ao órgão ad quem, o qual deverá negar provimento ao apelo;
e)  não comporta juízo de retratação, o que ensejará a remessa dos autos ao órgão ad quem, o qual não deverá conhecer do apelo, à míngua de interesse recursal.",A,direito processual civil,Da Petição Inicial (arts. 319 a 331)
#261419,TJMS,FGV,2008,"Direito Processual Civil - Da Petição Inicial (arts. 319 a 331)
Na ausência de documento indispensável à propositura de ação, o juízo determinará, em relação à exordial, que ela seja:
a) emendada.
b) regularizada.
c) alterada.
d) completada.
e) substituída.",D,,
#261420,TJMS,FGV,2008,"Na petição inicial deverá ser indicada a causa de pedir, inclusive a imediata, que se consubstancia:
a) no fato.
b) na lesão.
c) na regra.
d) no preceito.
e) na pretensão.",B,direito processual civil,Da Petição Inicial (arts. 319 a 331)
#3248283,TRF3,FGV,2025,"Assinale a alternativa correta:
a)  Na contestação, é lícito ao réu propor reconvenção para manifestar pretensão própria, conexa ou não com a ação principal ou com o fundamento da defesa.
b)  Depois da contestação, é lícito ao réu deduzir novas alegações quando relativas a direito ou fato superveniente.
c)  Se o réu alegar fato impeditivo, modificativo ou extintivo do direito do autor, este será ouvido no prazo de 20 (vinte) dias, permitindo-lhe o juiz a produção de
prova.
d)  A produção antecipada da prova previne a competência do juízo para a ação que venha a ser proposta.
e)  A desistência da ação pode ser apresentada a qualquer tempo.",B,direito processual civil,Da Contestação (arts. 335 a 342)
#3117313,TJSC,FGV,2024,"No que se refere à reconvenção, é correto afirmar que:
a)  depois de sua propositura, o autor-reconvindo deverá ser intimado por oficial de justiça para ofertar resposta no prazo de quinze dias;
b)  a ocorrência de qualquer causa que obste a apreciação do mérito da ação também se traduzirá em impedimento ao exame do mérito do pleito reconvencional;
c)  ao réu é vedado formular pedido reconvencional de cunho condenatório, caso a petição inicial da ação tenha veiculado pretensão de natureza meramente
declaratória;
d)  ao réu é lícito formular o pleito reconvencional em litisconsórcio com terceiro, assim como poderá fazê-lo em desfavor do autor e de terceiro;
e)  caso a petição da reconvenção seja liminarmente indeferida pelo juiz, poderá o réu-reconvinte manejar recurso de apelação para impugnar essa decisão.",D,direito processual civil,Da Reconvenção (art. 343)
#1887935,TJMG,FGV,2022,"F. e R. são irmãos unilaterais. F. foi acometido por doença grave e necessita, com urgência, de transplante de rim. Ele, supondo que seu irmão R. é compatível,
propôs ação cominatória para obrigá-lo a fazer a doação de um rim porque R. assinou um documento particular sem testemunhas prometendo a doação. Citado, o réu
deixou fluir o prazo legal e não contestou a ação. Ouvido, o autor requereu para ser decretada a revelia e com julgamento antecipado da lide.
O juiz deverá
a)  decretar a revelia e julgar antecipadamente o mérito.
b)  conceder ao réu nova oportunidade para contestar a ação.
c)  decretar a revelia e determinar a produção de prova da compatibilidade.
d)  decretar a revelia e indeferir a petição inicial pela impossibilidade jurídica do pedido.",C,direito processual civil,Da Revelia (arts. 344 a 346)
#1865206,TJAP,FGV,2022,"Intentada determinada demanda, o réu, no curso da fase de instrução probatória, percebeu que os elementos carreados aos autos não respaldavam os seus
argumentos defensivos e, também, que realmente assistia ao autor o direito afirmado na petição inicial.
No intuito de evitar a prolação de uma sentença de mérito em seu desfavor, o demandado revogou o mandato outorgado ao seu único advogado.
Percebendo o vício de representação processual, o juiz da causa determinou a intimação do réu para que o sanasse, sem que, todavia, este tivesse adotado qualquer
providência.
Nesse cenário, deve o juiz:
a)  decretar a revelia do réu e determinar a abertura de vista dos autos ao curador especial para desempenhar a sua defesa;
b)  determinar a suspensão do processo, até que o vício de representação do réu seja regularizado;
c)  julgar extinto o feito, sem resolução do mérito, por ausência de pressuposto processual de validade;
d)  proferir sentença de mérito, acolhendo o pedido formulado pelo autor;
e)  ordenar a expedição de ofício à OAB, solicitando a disponibilização de advogado para exercer a defesa do réu.",D,direito processual civil,Das Providências Preliminares e do Saneamento (arts. 347 a 353)
#3354901,TJSE,FGV,2025,"Nos autos de ação movida por João em face de Jonias, o réu alegou três questões preliminares e uma questão prejudicial em sede de contestação.
Ao efetuar o saneamento e a organização do processo, o juízo rejeitou as preliminares arguidas por Jonias e postergou o exame da questão prejudicial para a sentença,
por entender que o exame de tal questão se confundia com a análise do mérito do processo.
Outrossim, o magistrado também determinou a produção de prova pericial, nomeando o perito no mesmo ato, e prova oral, consistente em depoimento pessoal e oitiva
de testemunhas indicadas pelas partes.
Jonias discordou do entendimento adotado pelo magistrado, por entender que as questões preliminares e a prejudicial deveriam ser analisadas em conjunto no
saneamento do processo.
Nesse caso, considerando as disposições do Código de Processo Civil e a jurisprudência do Superior Tribunal de Justiça, é correto afirmar que:
a)  Jonias poderá requerer o esclarecimento da decisão no prazo de dez dias, findo o qual a decisão se tornará estável;
b)  o número de testemunhas arroladas não pode ser superior a seis, sendo duas, no máximo, para a prova de cada fato;
c)  como o exame da questão prejudicial se confunde com a análise do mérito do processo, não há nulidade processual decorrente da postergação de sua análise
para a sentença;
d)  a arguição de impedimento ou suspeição do perito poderá ser formulada por petição simples, no prazo de cinco dias a contar da ciência da nomeação pelas
partes;
e)  João e Jonias poderão assistir um ao depoimento do outro, independentemente de já terem deposto ou não.",C,direito processual civil,Do Julgamento Conforme o Estado do Processo (arts. 354 a 357)
