Tema da RG,Numero do processo,Relator,Data de julgamento,Ramo do direito,Resultado,Tese,Ementa,Legislação,Jurisprudência,Data de publicação,Órgão julgador
1101,RE 1249945,FLÁVIO DINO,10/20/2025,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL, DIREITO ECONÔMICO",Tese fixada,"É constitucional o art. 2º, I, da Lei nº 11.101/2005 quanto à inaplicabilidade do regime falimentar às empresas públicas e sociedades de economia mista, ainda que desempenhem atividades em regime de concorrência com a iniciativa privada, em razão do eminente interesse público/coletivo na sua criação e da necessidade de observância do princípio do paralelismo das formas","DIREITO ADMINISTRATIVO E CONSTITUCIONAL. RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL. TEMA 1101. MÉRITO. INCIDÊNCIA DO REGIME DE FALÊNCIA E RECUPERAÇÃO JUDICIAL ÀS EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA QUE EXPLORAM ATIVIDADE ECONÔMICA. IMPOSSIBILIDADE. CONSTITUCIONALIDADE DA EXCLUSÃO PREVISTA NO ART. 2º, I, DA LEI Nº 11.101/2005. RECURSO EXTRAORDINÁRIO A QUE SE NEGA PROVIMENTO. I. Caso em exame 1. Trata-se de recurso extraordinário interposto pela Empresa Municipal de Serviços, Obras e Urbanização (ESURB) e pelo Município de Montes Claros contra acórdão do Tribunal de Justiça de Minas Gerais que negou pedido de recuperação judicial, sob fundamento da inaplicabilidade da Lei nº 11.101/2005 às empresas públicas e sociedades de economia mista. II. Questão em discussão 2. A questão em discussão consiste em saber se as empresas públicas e sociedades de economia mista que exploram atividade econômica podem se submeter ao regime de falência e recuperação judicial previsto na Lei nº 11.101/2005, à luz do art. 173, §1º, II, da Constituição Federal. III. Razões de decidir 3. As empresas públicas e sociedades de economia mista são criadas para atender relevante interesse coletivo ou imperativo de segurança nacional (art. 173, caput, da CF), de modo que sua exclusão do regime da Lei nº 11.101/2005 se justifica pela necessidade de preservar o interesse público que fundamenta sua constituição. 4. A extinção dessas entidades não pode decorrer de decretação judicial de falência, mas depende de lei específica, em respeito ao princípio do paralelismo de formas (art. 37, XIX, da CF). 5. O art. 2º, I, da Lei nº 11.101/2005 é compatível com a Constituição, pois a exclusão das empresas estatais do regime falimentar visa evitar riscos socioeconômicos e a interpretação de insolvência do próprio Estado. IV. Dispositivo e tese 6. Recurso extraordinário a que se nega provimento. Tese de julgamento: “É constitucional o art. 2º, I, da Lei nº 11.101/2005 quanto à inaplicabilidade do regime falimentar às empresas públicas e sociedades de economia mista, ainda que desempenhem atividades em regime de concorrência com a iniciativa privada, em razão do eminente interesse público/coletivo na sua criação e da necessidade de observância do princípio do paralelismo das formas”. Dispositivos relevantes citados: CF/1988, arts. 37, XIX; 173, caput e §1º, II; Lei nº 11.101/2005; Lei nº 13.303/2016; Lei nº 6.404/1976; Lei nº 11.483/2007.","Lei nº 11.101/2005 - art. 2º; inc. I, CF/88 - art. 173; §1º; inc. II, CF/88 - art. 173, CF/88 - art. 37; inc. XIX",Tema 1101,10/23/2025,Tribunal Pleno
1153,RE 1355870,LUIZ FUX,10/6/2025,"DIREITO ADMINISTRATIVO, DIREITO CIVIL, DIREITO CONSTITUCIONAL, DIREITO ECONÔMICO, DIREITO FINANCEIRO, DIREITO PROCESSUAL CIVIL, DIREITO TRIBUTÁRIO",Tese fixada,"É inconstitucional a eleição do credor fiduciário como contribuinte ou responsável tributário do Imposto sobre a Propriedade de Veículos Automotores (IPVA) incidente sobre veículo alienado fiduciariamente, ressalvada a hipótese da consolidação de sua propriedade plena sobre o bem","RECURSO EXTRAORDINÁRIO COM REPERCUSSÃO GERAL. TEMA 1153. DIREITO CONSTITUCIONAL, PROCESSUAL CIVIL E TRIBUTÁRIO. EXECUÇÃO FISCAL. IMPOSTO SOBRE A PROPRIEDADE DE VEÍCULOS AUTOMOTORES. ALIENAÇÃO FIDUCIÁRIA DE VEÍCULO AUTOMOTOR. ACÓRDÃO A QUO QUE DECLARA A LEGITIMIDADE PASSIVA DO CREDOR FIDUCIÁRIO. LEI MINEIRA Nº 14.937/2003. ELEIÇÃO DO CREDOR FIDUCIÁRIO COMO CONTRIBUINTE. ARGUIDA OFENSA AOS ARTIGOS 146, INCISO III, ALÍNEA “A”, E 155, INCISO III, DA CONSTITUIÇÃO FEDERAL. CONSTITUCIONALIDADE FORMAL. COMPETÊNCIA LEGISLATIVA PLENA. ARTIGO 24, § 3º, DA CONSTITUIÇÃO FEDERAL. INCONSTITUCIONALIDADE MATERIAL. SIGNO DE RIQUEZA. POSSE DIRETA PELO DEVEDOR FIDUCIANTE. DESDOBRAMENTO DA PROPRIEDADE. ALARGAMENTO DO NÚCLEO MATERIAL DO TRIBUTO. PRECEDENTES. EXCLUSÃO DA SUJEIÇÃO PASSIVA ORIGINÁRIA DO CREDOR FIDUCIÁRIO. ILEGITIMIDADE PASSIVA IN CASU. DESIGNAÇÃO DO CREDOR FIDUCIÁRIO COMO RESPONSÁVEL TRIBUTÁRIO. RESTRIÇÃO À HIPÓTESE DA CONSOLIDAÇÃO DE SUA PROPRIEDADE PLENA SOBRE O BEM. PARÁGRAFO ÚNICO DO ARTIGO 1.368-B DO CÓDIGO CIVIL. RECURSO EXTRAORDINÁRIO CONHECIDO E PROVIDO, COM FIXAÇÃO DE TESE. MODULAÇÃO DE EFEITOS. 1. A Lei nº 14.937/2003, do Estado de Minas Gerais, que institui, em tal ente, o Imposto sobre a Propriedade de Veículos Automotores (IPVA), elege o credor fiduciário e o devedor fiduciante como contribuinte e como responsável solidário do tributo sobre veículo com alienação fiduciária. 2. O diploma estadual em exame não viola formalmente o artigo 146, inciso III, alínea “a”, da Constituição Federal, porquanto a jurisprudência do Supremo Tribunal Federal consagra o entendimento de que, “ante a omissão do legislador federal em estabelecer as normas gerais pertinentes, os Estados-membros, também em matéria tributária, podem fazer uso de sua competência legislativa plena com fulcro no art. 24, § 3º, da Constituição” (RE 601247AgR, Rel. Min. Ricardo Lewandowski, DJe de 16/6/2012). 3. Os artigos 4º e 5º, inciso I, da Lei Mineira nº 14.937/2003, são materialmente incompatíveis com o artigo 155, inciso III, da Constituição Federal, ao enquadrarem o credor fiduciário como contribuinte do IPVA sobre veículos com alienação fiduciária, já que, na propriedade fiduciária, com o desdobramento da propriedade, a porção mais substancial de seus atributos recai sobre o possuidor direto do bem, quem seja, o devedor fiduciante, e não o credor fiduciário, partindo, portanto, daquele a manifestação do signo presuntivo de riqueza objeto da exação tratada. 4. O Supremo Tribunal Federal, por ocasião do julgamento da ADI 4612 (Rel. Min. Dias Toffoli, DJe de 17/8/2020), dispôs ter o Constituinte franqueado ao legislador o alargamento do conceito de propriedade para tributação via IPVA, entendendo legítimas a incidência tributária sobre o domínio útil e a posse a qualquer título, quando não exercidos pelo proprietário, e a eleição de seus titulares à sujeição passiva do tributo. 5. O entendimento em perfil parte em proteção ao Pacto Federativo, prevenindo a centralização de arrecadação de IPVA nos entes federativos que concentram as sedes das instituições financeiras credoras fiduciárias, e, ademais, em prol do desenvolvimento nacional e da ordem econômica. 6. A Suprema Corte, ao julgar o RE 603.191 (Rel. Min. Ellen Gracie, Pleno, DJe de 5/9/2011 - Tema 302 da Repercussão Geral), assentou que a norma de responsabilidade tributária editada à luz do art. 128 do Código Tributário Nacional deve estar condicionada, dentre outros pontos, à circunstância de que o encargo econômico do tributo seja repassado ao contribuinte, de modo a que não seja, ao fim, custeado pelo responsável. 7. A eleição do credor fiduciário como responsável pelo IPVA de veículos alienados fiduciariamente destoa do raciocínio consagrado nesta Corte, porquanto a disciplina legal pertinente ao instituto da alienação fiduciária não valida o repasse ou o ressarcimento de encargos tributários entre o credor fiduciário e o devedor fiduciante, prevendo, tão somente, como reflexo tributário da referida avença a sujeição passiva tributária daquele diante da consolidação de sua propriedade plena sobre o bem. 8. Recurso extraordinário CONHECIDO e PROVIDO. 9. Tese de Repercussão Geral fixada pelo Plenário do Supremo Tribunal Federal: ""É inconstitucional a eleição do credor fiduciário como contribuinte ou responsável tributário do Imposto sobre a Propriedade de Veículos Automotores (IPVA) incidente sobre veículo alienado fiduciariamente, ressalvada a hipótese da consolidação de sua propriedade plena sobre o bem. ""10. Modulação temporal da eficácia da decisão, por força dos artigos 8º e 927, § 3º, ambos do Código de Processo Civil, e artigos 20 e 21 da Lei de Introdução às Normas do Direito Brasileiro, para que a tese suso produza efeitos ex nunc, a contar da publicação da ata de julgamento do mérito, ressalvadas as hipóteses de ações judiciais e de processos administrativos pendentes de conclusão até o marco temporal epigrafado.","CF/88 - art. 155; inc. III, CF/88 - art. 24; §3º, CF/88 - art. 146; inc. III; a, CTN - art. 128, CPC - art. 8º; §3º","Tema 1153, Tema 302",10/14/2025,Tribunal Pleno
1433,ARE 1539086,MINISTRO PRESIDENTE,9/26/2025,"DIREITO CIVIL, DIREITO DO CONSUMIDOR, DIREITO PROCESSUAL CIVIL, DIREITO TRIBUTÁRIO",Infraconstitucional,É infraconstitucional a controvérsia sobre a legitimidade ativa de consumidor para demandar a repetição de valores cobrados em fatura de energia elétrica decorrentes da inclusão de ICMS na base de cálculo do PIS e da COFINS,"Direito tributário e processual civil. Recurso extraordinário com agravo. Legitimidade ativa para repetição de ICMS na base de cálculo do PIS e da COFINS em faturas de energia elétrica. Matéria Infraconstitucional. I. Caso em exame 1. Recurso extraordinário contra acórdão do Tribunal Regional Federal da 4ª Região que afirmou a ilegitimidade de consumidor final para demandar a repetição de valores cobrados em fatura de energia elétrica decorrentes da inclusão de ICMS na base de cálculo do PIS e da COFINS. II. Questão em discussão 2. A questão em discussão consiste em saber se o consumidor de energia elétrica tem legitimidade para demandar a repetição de valores cobrados em fatura de energia elétrica decorrentes da inclusão de ICMS na base de cálculo do PIS e da COFINS. III. Razões de decidir 3. O STF, no RE 753.681 (Tema 752/RG), afirmou a natureza infraconstitucional de controvérsia sobre a legitimidade de consumidor final para pleitear a repetição de indébito de ICMS incidente sobre o fornecimento de energia elétrica. 4. De igual modo, é infraconstitucional o debate sobre a legitimidade ativa de consumidor para demandar a repetição de valores cobrados em fatura de energia elétrica decorrentes da inclusão de ICMS na base de cálculo do PIS e da COFINS. IV. Dispositivo e tese 5. Agravo conhecido e desprovido. Tese de julgamento: “É infraconstitucional a controvérsia sobre a legitimidade ativa de consumidor para demandar a repetição de valores cobrados em fatura de energia elétrica decorrentes da inclusão de ICMS na base de cálculo do PIS e da COFINS”.",,Tema 752,9/30/2025,Tribunal Pleno
1432,RE 1563850,MINISTRO PRESIDENTE,9/26/2025,"DIREITO CIVIL, DIREITO PROCESSUAL CIVIL",Infraconstitucional,É infraconstitucional a controvérsia sobre a legitimidade de profissionais que não têm domicílio na mesma base territorial do sindicato executarem título judicial formado em ação coletiva ajuizada pela entidade sindical,"Direito processual civil. Recurso extraordinário. Legitimidade para execução de título de ação coletiva ajuizada por sindicato. Limites territoriais da eficácia da decisão. Matéria infraconstitucional. I. Caso em exame 1. Recurso extraordinário contra acórdão do Superior Tribunal de Justiça, julgado no regime dos recursos repetitivos (Tema 1.130/STJ), que fixou tese afirmando que a eficácia de título judicial de ação coletiva proposta por sindicato de âmbito estadual está limitada aos integrantes da categoria profissional que possuam domicílio na base territorial da entidade sindical. II. Questão em discussão 2. A questão em discussão consiste em saber se profissionais que não têm domicílio na mesma base territorial do sindicato têm legitimidade para execução de título formado em ação coletiva ajuizada pela entidade sindical. III. Razões de decidir 3. No ARE 796.473-RG, referente ao Tema 715/RG, o STF afirmou a natureza infraconstitucional de controvérsia sobre a limitação territorial da eficácia da decisão proferida em ação coletiva. 4. De igual forma, é infraconstitucional o debate sobre a possibilidade de profissionais sem domicílio na base territorial do sindicato executarem título executivo formado em ação coletiva ajuizada pela entidade sindical. Precedentes. IV. Dispositivo e tese 5. Recurso extraordinário não conhecido. Tese de julgamento: “É infraconstitucional a controvérsia sobre a legitimidade de profissionais que não têm domicílio na mesma base territorial do sindicato executarem título judicial formado em ação coletiva ajuizada pela entidade sindical”.",,"Tema 1130, Tema 715",9/30/2025,Tribunal Pleno
1434,ARE 1539721,MINISTRO PRESIDENTE,9/26/2025,DIREITO TRIBUTÁRIO,Infraconstitucional,É infraconstitucional a controvérsia sobre a incidência do princípio da anterioridade nonagesimal sobre a contribuição ao Fundo Estadual de Infraestrutura do Estado de Goiás (FUNDEINFRA),"Direito tributário. Agravo interno em recurso extraordinário com agravo. Anterioridade nonagesimal. Contribuição ao Fundo Estadual de Infraestrutura do Estado de Goiás (FUNDEINFRA). Matéria infraconstitucional. I. Caso em exame1. Agravo interno de decisão que negou seguimento a recurso extraordinário com agravo de acórdão do Tribunal de Justiça do Estado de Goiás, que afastou a incidência do princípio da anterioridade nonagesimal para a cobrança de contribuição ao Fundo Estadual de Infraestrutura (FUNDEINFRA). Isso ao fundamento de que a parcela não tem natureza tributária. II. Questão em discussão2. A questão em discussão consiste em saber se a contribuição vinculada ao FUNDEINFRA deve observar o princípio da anterioridade nonagesimal. III. Razões de decidir3. A jurisprudência do Supremo Tribunal Federal afirma que a discussão envolvendo a aplicação do princípio da anterioridade tributária, quando depender da análise de legislação estadual, tem natureza infraconstitucional. 4. O debate sobre a natureza da contribuição ao FUNDEINFRA, para os fins de se determinar a observância do princípio da anterioridade nonagesimal, exige a interpretação da legislação local que instituiu o Fundo Estadual e a respectiva contribuição. IV. Dispositivo e tese5. Agravo interno desprovido. Tese de julgamento: “É infraconstitucional a controvérsia sobre a incidência do princípio da anterioridade nonagesimal sobre a contribuição ao Fundo Estadual de Infraestrutura do Estado de Goiás (FUNDEINFRA)”.",,,9/30/2025,Tribunal Pleno
1438,RE 1493234,MINISTRO PRESIDENTE,9/26/2025,"DIREITO CONSTITUCIONAL, DIREITO DO TRABALHO",Aguardando julgamento,,"Direito constitucional e trabalhista. Recurso extraordinário. Empresa Pública e Sociedade de Economia Mista. Necessidade de lei específica para a criação de emprego em comissão. Repercussão Geral. I. Caso em exame 1. Recurso extraordinário contra acórdão que afirmou a possibilidade de admissão de trabalhadores em “empregos em comissão”, em empresas públicas e sociedades de economia mista, independentemente de autorização em lei específica. II. Questão em discussão 2. A questão em discussão consiste em saber se a sujeição ao regime jurídico próprio das empresas privadas autoriza que as estatais selecionem e admitam trabalhadores para o exercício de funções de chefia, direção e assessoramento, sem a prévia aprovação em concurso público nem autorização em lei específica. III. Razões de decidir 3. O Supremo Tribunal Federal, ao examinar a controvérsia relativa aos requisitos constitucionais para criação de cargos em comissão, fixou tese no sentido de que “as atribuições dos cargos em comissão devem estar descritas, de forma clara e objetiva, na própria lei que os instituir” (RE 1.041.210-RG, Rel. Min. Dias Toffoli, j. em 27.09.2018, Tema 1.010/RG). 4. O STF, no entanto, ainda não examinou o debate sobre a necessidade de lei específica para a criação dos chamados “empregos em comissão” e para a admissão de trabalhadores em funções de direção, chefia e assessoramento em empresas públicas e sociedades de economia mista 5. Constitui questão constitucional relevante definir se é possível que as estatais selecionem e admitam trabalhadores para o exercício de funções de chefia, direção e assessoramento, sem a prévia aprovação em concurso público nem autorização em lei específica. IV. Dispositivo 6. Repercussão geral reconhecida para a seguinte questão constitucional: saber se é constitucional a admissão de trabalhadores para o exercício de funções de direção, chefia e assessoramento em empresas públicas e sociedades de economia mista, independentemente de concurso público e autorização em lei específica.",,Tema 1010,9/30/2025,Tribunal Pleno
1437,ARE 1554766,MINISTRO PRESIDENTE,9/26/2025,"DIREITO CONSTITUCIONAL, DIREITO PREVIDENCIÁRIO",Aguardando julgamento,,"Direito constitucional e previdenciário. Recurso extraordinário com agravo. Inclusão de auxílio-alimentação no Salário de contribuição. Revisão de benefício sem contribuição. Repercussão geral. I. Caso em exame 1. Recurso extraordinário com agravo contra acórdão de Turma Recursal do Estado de Pernambuco que determinou a revisão de benefício previdenciário, para incluir os valores de auxílio-alimentação pagos antes da Lei nº 13.416/2017 no salário de contribuição, independentemente de recolhimento de contribuição previdenciária. II. Questão em discussão 2. A questão em discussão consiste em saber se benefício previdenciário pode ser majorado ou revisado independentemente do recolhimento de contribuição previdenciária sobre a parcela auxílio-alimentação/refeição. III. Razões de decidir 3. O STF, no ARE 1.370.843, reconheceu a repercussão geral de questão controvérsia sobre a incidência de contribuição previdenciária sobre as parcelas de vale-transporte e de auxílio-alimentação pagas pelo empregador (Tema 1.415/RG). 4. De igual modo, constitui questão constitucional relevante o debate sobre a utilização do vale-alimentação/refeição recebido para a revisão e majoração de benefício previdenciário, independentemente de contribuição previdenciária, à luz dos arts. 195, § 5º e 201 da CF/1988. IV. Dispositivo 5. Repercussão geral reconhecida para a seguinte questão constitucional: saber se o vale-alimentação/refeição recebido pode ser utilizado para a revisão e majoração de benefício previdenciário, independentemente de contribuição previdenciária.",,Tema 1415,9/30/2025,Tribunal Pleno
1436,RE 1498445,LUIZ FUX,9/26/2025,"DIREITO PENAL, DIREITO PROCESSUAL PENAL",Aguardando julgamento,,"RECURSO EXTRAORDINÁRIO. PENAL E PROCESSUAL PENAL. INTIMAÇÃO DO DEFENSOR PÚBLICO-GERAL PARA ATUAR NA QUALIDADE DE CUSTOS VULNERABILIS. ALEGADA OFENSA AOS ARTIGOS 127 E 134 DA CONSTITUIÇÃO FEDERAL. SUPERAÇÃO DOS ÓBICES DE ADMISSIBILIDADE RECURSAL. ARTIGO 1.029, § 3º, DO CPC. QUESTÃO RELEVANTE DOS PONTOS DE VISTA JURÍDICO E SOCIAL. MANIFESTAÇÃO PELO RECONHECIMENTO DA REPERCUSSÃO GERAL DA MATÉRIA.",CF/88 - art. 127,,10/1/2025,Tribunal Pleno
1431,RE 1476281,MINISTRO PRESIDENTE,9/26/2025,DIREITO CONSTITUCIONAL,Aguardando julgamento,,"Direito constitucional. Recurso extraordinário. Direito à saúde. Transporte especial para pacientes em tratamento médico. Repercussão geral. I. Caso em exame 1. Recurso extraordinário contra acórdão de Turma Recursal do Estado do Rio de Janeiro que condenou o Estado e o Município à prestação de serviço de transporte individualizado entre a residência de paciente e a unidade de saúde para tratamento médico. II. Questão em discussão 2. A questão em discussão consiste em saber se o dever constitucional do Estado de prestação de serviços de saúde inclui a obrigação de fornecer transporte especial entre a residência do paciente e o estabelecimento de saúde para o tratamento médico. III. Razões de decidir 3. O Supremo Tribunal Federal, em diferentes Temas de Repercussão Geral, examinou controvérsias relacionadas à extensão do dever constitucional de prestação de serviços de saúde pelo Estado. 4. Constitui questão constitucional relevante determinar se o dever do Estado de prestação de serviços de saúde inclui a obrigação de garantir transporte individual e/ou especial para o deslocamento entre a residência e a unidade de saúde de pacientes que realizam tratamento médico. IV. Dispositivo 5. Recurso extraordinário conhecido, com o reconhecimento da repercussão geral da seguinte questão constitucional: saber se o direito constitucional à saúde impõe aos entes federativos o dever de fornecer transporte especial (individual ou adaptado) a pacientes em tratamento médico, para deslocamento entre a residência e a unidade de saúde.",,,9/30/2025,Tribunal Pleno
1435,ARE 1498231,EDSON FACHIN,9/26/2025,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL, DIREITO ECONÔMICO",Aguardando julgamento,,"Direito administrativo e outras matérias de direito público. Repercussão geral no recurso extraordinário com agravo. Licença-maternidade. União homoafetiva. Pai. Servidor público. Repercussão geral. Reconhecimento. I. Caso em exame 1. Agravo contra decisão que inadmitiu recurso extraordinário interposto em face de acórdão da 1ª Câmara de Direito Público do Tribunal de Justiça do Estado de São Paulo, no qual se pleiteia a concessão de licença-maternidade para pai, servidor público integrante de união homoafetiva. 2. O recorrente sustenta que a negativa de concessão da licença-maternidade a homem servidor público integrante de união homoafetiva violou os artigos 5º, 226, §5º, 227 e 229 da Constituição Federal, alegando violação à isonomia entre casais heteroafetivos e homoafetivos, assegurada pela Constituição da República e pela jurisprudência do Supremo Tribunal Federal, especialmente a ADI 4.277.3. O Tribunal de Justiça do Estado de São Paulo denegou o pedido de licença-maternidade, concedendo a licença-paternidade, com fundamento nos artigos 141 e 145 da Lei Complementar Municipal nº 06/1996 e na Súmula Vinculante nº 37, que inviabiliza ao Poder Judiciário estender benefícios a servidor público com base na isonomia, e confirmou a sentença de improcedência. Posteriormente, o Tribunal de origem inadmitiu o recurso extraordinário por ausência de maltrato à norma constitucional. II. Questão em discussão 4. A questão em discussão consiste em definir se é possível a concessão de licença-maternidade a um dos homens integrantes de união homoafetiva à luz do princípio de isonomia. III. Razões de decidir 5. Foram observados os requisitos de admissibilidade do recurso extraordinário, estando a matéria constitucional devidamente prequestionada e a solução da controvérsia prescindindo de interpretação da legislação ordinária e de revolvimento da matéria fático-probatória. 6. A controvérsia apresenta relevância nas dimensões jurídica, política, econômica e social da repercussão geral, transcendendo os limites subjetivos da causa, por envolver outros sujeitos integrantes de núcleos familiares constituídos por dois homens em condição parental. 7. Há precedentes do Supremo Tribunal Federal em casos similares, como o Tema 1.072 (servidora pública ou trabalhadora regida pela CLT não gestante em união homoafetiva) e o Tema 1.182 (pai genitor monoparental servidor público), além do reconhecimento de omissão inconstitucional na ADO 20 quanto à licença-paternidade, o que demonstra a necessidade de se conferir estabilidade aos pronunciamentos desta Corte e garantir aplicação uniforme da Constituição Federal. IV. Dispositivo e tese 8. Reconhecimento da existência de repercussão geral. Dispositivos relevantes citados: CF/1988, arts. 5º, 7º, XVIII, 7º, XIX, 226, § 5º, 227, 229; ADCT, art. 10, § 1º; Lei nº 8.112/1990, art. 207; Lei Complementar Municipal nº 06/1996, arts. 141, 145; RISTF, arts. 322, parágrafo único, 324. Jurisprudência relevante citada: STF, ADI 4.277; STF, Tema 1.072; STF, ADO 20; STF, RE 1.348.854, Rel. Min. Alexandre de Moraes, Tribunal Pleno, DJe 24.10.2022.","CF/88 - art. 5º; §5º, Lei nº 8.112/1990 - art. 207","Tema 1072, Tema 1182, Súmula Vinculante 37",10/17/2025,Tribunal Pleno
