Tema,Julgado em,Tese Firmada,Processo,Questão submetida a julgamento,Anotações NUGEPNAC 1,Informações Complementares,Repercussão Geral,Órgão Julgador,Situação do Tema,Ramo do direito,Subramos,Relator Atual,Tribunal de Origem,Trânsito em Julgado,Ref_Sum,Súmula Originada do Tema,Súmula Originária do PUIL,Data de Afetação,Delimitação do Julgado,Estado de Deduplicação,Número de Registro,RRC,Entendimento Anterior,Observação de Afetação,Audiência Pública,Data de Admissão,Data de teração da Tese Firmada,Data de Desafetação,Embargo de Divergência,Embargos de Declaração,Observação de Admissão,Observação de Desafetação,Observação de Recusa,Relator que Afetou o Processo,Referência,Processo STF,Vista MPF
1,02/05/2012,"A substituição processual, no polo ativo da execução, do exequente originário pelo cessionário dispensa a autorização ou o consentimento do devedor.",REsp 1091443/SP,"Questão referente à necessidade de anuência do devedor para substituição processual do polo ativo, decorrente de cessão de crédito, nos autos de ação de execução.","RRC de Origem (art. 543-C, §1º, do CPC/73).
É possível a sucessão processual do credor (cedente) pelo cessionário, independentemente da anuência do devedor, na hipótese de cessão de crédito oriundo de precatório.",,Tema 361/STF - Transmudação da natureza de precatório imentar em normal em virtude de cessão do direito nele estampado.,Corte Especial,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Substituição Processual, Substituição da Parte",MARIA THEREZA DE ASSIS MOURA,TJSP,09/07/2012,,,,10/10/2008,"Eventual debate relacionado à natureza do crédito cedido, se é transmudado ou não de crédito imentar em normal, para fins de verificação da ordem de preferência, é questão que não é objeto dos presentes autos.",Único,200802176867,Sim,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
2,,"Comprovada a validade do ato de cessão dos honorários advocatícios sucumbenciais, realizado por escritura pública, bem como discriminado no precatório o valor devido a título da respectiva verba advocatícia, devese reconhecer a legitimidade do cessionário para se habilitar no crédito consignado no precatório.",REsp 1102473/RS,Questão referente à possibilidade de habilitação de cessionário de crédito referente a honorários advocatícios sucumbenciais que integra precatório expedido em nome do exequente e não dos advogados cedentes.,"RRC de Origem (art. 543-C, §1º, do CPC/73). O cessionário tem legitimidade para se habilitar no crédito consignado em precatório quando, tratando-se de cessão de crédito de honorários advocatícios sucumbenciais, validamente realizada, estiver discriminado no precatório o valor devido a título da respectiva verba advocatícia.",,,Corte Especial,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Honorários Advocatícios, DIREITO PROCESSUAL CIVIL E DO TRABALHO",MARIA THEREZA DE ASSIS MOURA,TJRS,04/10/2012,,,,,"""... não cuida o recurso em exame da questão relativa à necessidade de anuência do devedor, nos autos de execução, para sucessão processual do pólo ativo decorrente de cessão de crédito, questão que está sendo examinada por esse egrégio Colegiado no julgamento do Recurso Especial Repetitivo 1.091.443/SP. [... ] Tampouco se questiona, nos presentas autos, se a cessão de crédito imentar (no caso, de honorários advocatícios sucumbenciais) importa na perda da sua natureza, para fins de verificação da ordem de preferência, matéria que foi reconhecida como de repercussão geral no Supremo Tribunal Federal, nos autos do RE 631.537/RS, da relatoria do Ministro Marco Aurélio.""",Único,200802566525,Sim,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,3/3/2009
3,,"A imposição ao Estado do Rio Grande do Sul da conversão das retribuições aos servidores pela URV (Lei nº 8.880/94), apesar dos reajustes voluntários já concedidos à categoria pelo Governo Gaúcho a pretexto dessa mesma conversão, somente seria cabível se evidenciado gum prejuízo vencimental decorrente daquela antecipação voluntária.",REsp 970217/RS,"Questão referente à conversão dos vencimentos em URV de servidores do Poder Executivo gaúcho, conforme a Lei nº 8.880/94, deixando-se de considerar os reajustes/antecipações que foram objeto de várias leis estaduaus do Rio Grande do Sul.","Processos destacados de ofício pelo relator.
O Estado somente poderia ser compelido à aplicação da URV na conversão da remuneração dos servidores públicos estaduais de Cruzeiro Real para Real se evidenciado prejuízo decorrente dos reajustes aplicados antecipadamente por disposição de lei estadual.",,Tema 539/STF - Conversão monetária de vencimentos de servidores públicos estaduais,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Reajustes de Remuneração, Índice da URV Lei nº 8.880/1994, Reajuste de Remuneração, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Proventos ou Pensão, Soldo",NAPOLEÃO NUNES MAIA FILHO,TJRS,07/05/2010,,,,4/9/2008,,Único,200701661622,Não,,,,,,,,,,,,NAPOLEÃO NUNES MAIA FILHO,,,
4,11/03/2009,"O art. 1º-F, da Lei nº 9.494/97, que fixa os juros moratórios nas ações ajuizadas contra a Fazenda Pública no patamar de 6%, é de ser aplicado tão somente às demandas ajuizadas após a sua entrada em vigor.",REsp 1086944/SP,"Questão referente ao percentual de juros moratórios devido nas condenações impostas à Fazenda Pública para pagamento de verbas remuneratórias a servidores públicos, nos termos do art. 1º-F da Lei nº 9.494/97, acrescentado pela Medida Provisória nº 2.180/2001.","RRC de Origem (art. 543-C, §1º, do CPC/73).
São devidos juros moratórios de 6% ao ano em condenação imposta à Fazenda Pública, cuja ação foi ajuizada após a entrada em vigor do art. 1º-F da Lei nº 9.494/1997.",,Tema 435/STF - Aplicação do art. 1º-F da Lei nº 9.494/97 nas ações ajuizadas anteriormente à sua vigência.,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Servidor Público Civil, Sistema Remuneratório e Benefícios, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",MARIA THEREZA DE ASSIS MOURA,TJSP,10/08/2009,,,,,"""O debate sobre a cisão dos juros moratórios, quando a ação tiver sido ajuizada em data anterior à entrada em vigor do art. 1º-F da Lei nº 9.494/97 não foi objeto do recurso especial. (...) Nada impede, portanto, que a União diligencie no sentido de ver analisada tal tese em recurso próprio, que tenha por objeto ação ajuizada anteriormente à vigência do art."".",Único,200802080770,Sim,"Cessam os efeitos previstos no art. 543-C do CPC em relação ao Recurso Especial Repetitivo nº 1.086.944/SP, que se referia tãosomente às modificações legislativas impostas pela MP nº 2.18035/01, que acrescentou o art. 1º-F à Lei nº 9.494/97, terada pela Lei nº 11.960/09, aqui tratada. (Recurso Repetitivo no REsp 1.205.946/SP)",,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,3/11/2008
5,,"Na hipótese em que se pretende a revisão de ato de reforma de policial militar do Estado do Rio Grande do Sul, com base na Lei Complementar Estadual nº 10.990/97, com sua promoção a um posto superior na carreira militar e, como mera consequência do deferimento do pedido de promoção, a revisão de seus proventos da inatividade, a prescrição aplicável é de fundo do direito, nos termos do art. 1º do Decreto nº 20.910/32.",REsp 1073976/RS,Questão referente à prescrição da pretensão de militares inativos da Polícia Militar do Estado do Rio Grande do Sul ao reconhecimento dos benefícios concedidos pela Lei Complementar Estadual nº 10.990/97.,"Processos destacados de ofício pelo relator.
Discussão quanto à natureza jurídica da prescrição, se de fundo de direito ou de trato sucessivo.""Não se está a discutir vantagens pecuniárias ou parcelas que deveriam ser pagas ao autor, e que consistira em obrigação de trato sucessivo, mas, isto, sim, está-se buscando a teração da graduação em que o demandante foi transferido para a inatividade.""",,,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reforma, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",MARIA THEREZA DE ASSIS MOURA,TJRS,12/05/2009,,,,,,Único,200801516650,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
6,,"Os servidores públicos militares, que foram contemplados com reajustes inferiores (concedidos pelas Leis nºs 8.622/1993 e 8.627/1993), têm direito às diferenças entre estes e o índice de 28,86%.",REsp 990284/RS,"Questão relativa ao reajuste de 28,86%, decorrente das Leis nºs 8.622/93 e 8.627/93, no que pertine à concessão do referido índice aos militares federais.",Processos destacados de ofício pelo relator.,Revisão geral de remuneração.,Tema 340/STF - Extensão do índice de reajuste de 28,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reajuste de Remuneração, Índice de 28, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 86% LL 8.622/1993 e 8.627/1993, Proventos ou Pensão, Soldo",MARIA THEREZA DE ASSIS MOURA,TRF4,,,,,9/10/2008,,Único,200702242110,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
7,,"O reajuste de 28,86% incide sobre a remuneração do servidor, o que inclui o vencimento básico (servidor público civil. ou o soldo (militar), acrescido das parcelas que não os têm como base de cálculo.",REsp 990284/RS,"Questão relativa ao reajuste de 28,86%, decorrente das Leis nºs 8.622/93 e 8.627/93, no que pertine à base de cálculo do reajuste.",Processos destacados de ofício pelo relator.,"Súmula Vinculante 51/STF ""O reajuste de 28,86%, concedido aos servidores militares pelas Leis nºs 8.622/1993 e 8.627/1993, estendese aos servidores civis do poder executivo, observadas as eventuais compensações decorrentes dos reajustes diferenciados concedidos pelos mesmos diplomas legais"".",,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reajuste de Remuneração, Índice de 28, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 86% LL 8.622/1993 e 8.627/1993, Proventos ou Pensão, Soldo",MARIA THEREZA DE ASSIS MOURA,TRF4,,,,,9/10/2008,,Único,200702242110,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
8,,A correção monetária deve incidir a partir da data em que deveria ter sido efetuado o pagamento de cada parcela.,REsp 990284/RS,"Questão relativa ao reajuste de 28,86%, decorrente das Leis nºs 8.622/93 e 8.627/93, no que pertine ao termo inicial da correção monetária.","Processos destacados de ofício pelo relator. Sobre os valores apurados a partir da aplicação do reajuste de 28,86% sobre a remuneração do servidor deve incidir correção monetária a partir da data em que deveria ter sido efetuado o pagamento de cada parcela.",,,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reajuste de Remuneração, Índice de 28, Correção Monetária, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 86% LL 8.622/1993 e 8.627/1993, Proventos ou Pensão, Soldo",MARIA THEREZA DE ASSIS MOURA,TRF4,,,,,9/10/2008,,Único,200702242110,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
9,,"O reajuste de 28,86% não pode ser compensado com a rubrica paga a título de complementação de salário mínimo.",REsp 990284/RS,"Questão relativa ao reajuste de 28,86%, decorrente das Leis nºs 8.622/93 e 8.627/93, no que pertine à compensação com a complementação do salário mínimo, pela aplicação do art. 73 da Lei nº 8.237/91.",Processos destacados de ofício pelo relator.,"Súmula Vinculante 51/STF ""O reajuste de 28,86%, concedido aos servidores militares pelas Leis nºs 8.622/1993 e 8.627/1993, estendese aos servidores civis do poder executivo, observadas as eventuais compensações decorrentes dos reajustes diferenciados concedidos pelos mesmos diplomas legais"".",,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reajuste de Remuneração, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Proventos ou Pensão, Soldo",MARIA THEREZA DE ASSIS MOURA,TRF4,,,,,9/10/2008,,Único,200702242110,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
10,,"Quanto a prescrição à pretensão dos servidores públicos militares ao reajuste de 28,86%: i) se ajuizada a ação ordinária dos servidores até 30/06/2003, os efeitos financeiros devem retroagir a janeiro de 1993.",REsp 990284/RS,"Questão relativa ao reajuste de 28,86%, decorrente das Leis nºs 8.622/93 e 8.627/93, no que pertine à contagem do prazo prescricional.",Processos destacados de ofício pelo relator.,,,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reajuste de Remuneração, Índice de 28, Prescrição e Decadência, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 86% LL 8.622/1993 e 8.627/1993, Proventos ou Pensão, Soldo",MARIA THEREZA DE ASSIS MOURA,TRF4,,,,,9/10/2008,,Único,200702242110,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
