ID_novo,ramo,numero_processo,tipo_de_processo,relator,data_julgamento,link_1,fonte_html,texto_citacao_raw
25386,Apuração de votos e eleições extraordinárias,10183,Cta,Min. Bueno de Souza,11/3/1989,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=10183/processoClasse=CTA/decisaoData=19891103,local,"(Res. nº 15846 na Cta nº 10183, de 3.11.89, rel. Min. Bueno de Souza.)"
25387,Apuração de votos e eleições extraordinárias,1103,Ac.,Min. Sydney Sanches,4/18/1989,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1103/processoClasse=MS/decisaoData=19890418,local,"Ac. n. 10595, de 18/4/89, rel. Min. Sydney Sanches.)"
25388,Apuração de votos e eleições extraordinárias,11097,Rec.,Min. Marco Aurélio,6/8/1993,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=11097/processoClasse=RESPE/decisaoData=19930608,local,"(Ac. n. 13494 no Rec. n. 11097, de 8/6/93, rel. Min. Marco Aurélio.)"
25389,Apuração de votos e eleições extraordinárias,11248,Rec.,Min. Sepúlveda Pertence,4/22/1993,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=11248/processoClasse=RESPE/decisaoData=19930422,local,"(Ac. n. 13412 no Rec. n. 11248, de 22/4/93, rel. Min. Sepúlveda Pertence.)"
25390,Apuração de votos e eleições extraordinárias,1162,Cta,Min. Caputo Bastos,9/6/2005,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1162/processoClasse=CTA/decisaoData=20050906,local,"(Res. n. 22076 na Cta n. 1162, de 6/9/2005, rel. Min. Caputo Bastos.)"
25391,Apuração de votos e eleições extraordinárias,1258,Res.,Min. Humberto Gomes de Barros,12/19/2005,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1258/processoClasse=PET/decisaoData=20051219,local,"(Res. n º 22133, de 19.12.2005, rel. Min. Humberto Gomes de Barros.)"
25392,Apuração de votos e eleições extraordinárias,13049,Cta,Min. Torquato Jardim,9/24/1992,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=13049/processoClasse=CTA/decisaoData=19920924,local,"(Res. n º 18521 na Cta nº 13049, de 24.9.92, rel. Min. Torquato Jardim.)"
25393,Apuração de votos e eleições extraordinárias,13295,Res.,Min. Flaquer Scartezzini,11/10/1992,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=13295/processoClasse=CTA/decisaoData=19921110,local,"(Res. nº 18750, de 10.11.92, rel. Min. Flaquer Scartezzini.)"
25394,Apuração de votos e eleições extraordinárias,1364,MS,Min. Vilas Boas,3/10/1992,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1364/processoClasse=MS/decisaoData=19920310,local,"(Ac. de 10.3.92 no MS nº 12204, rel. Min. Vilas Boas.)"
25395,Apuração de votos e eleições extraordinárias,1399,Ac.,Min. Pedro Acioli,2/4/1992,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1399/processoClasse=MS/decisaoData=19920204,local,"(Ac. nº 12155, de 04.02.92, rel. Min. Pedro Acioli;"
25396,Apuração de votos e eleições extraordinárias,1498,Ac.,Min. Vilas Boas,2/6/1992,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1498/processoClasse=ms/decisaoData=19920206,local,"(Ac. n º 12.168, de 6.2.92, rel. Min. Vilas Boas.)"
25397,Apuração de votos e eleições extraordinárias,15283,REspe,Min. Maurício Corrêa,8/18/1998,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=15283/processoClasse=RESPE/decisaoData=19980818,local,"(Ac. de 18/8/98 no REspe n. 15810, rel. Min. Maurício Corrêa.)"
25398,Apuração de votos e eleições extraordinárias,16957,PA,Min. Fernando Neves,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=16957/processoClasse=PA/decisaoData=20000801,local,"(Res. n º 20686 no PA nº 16957, de 1° .8.2000, rel. Min. Fernando Neves.)"
