ramo,arquivo_html,citacoes_local,citacoes_usadas,citacoes_somente_live,citacoes_somente_local
Apuração de votos e eleições extraordinárias,Apuração de votos e eleições extraordinárias — Temas Selecionados.html,795,795,0,0
Captação de sufrágio,Captação de sufrágio — Temas Selecionados.html,585,585,0,0
Coligação e convenção,Coligação e convenção — Temas Selecionados.html,411,411,0,0
Comprovação de receitas e gastos partidários,Comprovação de receitas e gastos partidários — Temas Selecionados.html,62,62,0,0
Condutas vedadas a agentes públicos,Condutas vedadas a agentes públicos — Temas Selecionados.html,927,927,0,0
Contas de campanha eleitoral,Contas de Campanha Eleitoral — Temas Selecionados.html,1475,1475,0,0
Crimes eleitorais e Processo Penal Eleitoral,Crimes eleitorais e Processo Penal Eleitoral — Temas Selecionados.html,621,621,0,0
Desincompatibilização e afastamentos,Desincompatibilização e afastamentos — Temas Selecionados.html,675,675,0,0
Diplomação,Diplomação — Temas Selecionados.html,668,668,0,0
Direito de resposta na propaganda eleitoral,Direito de resposta na propaganda eleitoral — Temas Selecionados.html,366,366,0,0
Eleitor: do alistamento ao voto,Eleitor_ do alistamento ao voto — Temas Selecionados.html,358,358,0,0
Enfrentamento à desinformação eleitoral,"Repositório - Enfrentamento à desinformação eleitoral (Res.-TSE n. 23.610_2019, art. 9º-G) — Temas Selecionados.html",54,54,0,0
Filiação Partidária,Filiação Partidária — Temas Selecionados.html,474,474,0,0
Inelegibilidades e condições de elegibilidade,Inelegibilidades e condições de elegibilidade — Temas Selecionados.html,2367,2899,532,0
Mandato eletivo,Mandato eletivo — Temas Selecionados.html,767,767,0,0
Matéria Administrativa,Matéria administrativa — Temas Selecionados.html,211,212,1,1
Matéria processual,Matéria processual — Temas Selecionados.html,3158,3158,0,0
Partido político,Partido político — Temas Selecionados.html,948,948,0,0
Pesquisa eleitoral,Pesquisa eleitoral — Temas Selecionados.html,212,212,0,0
Propaganda eleitoral,Propaganda Eleitoral — Temas Selecionados.html,2361,2427,66,3
Registro de candidato,Registro de candidato — Temas Selecionados.html,2105,2105,0,0
Temas diversos,Temas Diversos — Temas Selecionados.html,352,352,0,0
