row_idx,ID,ramo,numero_processo,tipo_de_processo,relator,data_julgamento,match_stage,qtd_candidatos_total,link_1,link_2,link_3,hrefs_ordenados_todos
1,2,Apuração de votos e eleições extraordinárias,1211,AgR-AI,Min. Luciana Lóssio,11/17/2016,G_C_processo,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1211/processoClasse=CTA/decisaoData=20060411,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/127311,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1211/processoClasse=CTA/decisaoData=20060411 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/127311
8,9,Apuração de votos e eleições extraordinárias,14805,REspe,Min. Néri da Silveira,11/20/1997,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=14805/processoClasse=RESPE/decisaoData=19971120,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/13049,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=14805/processoClasse=RESPE/decisaoData=19971120 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/13049
9,10,Apuração de votos e eleições extraordinárias,11590,Rec,Min. Flaquer Scartezzini,10/5/1993,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=11590/processoClasse=RESPE/decisaoData=19931005,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/7575,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=11590/processoClasse=RESPE/decisaoData=19931005 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/7575
21,22,Apuração de votos e eleições extraordinárias,74918,AgR-REspE,Min. Dias Toffoli,5/27/2014,C_processo,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=74918/processoClasse=RESPE/decisaoData=20140429,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/49648,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=74918/processoClasse=RESPE/decisaoData=20140429 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/49648
27,28,Apuração de votos e eleições extraordinárias,74918,AgR-REspe,Min. Dias Toffoli,4/29/2014,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=74918/processoClasse=RESPE/decisaoData=20140429,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/49648,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=74918/processoClasse=RESPE/decisaoData=20140429 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/49648
39,40,Apuração de votos e eleições extraordinárias,27041,EDclREsp,Min. José Delgado,9/11/2007,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=27041/processoClasse=RESPE/decisaoData=20070911,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/29047,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=27041/processoClasse=RESPE/decisaoData=20070911 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/29047
47,48,Apuração de votos e eleições extraordinárias,3527,AgRgMS,Min. Caputo Bastos,10/31/2006,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=3527/processoClasse=MS/decisaoData=20061031,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/27501,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=3527/processoClasse=MS/decisaoData=20061031 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/27501
48,49,Apuração de votos e eleições extraordinárias,6588,AgRgAg,Min. Gerardo Grossi,2/27/2007,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=6588/processoClasse=AG/decisaoData=20070227,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/28084,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=6588/processoClasse=AG/decisaoData=20070227 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/28084
50,51,Apuração de votos e eleições extraordinárias,1029,MC,Min. Ellen Gracie,12/13/2001,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1029/processoClasse=MC/decisaoData=20011213,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/3492,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1029/processoClasse=MC/decisaoData=20011213 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/3492
51,52,Apuração de votos e eleições extraordinárias,20865,Res.,Min. Costa Porto,9/11/2001,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/2697,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=708/processoClasse=CTA/decisaoData=20010911,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/2697 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=708/processoClasse=CTA/decisaoData=20010911
