row_idx,ID,numero_processo,ramo,link_1,status_api,texto_original_recuperado_html,tema_len,contexto_len,tese_len,bullet_points_len,punchline_len
25385,25386,10183,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=10183/processoClasse=CTA/decisaoData=19891103,ok,sim,80,593,385,449,114
25386,25387,1103,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1103/processoClasse=MS/decisaoData=19890418,ok,sim,94,492,275,447,90
25387,25388,11097,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=11097/processoClasse=RESPE/decisaoData=19930608,ok,sim,72,542,276,475,105
25388,25389,11248,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=11248/processoClasse=RESPE/decisaoData=19930422,ok,sim,68,625,344,506,88
25389,25390,1162,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1162/processoClasse=CTA/decisaoData=20050906,ok,sim,78,348,311,370,67
25390,25391,1258,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1258/processoClasse=PET/decisaoData=20051219,ok,sim,86,711,333,479,101
25391,25392,13049,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=13049/processoClasse=CTA/decisaoData=19920924,ok,sim,76,363,237,352,74
25392,25393,13295,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=13295/processoClasse=CTA/decisaoData=19921110,ok,sim,79,565,338,340,79
25393,25394,1364,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1364/processoClasse=MS/decisaoData=19920310,ok,sim,72,562,372,471,117
25394,25395,1399,Apuração de votos e eleições extraordinárias,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1399/processoClasse=MS/decisaoData=19920204,ok,sim,94,351,271,388,99
