"ID","Nome (Artigo)","Texto do Artigo"
"1","Art. 1º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO I - DA SEDE
Dispositivo: Art. 1º

Art. 1º. A Câmara dos Deputados, com sede na Capital Federal, funciona no Palácio do Congresso Nacional."
"2","Art. 1º, Parágrafo único","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO I - DA SEDE
Dispositivo: Art. 1º, Parágrafo único

Art. 1º. A Câmara dos Deputados, com sede na Capital Federal, funciona no Palácio do Congresso Nacional.
Parágrafo único. Havendo motivo relevante, ou de força maior, a Câmara poderá, por deliberação da Mesa, ad referendum da maioria absoluta dos Deputados, reunir-se em outro edifício ou em ponto diverso no território nacional."
"3","Art. 2º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO II - DAS SESSÕES LEGISLATIVAS
Dispositivo: Art. 2º

Art. 2º. A Câmara dos Deputados reunir-se-á durante as sessões legislativas:"
"4","Art. 2º, I","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO II - DAS SESSÕES LEGISLATIVAS
Dispositivo: Art. 2º, I

Art. 2º. A Câmara dos Deputados reunir-se-á durante as sessões legislativas:
I - ordinárias, de 2 de fevereiro a 17 de julho e de 1º de agosto a 22 de dezembro; (Inciso com redação adaptada à Emenda Constitucional nº 50, de 2006, conforme Ato da Mesa nº 80, de 2006)"
"5","Art. 2º, II","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO II - DAS SESSÕES LEGISLATIVAS
Dispositivo: Art. 2º, II

Art. 2º. A Câmara dos Deputados reunir-se-á durante as sessões legislativas:
II - extraordinárias, quando, com este caráter, for convocado o Congresso Nacional."
"6","Art. 2º, §1º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO II - DAS SESSÕES LEGISLATIVAS
Dispositivo: Art. 2º, §1º

Art. 2º. A Câmara dos Deputados reunir-se-á durante as sessões legislativas:
§1º As reuniões marcadas para as datas a que se refere o inciso I serão transferidas para o primeiro dia útil subsequente quando recaírem em sábados, domingos ou feriados."
"7","Art. 2º, §2º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO II - DAS SESSÕES LEGISLATIVAS
Dispositivo: Art. 2º, §2º

Art. 2º. A Câmara dos Deputados reunir-se-á durante as sessões legislativas:
§2º A primeira e a terceira sessões legislativas ordinárias de cada legislatura serão precedidas de sessões preparatórias."
"8","Art. 2º, §3º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO II - DAS SESSÕES LEGISLATIVAS
Dispositivo: Art. 2º, §3º

Art. 2º. A Câmara dos Deputados reunir-se-á durante as sessões legislativas:
§3º A sessão legislativa ordinária não será interrompida em 17 de julho, enquanto não for aprovada a lei de diretrizes orçamentárias pelo Congresso Nacional. (Parágrafo com redação adaptada à Emenda Constitucional nº 50, de 2006, conforme Ato da Mesa nº 80, de 2006)"
"9","Art. 2º, §4º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO II - DAS SESSÕES LEGISLATIVAS
Dispositivo: Art. 2º, §4º

Art. 2º. A Câmara dos Deputados reunir-se-á durante as sessões legislativas:
§4º Quando convocado extraordinariamente o Congresso Nacional, a Câmara dos Deputados somente deliberará sobre a matéria objeto da convocação."
"10","Art. 3º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 3º

Art. 3º. O candidato diplomado Deputado Federal deverá apresentar à Mesa, pessoalmente ou por intermédio do seu Partido, até o dia 31 de janeiro do ano de instalação de cada legislatura, o diploma expedido pela Justiça Eleitoral, juntamente com a comunicação de seu nome parlamentar, legenda partidária e unidade da Federação de que proceda a representação."
"11","Art. 3º, §1º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 3º, §1º

Art. 3º. O candidato diplomado Deputado Federal deverá apresentar à Mesa, pessoalmente ou por intermédio do seu Partido, até o dia 31 de janeiro do ano de instalação de cada legislatura, o diploma expedido pela Justiça Eleitoral, juntamente com a comunicação de seu nome parlamentar, legenda partidária e unidade da Federação de que proceda a representação.
§1º O nome parlamentar compor-se-á, salvo quando, a juízo do Presidente, devam ser evitadas confusões, apenas de dois elementos: um prenome e o nome; dois nomes; ou dois prenomes."
"12","Art. 3º, §2º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 3º, §2º

Art. 3º. O candidato diplomado Deputado Federal deverá apresentar à Mesa, pessoalmente ou por intermédio do seu Partido, até o dia 31 de janeiro do ano de instalação de cada legislatura, o diploma expedido pela Justiça Eleitoral, juntamente com a comunicação de seu nome parlamentar, legenda partidária e unidade da Federação de que proceda a representação.
§2º Caberá à Secretaria-Geral da Mesa organizar a relação dos Deputados diplomados, que deverá estar concluída antes da instalação da sessão de posse."
"13","Art. 3º, §3º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 3º, §3º

Art. 3º. O candidato diplomado Deputado Federal deverá apresentar à Mesa, pessoalmente ou por intermédio do seu Partido, até o dia 31 de janeiro do ano de instalação de cada legislatura, o diploma expedido pela Justiça Eleitoral, juntamente com a comunicação de seu nome parlamentar, legenda partidária e unidade da Federação de que proceda a representação.
§3º A relação será feita por Estado, Distrito Federal e Territórios, de norte a sul, na ordem geográfica das capitais e, em cada unidade federativa, na sucessão alfabética dos nomes parlamentares, com as respectivas legendas partidárias."
"14","Art. 4º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)"
