ano,tipo,num,situacao,pdf,pagina
1932,ordinaria,18,RECUPERAVEL,BEs 1932\OUTUBRO\05\99163\00000016.pdf,None
1932,ordinaria,19,RECUPERAVEL,BEs 1932\OUTUBRO\12\99164\00000017.pdf,None
1933,ordinaria,42,RECUPERAVEL,BEs 1933\JUNHO\07\99277\00000001.pdf,None
1933,extraordinaria,6,RECUPERAVEL,BEs 1933\SETEMBRO\27\99859\00000016.pdf,None
1934,ordinaria,8,RECUPERAVEL,BEs 1934\FEVEREIRO\10\99376\00000013.pdf,None
1934,ordinaria,17,RECUPERAVEL,BEs 1934\MARÇO\17\99402\00000023.pdf,None
1934,extraordinaria,6,RECUPERAVEL,BEs 1934\SETEMBRO\24\99656\00000010.pdf,None
1935,ordinaria,9,RECUPERAVEL,BEs 1935\MARÇO\14\99959\00000006 (1936).pdf,None
1935,ordinaria,16,RECUPERAVEL,BEs 1935\MARÇO\17\99701\00000005.pdf,None
1935,ordinaria,17,RECUPERAVEL,BEs 1935\MAIO\15\99740\00000005.pdf,None
1935,ordinaria,24,RECUPERAVEL,BEs 1935\MARÇO\19\99961\00000008  (março .33).pdf,2
1935,ordinaria,43,RECUPERAVEL,BEs 1935\MAIO\15\99740\00000005.pdf,None
1935,ordinaria,64,RECUPERAVEL,BEs 1935\JULHO\06\99758\00000002.pdf,None
1935,ordinaria,67,RECUPERAVEL,BEs 1935\FEVEREIRO\06\99810\00000017.pdf,None
1935,ordinaria,75,RECUPERAVEL,BEs 1935\AGOSTO\01\99769\00000013.pdf,None
1935,ordinaria,76,RECUPERAVEL,BEs 1935\AGOSTO\20\99777\00000021.pdf,None
1935,ordinaria,77,RECUPERAVEL,BEs 1935\AGOSTO\20\99777\00000021.pdf,None
1935,ordinaria,79,RECUPERAVEL,BEs 1935\AGOSTO\10\99773\00000017.pdf,None
1935,ordinaria,81,RECUPERAVEL,BEs 1935\AGOSTO\15\99775\00000019.pdf,None
1935,ordinaria,85,RECUPERAVEL,BEs 1935\AGOSTO\29\99781\00000025.pdf,None
1935,ordinaria,110,RECUPERAVEL,BEs 1935\NOVEMBRO\12\99900\00000005.pdf,None
1935,ordinaria,112,RECUPERAVEL,BEs 1935\NOVEMBRO\05\99897\00000002.pdf,2
1935,ordinaria,119,RECUPERAVEL,BEs 1935\NOVEMBRO\23\99906\00000010.pdf,2
1935,ordinaria,127,RECUPERAVEL,BEs 1935\DEZEMBRO\14\99921\00000019.pdf,None
1935,extraordinaria,4,RECUPERAVEL,BEs 1935\MARÇO\13\99700\00000004.pdf,None
1935,extraordinaria,12,RECUPERAVEL,BEs 1935\FEVEREIRO\06\99810\00000017.pdf,None
1935,extraordinaria,15,RECUPERAVEL,BEs 1935\FEVEREIRO\06\99810\00000017.pdf,18
1935,extraordinaria,17,RECUPERAVEL,BEs 1935\FEVEREIRO\09\99812\00000019.pdf,2
1936,ordinaria,4,RECUPERAVEL,BEs 1936\FEVEREIRO\13\99951\00000019.pdf,None
1936,ordinaria,16,RECUPERAVEL,BEs 1936\JUNHO\1936_boletim_eleitoral_a5_n66.pdf,None
1936,ordinaria,17,RECUPERAVEL,BEs 1936\FEVEREIRO\15\99952\00000020.pdf,2
1936,ordinaria,46,RECUPERAVEL,BEs 1936\DEZEMBRO\08\100063\00000028.pdf,None
1936,ordinaria,51,RECUPERAVEL,BEs 1936\MAIO\18\100177\00000019.pdf,2
1936,ordinaria,57,RECUPERAVEL,BEs 1936\JUNHO\1936_boletim_eleitoral_a5_n69.pdf,1
1936,ordinaria,94,RECUPERAVEL,BEs 1936\SETEMBRO\1936_boletim_eleitoral_a5_n109.pdf,1
1936,ordinaria,101,RECUPERAVEL,BEs 1936\OUTUBRO\03\100031\00000002.pdf,None
1936,ordinaria,108,RECUPERAVEL,BEs 1936\OUTUBRO\22\100040\00000009.pdf,2
1936,ordinaria,112,RECUPERAVEL,BEs 1936\NOVEMBRO\26\100057\00000023.pdf,2
1936,ordinaria,116,RECUPERAVEL,BEs 1936\NOVEMBRO\12\100050\00000017.pdf,None
1937,ordinaria,7,RECUPERAVEL,BEs 1937\JANEIRO\21\100089\00000008.pdf,2
1937,ordinaria,8,RECUPERAVEL,BEs 1937\JANEIRO\23\100092\00000009.pdf,2
1937,ordinaria,23,RECUPERAVEL,BEs 1937\JULHO\03\100199\00000002.pdf,None
1937,ordinaria,33,RECUPERAVEL,BEs 1937\ABRIL\01\100159\00000001.pdf,2
1937,ordinaria,34,RECUPERAVEL,BEs 1937\MAIO\25\100180\00000022.pdf,2
1937,ordinaria,35,RECUPERAVEL,BEs 1937\ABRIL\06\100161\00000003.pdf,1
1937,ordinaria,38,RECUPERAVEL,BEs 1937\ABRIL\13\100164\00000006.pdf,1
1937,ordinaria,40,RECUPERAVEL,BEs 1937\ABRIL\1937_boletim_eleitoral_a6_n42.pdf,1
1937,ordinaria,41,RECUPERAVEL,BEs 1937\ABRIL\20\100167\00000009.pdf,1
1937,ordinaria,42,RECUPERAVEL,BEs 1937\ABRIL\24\100168\00000010.pdf,2
1937,ordinaria,46,RECUPERAVEL,BEs 1937\MAIO\06\100172\00000014.pdf,2
1937,ordinaria,47,RECUPERAVEL,BEs 1937\MAIO\08\100173\00000015.pdf,2
1937,ordinaria,63,RECUPERAVEL,BEs 1937\JUNHO\15\100189\00000031.pdf,1
1937,ordinaria,66,RECUPERAVEL,BEs 1937\JUNHO\22\100192\00000034.pdf,2
1937,ordinaria,67,RECUPERAVEL,BEs 1937\JUNHO\24\100193\00000035.pdf,None
1937,ordinaria,70,RECUPERAVEL,BEs 1937\JULHO\01\100198\00000001.pdf,3
1937,ordinaria,73,RECUPERAVEL,BEs 1937\AGOSTO\10\100244\00000004.pdf,None
1937,ordinaria,91,RECUPERAVEL,BEs 1937\AGOSTO\19\100248\00000008.pdf,None
1937,ordinaria,106,RECUPERAVEL,BEs 1937\SETEMBRO\23\100265\00000013.pdf,2
1937,ordinaria,112,RECUPERAVEL,BEs 1937\OUTUBRO\07\100271\00000004.pdf,2
1937,ordinaria,113,RECUPERAVEL,BEs 1937\OUTUBRO\09\100272\00000005.pdf,None
1937,ordinaria,118,RECUPERAVEL,BEs 1937\OUTUBRO\21\100278\00000012.pdf,None
1932,ordinaria,34,BOLETIM_AUSENTE_NO_ACERVO,,
1933,ordinaria,102,BOLETIM_AUSENTE_NO_ACERVO,,
1934,ordinaria,31,BOLETIM_AUSENTE_NO_ACERVO,,
1934,ordinaria,49,BOLETIM_AUSENTE_NO_ACERVO,,
1934,ordinaria,52,BOLETIM_AUSENTE_NO_ACERVO,,
1934,ordinaria,54,BOLETIM_AUSENTE_NO_ACERVO,,
1934,ordinaria,55,BOLETIM_AUSENTE_NO_ACERVO,,
1934,ordinaria,71,BOLETIM_AUSENTE_NO_ACERVO,,
1934,ordinaria,73,BOLETIM_AUSENTE_NO_ACERVO,,
1934,extraordinaria,2,BOLETIM_AUSENTE_NO_ACERVO,,
1934,extraordinaria,13,BOLETIM_AUSENTE_NO_ACERVO,,
1934,extraordinaria,18,BOLETIM_AUSENTE_NO_ACERVO,,
1934,extraordinaria,21,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,6,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,7,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,13,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,18,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,26,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,27,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,28,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,29,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,31,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,41,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,48,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,51,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,80,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,89,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,98,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,106,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,128,BOLETIM_AUSENTE_NO_ACERVO,,
1935,ordinaria,129,BOLETIM_AUSENTE_NO_ACERVO,,
1935,extraordinaria,5,BOLETIM_AUSENTE_NO_ACERVO,,
1935,extraordinaria,7,BOLETIM_AUSENTE_NO_ACERVO,,
1935,extraordinaria,9,BOLETIM_AUSENTE_NO_ACERVO,,
1936,ordinaria,63,BOLETIM_AUSENTE_NO_ACERVO,,
1936,ordinaria,91,BOLETIM_AUSENTE_NO_ACERVO,,
1936,ordinaria,104,BOLETIM_AUSENTE_NO_ACERVO,,
1936,ordinaria,107,BOLETIM_AUSENTE_NO_ACERVO,,
1936,ordinaria,122,BOLETIM_AUSENTE_NO_ACERVO,,
1937,ordinaria,11,BOLETIM_AUSENTE_NO_ACERVO,,
1937,ordinaria,18,BOLETIM_AUSENTE_NO_ACERVO,,
1937,ordinaria,36,BOLETIM_AUSENTE_NO_ACERVO,,
1937,ordinaria,61,BOLETIM_AUSENTE_NO_ACERVO,,
1937,ordinaria,64,BOLETIM_AUSENTE_NO_ACERVO,,
1937,ordinaria,86,BOLETIM_AUSENTE_NO_ACERVO,,
1937,ordinaria,89,BOLETIM_AUSENTE_NO_ACERVO,,
1937,ordinaria,99,BOLETIM_AUSENTE_NO_ACERVO,,
