ano,data_sessao,tipo,num,arquivo_be,pagina,veredito,observacao
1934,1934-04-20,ordinaria,31,BE n. 42,1,LACUNA_REAL,"consta do sumario do boletim; nao ha entrada no indice para esta data"
1934,1934-10-23,ordinaria,68,BE n. 11 [99810],18,LACUNA_REAL,"ata impressa (ano truncado no impresso: 'DE 193'); nao ha entrada no indice para esta data"
1934,1934-12-21,extraordinaria,22,BE n. 19 [99812],9-10,LACUNA_REAL,"ata longa (recurso da Liga Eleitoral Catolica do Ceara); nao ha entrada no indice para esta data"
1935,1935-05-06,ordinaria,41,BE n. 55 [99738],3,LACUNA_REAL,"ata impressa; nao ha entrada no indice para esta data"
1935,1935-05-07,extraordinaria,16,BE n. 56 [99739],2,LACUNA_REAL,"ata impressa; nao ha entrada no indice para esta data"
1935,1935-05-13,ordinaria,44,BE n. 58 [99741],2,LACUNA_REAL,"ata impressa; nao ha entrada no indice para esta data"
1935,1935-05-16,extraordinaria,19,BE n. 60 [99743],3,LACUNA_REAL,"ata impressa; nao ha entrada no indice para esta data"
1935,1935-05-22,ordinaria,48,BE n. 61 [99744],2,LACUNA_REAL,"ata impressa; nao ha entrada no indice para esta data"
1935,1935-05-28,extraordinaria,22,BE n. 64,2,LACUNA_REAL,"ata impressa; nao ha entrada no indice para esta data"
1935,,ordinaria,50,?,?,A_INVESTIGAR,"esperada entre 24/05 e 29/05; nao apareceu nos BEs do lote 1935_03"
1934,1934-10-12,extraordinaria,13,BE n. 11 [99810],16-17,NAO_E_LACUNA,"o indice TEM esta data (extraordinaria sem num lido) — mesma ata, numero recuperado na transcricao"
1934,1934-11-16,extraordinaria,18,BE n. 11 [99810],21-22,NAO_E_LACUNA,"o indice TEM esta data (extraordinaria sem num lido)"
1934,1934-12-22,extraordinaria,24,BE n. 19 [99812],10-11,NAO_E_LACUNA,"o indice TEM esta data; 2a sessao do dia pode estar coberta pelo mesmo registro — conferir na transcricao"
1934,1934-11-23,extraordinaria,261,BE n. 18 [99811],7-8,NAO_E_LACUNA,"TRE-DF sem cabecalho proprio; transcrita junto com a 260a"
1935,1935-06-05,ordinaria,54,BE n. 66,3,NAO_E_LACUNA,"o indice TEM esta data (ordinaria sem num lido)"
1935,1935-05-02,ordinaria,39,BE n. 55 [99738],2,FALSO_ALARME,"JA no indice (estava em outro lote, nao no lote do transcritor que reportou)"
1935,1935-05-03,ordinaria,40,BE n. 55 [99738],2,FALSO_ALARME,"JA no indice (estava em outro lote, nao no lote do transcritor que reportou)"
1935,1935-01-18,extraordinaria,1,BE n. 19 [99812],14,LACUNA_REAL,"validada contra o indice: nao ha entrada nesta data"
1935,1935-02-18,ordinaria,11,BE n. 26 [99819],4,LACUNA_REAL,"validada contra o indice: nao ha entrada nesta data"
1935,1935-02-22,ordinaria,13,BE n. 30 [99697],3,LACUNA_REAL,"validada contra o indice: nao ha entrada nesta data"
1935,1935-03-15,ordinaria,20,BE n. 40 [e277bf1f],1-3,LACUNA_REAL,"validada; presidencia dupla (Hermenegildo de Barros e Eduardo Espinola vice)"
1935,1935-03-18,ordinaria,21,BE n. 40 [e277bf1f],2-3,LACUNA_REAL,"validada contra o indice: nao ha entrada nesta data"
1935,1935-03-12,extraordinaria,,?,?,LACUNA_REAL,"citada como aprovada na 19a sessao; ata nao localizada nos recortes"
1935,1935-10-14,ordinaria,106,BE [99896],3,LACUNA_REAL,"validada: nao ha entrada nesta data no indice (regex do extrator nao pegou o cabecalho)"
1935,1935-10-30,ordinaria,112,BE [99901],2,NAO_E_LACUNA,"o indice TEM esta data, registrada como '55a' (erro de OCR do ordinal) — mesma sessao"
1936,1936-01-10,ordinaria,4,BE [99942],5,LACUNA_REAL,"validada contra o indice: nao ha entrada nesta data (impressa na mesma coluna da 5a sessao)"
1937,1937-08-04,ordinaria,86,?,?,A_INVESTIGAR,"deduzida por convocacao (lote 1937_03); nao consta do indice — verificar se o BE existe no acervo"
1937,1937-08-11,ordinaria,89,?,?,A_INVESTIGAR,"deduzida por convocacao; nao consta do indice"
1937,1937-08-16,ordinaria,91,?,?,A_INVESTIGAR,"deduzida por convocacao; nao consta do indice"
1937,1937-08-23,ordinaria,94,?,?,A_INVESTIGAR,"deduzida por convocacao; nao consta do indice"
1937,1937-08-25,ordinaria,95,?,?,A_INVESTIGAR,"deduzida por convocacao; nao consta do indice"
1937,1937-08-27,ordinaria,96,?,?,A_INVESTIGAR,"deduzida por convocacao; nao consta do indice"
1937,1937-09-03,ordinaria,98,?,?,A_INVESTIGAR,"deduzida por convocacao; nao consta do indice"
1937,,ordinaria,99,?,?,A_INVESTIGAR,"deduzida; nao consta do indice"
1937,1937-09-06,ordinaria,100,?,?,A_INVESTIGAR,"deduzida por convocacao; nao consta do indice"
1937,1937-08-11,,32,BE [100250],?,LACUNA_REAL,"TRE-DF 32a sessao (Piragibe) impressa no mesmo BE da 93a; nao consta do indice — atas de TRE nao sao alvo mas registra-se"
