ata_id,ano,data_sessao,tipo,num,titulo,be_n,be_data,arquivo,origem,pag_ini,pag_fim,pngs,ocr_txt,dificuldade,no_ensaio,status,confianca,transcricao,parecer,fidelidade
1932-05-17-x0-99097-p2,1932,1932-05-17,,,SESSÃO PREPARATÓRIA EM 17 DE MAIO DE 1932,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,2,3,_paginas\99097\p002.png;_paginas\99097\p003.png,_ocr\1932-05-17-x0-99097-p2.txt,facil,1,revisada,alta,1932\1932-05-17-x0-99097-p2.md,1932\1932-05-17-x0-99097-p2.parecer.json,10
1932-05-20-x0-99097-p3,1932,1932-05-20,,,"SESSÃO DE INSTALAÇÃO, EM 20 DE MAIO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,3,5,_paginas\99097\p003.png;_paginas\99097\p004.png;_paginas\99097\p005.png,_ocr\1932-05-20-x0-99097-p3.txt,facil,1,revisada,alta,1932\1932-05-20-x0-99097-p3.md,1932\1932-05-20-x0-99097-p3.parecer.json,9.8
1932-05-28-o0-99097-p3,1932,1932-05-28,ordinaria,1,1ª SESSÃO ORDINÁRIA EM 28 DE MAIO DE 1932,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,3,5,_paginas\99097\p003.png;_paginas\99097\p004.png;_paginas\99097\p005.png,_ocr\1932-05-28-o0-99097-p3.txt,facil,0,transcrita,alta,1932\1932-05-28-o0-99097-p3.md,,
1932-06-17-e1-99097-p7,1932,1932-06-17,extraordinaria,1,"1ª SESSÃO EXTRAORDINÁRIA, EM 17 DE JUNHO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,7,9,_paginas\99097\p007.png;_paginas\99097\p008.png;_paginas\99097\p009.png,_ocr\1932-06-17-e1-99097-p7.txt,facil,1,transcrita,alta,1932\1932-06-17-e1-99097-p7.md,,
1932-06-18-o4-99097-p9,1932,1932-06-18,ordinaria,4,4ª SESSÃO ORDINÁRIA EM 18 DE JUNHO DE 1932,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,9,11,_paginas\99097\p009.png;_paginas\99097\p010.png;_paginas\99097\p011.png,_ocr\1932-06-18-o4-99097-p9.txt,facil,1,transcrita,alta,1932\1932-06-18-o4-99097-p9.md,,
1932-06-24-e0-99097-p11,1932,1932-06-24,extraordinaria,2,"2ª SESSÃO EXTRAORDINÁRIA, EM 24 DE JUNHO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,11,12,_paginas\99097\p011.png;_paginas\99097\p012.png,_ocr\1932-06-24-e0-99097-p11.txt,facil,0,transcrita,alta,1932\1932-06-24-e0-99097-p11.md,,
1932-06-25-o0-99097-p12,1932,1932-06-25,ordinaria,5,"5ª SESSÃO ORDINÁRIA, EM 25 DE JUNHO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,12,14,_paginas\99097\p012.png;_paginas\99097\p013.png;_paginas\99097\p014.png,_ocr\1932-06-25-o0-99097-p12.txt,facil,0,transcrita,alta,1932\1932-06-25-o0-99097-p12.md,,
1932-07-02-o1-99097-p14,1932,1932-07-02,ordinaria,6,"6ª SESSÃO ORDINÁRIA, EM 2 DE JULHO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,14,15,_paginas\99097\p014.png;_paginas\99097\p015.png,_ocr\1932-07-02-o1-99097-p14.txt,facil,0,revisada,alta,1932\1932-07-02-o1-99097-p14.md,1932\1932-07-02-o1-99097-p14.parecer.json,10
1932-07-08-e0-99097-p15,1932,1932-07-08,extraordinaria,4,"4ª SESSÃO EXTRAORDINÁRIA, EM 8 DE JULHO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,15,16,_paginas\99097\p015.png;_paginas\99097\p016.png,_ocr\1932-07-08-e0-99097-p15.txt,facil,0,transcrita,alta,1932\1932-07-08-e0-99097-p15.md,,
1932-07-09-o0-99097-p15,1932,1932-07-09,ordinaria,7,"7ª SESSÃO ORDINÁRIA, EM 9 DE JULHO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,15,16,_paginas\99097\p015.png;_paginas\99097\p016.png,_ocr\1932-07-09-o0-99097-p15.txt,facil,0,transcrita,alta,1932\1932-07-09-o0-99097-p15.md,,
1932-07-15-e0-99097-p18,1932,1932-07-15,extraordinaria,5,"5ª SESSÃO EXTRAORDINÁRIA, EM 15 DE JULHO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,18,18,_paginas\99097\p018.png,_ocr\1932-07-15-e0-99097-p18.txt,facil,0,transcrita,alta,1932\1932-07-15-e0-99097-p18.md,,
1932-07-16-o0-99097-p16,1932,1932-07-16,ordinaria,8,"8ª SESSÃO ORDINÁRIA, EM 16 DE JULHO DE 1932",,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf,16,18,_paginas\99097\p016.png;_paginas\99097\p017.png;_paginas\99097\p018.png,_ocr\1932-07-16-o0-99097-p16.txt,facil,0,transcrita,alta,1932\1932-07-16-o0-99097-p16.md,,
1932-07-22-e6-99099-p2,1932,1932-07-22,extraordinaria,6,"ATA DA 6ª SESSÃO EXTRAORDINÁRIA, EM 22 DE JULHO DE 1932",4,1932-08-03,1932-08-03 - BE n004 [99099].pdf,BEs 1932\AGOSTO\03\99099\00000004.pdf,2,3,_paginas\99099\p002.png;_paginas\99099\p003.png,_ocr\1932-07-22-e6-99099-p2.txt,facil,1,transcrita,alta,1932\1932-07-22-e6-99099-p2.md,,
1932-07-23-o9-99099-p3,1932,1932-07-23,ordinaria,9,"ATA DA 9ª SESSÃO ORDINÁRIA, EM 23 DE JULHO DE 1932",4,1932-08-03,1932-08-03 - BE n004 [99099].pdf,BEs 1932\AGOSTO\03\99099\00000004.pdf,3,5,_paginas\99099\p003.png;_paginas\99099\p004.png;_paginas\99099\p005.png,_ocr\1932-07-23-o9-99099-p3.txt,facil,1,transcrita,alta,1932\1932-07-23-o9-99099-p3.md,,
1932-07-29-e0-99100-p2,1932,1932-07-29,extraordinaria,7,"7ª SESSÃO EXTRAORDINÁRIA, EM 29 DE JULHO DE 1932",5,1932-08-08,1932-08-08 - BE n005 [99100].pdf,BEs 1932\AGOSTO\08\99100\00000005.pdf,2,3,_paginas\99100\p002.png;_paginas\99100\p003.png,_ocr\1932-07-29-e0-99100-p2.txt,facil,0,transcrita,alta,1932\1932-07-29-e0-99100-p2.md,,
1932-07-30-o0-99100-p3,1932,1932-07-30,ordinaria,10,"10ª SESSÃO ORDINÁRIA, EM 30 DE JULHO DE 1932",5,1932-08-08,1932-08-08 - BE n005 [99100].pdf,BEs 1932\AGOSTO\08\99100\00000005.pdf,3,5,_paginas\99100\p003.png;_paginas\99100\p004.png;_paginas\99100\p005.png,_ocr\1932-07-30-o0-99100-p3.txt,facil,0,final,alta,1932\1932-07-30-o0-99100-p3.md,1932\1932-07-30-o0-99100-p3.parecer.json,9.2
1932-08-02-x0-99173-p11,1932,1932-08-02,,,"ATA DA SESSÃO, EM 2 DE AGOSTO DE 1932",26,1932-11-26,1932-11-26 - BE n026 [99173].pdf,BEs 1932\NOVEMBRO\26\99173\00000026.pdf,11,13,_paginas\99173\p011.png;_paginas\99173\p012.png;_paginas\99173\p013.png,_ocr\1932-08-02-x0-99173-p11.txt,facil,0,duplicada,baixa,1932\1932-08-02-x0-99173-p11.md,,
1932-08-02-x14-99173-p11,1932,1932-08-02,ordinaria,14,"ATA — 14ª SESSÃO, EM 2 DE AGOSTO DE 1932",26,1932-11-26,1932-11-26 - BE n026 [99173].pdf,BEs 1932\NOVEMBRO\26\99173\00000026.pdf,11,13,_paginas\99173\p011.png;_paginas\99173\p012.png;_paginas\99173\p013.png,_ocr\1932-08-02-x14-99173-p11.txt,facil,0,regional,alta,1932\1932-08-02-x14-99173-p11.md,,
1932-08-03-e8-99101-p2,1932,1932-08-03,extraordinaria,8,"ATA — 8ª SESSÃO EXTRAORDINÁRIA, EM 3 DE AGOSTO DE 1932",,1932-08-10,1932-08-10 - BE [99101].pdf,BEs 1932\AGOSTO\10\99101\00000006.pdf,2,4,_paginas\99101\p002.png;_paginas\99101\p003.png;_paginas\99101\p004.png,_ocr\1932-08-03-e8-99101-p2.txt,facil,1,transcrita,alta,1932\1932-08-03-e8-99101-p2.md,,
1932-08-06-o0-99102-p2,1932,1932-08-06,ordinaria,,"ATA DA SESSÃO ORDINÁRIA, EM 6 DE AGOSTO DE 1932",7,1932-08-17,1932-08-17 - BE n007 [99102].pdf,BEs 1932\AGOSTO\17\99102\00000007.pdf,2,4,_paginas\99102\p002.png;_paginas\99102\p003.png;_paginas\99102\p004.png,_ocr\1932-08-06-o0-99102-p2.txt,facil,0,duplicada,baixa,1932\1932-08-06-o0-99102-p2.md,,
1932-08-06-o11-99102-p2,1932,1932-08-06,ordinaria,11,"ATA — 11ª SESSÃO ORDINÁRIA, EM 6 DE AGOSTO DE 1932",7,1932-08-17,1932-08-17 - BE n007 [99102].pdf,BEs 1932\AGOSTO\17\99102\00000007.pdf,2,4,_paginas\99102\p002.png;_paginas\99102\p003.png;_paginas\99102\p004.png,_ocr\1932-08-06-o11-99102-p2.txt,facil,1,transcrita,alta,1932\1932-08-06-o11-99102-p2.md,,
1932-08-09-x0-99182-p5,1932,1932-08-09,ordinaria,15,15ª SESSÃO EM 9 DE AGOSTO DE 1932 (TRIBUNAL REGIONAL DE JUSTIÇA ELEITORAL DO DISTRITO FEDERAL),35,1932-12-28,1932-12-28 - BE n035 [99182].pdf,BEs 1932\DEZEMBRO\28\99182\00000035.pdf,5,6,_paginas\99182\p005.png;_paginas\99182\p006.png,_ocr\1932-08-09-x0-99182-p5.txt,facil,0,regional,alta,1932\1932-08-09-x0-99182-p5.md,,
1932-08-10-e9-99103-p2,1932,1932-08-10,extraordinaria,9,"9ª SESSÃO EXTRAORDINÁRIA, EM 10 DE AGOSTO DE 1932",8,1932-08-22,1932-08-22 - BE n008 [99103].pdf,BEs 1932\AGOSTO\22\99103\00000008.pdf,2,4,_paginas\99103\p002.png;_paginas\99103\p003.png;_paginas\99103\p004.png,_ocr\1932-08-10-e9-99103-p2.txt,facil,1,transcrita,alta,1932\1932-08-10-e9-99103-p2.md,,
