"Rel","Nivel","Cat","ArqDiretos","SubPastas"
"01 - Pessoal e identidade","1","01 - Pessoal e identidade","8","1"
"02 - Saúde","1","02 - Saúde","8","5"
"03 - Financeiro","1","03 - Financeiro","7","9"
"04 - Imóveis","1","04 - Imóveis","2","7"
"05 - Jurídico e trabalho","1","05 - Jurídico e trabalho","33","11"
"06 - Estudos, concursos e leitura","1","06 - Estudos, concursos e leitura","10","8"
"07 - Viagens","1","07 - Viagens","3","1"
"08 - Veículos","1","08 - Veículos","2","3"
"09 - Família, religião e mensagens","1","09 - Família, religião e mensagens","5","7"
"10 - Tecnologia e dispositivos","1","10 - Tecnologia e dispositivos","22","9"
"11 - Diversos (a revisar)","1","11 - Diversos (a revisar)","11","1"
"Arquivos do Outlook","1","Arquivos do Outlook","2","0"
"NFe e outros","1","NFe e outros","0","7"
"01 - Pessoal e identidade\OAB","2","01 - Pessoal e identidade","22","0"
"02 - Saúde\CIRURGIA","2","02 - Saúde","10","1"
"02 - Saúde\DENTISTA","2","02 - Saúde","20","1"
"02 - Saúde\FITNESS","2","02 - Saúde","1","4"
"02 - Saúde\OFTALMO","2","02 - Saúde","8","0"
"02 - Saúde\REEMBOLSO","2","02 - Saúde","20","0"
"02 - Saúde\CIRURGIA\Estudos médicos","3","02 - Saúde","6","0"
"02 - Saúde\DENTISTA\Mensalidades","3","02 - Saúde","33","0"
"02 - Saúde\FITNESS\BIOIMPEDÂNCIA","3","02 - Saúde","11","0"
"02 - Saúde\FITNESS\DIETAS","3","02 - Saúde","8","0"
"02 - Saúde\FITNESS\EXAMES","3","02 - Saúde","6","0"
"02 - Saúde\FITNESS\REMÉDIOS MANIPULADOS","3","02 - Saúde","14","0"
"03 - Financeiro\BRB","2","03 - Financeiro","28","3"
"03 - Financeiro\CEF","2","03 - Financeiro","4","0"
"03 - Financeiro\CONSÓRCIO","2","03 - Financeiro","0","2"
"03 - Financeiro\CONTAS","2","03 - Financeiro","25","5"
"03 - Financeiro\IRPF","2","03 - Financeiro","0","3"
"03 - Financeiro\MOBILLS","2","03 - Financeiro","2","0"
"03 - Financeiro\NFe e outros","2","03 - Financeiro","1","6"
"03 - Financeiro\SEGUROS","2","03 - Financeiro","7","11"
"03 - Financeiro\VIVARA","2","03 - Financeiro","2","0"
"03 - Financeiro\BRB\Ana Carolina","3","03 - Financeiro","9","0"
"03 - Financeiro\BRB\Apto Itajubá","3","03 - Financeiro","3","0"
"03 - Financeiro\BRB\Maurício","3","03 - Financeiro","7","0"
"03 - Financeiro\CONSÓRCIO\Automóvel","3","03 - Financeiro","4","0"
"03 - Financeiro\CONSÓRCIO\Imóvel","3","03 - Financeiro","3","1"
"03 - Financeiro\CONSÓRCIO\Imóvel\Estudo","4","03 - Financeiro","9","0"
"03 - Financeiro\CONTAS\CAROL","3","03 - Financeiro","12","1"
"03 - Financeiro\CONTAS\CSVs","3","03 - Financeiro","0","9"
"03 - Financeiro\CONTAS\Exportações Mobills","3","03 - Financeiro","10","0"
"03 - Financeiro\CONTAS\FATURAS","3","03 - Financeiro","38","0"
"03 - Financeiro\CONTAS\MATHEUS","3","03 - Financeiro","6","1"
"03 - Financeiro\CONTAS\CAROL\Legado","4","03 - Financeiro","101","0"
"03 - Financeiro\CONTAS\CSVs\AGO_2025","4","03 - Financeiro","7","0"
"03 - Financeiro\CONTAS\CSVs\DEZ_2025","4","03 - Financeiro","6","0"
"03 - Financeiro\CONTAS\CSVs\JAN_2026","4","03 - Financeiro","5","0"
"03 - Financeiro\CONTAS\CSVs\JUL_2025","4","03 - Financeiro","6","0"
"03 - Financeiro\CONTAS\CSVs\JUN_2025","4","03 - Financeiro","6","0"
"03 - Financeiro\CONTAS\CSVs\MAI_2025","4","03 - Financeiro","7","0"
"03 - Financeiro\CONTAS\CSVs\NOV_2025","4","03 - Financeiro","5","0"
"03 - Financeiro\CONTAS\CSVs\OUT_2025","4","03 - Financeiro","8","0"
"03 - Financeiro\CONTAS\CSVs\SET_2025","4","03 - Financeiro","6","0"
"03 - Financeiro\CONTAS\MATHEUS\Legado","4","03 - Financeiro","96","0"
"03 - Financeiro\IRPF\2023","3","03 - Financeiro","21","0"
"03 - Financeiro\IRPF\2024","3","03 - Financeiro","14","1"
"03 - Financeiro\IRPF\2025","3","03 - Financeiro","19","2"
"03 - Financeiro\IRPF\2024\CAROL","4","03 - Financeiro","13","0"
"03 - Financeiro\IRPF\2025\Carol","4","03 - Financeiro","15","0"
"03 - Financeiro\IRPF\2025\Devolução TSE","4","03 - Financeiro","3","0"
"03 - Financeiro\NFe e outros\01 - Eletrônicos e informática","3","03 - Financeiro","11","2"
"03 - Financeiro\NFe e outros\02 - Eletrodomésticos","3","03 - Financeiro","5","2"
"03 - Financeiro\NFe e outros\03 - Móveis e decoração","3","03 - Financeiro","3","0"
"03 - Financeiro\NFe e outros\04 - Roupas e acessórios","3","03 - Financeiro","6","0"
"03 - Financeiro\NFe e outros\05 - Saúde","3","03 - Financeiro","0","1"
"03 - Financeiro\NFe e outros\06 - Serviços e diversos","3","03 - Financeiro","3","0"
"03 - Financeiro\NFe e outros\01 - Eletrônicos e informática\Notebooks Samsung","4","03 - Financeiro","3","0"
"03 - Financeiro\NFe e outros\01 - Eletrônicos e informática\Relógio Polar Pacer","4","03 - Financeiro","9","0"
"03 - Financeiro\NFe e outros\02 - Eletrodomésticos\Lava e seca antiga (doada em 2023)","4","03 - Financeiro","2","0"
"03 - Financeiro\NFe e outros\02 - Eletrodomésticos\Lava e Seca Samsung WD13T (atual)","4","03 - Financeiro","2","0"
