"Rel","Nivel","Cat","Arq","NSub","Full"
"01 - Pessoal e identidade","1","01 - Pessoal e identidade","8","1","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade"
"02 - Saúde","1","02 - Saúde","8","5","C:\Users\mauri\OneDrive\Documentos\02 - Saúde"
"03 - Financeiro","1","03 - Financeiro","7","9","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro"
"04 - Imóveis","1","04 - Imóveis","2","7","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis"
"05 - Jurídico e trabalho","1","05 - Jurídico e trabalho","33","11","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho"
"06 - Estudos, concursos e leitura","1","06 - Estudos, concursos e leitura","10","8","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura"
"07 - Viagens","1","07 - Viagens","3","1","C:\Users\mauri\OneDrive\Documentos\07 - Viagens"
"08 - Veículos","1","08 - Veículos","2","3","C:\Users\mauri\OneDrive\Documentos\08 - Veículos"
"09 - Família, religião e mensagens","1","09 - Família, religião e mensagens","5","7","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens"
"10 - Tecnologia e dispositivos","1","10 - Tecnologia e dispositivos","22","7","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos"
"11 - Diversos (a revisar)","1","11 - Diversos (a revisar)","11","1","C:\Users\mauri\OneDrive\Documentos\11 - Diversos (a revisar)"
"Arquivos do Outlook","1","Arquivos do Outlook","2","0","C:\Users\mauri\OneDrive\Documentos\Arquivos do Outlook"
"NFe e outros","1","NFe e outros","0","0","C:\Users\mauri\OneDrive\Documentos\NFe e outros"
"01 - Pessoal e identidade\OAB","2","01 - Pessoal e identidade","22","0","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\OAB"
"02 - Saúde\CIRURGIA","2","02 - Saúde","10","1","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\CIRURGIA"
"02 - Saúde\DENTISTA","2","02 - Saúde","20","1","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\DENTISTA"
"02 - Saúde\FITNESS","2","02 - Saúde","1","4","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\FITNESS"
"02 - Saúde\OFTALMO","2","02 - Saúde","8","0","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\OFTALMO"
"02 - Saúde\REEMBOLSO","2","02 - Saúde","20","0","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\REEMBOLSO"
"02 - Saúde\CIRURGIA\Estudos médicos","3","02 - Saúde","6","0","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\CIRURGIA\Estudos médicos"
"02 - Saúde\DENTISTA\Mensalidades","3","02 - Saúde","33","0","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\DENTISTA\Mensalidades"
"02 - Saúde\FITNESS\BIOIMPEDÂNCIA","3","02 - Saúde","11","0","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\FITNESS\BIOIMPEDÂNCIA"
"02 - Saúde\FITNESS\DIETAS","3","02 - Saúde","8","0","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\FITNESS\DIETAS"
"02 - Saúde\FITNESS\EXAMES","3","02 - Saúde","6","0","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\FITNESS\EXAMES"
"02 - Saúde\FITNESS\REMÉDIOS MANIPULADOS","3","02 - Saúde","14","0","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\FITNESS\REMÉDIOS MANIPULADOS"
"03 - Financeiro\BRB","2","03 - Financeiro","28","3","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\BRB"
"03 - Financeiro\CEF","2","03 - Financeiro","4","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CEF"
"03 - Financeiro\CONSÓRCIO","2","03 - Financeiro","0","2","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONSÓRCIO"
"03 - Financeiro\CONTAS","2","03 - Financeiro","25","5","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS"
"03 - Financeiro\IRPF","2","03 - Financeiro","0","3","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF"
"03 - Financeiro\MOBILLS","2","03 - Financeiro","2","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\MOBILLS"
