"ID","Origem"
"1","C:\Users\mauri\HD_Mau\(-VISI~1.DOC"
"2","C:\Users\mauri\HD_Mau\(10) Procurações.pdf"
"3","C:\Users\mauri\HD_Mau\(2) CMAI e CRRR - WUEBERSON DE SOUZA DOS SANTOS (2).doc"
"4","C:\Users\mauri\HD_Mau\(2)Andreivison Mendes 0317.09.111820-6 Denc 306 e 309 CTB.doc"
"5","C:\Users\mauri\HD_Mau\(9) Retificação de registro de óbito.pdf"
"6","C:\Users\mauri\HD_Mau\(E-mail) Relatório simplificado de atividades - 60 dias de gestão - Thiago Fini Kanashiro.pdf"
"7","C:\Users\mauri\HD_Mau\(E-mail) Repositório de dados eleitorais - resultados 2018.pdf"
"8","C:\Users\mauri\HD_Mau\(e-mail) UnB.pdf"
"9","C:\Users\mauri\HD_Mau\(JOTA) Honorários advocatícios e as alterações na lei eleitoral.pdf"
"10","C:\Users\mauri\HD_Mau\(Livro) - CASTRO, Leandro Nunes de; FERRARI, Daniel Gomes - Introdução à mineração de dados.pdf"
"11","C:\Users\mauri\HD_Mau\(Modelo) - ESTUDO ESCRITO DE PAUTA.docx"
"12","C:\Users\mauri\HD_Mau\(Modelo) Coexistência de filiação partidária.docx"
"13","C:\Users\mauri\HD_Mau\(Modelo) ED recebido como AgR (AI 64-05 - GO).docx"
"14","C:\Users\mauri\HD_Mau\(Modelo) Memória de reunião.docx"
"15","C:\Users\mauri\HD_Mau\(Modelo) Parágrafos GabLRB.docx"
"16","C:\Users\mauri\HD_Mau\(Modelo) Relatório de Atividades individual.docx"
"17","C:\Users\mauri\HD_Mau\(Modelos) Dra. Cristina.docx"
"18","C:\Users\mauri\HD_Mau\(Nota Informativa) COVID.pdf"
"19","C:\Users\mauri\HD_Mau\(O GLOBO) - Mulheres sem espaço na política.pdf"
"20","C:\Users\mauri\HD_Mau\(Ok) Alterações legislativas no CP e no CPP.pdf"
"21","C:\Users\mauri\HD_Mau\(Ok) Apresentação - Lei Maria da Penha.pdf"
"22","C:\Users\mauri\HD_Mau\(Ok) Ato infracional, medidas socioeducativas, remissão e medidas contra pais e responsáveis.pdf"
"23","C:\Users\mauri\HD_Mau\(Ok) Crimes de Lavagem.pdf"
"24","C:\Users\mauri\HD_Mau\(Ok) Crimes de trânsito.pdf"
"25","C:\Users\mauri\HD_Mau\(Ok) Crimes Licitatórios (parte 1).pdf"
"26","C:\Users\mauri\HD_Mau\(Ok) Crimes Licitatórios (parte 2).pdf"
"27","C:\Users\mauri\HD_Mau\(Ok) Direito Administrativo - Atos Administrativos.pdf"
"28","C:\Users\mauri\HD_Mau\(Ok) Direito Ambiental - O meio ambiente na CF-88.pdf"
"29","C:\Users\mauri\HD_Mau\(Ok) Direito Civil - Casamento, regime de bens e dissolução. União Estável.pdf"
"30","C:\Users\mauri\HD_Mau\(Ok) Direito Civil - Introdução ao Direito de Família.pdf"
"31","C:\Users\mauri\HD_Mau\(Ok) Direito Civil - Pessoa Natural.pdf"
"32","C:\Users\mauri\HD_Mau\(Ok) Direito Civil - Responsabilidade civil.pdf"
"33","C:\Users\mauri\HD_Mau\(Ok) Direito Constitucional - Controle de Constitucionalidade.pdf"
"34","C:\Users\mauri\HD_Mau\(Ok) Direito da Criança e do Adolescente - Família substituta.pdf"
"35","C:\Users\mauri\HD_Mau\(Ok) Direito do Consumidor - Defesa do consumidor em ju¡zo.pdf"
"36","C:\Users\mauri\HD_Mau\(Ok) Direito do Consumidor - Disposições gerais.pdf"
"37","C:\Users\mauri\HD_Mau\(Ok) Direito do Consumidor - Prescrição e decadência.pdf"
"38","C:\Users\mauri\HD_Mau\(Ok) Direito do Consumidor - Práticas comerciais.pdf"
"39","C:\Users\mauri\HD_Mau\(Ok) Direito Eleitoral - Condições de elegibilidade e causas de inelegibilidade.pdf"
"40","C:\Users\mauri\HD_Mau\(Ok) Direito Eleitoral - Crimes eleitorais e processo penal eleitoral.pdf"
"41","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Aplicação das penas.pdf"
"42","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Crimes contra o patrimônio.pdf"
"43","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Crimes funcionais.pdf"
"44","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Culpabilidade.pdf"
"45","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Derrubada de vetos do pacote anticrime.pdf"
"46","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Fato típico.pdf"
"47","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Ilicitude.pdf"
"48","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Introdução, fontes e aplicação da lei penal.pdf"
"49","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Lei Maria da Penha.pdf"
"50","C:\Users\mauri\HD_Mau\(Ok) Direito Penal - Punibilidade.pdf"
"51","C:\Users\mauri\HD_Mau\(Ok) Direito Penal Militar - Crimes contra a pessoa.pdf"
"52","C:\Users\mauri\HD_Mau\(Ok) Direito Penal Militar - Crimes contra o patrimônio.pdf"
"53","C:\Users\mauri\HD_Mau\(Ok) Direito Processo Penal - Jurisdição e competência.pdf"
"54","C:\Users\mauri\HD_Mau\(Ok) Direito Processual Civil - Atos processuais e vícios dos atos processuais.pdf"
"55","C:\Users\mauri\HD_Mau\(Ok) Direito Processual Civil - Normas, Principios Fundamentais do Processo Civil.pdf"
"56","C:\Users\mauri\HD_Mau\(Ok) Direito Processual Penal - Ação Penal.pdf"
"57","C:\Users\mauri\HD_Mau\(Ok) Direito Processual Penal - Inquérito.pdf"
"58","C:\Users\mauri\HD_Mau\(Ok) Direito Processual Penal - Noções introdutórias de Processo Penal.pdf"
"59","C:\Users\mauri\HD_Mau\(Ok) Direito Processual Penal - Prisões e liberdade provisória.pdf"
"60","C:\Users\mauri\HD_Mau\(Ok) Direito Processual Penal - Provas em espécie.pdf"
"61","C:\Users\mauri\HD_Mau\(Ok) Direitos Coletivos - Ação civil pública, Inquérito Civil e TAC.pdf"
"62","C:\Users\mauri\HD_Mau\(Ok) Direitos Coletivos - Tutela coletiva em juízo.pdf"
"63","C:\Users\mauri\HD_Mau\(Ok) Interceptação telefônica.pdf"
"64","C:\Users\mauri\HD_Mau\(Ok) Juizados Especiais.pdf"
"65","C:\Users\mauri\HD_Mau\(Ok) Lei de Drogas.pdf"
"66","C:\Users\mauri\HD_Mau\(Ok) Lei de Drogras (atualização).pdf"
"67","C:\Users\mauri\HD_Mau\(Ok) Lei dos Crimes Hediondos.pdf"
"68","C:\Users\mauri\HD_Mau\(Ok) Metas da semana 1.pdf"
"69","C:\Users\mauri\HD_Mau\(Ok) Metas da semana 2.pdf"
"70","C:\Users\mauri\HD_Mau\(Ok) Metas da semana 3.pdf"
"71","C:\Users\mauri\HD_Mau\(Ok) Organização criminosa.pdf"
"72","C:\Users\mauri\HD_Mau\(Ok) Processo Penal Militar - Ação Penal Militar.pdf"
"73","C:\Users\mauri\HD_Mau\(Ok) Processo Penal Militar - Competência da Justiça Militar.pdf"
"74","C:\Users\mauri\HD_Mau\(Ok) Processo Penal Militar - Inquérito Policial Militar.pdf"
"75","C:\Users\mauri\HD_Mau\(Ok) Tribunal do júri.pdf"
"76","C:\Users\mauri\HD_Mau\(Ok) Tutela penal e processual penal do meio ambiente.pdf"
"77","C:\Users\mauri\HD_Mau\(Palestra) Prof. Miguel Calmon Dantas - Judicialização eleitoral.docx"
"78","C:\Users\mauri\HD_Mau\(Palestra) Prof. Ruy Samuel Espíndola - justiça eleitoral contramajoritária e soberania popular.docx"
"79","C:\Users\mauri\HD_Mau\(Resenha 1) POGREBINSCHI, Thamy - Judicialização ou representação - política direito e democracia no Brasil.pdf"
"80","C:\Users\mauri\HD_Mau\(Resenha 2) POGREBINSCHI, Thamy - Judicialização ou representação - política direito e democracia no Brasil.pdf"
"81","C:\Users\mauri\HD_Mau\(Resumo) TASSINARI, Clarissa - A supremacia judicial consentida - STF a partir da relação direito e política.docx"
"82","C:\Users\mauri\HD_Mau\(Trecho) HUME, Robert - judges as policymakers.docx"
