"NomeBase","Count","Itens"
"saved_resource","8","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\saved_resource(1).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\saved_resource.html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\saved_resource(1).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\saved_resource.html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\saved_resource(1).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\saved_resource.html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\saved_resource(1).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\saved_resource.html"
"bootstrap.min.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\bootstrap.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\bootstrap.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\bootstrap.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\bootstrap.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\bootstrap.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\bootstrap.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\bootstrap.min.js.download"
"owl.carousel.min.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\owl.carousel.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\owl.carousel.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\owl.carousel.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\owl.carousel.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\owl.carousel.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\owl.carousel.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\owl.carousel.min.js.download"
"default.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\default.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\default.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\default.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\default.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\default.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\default.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\default.js.download"
"rybena.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\rybena.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\rybena.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\rybena.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\rybena.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\rybena.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\rybena.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\rybena.js.download"
"additional-methods.min.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\additional-methods.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\additional-methods.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\additional-methods.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\additional-methods.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\additional-methods.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\additional-methods.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\additional-methods.min.js.download"
"popper.min.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\popper.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\popper.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\popper.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\popper.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\popper.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\popper.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\popper.min.js.download"
"recaptcha__pt_br.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\recaptcha__pt_br.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\recaptcha__pt_br.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\recaptcha__pt_br.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\recaptcha__pt_br.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\recaptcha__pt_br.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\recaptcha__pt_br.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\recaptcha__pt_br.js.download"
"jquery.fancybox.min.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\jquery.fancybox.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\jquery.fancybox.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\jquery.fancybox.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\jquery.fancybox.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\jquery.fancybox.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\jquery.fancybox.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\jquery.fancybox.min.js.download"
"gijgo.min.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\gijgo.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\gijgo.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\gijgo.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\gijgo.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\gijgo.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\gijgo.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\gijgo.min.js.download"
