apagar,campeao,dham,res_apagar,res_campeao,regra
D:\MÍDIA\2022\2022-06\2022-06-30 08.29.41 [a46e457e].jpg,D:\MÍDIA\2022\2022-06\2022-06-30 08.29.41 [394c2f4f].jpg,1,1112x834,4000x3000,R1_derivada
D:\MÍDIA\2022\2022-06\2022-06-30 08.29.48 [87d6f784].jpg,D:\MÍDIA\2022\2022-06\2022-06-30 08.29.48 [f93cac55].jpg,2,1235x926,4000x3000,R1_derivada
D:\MÍDIA\2022\2022-06\2022-06-30 08.29.53 [8c75a373].jpg,D:\MÍDIA\2022\2022-06\2022-06-30 08.29.53 [75fa3be5].jpg,2,1135x851,4000x3000,R1_derivada
D:\MÍDIA\2023\2023-01\2023-01-17 21.32.36 [39c49c4a].jpg,D:\MÍDIA\2023\2023-01\2023-01-17 21.32.36 [7a26fcfa].jpg,1,1748x1311,4000x3000,R1_derivada
D:\MÍDIA\2023\2023-01\2023-01-17 21.33.02 [435b549c].jpg,D:\MÍDIA\2023\2023-01\2023-01-17 21.33.02 [6bbdd542].jpg,1,1551x1163,4000x3000,R1_derivada
D:\MÍDIA\2019\2019-06\2019-06-17 [c5a51391].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 20.36.10 [4f5d38dc].jpg,2,1280x622,4032x1960,R1_derivada
D:\MÍDIA\2019\2019-06\2019-06-17 [04a60bdf].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 20.36.12 [2934bea3].jpg,1,1280x622,4032x1960,R1_derivada
D:\MÍDIA\2019\2019-06\2019-06-17 [da108ba6].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 23.58.38 [bde677b1].jpg,1,1280x622,4032x1960,R1_derivada
D:\MÍDIA\2019\2019-06\2019-06-17 [feef430c].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 23.58.38 [bde677b1].jpg,3,1280x622,4032x1960,R1_derivada
D:\MÍDIA\2021\2021-01\2021-01-15 [6c31ee4a].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 13.48.46 [0919a8d5].jpg,1,1024x768,4000x3000,R1_derivada
D:\MÍDIA\2021\2021-01\2021-01-15 [2ed67e38].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 13.49.22 [0255ebbb].jpg,1,1024x768,4000x3000,R1_derivada
D:\MÍDIA\2021\2021-01\2021-01-15 [8dbe866d].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 13.49.23 [65e964c9].jpg,1,1024x683,4000x2667,R1_derivada
D:\MÍDIA\2023\2023-06\2023-06-01 [be8762b6].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 12.27.59 [a010857a].jpg,1,1080x1399,3000x4000,R1_derivada
D:\MÍDIA\2021\2021-01\2021-01-15 13.58.24 [35820ef0].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 13.58.24 [82d73930].jpg,1,4000x2667,4000x2667,R2_recompressao
D:\MÍDIA\2021\2021-01\2021-01-15 [2fea9cb5].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 12.51.42 [cbdbd226].jpg,1,768x1024,3000x4000,R1_derivada
D:\MÍDIA\2022\2022-04\2022-04-22 20.22.39 [fd6488f3].jpg,D:\MÍDIA\2022\2022-04\2022-04-22 20.22.39 [e3ef106c].jpg,1,4000x3000,4000x3000,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-24 14.53.14 [cc61ccf6].jpg,D:\MÍDIA\2022\2022-04\2022-04-24 14.53.14 [27e21dd8].jpg,1,4000x3000,4000x3000,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-24 14.53.22 [66bd4f44].jpg,D:\MÍDIA\2022\2022-04\2022-04-24 14.53.22 [f7bc30a5].jpg,1,4000x3000,4000x3000,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-29 23.33.58 [3a03c817].jpg,D:\MÍDIA\2022\2022-04\2022-04-29 23.33.58 [89a8233c].jpg,1,4000x3000,4000x3000,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-30 17.00.21 [99bb147a].jpg,D:\MÍDIA\2022\2022-04\2022-04-30 17.00.21 [27c50e27].jpg,1,4000x3000,4000x3000,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-30 17.02.07 [0fb744a5].jpg,D:\MÍDIA\2022\2022-04\2022-04-30 17.02.07 [91718b83].jpg,1,4000x3000,4000x3000,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-30 17.19.20 [8629d877].jpg,D:\MÍDIA\2022\2022-04\2022-04-30 17.19.20 [66bb1737].jpg,1,4000x3000,4000x3000,R2_recompressao
D:\MÍDIA\2022\2022-05\2022-05-29 16.56.55 [11a1c3c2].jpg,D:\MÍDIA\2022\2022-05\2022-05-29 16.56.55 [a6d49229].jpg,1,1593x1195,4000x3000,R1_derivada
D:\MÍDIA\2022\2022-05\2022-05-29 16.57.42 [de211e44].jpg,D:\MÍDIA\2022\2022-05\2022-05-29 16.57.42 [bcaa5f50].jpg,1,2077x1557,4000x3000,R1_derivada
