manter_a,manter_b,dham,res_a,res_b,motivo
D:\MÍDIA\2019\2019-06\2019-06-14 21.38.02 [25b82671].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 21.37.57 [1a3d258f].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-14 21.38.48 [60b9dd59].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 21.38.50 [a5f4a226].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-14 23.58.36 [14d628bb].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 23.58.38 [bde677b1].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 13.53.07 [c0d988d4].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 13.53.07 [ba1666bd].jpg,2,4000x2667,4000x2667,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 14.02.01 [4b737888].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 14.02.01 [cefe35ba].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 14.32.21 [c4c52dbf].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 14.32.21 [19fe3de8].jpg,2,4000x2667,4000x2667,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 14.43.15 [46aa5976].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 14.43.15 [6597de19].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 12.52.10 [a5a946ce].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 12.52.10 [0f34d079].jpg,2,3000x4000,3000x4000,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-22 23.36.34 [36cf4922].jpg,D:\MÍDIA\2022\2022-04\2022-04-22 23.36.34 [a4c3c3a8].jpg,2,3648x2736,3648x2736,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-22 23.37.28 [ccc36e22].jpg,D:\MÍDIA\2022\2022-04\2022-04-22 23.37.34 [4638c0d6].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-24 15.08.10 [94ada544].jpg,D:\MÍDIA\2022\2022-04\2022-04-24 15.08.10 [fede9aa9].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-29 14.06.42 [a702a234].jpg,D:\MÍDIA\2022\2022-04\2022-04-29 14.06.39 [0c6b9ed1].jpg,4,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-29 14.06.41 [3772bdfb].jpg,D:\MÍDIA\2022\2022-04\2022-04-29 14.06.39 [0c6b9ed1].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-01 14.14.38 [8174e97c].jpg,D:\MÍDIA\2022\2022-05\2022-05-01 14.14.37 [671c99b7].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-02 14.25.00 [bf7235df].jpg,D:\MÍDIA\2022\2022-05\2022-05-02 14.24.59 [5d76b649].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-02 14.25.12 [bd29f856].jpg,D:\MÍDIA\2022\2022-05\2022-05-02 14.25.13 [3c1fa3b5].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-02 14.25.17 [5ae8b247].jpg,D:\MÍDIA\2022\2022-05\2022-05-02 14.25.18 [71237c18].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-02 14.33.57 [31989d25].jpg,D:\MÍDIA\2022\2022-05\2022-05-02 14.33.56 [6c3ecec5].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-04 10.17.41 [2bcfff8b].jpg,D:\MÍDIA\2022\2022-05\2022-05-04 10.17.42 [150ef127].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-10 06.18.12 [a58806d3].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,0,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-10 06.18.14 [8f3c0a9a].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,0,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2024\2024-03\2024-03-17 22.07.01 [598ba90f].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,1,4000x3000,4032x3024,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-04 14.03.29 [a58fcaab].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,0,4000x3000,4032x3024,rajada/incerto
