"Count","Name"
"115","AGEL"
"82","TEMAS SELECIONADOS"
"38","LEGISLAÇÃO TOTAL"
"30","CONSULTAS POPULARES"
"28","13.23%"
"18","NOTION"
"16","Imagens"
"15","NOVO CÓDIGO ELEITORAL"
"10","Planilha gerencial SEGJUR"
"8","Planilhas XLS"
"8","RESOLUÇÕES (Covid-19)"
"8","LICENÇA CAPACITAÇÃO"
"8","Arquivos de Chat do Microsoft Teams"
"7","ATESTADOS"
"5","Área de Trabalho"
"5","tura"
"2","Reuniões"
"1","Petição 14.129_DF.pdf"
"1","Revista Estudos Eleitorais vol. 18 nº 1 - jan jun 2024 (TSE).pdf"
"1","Servidores em teletrabalho.xls"
"1","Instruções de uso Notion - revisão de questões.docx"
"1","Revista Estudos Eleitorais nº 18 - Escola Judiciária Eleitoral.pdf"
"1","Anotações de telefones e contatos - TSE.pdf"
"1","Resolução 23513 - criação AGEL.pdf"
"1","Estatutos dos partidos políticos - ADI 6230-DF (Lei 13.831-2019) - 2022.docx"
"1","MAC_PC_TSE.txt"
"1","Matéria processual - cabimento de ação rescisória - TSE - atualizado 2025-04-24.txt"
"1","Arquivos de Chat do Microsoft Copilot"
"1","Decisoes1932_1937_com correção 9999.xlsx"
"1","Diogo (Tecnologia TSE).txt"
"1","Postos de trabalho - teletrabalho e híbrido (CEDIP, COGED, CEBLEM, COJULEG) - TSE.docx"
"1","Reforma Administrativa - versão final.pdf"
"1","Relatório Projeto Boletins Eleitorais - resgate de dados históricos (TSE).docx"
"1","Matéria_processual_converter em checkpoint e continuar.csv"
"1","Painel Gerencial SEGJUR.xlsx"
"1","PEC Reforma Administrativa - Dep. Pedro Paulo - FINAL - 2025.pdf"
