path_original,origem_atual,destino_novo,categoria,conf
D:\Camera Roll\Anteriores a 2022\IMG-20201113-WA0002.jpg,D:\MÍDIA\0000 SEM DATA\DIVERSOS\Fotos antigas (scans)\2020-11-13 [f6d25f68].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-11-13 [f6d25f68].jpg,meme_web,0.86
C:\Users\mauri\OneDrive\Imagens\Imagens da Câmera\2026\02\IMG-20260215-WA0004.jpg,D:\MÍDIA\2026\2026-02\2026-02-15 [eb52e9f2].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2026-02-15 [eb52e9f2].jpg,tv_gravacao,0.99
C:\Users\mauri\OneDrive\Imagens\Imagens da Câmera\2026\02\IMG-20260227-WA0011.jpg,D:\MÍDIA\2026\2026-02\2026-02-27 [2bc7ef98].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2026-02-27 [2bc7ef98].jpg,meme_web,0.99
C:\Users\mauri\OneDrive\Imagens\Imagens da Câmera\2026\03\IMG-20260326-WA0013.jpg,D:\MÍDIA\2026\2026-03\2026-03-26 [183e7880].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2026-03-26 [183e7880].jpg,meme_web,0.98
C:\Users\mauri\OneDrive\Imagens\Imagens da Câmera\2026\04\IMG-20260413-WA0004.jpg,D:\MÍDIA\2026\2026-04\2026-04-13 [1042f939].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2026-04-13 [1042f939].jpg,documento_trivial,0.98
C:\Users\mauri\OneDrive\Imagens\Imagens da Câmera\2026\04\IMG-20260413-WA0005.jpg,D:\MÍDIA\2026\2026-04\2026-04-13 [cc13f7bc].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2026-04-13 [cc13f7bc].jpg,documento_trivial,0.99
C:\Users\mauri\OneDrive\Imagens\Imagens da Câmera\2026\04\IMG-20260428-WA0010.jpg,D:\MÍDIA\2026\2026-04\2026-04-28 [3dc1a897].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2026-04-28 [3dc1a897].jpg,meme_web,0.86
C:\Users\mauri\OneDrive\Imagens\Imagens da Câmera\2026\05\IMG-20260517-WA0014.jpg,D:\MÍDIA\2026\2026-05\2026-05-17 [5707fa6c].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2026-05-17 [5707fa6c].jpg,tela,0.99
C:\Users\mauri\OneDrive\Imagens\Imagens da Câmera\2026\06\IMG-20260601-WA0000.jpg,D:\MÍDIA\2026\2026-06\2026-06-01 [bf8f81f6].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2026-06-01 [bf8f81f6].jpg,tela,1.0
D:\Banco Onedrive_fotos_consertado_16_9_2024\Imagens da Câmera\2023\12\20231224_194350.jpg,D:\MÍDIA\2023\2023-12\2023-12-24 19.43.50 [ddf08e22].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2023-12-24 19.43.50 [ddf08e22].jpg,tv_gravacao,0.88
D:\Banco Onedrive_fotos_consertado_16_9_2024\Imagens da Câmera\2023\12\20231224_194512.jpg,D:\MÍDIA\2023\2023-12\2023-12-24 19.45.12 [e06dd0e2].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2023-12-24 19.45.12 [e06dd0e2].jpg,tv_gravacao,0.82
D:\Banco Onedrive_fotos_consertado_16_9_2024\Imagens da Câmera\2023\12\20231224_194518.jpg,D:\MÍDIA\2023\2023-12\2023-12-24 19.45.18 [8aa27808].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2023-12-24 19.45.18 [8aa27808].jpg,tv_gravacao,0.82
D:\Banco Onedrive_fotos_consertado_16_9_2024\Imagens da Câmera\2024\07\IMG-20240722-WA0001.jpg,D:\MÍDIA\2024\2024-07\2024-07-22 [c3d0b95c].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2024-07-22 [c3d0b95c].jpg,tela,0.99
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\1391356958635.jpg,D:\MÍDIA\2014\2014-02\2014-02-02 13.02.38 [c6b250d2].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2014-02-02 13.02.38 [c6b250d2].jpg,meme_web,0.97
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\1490458347088.jpg,D:\MÍDIA\2017\2017-03\2017-03-25 13.12.27 [cee823aa].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2017-03-25 13.12.27 [cee823aa].jpg,tela,0.98
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20161202-WA0077.jpg,D:\MÍDIA\2016\2016-12\2016-12-02 [24d20593].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2016-12-02 [24d20593].jpg,documento_trivial,0.78
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20181030-WA0015.jpg,D:\MÍDIA\2018\2018-10\2018-10-30 [ca9317a5].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2018-10-30 [ca9317a5].jpg,tela,0.9
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20181030-WA0017.jpg,D:\MÍDIA\2018\2018-10\2018-10-30 [4b15ecd9].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2018-10-30 [4b15ecd9].jpg,tela,0.88
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20181030-WA0018.jpg,D:\MÍDIA\2018\2018-10\2018-10-30 [b1b7cbc6].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2018-10-30 [b1b7cbc6].jpg,tela,0.99
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20181030-WA0019.jpg,D:\MÍDIA\2018\2018-10\2018-10-30 [7e207e8c].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2018-10-30 [7e207e8c].jpg,tela,0.99
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20181030-WA0021.jpg,D:\MÍDIA\2018\2018-10\2018-10-30 [b98f0023].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2018-10-30 [b98f0023].jpg,tela,0.86
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20190110-WA0016.jpg,D:\MÍDIA\2019\2019-01\2019-01-10 [60ab29cf].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2019-01-10 [60ab29cf].jpg,tela,0.94
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20210115-WA0040.jpg,D:\MÍDIA\2021\2021-01\2021-01-15 [77ba9db2].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2021-01-15 [77ba9db2].jpg,tela,0.99
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20210917-WA0009.jpg,D:\MÍDIA\2021\2021-09\2021-09-17 [bbf5d3c0].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2021-09-17 [bbf5d3c0].jpg,meme_web,0.93
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20220530-WA0011.jpg,D:\MÍDIA\2022\2022-05\2022-05-30 [db22702a].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2022-05-30 [db22702a].jpg,tela,0.98
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20231230-WA0003.jpg,D:\MÍDIA\2023\2023-12\2023-12-30 [b1c33b2f].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2023-12-30 [b1c33b2f].jpg,meme_web,0.82
D:\Banco Onedrive_fotos_consertado_16_9_2024\Onedrive_sem_data\IMG-20240802-WA0005.jpg,D:\MÍDIA\2024\2024-08\2024-08-02 [78b0b8ca].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2024-08-02 [78b0b8ca].jpg,tv_gravacao,1.0
D:\Banco Onedrive_fotos_consertado_16_9_2024\Photos\20221207_154737.jpg,D:\MÍDIA\2022\2022-12\2022-12-07 15.47.37 [e0f55c3a].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2022-12-07 15.47.37 [e0f55c3a].jpg,tv_gravacao,0.99
D:\Banco Onedrive_fotos_consertado_16_9_2024\Photos\20240320_110320.jpg,D:\MÍDIA\2024\2024-03\2024-03-20 11.03.20 [7026873d].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2024-03-20 11.03.20 [7026873d].jpg,tv_gravacao,1.0
D:\Banco Onedrive_fotos_consertado_16_9_2024\Photos\20240510_111213.jpg,D:\MÍDIA\2024\2024-05\2024-05-10 11.12.13 [d8e4d7dc].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2024-05-10 11.12.13 [d8e4d7dc].jpg,documento_trivial,0.62
D:\Banco Onedrive_fotos_consertado_16_9_2024\Photos\20240510_111300.jpg,D:\MÍDIA\2024\2024-05\2024-05-10 11.13.00 [72f55ecf].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2024-05-10 11.13.00 [72f55ecf].jpg,documento_trivial,0.64
D:\Banco Onedrive_fotos_consertado_16_9_2024\Photos\CAM00713(1).jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.36 [35b5dc21].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2015-05-03 19.55.36 [35b5dc21].jpg,tv_gravacao,0.95
D:\Banco Onedrive_fotos_consertado_16_9_2024\Photos\CAM00715(1).jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.55 [9f94bdc5].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2015-05-03 19.55.55 [9f94bdc5].jpg,tv_gravacao,0.96
D:\Banco Onedrive_fotos_consertado_16_9_2024\Photos\DSC09863.JPG,D:\MÍDIA\2011\2011-09\2011-09-22 17.46.16 [b35ef726].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2011-09-22 17.46.16 [b35ef726].jpg,tv_gravacao,0.97
