origem_atual,destino_novo,album_origem,fonte
D:\MÍDIA\2006\2006-00\2006 [1318ad6d].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Fotos do Orkut\2006 [1318ad6d].jpg,Fotos do Orkut,catalogo
D:\MÍDIA\2006\2006-00\2006 [3d68f62d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2006\2006 [3d68f62d].jpg,Formatura do Maurício,catalogo
D:\MÍDIA\2006\2006-00\2006 [8d2535ee].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2006\2006 [8d2535ee].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2006\2006-00\2006 [9c3d63ce].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2006\2006 [9c3d63ce].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2006\2006-00\2006 [9fc93802].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2006\2006 [9fc93802].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2006\2006-00\2006 [bbcbad46].bmp,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2006\2006 [bbcbad46].bmp,Campo Grande 2006,catalogo
D:\MÍDIA\2007\2007-00\2007 [0c2b690c].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Celular Mário\2007 [0c2b690c].jpg,Celular Mário,catalogo
D:\MÍDIA\2007\2007-00\2007 [0d33c4ac].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Fotos do Orkut\2007 [0d33c4ac].jpg,Fotos do Orkut,catalogo
D:\MÍDIA\2007\2007-00\2007 [100458db].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [100458db].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2007\2007-00\2007 [11fea75b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [11fea75b].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2007\2007-00\2007 [252d395e].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [252d395e].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2007\2007-00\2007 [2844e59b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [2844e59b].jpg,Diversas,catalogo
D:\MÍDIA\2007\2007-00\2007 [2ef44f94].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [2ef44f94].jpg,Diversas,catalogo
D:\MÍDIA\2007\2007-00\2007 [3ceb2cbd].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2007 [3ceb2cbd].jpg,A galera,catalogo
D:\MÍDIA\2007\2007-00\2007 [44d7bd17].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [44d7bd17].jpg,Diversas,catalogo
D:\MÍDIA\2007\2007-00\2007 [49dcea99].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Fotos do Orkut\2007 [49dcea99].jpg,Fotos do Orkut,catalogo
D:\MÍDIA\2007\2007-00\2007 [557ac3a6].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Fotos do Orkut\2007 [557ac3a6].jpg,Fotos do Orkut,catalogo
D:\MÍDIA\2007\2007-00\2007 [55eff82b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [55eff82b].jpg,Photos from 2007,catalogo
D:\MÍDIA\2007\2007-00\2007 [677cbb1b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [677cbb1b].jpg,Eu +,catalogo
D:\MÍDIA\2007\2007-00\2007 [6ee82262].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [6ee82262].jpg,Fotos minhas,catalogo
D:\MÍDIA\2007\2007-00\2007 [77511afb].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [77511afb].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2007\2007-00\2007 [79b14a5d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [79b14a5d].jpg,Fotos minhas,catalogo
