pasta,grupo,n_arquivos
00_Diversas,FOTOS AVULSAS,2
13.23%,MANTER,0
30 anos EsPCEx,EVENTOS,1
A galera,PESSOAS E ALBUNS,6
AFT,TRABALHO E ESTUDOS,0
Anteriores a 2022,FOTOS AVULSAS,48
Apresentação SIADE,TRABALHO E ESTUDOS,1
Baile da Base Aérea CG,EVENTOS,1
Banco Onedrive_fotos_consertado_16_9_2024,FOTOS AVULSAS,33
Bodas de Ouro,EVENTOS,5
Capturas de tela,MANTER,0
CARROS FINAL,FOTOS AVULSAS,2
Casamento,EVENTOS,2
Casamento da Paula,EVENTOS,1
Casamento do Maurício,EVENTOS,0
Certidão Óbito - Retificação,TRABALHO E ESTUDOS,0
CIRURGIA,PESSOAS E ALBUNS,2
Cobalt,FOTOS AVULSAS,0
Colação,EVENTOS,7
Colação de Grau,EVENTOS,3
Currículo,TRABALHO E ESTUDOS,8
Despedida Cel Mario Augusto,EVENTOS,3
Despedida do Matheus,EVENTOS,1
Despedida do Matheus_Confins,EVENTOS,2
Diversas,FOTOS AVULSAS,3
DIVERSOS CARTÓRIO,TRABALHO E ESTUDOS,0
Documentos,MANTER,1762
DOCUMENTOS FINAL,Documentos,1
EsPCEx - Entrada do Maurício,EVENTOS,1
EXAMES,MANTER,0
Exports,FOTOS AVULSAS,6
Extração JPEG (HD mário),PESSOAS E ALBUNS,0
Família - Diversas,PESSOAS E ALBUNS,14
Formatura da Estela_01,EVENTOS,15
Fotos 3X4,PESSOAS E ALBUNS,1
Fotos do Orkut,PESSOAS E ALBUNS,9
Fotos Extras,PESSOAS E ALBUNS,261
Fotos minhas,PESSOAS E ALBUNS,3
Galaxy S8+,PESSOAS E ALBUNS,47
Gen Duarte,PESSOAS E ALBUNS,3
HD EXTERNO Mário,PESSOAS E ALBUNS,0
ICONE,FOTOS AVULSAS,5
Jun 23 12_RJ_BH,EVENTOS,1
Marcos - Set 01 19,PESSOAS E ALBUNS,5
MATERIAIS DE REVISÃO,TRABALHO E ESTUDOS,3
Mário Augusto,PESSOAS E ALBUNS,0
MÁRIO DIVERSOS FINAL,PESSOAS E ALBUNS,1
NOTION_imagens,TRABALHO E ESTUDOS,11
Outras,FOTOS AVULSAS,0
Pico da Bandeira,EVENTOS,6
PRECATORIOS,TRABALHO E ESTUDOS,0
Processo LE,TRABALHO E ESTUDOS,0
Prova USP_058,TRABALHO E ESTUDOS,0
Reforma,EVENTOS,5
RP 060055760,TRABALHO E ESTUDOS,1
RP 060084690,TRABALHO E ESTUDOS,1
RP 0600850-30,TRABALHO E ESTUDOS,7
RP 060085297,TRABALHO E ESTUDOS,2
RP 060090748,TRABALHO E ESTUDOS,3
RP 060092047,TRABALHO E ESTUDOS,1
RP 060092132,TRABALHO E ESTUDOS,1
RP 060114907,TRABALHO E ESTUDOS,11
RP 060138641 - Canibal,TRABALHO E ESTUDOS,1
RP 060166272,TRABALHO E ESTUDOS,2
s2,FOTOS AVULSAS,0
Sample Music,VIDEOS,0
Sample Videos,VIDEOS,1
Solenidade na OAB,EVENTOS,4
TELAS,MANTER,3746
TERMO DE REFERÊNCIA,TRABALHO E ESTUDOS,1
TOEFL,TRABALHO E ESTUDOS,1
video,VIDEOS,28
Vídeos_sem_data,VIDEOS,23
WEB,MANTER,1126
ZELO Imobiliária,TRABALHO E ESTUDOS,1
