"Ext","Count","Bytes"
".pdf","12575","14092406211"
".doc","16540","1872302905"
".zip","11","401605236"
".docx","6953","373647519"
".csv","81","306076210"
".rtf","334","196610951"
".xls","8","68799727"
".pptx","9","55968807"
".txt","1366","18027853"
".xlsx","34","17443864"
".download","149","11873871"
".mobi","2","10406796"
".epub","3","5902410"
".md","20","5601935"
".png","17","4904131"
".xlsm","1","3510139"
".css","28","2405196"
".html","27","1721057"
".jpg","3","1195187"
".htm","3","239322"
".loop","2","127856"
".py","5","65650"
".gif","1","38501"
".lnk","9","25719"
".xlsb","1","25526"
".ini","4","437"
".gdoc","1","258"
".849c9593-d756-4e56-8d6e-42412f2a707b","1","63"
