"Tipo","De","Para"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\10ª decisão - relatório VIGEP-009-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\10ª decisao - relatorio VIGEP-009-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\15ª decisão - relatório VIGEP-010-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\15ª decisao - relatorio VIGEP-010-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\26ª decisão - relatório VIGEP-017-2012 - diferencial de mercado.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\26ª decisao - relatorio VIGEP-017-2012 - diferencial de mercado.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\26ª decisão - relatório VIGEP-020-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\26ª decisao - relatorio VIGEP-020-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\29ª decisão - relatório VIGEP-021-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\29ª decisao - relatorio VIGEP-021-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\32ª decisão - relatório VIJUR-001-2011.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\32ª decisao - relatorio VIJUR-001-2011.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\32ª decisão - relatório VIJUR-002-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\32ª decisao - relatorio VIJUR-002-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\35ª decisão - comunicação VIJUR-001-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\35ª decisao - comunicacao VIJUR-001-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\35ª decisão - relatório VIGEP-022-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\35ª decisao - relatorio VIGEP-022-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\3ª decisão - relatório VIGEP-001-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\3ª decisao - relatorio VIGEP-001-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\3ª decisão - relatório VIGEP-003-2012.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\3ª decisao - relatorio VIGEP-003-2012.pdf"
"ARQ","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\44ª decisão - relatório DIGEP-050-2009.pdf","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\Administrativo\44ª decisao - relatorio DIGEP-050-2009.pdf"
