"Tipo","De","Para"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\EXAMES e POSSE","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\EXAMES e POSSE"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\NOMEAÇÃO","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\NOMEAÇÃO"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\TÍTULOS"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\AGRAVO DE INSTRUMENTO","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\AGRAVO DE INSTRUMENTO"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\APELAÇÃO","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\APELAÇÃO"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\EMBARGOS DE DECLARAÇÃO","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\EMBARGOS DE DECLARAÇÃO"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\INTERVENÇÃO","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\INTERVENÇÃO"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MANDADO DE SEGURANÇA","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\MANDADO DE SEGURANÇA"
"Dir","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MEDIDA CAUTELAR","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\MEDIDA CAUTELAR"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Agravo de Instrumento 1005929-55.2025.4.01.0000 - Ana Luísa Tarter - TRF1.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Agravo de Instrumento 1005929-55.2025.4.01.0000 - Ana Luísa Tarter - TRF1.pdf"
