"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Assinatura - Ana Lúcia.tiff","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Assinatura - Ana Lúcia.tiff"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Assinatura Maurício.tiff","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Outros documentos (do Cofre)\Assinatura Maurício.tiff"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Assinatura Mário.tiff","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Assinatura Mário.tiff"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Cadastramento de Matrícula CEI.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Outros documentos (do Cofre)\Cadastramento de Matrícula CEI.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Carteira de Identidade - JOSELITA (1).pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Carteira de Identidade - JOSELITA (1).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Carteira de Identidade - JOSELITA (2).pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Carteira de Identidade - JOSELITA (2).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Carteira de identidade - MÁRIO e ANA.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Carteira de identidade - MÁRIO e ANA.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Carteira de identidade - MÁRIO.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Carteira de identidade - MÁRIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Carteira de trabalho - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Carteira de trabalho\Carteira de trabalho - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Carteira de vacinação - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\Documentos pessoais\Carteira de vacinação - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Carteira DF.jpg","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Carteira DF.jpg"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Carteira OAB - ANA - Copia.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Carteira OAB - ANA - Copia.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Certidão de casamento (inteiro teor).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Certidões\Certidão de casamento (inteiro teor).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Certidão de casamento religioso - MARILENA.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Certidão de casamento religioso - MARILENA.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Certidão de nascimento - Carol.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Certidão de nascimento - Carol.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Certidão de nascimento - MAURÍCIO (cópia reprográfica).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Certidões\Certidão de nascimento - MAURÍCIO (cópia reprográfica).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Certidão de nascimento - MAURÍCIO (digitada).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Certidões\Certidão de nascimento - MAURÍCIO (digitada).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Certidão de nascimento - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Certidões\Certidão de nascimento - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Certificado de batismo - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Certidões\Certificado de batismo - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Certificado de crisma - MARILENA.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Certificado de crisma - MARILENA.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CNIS - Carol.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\CNIS - Carol.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CNIS - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Funcional e cargos\CNIS - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Condição específica de saúde - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Funcional e cargos\Condição específica de saúde - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Contrato de trabalho - Carol.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Contrato de trabalho - Carol.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CPF - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\CPF\CPF - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CPF_Carol.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\CPF_Carol.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CPF_Maurício.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\CPF\CPF_Maurício.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CPF_Mário.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\CPF_Mário.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CRLV_Digital_Detran.pdf","C:\Users\mauri\OneDrive\Documentos\08 - Veículos\Documentos pessoais\CRLV_Digital_Detran.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CRM.jpg","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\CRM.jpg"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CRM.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\CRM.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CTPS - Carol.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\CTPS - Carol.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CTPS - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Carteira de trabalho\CTPS - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CTPS digital - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Carteira de trabalho\CTPS digital - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CTPS física (1).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Carteira de trabalho\CTPS física (1).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CTPS física (2).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Carteira de trabalho\CTPS física (2).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CURRÍCULO ERIKA ANASTÁCIA.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Outros documentos (do Cofre)\CURRÍCULO ERIKA ANASTÁCIA.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\CURRÍCULO YASMIN QUEIROZ.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Outros documentos (do Cofre)\CURRÍCULO YASMIN QUEIROZ.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Currículo.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Outros documentos (do Cofre)\Currículo.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Diploma Pós-graduação (1).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Formação acadêmica\Diploma Pós-graduação (1).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Diploma Pós-graduação (2).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Formação acadêmica\Diploma Pós-graduação (2).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Exoneração (TJMG).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Funcional e cargos\Exoneração (TJMG).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Família (DADOS).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Outros documentos (do Cofre)\Família (DADOS).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Foto - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA.jpg","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Foto - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA.jpg"
