"Acao","De","Para"
"REMOVIDO(Lixeira)","C:\Users\mauri\OneDrive\Documentos\Carteira de ID - DF.pdf",""
"REMOVIDO(Lixeira)","C:\Users\mauri\OneDrive\Documentos\Carteira de Identidade - MAURÍCIO.jpg",""
"REMOVIDO(Lixeira)","C:\Users\mauri\OneDrive\Documentos\Certificado de habilitação - MAURÍCIO.pdf",""
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Carteira de ID - DF.jpeg","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Carteira de ID - DF.jpeg"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Certidão de nascimento - GIOVANNA.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Certidão de nascimento - GIOVANNA.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\CNH-e.pdf.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\CNH-e.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\CPF - GIOVANNA.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\CPF - GIOVANNA.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Diploma de Graduação.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Diploma de Graduação.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\ENAM - Certificado.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\ENAM - Certificado.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\RG - DF - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\RG - DF - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\RG - DF _ MAURÍCIO.jpg","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\RG - DF - MAURÍCIO.jpg"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Atestado_2.pdf","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\Atestado_2.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Atestado_3.pdf","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\Atestado_3.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Atestado_4.pdf","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\Atestado_4.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Carteirinha Pró-saúde - CAROL.pdf","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\Carteirinha Pró-saúde - CAROL.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Carteirinha Pró-saúde - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\Carteirinha Pró-saúde - MAURÍCIO.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\FAQ - Pró-Saúde.pdf","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\FAQ - Pró-Saúde.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\DEMED.txt","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\DEMED - ramais centro medico.txt"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Funpresp - Assinatura de proposta.pdf","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\Funpresp - Assinatura de proposta.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\ICATU_-_informacoes_financeiras_confidenciais_assinado.pdf","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\ICATU_-_informacoes_financeiras_confidenciais_assinado.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Investimentos.xlsx","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\Investimentos.xlsx"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Poupex.xlsx","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\Poupex.xlsx"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Serasa.pdf","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\Serasa.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Unidas - pgmto.pdf","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\Unidas - pgmto.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Boleto - Chaves R$ 325.59715.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\Boleto - Chaves R$ 325.59715.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Acórdão 51-24 - art. 36-A.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Acórdão 51-24 - art. 36-A.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Acórdão 9-24 - art. 36-A - Várzea Paulista.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Acórdão 9-24 - art. 36-A - Várzea Paulista.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\ADI 2135 - Processo Legislativo e regularidade formal da EC 19_1998. Notas sobre a flexibilização do regime jurídico único.docx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\ADI 2135 - Processo Legislativo e regularidade formal da EC 19_1998. Notas sobre a flexibilização do regime jurídico único.docx"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Boletim Adminsitrativo - licença paternidade Giovanna.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Boletim Administrativo - licença paternidade Giovanna.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Calendário de feriados 2026.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Calendário de feriados 2026.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\1936.docx","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\Ata 131a Sessao TSJE - 23-12-1935 (vol 1936).docx"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\PPGD_Historia_das_instituicoes_direitos_fundamentais_programa_de_curso.pdf","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\PPGD_Historia_das_instituicoes_direitos_fundamentais_programa_de_curso.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Primórdios da Justiça Eleitoral entre 1930-1937 - primeiros achados.pdf","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\Primórdios da Justiça Eleitoral entre 1930-1937 - primeiros achados.pdf"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Carol amando.mp3","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Carol amando.mp3"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Crisma.jpg","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Crisma.jpg"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Matrimônio.jpg","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Matrimônio.jpg"
"MOVIDO","C:\Users\mauri\OneDrive\Documentos\Chave_Gemini.txt","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\Chave_Gemini.txt"
