"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Anotações de telefones e contatos - TSE.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Anotações de telefones e contatos - TSE.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Copilot\Caderno TEC - AFO e Direito Financeiro - LOA (FGV TJPE 2022) nº 1.txt","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Copilot\Caderno TEC - AFO e Direito Financeiro - LOA (FGV TJPE 2022) nº 1.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams\Banco à STI (05_06_2025) 1.xlsx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams\Banco à STI (05_06_2025) 1.xlsx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams\Banco à STI (05_06_2025).xlsx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams\Banco à STI (05_06_2025).xlsx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams\Banco à STI (atualizado) 1.xlsx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams\Banco à STI (atualizado) 1.xlsx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams\Banco à STI (atualizado).xlsx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams\Banco à STI (atualizado).xlsx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams\Banco à STI.xlsx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams\Banco à STI.xlsx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams\Decisoes1932_1937_com correção 9999.xlsx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams\Decisoes1932_1937_com correção 9999.xlsx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams\Informação Conjunta AGEL nº 1-2023 - pagamento de alimentação ao apoio logístico - SEI 2480437.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams\Informação Conjunta AGEL nº 1-2023 - pagamento de alimentação ao apoio logístico - SEI 2480437.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams\Revista Estudos Eleitorais vol. 18 n. 1 - jan-jun 2024 - TSE.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams\Revista Estudos Eleitorais vol. 18 n. 1 - jan-jun 2024 - TSE.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Acórdão Ação Rescisória TRF1 nº 1028483-57.2020.4.01.0000 - 2022-06-21.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Acórdão Ação Rescisória TRF1 nº 1028483-57.2020.4.01.0000 - 2022-06-21.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Análise da Ação Rescisória 1028483-57.2020.4.01.0000 - índice 13,23% (VPI Lei 10.698-2003).docx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Análise da Ação Rescisória 1028483-57.2020.4.01.0000 - índice 13,23% (VPI Lei 10.698-2003).docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\atualizacao-calculo - MAI_2025.md","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\atualizacao-calculo - MAI_2025.md"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Atualização de cálculo judicial - proc. 1072236-78.2022.4.01.3400 - até Mai 2025 (13,23%).pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Atualização de cálculo judicial - proc. 1072236-78.2022.4.01.3400 - até Mai 2025 (13,23%).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Ação Rescisória 13,23% - autos integrais - TRF1 proc. 1028483-57.2020.4.01.0000.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Ação Rescisória 13,23% - autos integrais - TRF1 proc. 1028483-57.2020.4.01.0000.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Balanço mensal Carol - mar 2025.docx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Balanço mensal Carol - mar 2025.docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Comprovante de endereço - fatura Neoenergia - Maurício (SQS 409, Asa Sul).pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Comprovante de endereço - fatura Neoenergia - Maurício (SQS 409, Asa Sul).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Contrato de honorários advocatícios 13,23% - 4% - Maria Luiza Botelho.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Contrato de honorários advocatícios 13,23% - 4% - Maria Luiza Botelho.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Contrato de honorários advocatícios 13,23% e 4% - Maria Luiza Botelho x Maurício.docx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Contrato de honorários advocatícios 13,23% e 4% - Maria Luiza Botelho x Maurício.docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Cálculos - parecer - cumprimento de sentença 13,23% - proc. 1072236-78.2022.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Cálculos - parecer - cumprimento de sentença 13,23% - proc. 1072236-78.2022.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Cálculos da contadoria - 13,23% - Cumprimento de Sentença 1072236-78.2022 - 22ª Vara DF.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Cálculos da contadoria - 13,23% - Cumprimento de Sentença 1072236-78.2022 - 22ª Vara DF.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Cálculos de memória - Processo 1072236-78.2022.4.01.3400.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Cálculos de memória - Processo 1072236-78.2022.4.01.3400.pdf"
