"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\SENHAS\Nubanck CPF Maurício.txt","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\CPF\Nubanck CPF Maurício.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\08 - Veículos\CRUZE\Docs. compra\Comprovante de residência - Maurício Augusto Chiaramonte Vieira - 2018-07.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Comprovantes de residência\Comprovante de residência - Maurício Augusto Chiaramonte Vieira - 2018-07.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Processo seletivo - Doutorado - 2023\Comprovante situação cadastral CPF - Maurício - 2022-06-10.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\CPF\Comprovante situação cadastral CPF - Maurício - 2022-06-10.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\OAB\Certificado de Dispensa de Incorporação - Maurício (militar).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Militar\Certificado de Dispensa de Incorporação - Maurício (militar).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Processo seletivo - Doutorado - 2023\Carteira de identidade - Maurício A. C. Vieira (e-Identidade).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Carteira de identidade - Maurício A. C. Vieira (e-Identidade).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\Documentos para inscrição\Certidão de quitação eleitoral - Maurício - TSE.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Eleitoral\Certidão de quitação eleitoral - Maurício - TSE.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\OAB\RG Maurício - app e-Identidade - OAB.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\RG Maurício - app e-Identidade - OAB.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM\ENAM 2\Comprovante de residência Claro - vencimento 2024-11-20 - ENAM.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Comprovantes de residência\Comprovante de residência Claro - vencimento 2024-11-20 - ENAM.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS\Carteira de Trabalho (CTPS) - Maurício (TÍTULOS - CD).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Carteira de trabalho\Carteira de Trabalho (CTPS) - Maurício (TÍTULOS - CD).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS\Carteira de Identidade SP - Maurício - 2010-01-07.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Carteira de Identidade SP - Maurício - 2010-01-07.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS\Carteira de ID - MG.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Carteira de ID - MG.pdf"
