"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\REGIME HÍBRIDO\Prompt - relatório de atividades em regime híbrido TSE 2022-2024 (Portaria 490 2022).docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Relatório de atividades em regime híbrido TSE 2022-2024 (Portaria 490 2022).docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\NOTION\Prompt para estruturar base jurídica no Notion.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Estruturar base jurídica no Notion.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\NOTION\Prompt para estruturar base.md","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Estruturar base.md"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\SESSÕES PLENÁRIAS\Prompt Gemini - Análise jurídica de sessão do TSE em vídeo.docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Gemini - Análise jurídica de sessão do TSE em vídeo.docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho\Catalogar - prompt assistente de catalogação jurídica (jurisprudência STF e STJ).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Catalogar - prompt assistente de catalogação jurídica (jurisprudência STF e STJ).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho\Prompt - análise jurídica de aula em vídeo do YouTube.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Análise jurídica de aula em vídeo do YouTube.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho\Prompts Perplexity - legislação e julgados.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Perplexity - legislação e julgados.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho\URLs - prompt assistente concurso MPF e sistematização do Direito.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\URLs - prompt assistente concurso MPF e sistematização do Direito.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ARQUIVOS\Prompts IA DOD - validação da ferramenta - feedback (concursos).pdf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\IA DOD - validação da ferramenta - feedback (concursos).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\BNDES\Prompt IA - seleção de artigos para concurso BNDES (advogado).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\IA - seleção de artigos para concurso BNDES (advogado).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MANDADO DE SEGURANÇA\Prompt Agravo de Instrumento - prova de títulos (mandado de segurança CD).docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Agravo de Instrumento - prova de títulos (mandado de segurança CD).docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS\Prompt - Recurso de prova de títulos (pós-graduação) - CD TÍTULOS.docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Recurso de prova de títulos (pós-graduação) - CD TÍTULOS.docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Biblioteca de prompts - diretrizes para análise e catalogação de jurisprudência.docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Biblioteca de prompts - diretrizes para análise e catalogação de jurisprudência.docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Pesquisa jurídica - Informativos jurisprudenciais (PROMPT).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Pesquisa jurídica - Informativos jurisprudenciais.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - análise de sessões de julgamento do TSE no YouTube.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Análise de sessões de julgamento do TSE no YouTube.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - assistente de catalogação jurídica (resumos de jurisprudência).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Assistente de catalogação jurídica (resumos de jurisprudência).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - complementar pesquisa jurídica com fontes da web.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Complementar pesquisa jurídica com fontes da web.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Conferir jurisprudência e números de processos.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Conferir jurisprudência e números de processos.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - elaborador de provas FGV TRF1 - análise do dossiê da banca.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Elaborador de provas FGV TRF1 - análise do dossiê da banca.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - garimpar processos de intervenção e cassação 1932-1937 (Era Vargas).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Garimpar processos de intervenção e cassação 1932-1937 (Era Vargas).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - JSON Gemini - criador de mapa mental jurídico.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\JSON Gemini - criador de mapa mental jurídico.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Organizar Ata de julgamento de tribunal.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Organizar Ata de julgamento de tribunal.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Prova discursiva para magistratura federal.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prova discursiva para magistratura federal.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Reformatação de anotações de aula em conteúdo acadêmico.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Reformatação de anotações de aula em conteúdo acadêmico.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Revise sua sentença anterior (completude e temas pendentes).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Revise sua sentença anterior (completude e temas pendentes).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - seleção de dispositivos legais a partir de URLs - concurso MPF.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Seleção de dispositivos legais a partir de URLs - concurso MPF.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - seleção de dispositivos legais em PDFs para concurso MPF.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Seleção de dispositivos legais em PDFs para concurso MPF.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt de Tabelas - Recursos Especiais repetitivos.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Tabelas - Recursos Especiais repetitivos.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt de tabelas de jurisprudência (2).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Tabelas de jurisprudência (2).txt"
