origem,destino,sha1_esperado,status
BEs 1932\JULHO\27\99097\00000002.pdf,D:\TSJE_ATAS\1932\1932-07-27 - BE [99097].pdf,eae7366635df38da665759bb4bd39b34498a0bc9,ok
BEs 1932\AGOSTO\03\99099\00000004.pdf,D:\TSJE_ATAS\1932\1932-08-03 - BE n004 [99099].pdf,2ab29b327ed10e5cea4ecf40b3beb11933a6a281,ok
BEs 1932\AGOSTO\08\99100\00000005.pdf,D:\TSJE_ATAS\1932\1932-08-08 - BE n005 [99100].pdf,d6a346e1dabc2cb64c485f6fffc8767711dbf244,ok
BEs 1932\AGOSTO\10\99101\00000006.pdf,D:\TSJE_ATAS\1932\1932-08-10 - BE [99101].pdf,deb05f01870e8d2d6d3bf16c116105f4f254ee1d,ok
BEs 1932\AGOSTO\17\99102\00000007.pdf,D:\TSJE_ATAS\1932\1932-08-17 - BE n007 [99102].pdf,d1a9ea72813e5b4abb016650cb48848509a0ca25,ok
BEs 1932\AGOSTO\22\99103\00000008.pdf,D:\TSJE_ATAS\1932\1932-08-22 - BE n008 [99103].pdf,23e44eea97713f3beb0a395a66ef770d085ed317,ok
BEs 1932\AGOSTO\24\99156\00000009.pdf,D:\TSJE_ATAS\1932\1932-08-24 - BE n009 [99156].pdf,c806070eeffc4ee60e5bad7af97763b4c472b03e,ok
BEs 1932\AGOSTO\27\99157\00000010.pdf,D:\TSJE_ATAS\1932\1932-08-27 - BE n010 [99157].pdf,07b9048bbfa90b8abe4815698cdb28bf8c7c8bad,ok
BEs 1932\SETEMBRO\14\99160\00000013.pdf,D:\TSJE_ATAS\1932\1932-09-14 - BE n013 [99160].pdf,b5c184e7008cd6cb9a946d181917f89b3d3949d5,ok
BEs 1932\SETEMBRO\21\99161\00000014.pdf,D:\TSJE_ATAS\1932\1932-09-21 - BE n014 [99161].pdf,328b0f5d835ade53d82dd673534faaeb12f979c4,ok
BEs 1932\SETEMBRO\28\99162\00000015.pdf,D:\TSJE_ATAS\1932\1932-09-28 - BE n015 [99162].pdf,46c5cf809a3b907ee01c81dc9aa56f9c8bcc7f01,ok
BEs 1932\OUTUBRO\05\99163\00000016.pdf,D:\TSJE_ATAS\1932\1932-10-05 - BE n016 [99163].pdf,fcf75b4d4e9aff730312f82ba94b76f989979b57,ok
BEs 1932\OUTUBRO\12\99164\00000017.pdf,D:\TSJE_ATAS\1932\1932-10-12 - BE n017 [99164].pdf,9320383cc0d7e6a7b98e0852ffe1ff702945c42b,ok
BEs 1932\OUTUBRO\19\99165\00000018.pdf,D:\TSJE_ATAS\1932\1932-10-19 - BE n018 [99165].pdf,e05c0f74910c1f1cdfa46519d87dc4c107bf8ff1,ok
BEs 1932\OUTUBRO\26\99167\00000020.pdf,D:\TSJE_ATAS\1932\1932-10-26 - BE n020 [99167].pdf,abd64a78137f3cee3e25cb86158a2ad711476b38,ok
BEs 1932\NOVEMBRO\09\99169\00000022.pdf,D:\TSJE_ATAS\1932\1932-11-09 - BE n022 [99169].pdf,acd91a92490c919097ab6bf9c3ba238d12c32502,ok
BEs 1932\NOVEMBRO\23\99172\00000025.pdf,D:\TSJE_ATAS\1932\1932-11-23 - BE n025 [99172].pdf,79a66565bca4b3d07ec1864cae89a448ba7de7f4,ok
BEs 1932\NOVEMBRO\26\99173\00000026.pdf,D:\TSJE_ATAS\1932\1932-11-26 - BE n026 [99173].pdf,088375b88f066aa01ee08e03cde002a926d958c2,ok
BEs 1932\NOVEMBRO\30\99174\00000027.pdf,D:\TSJE_ATAS\1932\1932-11-30 - BE [99174].pdf,3a710d9968d95e24310043c3c72315cc206ef3e3,ok
BEs 1932\DEZEMBRO\03\99175\00000028.pdf,D:\TSJE_ATAS\1932\1932-12-03 - BE [99175].pdf,396b008b84f3df77f7c43c9d249de278c6c5a331,ok
BEs 1932\DEZEMBRO\07\99176\00000029.pdf,D:\TSJE_ATAS\1932\1932-12-07 - BE n2967 [99176].pdf,eb045a179492c587ac0b5003e6fd3f33669e5a0d,ok
BEs 1932\DEZEMBRO\17\99179\00000032.pdf,D:\TSJE_ATAS\1932\1932-12-17 - BE [99179].pdf,865d69ec3908231aceb6ad135ee1a24b8230c8e6,ok
BEs 1932\DEZEMBRO\21\99180\00000033.pdf,D:\TSJE_ATAS\1932\1932-12-21 - BE n033 [99180].pdf,3e7e5ef8a5001e277a268df1711f199e665e5e09,ok
BEs 1932\DEZEMBRO\24\99181\00000034.pdf,D:\TSJE_ATAS\1932\1932-12-24 - BE n034 [99181].pdf,913f82863b66e813793dd0f622198a897bdba596,ok
BEs 1932\DEZEMBRO\28\99182\00000035.pdf,D:\TSJE_ATAS\1932\1932-12-28 - BE n035 [99182].pdf,27aed2c131255f676fd75db1222acfb1c5135375,ok
BEs 1933\JANEIRO\02\99183\00000001.pdf,D:\TSJE_ATAS\1933\1933-01-02 - BE n001 [99183].pdf,024631be039e021f820fc509bf7548a14b3d3afa,ok
BEs 1933\JANEIRO\04\99184\00000002.pdf,D:\TSJE_ATAS\1933\1933-01-04 - BE n002 [99184].pdf,03310ec44f0cdfc9c91719ad7dbba6fdd131586d,ok
