id|veredito|motivo
1|OK|
2|OK|
3|OK|
4|OK|
5|REVISAR|nome novo diz "56ª Sessão Ordinária, 24-07-1934" mas o arquivo é o consolidado de agosto/1934; data e sessão específicas podem não representar todo o conteúdo
6|OK|
7|OK|
8|REVISAR|perdeu a sigla CNMP (Res.-CNMP) presente no nome atual
9|OK|
10|OK|
11|OK|
12|OK|
13|OK|
14|REVISAR|trocou o tema: nome atual cita "Revista PGFN" e o novo afirma "Crise do formalismo no Direito Tri" (titulo truncado), embora trecho confirme; aceitavel mas titulo cortado
15|OK|
16|OK|
17|OK|
18|OK|
19|OK|
20|OK|
21|REVISAR|inventou sigla "TSJE" inexistente; o correto é TSE conforme conteudo
22|OK|
23|OK|
24|OK|
25|OK|
26|OK|
27|OK|
28|OK|
29|OK|
30|OK|
31|OK|
32|REVISAR|perdeu "ADC 18" do nome atual; ficou apenas "ADC" generico
33|OK|
34|OK|
35|OK|
36|OK|
37|OK|
38|OK|
39|OK|
40|OK|
41|OK|
42|OK|
43|OK|
44|OK|
45|OK|
46|OK|
47|OK|
48|OK|
49|OK|
50|OK|
51|OK|
52|OK|
53|OK|
54|OK|
55|OK|
56|OK|
57|OK|
58|OK|
59|OK|
60|OK|
