id|nomeNovo|destino
1|NFS-e nº 8195 - INOA Instituto de Obstetrícia Avançada|03 - Financeiro\NFe e outros
2|NFS-e nº 7545 - INOA Instituto de Obstetrícia Avançada|03 - Financeiro\NFe e outros
3|NFS-e nº 7734 - INOA Instituto de Obstetrícia Avançada|03 - Financeiro\NFe e outros
4|NFS-e nº 8017 - INOA Instituto de Obstetrícia Avançada|03 - Financeiro\NFe e outros
5|NFS-e nº 8401 - INOA Instituto de Obstetrícia Avançada|03 - Financeiro\NFe e outros
6|Análise - A disputa política e econômica pelo fim da escala 6x1|12 - Consultoria Legislativa\Temas Selecionados
7|Anexo 3540088 - Dados para Ofício ao TSE - Maurício|12 - Consultoria Legislativa\Temas Selecionados
8|Apresentação - Sistema Eleitoral Distrital Misto - Eleições 2028|12 - Consultoria Legislativa\Temas Selecionados
9|Apresentação - Metodologia de Desenho dos Distritos para Voto Distrital Misto|12 - Consultoria Legislativa\Temas Selecionados
10|Apresentação - Sistema Distrital Misto - Dep. Domingos (revisado)|12 - Consultoria Legislativa\Temas Selecionados
11|Sessão Plenária - 09-06-2026 - Acordos Mercosul Singapura e EFTA e urgência de 18 projetos|12 - Consultoria Legislativa\Plenário
12|Certidão de Nascimento - Giovanna Meira Chiaramonte|09 - Família, religião e mensagens\Documentos da família
13|Apresentação - Condutas Vedadas Eleições 2026 - INFRAERO|12 - Consultoria Legislativa\Temas Selecionados
14|Conta Vivo - Telefônica - Junho 2026 - Maurício|03 - Financeiro
15|Comprovante de CPF - Giovanna Meira Chiaramonte (dependente)|09 - Família, religião e mensagens\Documentos da família
16|Comprovante de CPF - Maurício Augusto Chiaramonte Vieira|01 - Pessoal e identidade\CPF
17|Domingos Neto alerta Congresso - Bancada do TikTok e Instagram|12 - Consultoria Legislativa\Temas Selecionados
18|Esboço PLC - Inelegibilidade por perda de mandato (LC 64-1990)|12 - Consultoria Legislativa\Temas Selecionados
19|Informação Técnica - PL vinculando Fundo Partidário e Eleitoral a KPIs|12 - Consultoria Legislativa\Temas Selecionados
20|NFS-e nº 7545 - INOA Instituto de Obstetrícia Avançada (cópia)|03 - Financeiro\NFe e outros
21|NFS-e nº 7734 - INOA Instituto de Obstetrícia Avançada (cópia)|03 - Financeiro\NFe e outros
22|Imagem Noturna|11 - Diversos (a revisar)
23|Pesquisa suspensa no TSE - PL versus AtlasIntel|12 - Consultoria Legislativa\Plenário
24|Plenário - 14-05-2026 - Janones|12 - Consultoria Legislativa\Plenário
25|Sessão Plenária - 27-05-2026 - Discussão e votação de propostas|12 - Consultoria Legislativa\Plenário
26|Representação no TSE - JP e Rodrigo Constantino - Coligação Brasil da Esperança|12 - Consultoria Legislativa\STs
27|Sessão Plenária - 09 de Junho 2026 (montagem 5 trechos)|12 - Consultoria Legislativa\Plenário
28|Sessão TSE - 05-11-2024 - Fidelidade partidária de suplente|12 - Consultoria Legislativa\Plenário
29|Sessão Plenária - 09 de Junho 2026 (montagem 5 trechos - comprimido)|12 - Consultoria Legislativa\Plenário
30|Sessão Plenária - 26 de Maio 2026 (trecho comprimido)|12 - Consultoria Legislativa\Plenário
31|Trecho de Vídeo 1|11 - Diversos (a revisar)
32|Trecho de Vídeo 2|11 - Diversos (a revisar)
33|Trecho de Vídeo 3|11 - Diversos (a revisar)
34|Trecho de Vídeo 4|11 - Diversos (a revisar)
35|Foto WhatsApp - 11-06-2026 19h48|11 - Diversos (a revisar)
