47	06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Gilberto Bercovici	BERCOVICI, Gilberto - A origem do sistema eleitoral proporcional no Brasil.pdf	Benito Mussolini | Cassação de mandato | Conrado Hubner Mendes | Fundamentação da decisão judicial | Joaquim Francisco de Assis Brasil | José Murilo de Carvalho | João Crisóstomo da Rocha Cabral | Judicialização | Lucas Brandão | PABLO HOLMES | Pesquisa empírica | Raimundo Faoro
48	06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\José Murilo de Carvalho	CARVALHO, José Murilo - As Forças Armadas na Primeira República o poder desestabilizador.pdf ; CARVALHO, Maria Alice Rezende de - Letras, sociedade e política - imagens do Rio de Janeiro.pdf	Benito Mussolini | Cassação de mandato | Conrado Hubner Mendes | Fundamentação da decisão judicial | Gilberto Bercovici | Joaquim Francisco de Assis Brasil | João Crisóstomo da Rocha Cabral | Judicialização | Lucas Brandão | PABLO HOLMES | Pesquisa empírica | Raimundo Faoro
49	06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\João Crisóstomo da Rocha Cabral	CABRAL, João Crisóstomo da Rocha - Código Eleitoral Anotado (Decreto 21.078 1932) - Vol. II.pdf	Benito Mussolini | Cassação de mandato | Conrado Hubner Mendes | Fundamentação da decisão judicial | Gilberto Bercovici | Joaquim Francisco de Assis Brasil | José Murilo de Carvalho | Judicialização | Lucas Brandão | PABLO HOLMES | Pesquisa empírica | Raimundo Faoro
50	06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Lucas Brandão	Pensamentos entrevista Lucas Brandão - Faoro, Olavo de Carvalho - 2022-01-27.docx	Benito Mussolini | Cassação de mandato | Conrado Hubner Mendes | Fundamentação da decisão judicial | Gilberto Bercovici | Joaquim Francisco de Assis Brasil | José Murilo de Carvalho | João Crisóstomo da Rocha Cabral | Judicialização | PABLO HOLMES | Pesquisa empírica | Raimundo Faoro
51	06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Raimundo Faoro	Crítica a Os Donos do Poder de Raimundo Faoro - Ilustríssima Folha - 2022-01-22.pdf ; Críticas ao pensamento de Raimundo Faoro.docx	Benito Mussolini | Cassação de mandato | Conrado Hubner Mendes | Fundamentação da decisão judicial | Gilberto Bercovici | Joaquim Francisco de Assis Brasil | José Murilo de Carvalho | João Crisóstomo da Rocha Cabral | Judicialização | Lucas Brandão | PABLO HOLMES | Pesquisa empírica
52	06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Teresa Vale	VALE, Teresa Cristina - Pré-história e história da Justiça Eleitoral.pdf	Benito Mussolini | Cassação de mandato | Conrado Hubner Mendes | Fundamentação da decisão judicial | Gilberto Bercovici | Joaquim Francisco de Assis Brasil | José Murilo de Carvalho | João Crisóstomo da Rocha Cabral | Judicialização | Lucas Brandão | PABLO HOLMES | Pesquisa empírica
53	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 12	BURKE, Edmund - Reflexões sobre a Revolução em França (Ed. UnB).pdf	Documentos para inscrição | SEMINÁRIO 10 | SEMINÁRIO 16 | SEMINÁRIO 4 | SEMINÁRIO 5 | SEMINÁRIO 8 | SEMINÁRIO 9 | SEMINÁRIOS 2 e 3 | Textos do Prof. Airton Seelaender
54	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2009	DIÁRIOS ASSOCIADOS - Mandado de segurança e crime de desobediência - Lei 12.016-2009.pdf	2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Aulas UnB | Pasta UnB
55	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2011	VIEIRA, Tarcísio - Breves apontamentos sobre direito canônico - 2011.pdf ; VIEIRA, Tarcísio - Recurso contra expedição de diploma (RBDE, 2011).pdf	2009 | 2010 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Aulas UnB | Pasta UnB
56	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2014	Ficha limpa moralidade administrativa direito eleitoral Tarcísio.pdf	2009 | 2010 | 2011 | 2012 | 2013 | 2015 | 2016 | 2017 | 2018 | Aulas UnB | Pasta UnB
57	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2015	VIEIRA, Tarcísio - Controle de constitucionalidade da atividade normativa da Justiça Eleitoral.pdf ; VIEIRA, Tarcísio - Julgamento por princípios - duas projeções diretas do princípio da impessoalidade na jurisprudência do STF.pdf	2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2016 | 2017 | 2018 | Aulas UnB | Pasta UnB
58	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2016	VIEIRA, Tarcísio - Transparência do processo eleitoral brasileiro - Estudos Eleitorais 2016.pdf	2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2017 | 2018 | Aulas UnB | Pasta UnB
59	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2017	VIEIRA, Tarcísio - Democracia participativa - cidadania para além do direito ao voto - 2017.pdf	2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2018 | Aulas UnB | Pasta UnB
60	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(4) Aula de 22.09.2020	Carvalho Neto - Liberdade de expressão e propaganda eleitoral TSE.pdf	(1) Aula de 25.08.2020 | (10) Aula de 24.11.2020 | (2) Aula de 01.09.2020 | (3) Aula de 15.09.2020 | (5) Aula de 06.10.2020 | (6) Aula de 20.10.2020 | (7) Aula de 28.10.2020 | (8) Palestra de 10.11.2020 | (9) Aula de 17.11.2020 | Artigo Final
61	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(2) Aula de 01.09.2020\Artigos sugeridos Abner Youssif	CASTILHOS, Ângelo Soares - O procedimento de consulta ao tribunal superior eleitoral - o NCPC e a segurança jurídica.pdf ; SANTANO, Ana Cláudia - Entre a (in)segurança jurídica, os direitos fundamentais políticos e o ativismo judicial.pdf	
62	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MATERIAIS GRAD VALCIR GASSEN	Ementa disciplina Direito Tributário - Prof. Valcir Gassen - UnB.pdf	DIREITO TRIBUTÁRIO - EaD | DIREITO TRIBUTÁRIO 2 - Valcir Gassen | MATERIAIS GRAD ANTÔNIO BORGES | MONOGRAFIA FEDERALISMO | PACTO FEDERATIVO
63	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 1	Fichamento Gassen - pressupostos e classificação dos tributos.docx ; GASSEN, Valcir - Tributo - conceito e classificação - Seminário 1.pdf	E-mail com tarefas ao Prof. Valcir | Exclusão do ICMS da base de cálculo do PIS e da COFINS | NBR_s | Seminário 10 - Piketty | Seminário 2 | Seminário 3 | Seminário 4 | Seminário 5 | Seminário 6 | Seminário 7 | Seminário 8 | Seminário 9
64	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 2	Gassen - Matriz tributária perspectiva para pensar Estado.pdf ; Seminário 2 - Direito tributário - Matriz tributária brasileira - uma perspectiva para pensar o Estado.docx	E-mail com tarefas ao Prof. Valcir | Exclusão do ICMS da base de cálculo do PIS e da COFINS | NBR_s | Seminário 1 | Seminário 10 - Piketty | Seminário 3 | Seminário 4 | Seminário 5 | Seminário 6 | Seminário 7 | Seminário 8 | Seminário 9
65	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 4	NAGEL, Thomas e MURPHY, Liam - O mito da propriedade - os impostos.pdf ; Seminário 4 - Direito tributário - Tributação de justiça - a questão da propriedade.docx	E-mail com tarefas ao Prof. Valcir | Exclusão do ICMS da base de cálculo do PIS e da COFINS | NBR_s | Seminário 1 | Seminário 10 - Piketty | Seminário 2 | Seminário 3 | Seminário 5 | Seminário 6 | Seminário 7 | Seminário 8 | Seminário 9
66	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 5	BORDIN, Luís Carlos Vitali e LAGEMANN, Eugênio - Formação Tributária do Brasil - a trajetória da política e da administração tributária.pdf ; LAGEMAN, Eugenio - Tributação - seu universo, condicionantes, objetivos, funções e princípios.pdf	E-mail com tarefas ao Prof. Valcir | Exclusão do ICMS da base de cálculo do PIS e da COFINS | NBR_s | Seminário 1 | Seminário 10 - Piketty | Seminário 2 | Seminário 3 | Seminário 4 | Seminário 6 | Seminário 7 | Seminário 8 | Seminário 9
67	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 7	D_ARAÚJO, Pedro Júlio Sales e GASSEn, Valcir - Tributação sobre o consumo - o esforço em onerar mais quem ganha menos - CAPÍTULO IX.pdf	E-mail com tarefas ao Prof. Valcir | Exclusão do ICMS da base de cálculo do PIS e da COFINS | NBR_s | Seminário 1 | Seminário 10 - Piketty | Seminário 2 | Seminário 3 | Seminário 4 | Seminário 5 | Seminário 6 | Seminário 8 | Seminário 9
68	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 9	SILVA, Jamyl e GASSEN, Valcir - A tributação do patrimônio como instrumento de justiça social - CAPITULO VIII.pdf	E-mail com tarefas ao Prof. Valcir | Exclusão do ICMS da base de cálculo do PIS e da COFINS | NBR_s | Seminário 1 | Seminário 10 - Piketty | Seminário 2 | Seminário 3 | Seminário 4 | Seminário 5 | Seminário 6 | Seminário 7 | Seminário 8
69	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Prioridades de leitura	SUBPASTA: Lidos	Dívida Pública | Gilberto Bercovivi | Monografia | Questão bancária | SIAFI - CAUC - CADIN
70	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Prioridades de leitura	SUBPASTA: Lidos	Questão bancária
71	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Questão bancária	O sistema financeiro nacional e o plano de estabilização econômica - ELIZABETE FLAUZINO.pdf ; Preferência pela Liquidez dos Bancos Públicos e Privados Brasileiros - REYNALDO RUBEM JR..pdf	Prioridades de leitura
72	06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Prioridades de leitura\Lidos	Revista Fórum de Direito Financeiro e Econômico - ano.pdf	
73	07 - Viagens\VIAGENS\Bariloche	Roteiro Bariloche - o que fazer, Circuito Chico e atrações.pdf	Búzios | Campinas | EUA | Foz do Iguaçu | Itacaré | Janaúba | Maceió | Peru | Rota das emoções
74	07 - Viagens\VIAGENS\Foz do Iguaçu	Orçamento CVC - viagem a Foz do Iguaçu - 2023-05-06.pdf	Bariloche | Búzios | Campinas | EUA | Itacaré | Janaúba | Maceió | Peru | Rota das emoções
75	07 - Viagens\VIAGENS\Itacaré	Roteiro de viagem Itacaré - Visa Concierge.pdf	Bariloche | Búzios | Campinas | EUA | Foz do Iguaçu | Janaúba | Maceió | Peru | Rota das emoções
76	07 - Viagens\VIAGENS\Janaúba	Roteiro de viagem - Janaúba.pdf	Bariloche | Búzios | Campinas | EUA | Foz do Iguaçu | Itacaré | Maceió | Peru | Rota das emoções
77	07 - Viagens\VIAGENS\Rota das emoções	Roteiro de viagem Rota das Emoções - Maranhão e Ceará - abril a maio 2022.pdf ; Roteiro viagem Rota das Emoções - Lençóis Maranhenses (1).pdf	Bariloche | Búzios | Campinas | EUA | Foz do Iguaçu | Itacaré | Janaúba | Maceió | Peru
78	08 - Veículos\CRUZE\FIPE	Tabela FIPE Cruze Sport LTZ 2018 - jul 2021 - R$ 89.992,00.pdf ; Tabela Fipe Cruze Sport LTZ 2018 - jul-2020 - R$ 81.632.pdf	Conserto do carro | Docs. compra | GMAC | IPVA e Licenciamento | Multas | Negociação (2021) | Parcelas
79	08 - Veículos\CRUZE\GMAC	Senha.txt	Conserto do carro | Docs. compra | FIPE | IPVA e Licenciamento | Multas | Negociação (2021) | Parcelas
80	08 - Veículos\CRUZE\Multas	Comprovante BB - multa W3 Sul DETRAN-DF - R$ 176,08 - agendado 2023-02-22.pdf ; Multa W3 Sul - Ordem de Pagamento de Infração DENATRAN - CRUZE.pdf	Conserto do carro | Docs. compra | FIPE | GMAC | IPVA e Licenciamento | Negociação (2021) | Parcelas
81	08 - Veículos\GARMIN\Backups	SUBPASTA: 403353131	BRASIL
82	08 - Veículos\GARMIN\BRASIL	gmapsupp.img	Backups
83	08 - Veículos\GARMIN\Backups\403353131\2024-04-17 (15.37.44)\GPX	Current.gpx	Poi
84	08 - Veículos\GARMIN\Backups\403353131\2024-04-17 (15.43.09)\GPX	Current.gpx	Poi
85	08 - Veículos\GARMIN\Backups\403353131\2024-04-18 (09.43.11)\GPX	Current.gpx	Poi
86	08 - Veículos\REVISÕES\CAROL	Revisão HR-V Carol - NFe DF Veículos - 2023-11-06.pdf ; Revisão HRV.xlsx	MAURÍCIO
87	09 - Família, religião e mensagens\ESTUDOS ESPÍRITAS\TERMO DE VOLUNTARIADO	Termo de adesão ao serviço voluntário FEB NEGR 2020 - Maurício.pdf	LIVROS CHICO XAVIER | TRABALHOS ACADÊMICOS
88	10 - Tecnologia e dispositivos\ARQUIVOS_n	SUBPASTA: Blocos de Anotações do OneNote	BLUETOOTH | CERTIFICADO DIGITAL | GOPRO | ICONE | NOTION | SENHAS
89	10 - Tecnologia e dispositivos\BLUETOOTH	Passo a passo - corrigir erro de Bluetooth Galaxy S22 no Windows 11.docx ; Solução de conectividade Bluetooth - Microsoft Community (não foi possível conectar).pdf	ARQUIVOS_n | CERTIFICADO DIGITAL | GOPRO | ICONE | NOTION | SENHAS
90	10 - Tecnologia e dispositivos\CERTIFICADO DIGITAL	Cadeias de certificados - links ITI navegadores.txt ; Testar token.txt	ARQUIVOS_n | BLUETOOTH | GOPRO | ICONE | NOTION | SENHAS
