id|decisao|motivo
1|ACHATAR|Residuo tecnico de app (arquivos PST de RSS do Outlook), pasta isolada
2|MANTER|Irma de conjunto financeiro com identidade de marca (MOBILLS)
3|MANTER|Irma de conjunto financeiro com identidade de marca (VIVARA)
4|MANTER|Parte do conjunto numerado 01..06 de categorias de NFe
5|MANTER|Par tematico com a lava e seca atual (eletrodomestico especifico)
6|MANTER|Par tematico com a lava e seca antiga (eletrodomestico especifico)
7|MANTER|Parte de conjunto grande de seguros por apolice
8|MANTER|Parte de conjunto grande de seguros por apolice
9|MANTER|Parte do conjunto IPTU 2016/2017/2018
10|ACHATAR|Pasta isolada com 1 arquivo cujo nome ja diz o tema (requerimento)
11|ACHATAR|Residuo tecnico (corredor dados\entrada de CSVs)
12|MANTER|Parte do conjunto lacra2016/lacra2018/tps2019
13|MANTER|Parte do conjunto lacra2016/lacra2018/tps2019
14|ACHATAR|Residuo tecnico de app (Chat do Microsoft Copilot)
15|ACHATAR|Pasta generica de app (Imagens/Capturas de tela)
16|MANTER|Tema proprio entre irmas tematicas do TSE
17|ACHATAR|Residuo tecnico de app (Reunioes, arquivos .loop)
18|MANTER|Parte do conjunto de irmas tematicas do AGEL
19|MANTER|Parte do conjunto de irmas tematicas do AGEL
20|MANTER|Parte do conjunto de irmas tematicas do AGEL
21|MANTER|Parte do conjunto de irmas tematicas do AGEL
22|MANTER|Par tematico com Grupo 2 de certificados
23|MANTER|Par tematico com Grupo 1 de certificados
24|MANTER|Parte do conjunto de cursos
25|MANTER|Parte do conjunto de cursos
26|MANTER|Parte do conjunto de concursos (identidade propria)
27|MANTER|Parte do conjunto de concursos (identidade propria)
28|MANTER|Parte do conjunto de pecas processuais do concurso CD
29|MANTER|Parte do conjunto de materias do concurso CD
30|MANTER|Parte do conjunto SEMANA 1..11
31|MANTER|Parte do conjunto SEMANA 1..11
32|MANTER|Parte do conjunto de materias do MPF
33|MANTER|Parte do conjunto de materias do MPF
34|MANTER|Parte do conjunto de materias do MPF
35|MANTER|Parte do conjunto de materias do MPF
36|MANTER|Parte do conjunto de materias do MPF
37|ACHATAR|Pasta isolada sem irmas, 1 arquivo cujo nome ja cita o autor
38|MANTER|Parte do conjunto de materias do PGESP
39|MANTER|Parte do conjunto de pastas do concurso TRF6
40|MANTER|Parte do conjunto do curso de italiano
41|MANTER|Parte do conjunto do curso de italiano
42|MANTER|Conjunto de IDs Kindle; achatar quebraria padrao do app
43|MANTER|Parte do conjunto da tese
44|ACHATAR|Corredor sem irmas (so contem outra subpasta)
45|MANTER|Parte do conjunto de autores da bibliografia
46|MANTER|Parte do conjunto de autores da bibliografia
