id,nat,tipo
501,05 - Diversos (a revisar),
502,05 - Diversos (a revisar),
503,05 - Diversos (a revisar),
504,01 - Jurídico,Recursos
505,05 - Diversos (a revisar),
506,05 - Diversos (a revisar),
507,05 - Diversos (a revisar),
508,05 - Diversos (a revisar),
509,05 - Diversos (a revisar),
510,05 - Diversos (a revisar),
511,05 - Diversos (a revisar),
512,05 - Diversos (a revisar),
513,01 - Jurídico,Recursos
514,01 - Jurídico,Recursos
515,05 - Diversos (a revisar),
516,05 - Diversos (a revisar),
517,05 - Diversos (a revisar),
518,05 - Diversos (a revisar),
519,05 - Diversos (a revisar),
520,05 - Diversos (a revisar),
521,05 - Diversos (a revisar),
522,03 - Administrativo,
523,05 - Diversos (a revisar),
524,05 - Diversos (a revisar),
525,05 - Diversos (a revisar),
526,05 - Diversos (a revisar),
527,05 - Diversos (a revisar),
528,05 - Diversos (a revisar),
529,05 - Diversos (a revisar),
530,05 - Diversos (a revisar),
531,05 - Diversos (a revisar),
532,05 - Diversos (a revisar),
533,05 - Diversos (a revisar),
534,05 - Diversos (a revisar),
535,05 - Diversos (a revisar),
536,01 - Jurídico,Recursos
537,05 - Diversos (a revisar),
538,05 - Diversos (a revisar),
539,05 - Diversos (a revisar),
540,01 - Jurídico,Recursos
541,05 - Diversos (a revisar),
542,05 - Diversos (a revisar),
543,05 - Diversos (a revisar),
544,01 - Jurídico,Recursos
545,05 - Diversos (a revisar),
546,05 - Diversos (a revisar),
547,05 - Diversos (a revisar),
548,05 - Diversos (a revisar),
549,05 - Diversos (a revisar),
550,01 - Jurídico,Recursos
551,05 - Diversos (a revisar),
552,01 - Jurídico,Recursos
553,05 - Diversos (a revisar),
554,05 - Diversos (a revisar),
555,01 - Jurídico,Recursos
556,01 - Jurídico,Recursos
557,05 - Diversos (a revisar),
558,05 - Diversos (a revisar),
559,05 - Diversos (a revisar),
560,05 - Diversos (a revisar),
561,05 - Diversos (a revisar),
562,01 - Jurídico,Recursos
563,05 - Diversos (a revisar),
564,01 - Jurídico,Recursos
565,05 - Diversos (a revisar),
566,05 - Diversos (a revisar),
567,05 - Diversos (a revisar),
568,01 - Jurídico,Recursos
569,05 - Diversos (a revisar),
570,05 - Diversos (a revisar),
571,05 - Diversos (a revisar),
572,05 - Diversos (a revisar),
573,05 - Diversos (a revisar),
574,05 - Diversos (a revisar),
575,05 - Diversos (a revisar),
576,05 - Diversos (a revisar),
577,05 - Diversos (a revisar),
578,05 - Diversos (a revisar),
579,01 - Jurídico,Recursos
580,05 - Diversos (a revisar),
581,05 - Diversos (a revisar),
582,01 - Jurídico,Recursos
583,05 - Diversos (a revisar),
584,05 - Diversos (a revisar),
585,05 - Diversos (a revisar),
586,05 - Diversos (a revisar),
587,05 - Diversos (a revisar),
588,05 - Diversos (a revisar),
589,05 - Diversos (a revisar),
590,05 - Diversos (a revisar),
591,05 - Diversos (a revisar),
592,05 - Diversos (a revisar),
593,05 - Diversos (a revisar),
594,05 - Diversos (a revisar),
595,05 - Diversos (a revisar),
596,05 - Diversos (a revisar),
597,05 - Diversos (a revisar),
598,05 - Diversos (a revisar),
599,05 - Diversos (a revisar),
600,05 - Diversos (a revisar),
601,05 - Diversos (a revisar),
602,05 - Diversos (a revisar),
603,05 - Diversos (a revisar),
604,05 - Diversos (a revisar),
605,02 - Estudos e concursos,
606,02 - Estudos e concursos,
607,03 - Administrativo,
608,03 - Administrativo,
609,02 - Estudos e concursos,
610,01 - Jurídico,Outros processuais
611,01 - Jurídico,Outros processuais
612,03 - Administrativo,
613,05 - Diversos (a revisar),
614,05 - Diversos (a revisar),
615,05 - Diversos (a revisar),
616,05 - Diversos (a revisar),
617,05 - Diversos (a revisar),
618,05 - Diversos (a revisar),
619,05 - Diversos (a revisar),
620,05 - Diversos (a revisar),
621,05 - Diversos (a revisar),
622,03 - Administrativo,
623,05 - Diversos (a revisar),
624,05 - Diversos (a revisar),
625,05 - Diversos (a revisar),
626,05 - Diversos (a revisar),
627,05 - Diversos (a revisar),
628,05 - Diversos (a revisar),
629,05 - Diversos (a revisar),
630,05 - Diversos (a revisar),
631,05 - Diversos (a revisar),
632,05 - Diversos (a revisar),
633,05 - Diversos (a revisar),
634,01 - Jurídico,Recursos
635,05 - Diversos (a revisar),
636,01 - Jurídico,Recursos
637,05 - Diversos (a revisar),
638,05 - Diversos (a revisar),
639,05 - Diversos (a revisar),
640,05 - Diversos (a revisar),
641,05 - Diversos (a revisar),
642,05 - Diversos (a revisar),
643,05 - Diversos (a revisar),
644,05 - Diversos (a revisar),
645,05 - Diversos (a revisar),
646,05 - Diversos (a revisar),
647,05 - Diversos (a revisar),
648,05 - Diversos (a revisar),
649,05 - Diversos (a revisar),
650,05 - Diversos (a revisar),
651,05 - Diversos (a revisar),
652,05 - Diversos (a revisar),
653,01 - Jurídico,Recursos
654,05 - Diversos (a revisar),
655,01 - Jurídico,Recursos
656,01 - Jurídico,Recursos
657,01 - Jurídico,Recursos
658,05 - Diversos (a revisar),
659,05 - Diversos (a revisar),
660,05 - Diversos (a revisar),
661,05 - Diversos (a revisar),
662,05 - Diversos (a revisar),
663,05 - Diversos (a revisar),
664,05 - Diversos (a revisar),
665,05 - Diversos (a revisar),
