id|nomeNovo
1|Minuta de - PLP 2026 - inelegibilidade por perda de mandato (LC 64-1990)
2|Estudo - PL 7.684/2017 - loterias e prevenção à lavagem de dinheiro (CCJC)
3|Informação Técnica - PL 7.684/2017 - bets e prevenção à lavagem de dinheiro (Dep. Bacelar)
4|Minuta de - PL 2026 - Fundo Partidário e FEFC condicionados a indicadores de gestão (Dep. Julio Lopes)
5|Minuta de - PL 2026 - verificabilidade e auditoria do voto eletrônico (Dep. José Medeiros)
6|Minuta de - PLP 2026 - inelegibilidade por dano à saúde pública e ao meio ambiente (Dep. Célia Xakriabá)
7|Minuta de - PLP 2026 - inelegibilidade por vínculo com organizações criminosas (Dep. Coronel Assis)
8|Minuta de - PLP 2026 - poder normativo da Justiça Eleitoral e fiscalização técnica (Dep. José Medeiros)
9|Minuta de - PRC 2026 - eficácia normativa do discurso de posse do Presidente da Câmara (Dep. Evair Vieira de Melo)
10|Minuta de - PRC 2026 - Bancada Negra vinculada à Mesa Diretora (Dep. Benedita da Silva)
11|Parecer CCJC - PL 3.972/2023 - bonecos gigantes do Carnaval de Olinda (Dep. Lídice da Mata)
12|Parecer CCJC - PL 7.684/2017 - loterias e prevenção à lavagem de dinheiro
13|Minuta de - PL 2026 - eficácia normativa do discurso de posse do Presidente da Câmara (Dep. Evair Vieira de Melo)
