id|nomeNovo
945|CRESPO, Ralph André - Eleições suplementares no Brasil, anulações dos pleitos de 2012 (Dissertação UENF 2017)
946|Exportação Mobills - Lançamentos Outubro 2025
947|Ordem de serviço com causa - Samsung Smart San 2024-04-26 (Maurício)
948|Atas TSE - Abordagem histórica - 1933 Abril (23ª Sessão)
949|Receita médica 3 - Hospital Asa Sul (Brasília)
950|Edital estruturado PGE-GO - Conteúdo programático
951|Pedido de exames para treino - Endocrinologia (Maurício)
952|Ensaio - Direito, Regulação e Políticas Públicas (Seleção Mestrado 2019)
953|SILVEIRA, Marilda de Paula - Parlamentarismo à brasileira ou novas eleições, custo da confiança do eleitorado
954|Processo Penal, Hermenêutica e Tutela dos Direitos Fundamentais - análise da doutrina de Eugênio Pacelli
955|Extrato Conta-corrente Caixa - MAURÍCIO 2025-11-17
956|IRPF palavra-chave - senha e pergunta de segurança
957|Passagem aérea SP - Prova Língua Estrangeira Inglês 2017-08-19 (Gol BSB-CGH)
958|Jurisprudência em Teses DOD 6 - Classificação indicativa (ECA, ADI 2404)
959|Conta-salário Caixa - autorização de inclusão - MAURÍCIO
960|IGREJA, Rebecca Lemos - Seminário de tese, Metodologia Qualitativa (UnB 2020)
961|TOKAJI 2022 - Comparative Election Law (Research Handbook, ed. Gardner)
962|Orçamento odontológico 2019 (Resina) - Maurício
963|Monografia Pós-Graduação UnB VERSÃO 1 - Desequilíbrio federativo e discriminação de rendas tributárias
964|BEÇAK, Rubens e LIMA, Jairo Néia - Judicialização da megapolítica em consultas eleitorais
965|RICD Remissivo - Regimento Interno da Câmara dos Deputados (impressão v7 2025-11-28)
966|Texto - Alteração do rito das MPVs, PEC 91-2019 (Parecer Anastasia, Senado 2019)
967|SAINT-JUST - Discursos (p.65-78), História do Direito Público
968|Logística viagem EUA - Baltimore, Washington, Springfield e Nova York (maio 2024)
969|NANDY, Ashis - The Intimate Enemy (Filosofia Política e Direito Constitucional)
970|Roteiro de viagem - Janaúba
971|Recibo de entrega IRPF 2024 - CAROL (Ana Carolina)
972|Atas TSE - Abordagem histórica - 1933 Julho (47ª Sessão)
973|Atas TSE - Abordagem histórica - 1935 Março (13ª Sessão)
974|BRANDÃO, Rodrigo - A judicialização da política, teorias, condições e o caso brasileiro
975|JORNAL - Mandato parlamentar e o STF (Tarcísio Vieira de Carvalho Neto, 2012)
976|Anuidade OAB 2026 - boleto (Maurício)
977|Matrícula atualizada - Cartório de Registro de Imóveis de Itajubá-MG (inventário)
978|Comissão Diretiva de TI - Carteira de projetos de TI (STI, v1.0)
979|Tarefa 4.2 - Direito Tributário EaD
980|Parecer MPF ADC 18 - exclusão do ICMS da base de cálculo do PIS e da COFINS
981|Informação Técnica - Dep. Carla Dickson, Secretaria da Mulher, mandato e RICD
982|Balanço financeiro CAROL - Julho 2025
983|Comprovante de pagamento - Tabelionato de protesto 2017-03-15 (Apto 216 Norte)
984|Nota Técnica 10-2023 TJDFT - fixação da pena-base, primeira fase da dosimetria
985|Margem consignável BRB - MÁRIO (Exército Brasileiro)
986|RO 2653-08 Min. Henrique Neves - abuso de poder religioso (Ivo Cassol, RO)
987|PORTO, Walter Costa - Dicionário do voto (grifado)
988|DIAS, Isabel Simões - Competências em Educação, conceito e significado pedagógico (ENFAM Módulo 2)
989|SEI 2023.00.000011068-0 - consulta AGEL sobre presos provisórios (comissão TPS)
990|Prompt YouTube - análise técnica de aula em vídeo (juiz federal)
991|Extrato Previdenciário Funpresp-Jud - MAURÍCIO 2026-01-08
992|Booking.com Confirmação - Solara Art House, Cusco, Peru (abril, reserva 4944.622.415)
993|Planilha de Acerto de Contas TSE - Maurício, vacância em 2025-12-08 (com Funpresp)
994|Prompt relatório Parecer - CONLE
995|Chat - código Stylus para deslocar site Dizer o Direito à esquerda 2025-04-08
996|Mapas mentais para concursos - Direito Processual Civil
997|Receita Minoxidil 6 - manipulado (SES-DF, HBDF)
998|VIDAL, Fabiano César de Mendonça - Em torno do Nosso Lar, controvérsias no movimento espírita (Dissertação UFPB)
999|Revisão - requisitos partidários, caráter nacional dos partidos (TSE)
1000|Boleto inscrição PGE-SP - Concurso Procurador do Estado 2024-01-15
2745|Comprovante de Recurso MPF - Prova Objetiva, 31º Concurso Procurador 2025-07-16
2746|Lei de Introdução às normas do direito brasileiro - anotada e sua renovação (Cunha Filho et al., 2019)
2747|STJ-843 - Informativo Comentado DOD 2025 (CDE, legitimidade da concessionária de energia)
2748|Resolução TSE - voto e ilícitos eleitorais (Proc. 0600043-39.2024, Min. Nunes Marques)
2749|Visa - Termos e Condições Seguro para Veículos de Locadora 2022-06 (PORT v3)
2750|Mapa - SST, Segurança e Saúde no Trabalho (concurso AFT)
2751|Manual de Técnica Legislativa 2002 - Senado Federal
2752|IPTU 2023 - boleto 5ª parcela (Apto 409 Sul)
2753|Formulário Banca Examinadora membro externo - Depósito dissertação (UnB Direito)
2754|Jurisprudência em Direitos Humanos - cadernos (concurso TRF6)
2755|BARBUY, Victor Emanuel Vilela - Ideias jurídicas de José de Alencar (Dissertação USP 2014)
2756|Cancelamento da CAR - Cobertura Adicional de Risco Icatu (JusMP-Prev, Funpresp-Jud)
2757|Aulas de Direito Eleitoral - interrompida pela COVID-19 (a partir de 2020-03-10)
2758|E-mail de compra - NF-e Estratégia Concursos 2022-11-30 (Doc 004285514)
2759|Mapas mentais para concursos - Direito Civil
2760|Ata de defesa - dissertação Judicialização das Eleições, abuso de poder no TSE (Maurício, 2021-07-07)
2761|Semana 9 - Tempo e direito, continuidade e ruptura (Kay, Holmes, Postema)
2762|Gabarito discursiva - Concurso Câmara dos Deputados, Consultor Legislativo Área I (FGV 2024)
2763|Certidão de tempo de serviço Correios - Maurício, 2011-08-22 a 2013-10-16
2764|Autógrafo - Novo Código Eleitoral, normas eleitorais e processuais eleitorais
2765|Contas MATHEUS - Junho 2023 (celular e cartão)
2766|Extrato PJ 5 - Meira C M Eireli, conta corrente julho-agosto 2025
2767|Ementa Prof. Douglas - Filosofia Política e Direito Constitucional (UnB 2019)
2768|Doc. 9 - Combustível, compra Posto Ramalho 2022-01-21 (Processo Azul)
